row_id,status,balance,updated_at
R00044,dormant,8921.88,1770315180000
R00202,dormant,5148.54,1770658560000
R00304,dormant,4046.84,1770344280000
R00115,active,2719.8,1770614880000
R00256,dormant,4997.76,1770434640000
R00383,dormant,8189.49,1770233640000
R00017,active,4268.86,1769999580000
R00215,dormant,6393.76,1770093300000
R00178,dormant,3196.5,1770282060000
R00360,closed,5517.95,1770358920000
R00230,active,9039.46,1770728220000
R00287,closed,6602.39,1770039420000
R00186,active,8452.51,1770429600000
R00323,active,6577.24,1770594120000
R00260,active,5157.0,1770496440000
R00286,dormant,3536.85,1770186900000
R00300,dormant,2978.04,1770520080000
R00363,dormant,4223.57,1770049620000
R00399,closed,4927.34,1770429540000
R00113,active,2626.15,1770137100000
R00019,dormant,7186.64,1770412680000
R00155,dormant,5796.98,1770549480000
R00043,closed,4996.12,1770597780000
R00122,closed,3411.54,1770236880000
R00364,active,5052.09,1770156780000
R00232,active,6284.95,1770137220000
R00277,dormant,3163.75,1770525900000
R00049,dormant,5743.25,1770149880000
R00329,dormant,10295.58,1770429120000
R00198,active,5877.08,1770190260000
R00372,dormant,2352.83,1770485580000
R00053,active,3154.84,1770392100000
R00131,dormant,5173.44,1770174900000
R00199,closed,3500.49,1770282600000
R00016,closed,6739.43,1770339720000
R00235,active,4784.67,1770083700000
R00126,closed,5548.94,1770682680000
R00069,dormant,8436.65,1770560160000
R00398,active,5141.91,1770409380000
R00173,active,3047.67,1770103080000
R00352,dormant,5974.57,1770352200000
R00042,closed,1035.48,1770089280000
R00245,closed,3201.58,1770380460000
R00165,closed,5690.71,1769982420000
R00024,dormant,6029.76,1770137760000
R00162,dormant,3119.21,1770330480000
R00213,active,5113.63,1770236520000
R00252,dormant,3258.46,1770308400000
R00283,active,7773.41,1770605580000
R00361,closed,3325.94,1770191700000
R00380,closed,5393.31,1770228720000
R00315,active,6041.13,1770620460000
R00317,active,470.4,1770427380000
R00310,closed,6708.85,1770492180000
R00084,dormant,4957.8,1770268740000
R00279,closed,5747.75,1770690000000
R00141,dormant,477.8,1770167700000
R00089,closed,6720.85,1770342900000
R00322,closed,6243.5,1770617940000
R00362,dormant,7220.38,1770504420000
R00048,active,5676.78,1770691680000
R00353,closed,2450.31,1770070380000
R00172,active,7969.39,1770204720000
R00009,closed,4217.74,1770565860000
R00375,dormant,6169.76,1770276300000
R00028,dormant,4354.72,1770188640000
R00343,closed,5604.77,1770207060000
R00332,closed,2257.94,1770479820000
R00378,closed,3166.69,1770592860000
R00014,dormant,4821.85,1770055740000
R00308,active,4097.29,1770360180000
R00327,active,9767.47,1770205020000
