row_id,account_id,event_time,amount,category
R00000,A0096,1767230160000,31.15,other
R00001,A0008,1767234780000,12.79,grocery
R00002,A0026,1767242640000,18.82,other
R00003,A0025,1767254040000,158.33,travel
R00004,A0000,1767254280000,48.99,rent
R00005,A0065,1767270000000,20.52,travel
R00006,A0070,1767271740000,26.58,salary
R00007,A0044,1767288180000,7.71,travel
R00008,A0077,1767298320000,36.44,rent
R00009,A0011,1767329700000,29.85,rent
R00010,A0060,1767337260000,14.21,grocery
R00011,A0026,1767352440000,9.04,salary
R00012,A0051,1767375060000,15.36,grocery
R00013,A0006,1767395820000,98.07,salary
R00014,A0051,1767422280000,6.12,other
R00015,A0058,1767444180000,12.91,travel
R00016,A0103,1767449820000,15.01,salary
R00017,A0017,1767478200000,6.34,grocery
R00018,A0040,1767494520000,50.53,rent
R00019,A0052,1767520080000,16.94,grocery
R00020,A0032,1767526440000,9.99,other
R00021,A0041,1767542400000,36.9,travel
R00022,A0030,1767549180000,30.65,salary
R00023,A0080,1767554880000,7.86,rent
R00024,A0058,1767589260000,12.51,rent
R00025,A0118,1767605400000,6.53,other
R00026,A0020,1767606480000,23.09,rent
R00027,A0056,1767608460000,10.87,salary
R00028,A0085,1767611340000,11.02,rent
R00029,A0065,1767619500000,53.83,salary
R00030,A0052,1767634200000,7.1,travel
R00031,A0019,1767634920000,4.54,other
R00032,A0048,1767649920000,10.94,salary
R00033,A0033,1767653880000,36.4,grocery
R00034,A0080,1767656400000,1.26,travel
R00035,A0026,1767675180000,5.26,travel
R00036,A0015,1767681480000,16.96,grocery
R00037,A0032,1767690660000,4.39,travel
R00038,A0109,1767691320000,10.42,grocery
R00039,A0105,1767724500000,27.59,grocery
R00040,A0072,1767725340000,64.89,grocery
R00041,A0093,1767731700000,10.23,salary
R00042,A0075,1767755100000,88.63,grocery
R00043,A0019,1767770520000,24.87,other
R00044,A0046,1767784380000,34.42,grocery
R00045,A0034,1767801540000,47.97,other
R00046,A0067,1767815100000,37.34,rent
R00047,A0041,1767858360000,48.3,other
R00048,A0017,1767861540000,48.65,salary
R00049,A0017,1767863700000,10.77,travel
R00050,A0064,1767889920000,8.02,other
R00051,A0103,1767892140000,22.25,grocery
R00052,A0113,1767917460000,29.22,grocery
R00053,A0010,1767931920000,38.65,other
R00054,A0029,1767933000000,16.99,grocery
R00055,A0085,1767935940000,59.58,travel
R00056,A0066,1767938160000,51.02,rent
R00057,A0021,1767949500000,13.65,rent
R00058,A0112,1767953940000,4.06,rent
R00059,A0035,1767958200000,67.81,salary
R00060,A0077,1767966240000,7.45,other
R00061,A0085,1767972480000,2.05,travel
R00062,A0002,1767995160000,22.26,grocery
R00063,A0027,1767999300000,38.43,salary
R00064,A0091,1768008840000,18.22,grocery
R00065,A0083,1768020900000,3.5,travel
R00066,A0063,1768023480000,129.89,travel
R00067,A0056,1768032120000,139.9,salary
R00068,A0057,1768033200000,12.36,grocery
R00069,A0067,1768038540000,4.16,rent
R00070,A0119,1768050060000,16.46,grocery
