account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772877674000,23.37,1762.23,515,gold,35,14.62,1
A0001,1772870423000,24.58,6051.97,769,silver,24,85.71,0
A0002,1772548688000,11.34,2527.63,799,bronze,19,94.57,0
A0003,1772594256000,76.63,8872.64,846,bronze,13,13.88,1
A0004,1772976596000,9.56,4247.61,440,silver,27,9.2,1
A0005,1772512860000,22.84,8269.78,611,silver,28,10.58,1
A0006,1772938468000,39.14,3957.13,656,bronze,4,6.06,1
A0007,1772013210000,22.65,2874.69,490,silver,14,11.69,1
A0008,1773611043000,70.26,4387.64,491,silver,19,5.19,1
A0009,1772841952000,108.1,5780.34,747,gold,14,87.64,0
A0010,1773149792000,56.98,8260.75,783,gold,31,11.45,1
A0011,1773562131000,72.16,1646.55,448,bronze,31,14.96,1
A0012,1772298120000,19.95,3529.48,679,silver,10,88.36,0
A0013,1772079870000,78.47,5031.21,434,gold,20,9.9,1
A0014,1773083164000,30.57,5848.64,614,bronze,31,85.48,0
A0015,1772567627000,92.67,2508.42,771,bronze,10,11.93,1
A0016,1772530303000,27.21,5508.12,652,gold,17,11.53,1
A0017,1773219967000,4.78,6171.65,585,gold,4,10.4,1
A0018,1772663917000,12.13,7151.61,506,bronze,26,90.15,0
A0019,1772003707000,49.84,7578.5,647,gold,36,8.44,1
A0020,1772456398000,57.73,2713.32,647,bronze,26,90.37,0
A0021,1773199133000,11.57,5479.57,522,bronze,31,93.38,0
A0022,1772721740000,30.13,4128.94,499,gold,37,94.52,0
A0023,1772329585000,59.88,6430.06,710,bronze,34,88.67,0
A0024,1772524284000,5.43,7105.53,789,silver,9,94.77,0
A0025,1773598368000,30.14,6338.12,605,gold,30,10.38,1
A0026,1772344761000,23.76,6163.49,567,bronze,2,89.35,0
A0027,1773154225000,7.68,6566.89,622,bronze,23,9.78,1
A0028,1773456281000,16.75,3995.31,850,bronze,13,88.77,0
A0029,1772048193000,8.25,2998.18,347,gold,24,93.66,0
A0030,1772589110000,55.87,8595.47,439,bronze,26,11.46,1
A0031,1772116300000,10.69,4850.88,616,bronze,7,12.81,1
A0032,1773203683000,6.26,7979.59,778,gold,14,87.06,0
A0033,1773661871000,2.31,3503.01,459,bronze,31,94.72,0
A0034,1772994198000,16.62,5286.57,401,gold,31,94.52,0
A0035,1772979440000,21.38,5718.47,720,bronze,12,8.1,1
A0036,1773622909000,27.94,3465.33,442,silver,14,87.74,0
A0037,1772061319000,8.92,684.72,775,gold,25,88.93,0
A0038,1772579759000,31.95,4920.03,354,bronze,14,91.06,0
A0039,1772533516000,192.69,3207.36,404,bronze,30,93.16,0
A0040,1772272041000,25.32,5207.53,503,bronze,2,10.17,1
A0041,1772877750000,8.3,4126.91,469,silver,3,12.25,1
A0042,1772048366000,23.0,3172.01,833,gold,34,13.15,1
A0043,1773355222000,38.94,8154.8,747,gold,35,11.76,1
A0044,1772091608000,49.91,1303.49,739,silver,29,5.91,1
A0045,1773671211000,24.35,5330.51,636,bronze,23,8.99,1
A0046,1772923679000,28.41,4067.82,528,gold,24,86.65,0
A0047,1772740241000,57.68,5240.85,850,gold,33,12.0,1
A0048,1773623047000,43.28,6286.84,706,gold,3,90.01,0
A0049,1772418977000,33.71,6759.08,586,gold,11,7.46,1
A0050,1772234362000,12.02,5845.82,307,gold,10,85.73,0
A0051,1773492305000,117.58,5304.58,526,silver,11,10.23,1
A0052,1773361199000,79.36,3051.6,745,bronze,26,92.06,0
A0053,1772599740000,48.86,2279.7,846,gold,1,94.61,0
A0054,1772629039000,10.56,7564.83,592,gold,12,86.86,0
A0055,1773449052000,132.35,3234.67,330,bronze,36,7.04,1
A0056,1772021504000,30.97,-316.06,825,bronze,30,90.71,0
A0057,1772435445000,88.29,5359.83,529,bronze,5,87.68,0
A0058,1772255522000,9.44,3532.74,669,gold,35,91.21,0
A0059,1772818974000,31.4,3112.98,535,gold,6,12.75,1
A0060,1773525234000,40.32,3902.13,807,silver,32,14.51,1
A0061,1773701932000,61.53,4948.15,580,bronze,5,13.25,1
A0062,1772825151000,82.01,4934.17,300,gold,23,89.65,0
A0063,1772277665000,39.6,6510.71,734,gold,12,10.29,1
A0064,1772800985000,9.32,9260.68,774,gold,35,92.83,0
A0065,1772714027000,43.1,2078.53,506,gold,37,85.83,0
A0066,1772978949000,17.37,7262.09,358,bronze,23,89.92,0
A0067,1772122702000,90.4,6609.93,850,silver,17,87.95,0
A0068,1773211017000,41.52,5598.34,693,silver,39,5.96,1
A0069,1773253887000,33.37,6869.4,850,gold,28,94.94,0
A0070,1773619520000,37.06,3140.63,641,gold,28,11.65,1
A0071,1773579808000,10.1,5424.19,831,bronze,8,14.85,1
A0072,1773469814000,14.86,6850.49,386,silver,3,12.81,1
A0073,1773416260000,146.82,2786.03,481,bronze,26,88.45,0
A0074,1773599436000,50.56,5357.16,662,silver,13,90.09,0
A0075,1773474667000,22.74,7953.01,712,bronze,13,14.03,1
A0076,1773264472000,43.16,5468.52,495,gold,12,90.69,0
A0077,1772186228000,27.45,4400.93,561,gold,6,7.06,1
A0078,1772897964000,7.16,6432.62,504,silver,16,94.38,0
A0079,1773040947000,19.59,5251.33,564,gold,9,92.6,0
A0080,1772136713000,56.7,10188.09,380,gold,14,87.33,0
A0081,1772327741000,71.42,1322.33,630,silver,30,92.36,0
A0082,1773651630000,22.46,4899.96,648,bronze,5,85.7,0
A0083,1773587510000,3.91,3037.38,815,silver,33,11.95,1
A0084,1773492358000,64.49,7008.48,381,silver,34,8.25,1
A0085,1771990539000,14.05,5546.44,776,silver,16,8.07,1
A0086,1772618184000,47.26,7461.68,356,silver,15,13.58,1
A0087,1773023933000,32.56,3023.15,303,gold,10,14.23,1
A0088,1772665359000,14.36,2062.0,671,bronze,27,91.75,0
A0089,1772678156000,23.16,4436.47,321,gold,27,8.85,1
A0090,1773035785000,31.4,7949.7,512,bronze,7,13.14,1
A0091,1772032468000,16.08,3803.34,382,bronze,14,6.42,1
A0092,1772794034000,7.65,3311.19,617,silver,0,86.83,0
A0093,1773499867000,30.98,2761.78,626,bronze,9,92.19,0
A0094,1773629374000,28.87,7552.32,792,gold,5,90.2,0
A0095,1772393883000,236.25,8672.48,703,gold,22,9.27,1
A0096,1773626725000,40.99,4925.99,454,silver,27,92.64,0
A0097,1773052525000,33.44,8084.58,756,bronze,23,87.93,0
A0098,1772805407000,44.38,2401.91,845,silver,37,93.47,0
A0099,1772620441000,38.98,4846.01,591,bronze,15,7.86,1
