user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,-1.1031,0.3884,-2.1834,-1.6182,-0.6568,-0.2722,1.6076,-1.5716
U0001,-0.6777,0.2079,-0.7109,0.323,1.6309,0.0081,-0.9911,0.218
U0002,-0.2772,0.164,-0.0064,-0.1127,0.585,0.8674,0.0772,0.3139
U0003,-0.8771,0.4911,-2.7171,0.207,1.3988,0.6259,0.1347,-1.4582
U0004,-0.3524,0.4827,0.0223,1.3385,0.418,0.6451,0.262,-1.1234
U0005,-0.2791,1.4874,-1.443,-0.5201,1.6059,1.6497,-0.5497,-1.2993
U0006,0.3886,-0.7789,-0.4841,-0.367,-0.3712,-0.6526,0.5973,-0.8864
U0007,-0.6662,-1.0723,0.0211,-0.0534,0.2302,1.4878,0.3359,-0.1784
U0008,-1.133,-0.2509,0.2298,0.5469,-0.087,2.2411,1.5921,0.5506
U0009,0.3516,-0.6179,0.8881,0.1189,0.265,-0.8083,-0.1726,0.9889
U0010,0.2491,0.3002,-0.0466,-1.9089,1.0818,1.4551,0.2108,-0.4584
U0011,-1.1529,-1.0303,-0.1337,0.7838,-0.3309,-0.4607,0.0434,1.2109
U0012,-0.852,-1.6302,-0.5731,0.0262,-0.3198,-0.5498,0.9043,-0.9052
U0013,-0.3548,-0.6526,1.0405,2.7215,0.6305,0.298,0.436,-0.3712
U0014,1.0096,1.3139,1.2084,0.1559,0.5736,-1.8179,0.6079,-0.4755
U0015,1.5979,0.8754,1.184,1.5269,-0.7407,0.8447,0.4008,-1.3793
U0016,0.102,0.6308,1.0431,-1.1369,-0.9294,0.2971,-1.7551,0.1995
U0017,0.0973,-0.7683,1.7131,-0.4819,0.5531,-0.2853,0.1604,0.0242
U0018,-0.7018,-1.5658,0.2253,0.185,0.3826,1.7009,-0.6034,0.0102
U0019,2.0964,-0.652,2.8202,0.4606,1.1787,-1.1627,0.8122,-1.0475
U0020,-0.4152,-0.7241,-1.9058,-1.4783,0.5948,-0.3899,1.334,-2.2098
U0021,-0.713,0.6341,-1.0588,-4.0145,0.2481,-0.4347,-1.6476,0.5322
U0022,1.8945,-0.1151,1.2715,1.0241,0.3258,0.2994,-0.6839,0.5072
U0023,0.5247,0.5234,1.0204,-0.9814,0.8031,0.5054,1.07,-0.4193
U0024,-1.5919,-0.8839,-0.731,-0.0063,0.8948,-0.0061,0.349,-0.3452
U0025,-0.8877,-0.1877,0.9222,-1.7013,-0.0731,0.0949,-0.39,-0.6281
U0026,-0.4223,0.6361,0.7634,-0.0634,0.0508,0.0992,-0.4014,0.0901
U0027,2.5755,0.4199,0.1829,-0.3864,0.6319,-0.6773,0.78,0.4549
U0028,1.1116,0.8748,-1.8649,1.6108,-1.8417,0.2655,0.7185,0.4139
U0029,-0.2637,0.0938,-1.7264,0.2971,0.2515,0.0296,-0.9767,-0.759
U0030,1.1615,2.2096,0.7404,0.71,-2.4461,-1.1202,0.2951,0.2763
U0031,0.5955,-0.4884,0.1403,-0.4455,0.8028,-1.5365,0.9659,0.1089
U0032,-2.5322,-0.4942,-1.3689,-0.6991,-0.4361,-0.3154,1.4054,0.9564
U0033,-0.0851,0.685,-0.3842,-0.4908,-0.6031,1.2287,-1.2058,0.6022
U0034,-1.061,-1.5293,-0.5162,1.0317,0.0887,-1.024,-0.6978,-1.8076
U0035,0.0925,0.3111,1.0731,0.7588,-0.3249,1.1887,0.2276,1.8388
U0036,1.4792,1.9311,-0.4881,-0.2163,-1.9582,0.0052,1.0347,-1.1818
U0037,-1.2879,1.2231,-0.097,1.3434,-1.6509,-1.0549,1.2975,0.6688
U0038,1.4199,0.9047,-1.3446,-0.0551,-1.6289,-0.1851,-1.4626,-0.968
U0039,-0.4075,-0.9669,0.3674,-1.189,0.3525,-0.678,-1.1459,0.343
