entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-02-25T00:00:00Z,3.5341,2.4925,3.5583,0.8189,4.6077,7.6779
E0001,2026-02-25T00:00:00Z,3.2844,0.1828,2.9056,1.5189,5.541,10.274
E0002,2026-02-25T00:00:00Z,3.3541,2.1078,2.5885,1.9192,5.3007,6.9351
E0003,2026-02-25T00:00:00Z,1.7514,2.4494,1.9381,-0.0282,4.3581,8.9112
E0004,2026-02-25T00:00:00Z,1.6285,4.8044,3.1085,1.1447,6.94,8.705
E0005,2026-02-25T00:00:00Z,2.9563,1.5672,2.5281,-0.1003,4.3833,4.6118
E0006,2026-02-25T00:00:00Z,4.416,4.0064,1.5512,-1.5682,5.3122,9.0005
E0007,2026-02-25T00:00:00Z,3.8142,5.3328,2.6317,2.052,3.682,10.0818
E0008,2026-02-25T00:00:00Z,2.798,1.3487,4.6164,0.5022,7.3912,10.8843
E0009,2026-02-25T00:00:00Z,2.3388,5.5127,3.5546,1.6125,1.8196,8.8701
E0010,2026-02-25T00:00:00Z,1.7315,1.727,3.4764,-0.3302,5.7976,8.8499
E0011,2026-02-25T00:00:00Z,3.3436,3.4161,2.3119,0.4368,6.5945,8.9635
E0012,2026-02-25T00:00:00Z,4.3476,5.6602,2.9013,0.0762,8.6021,8.8238
E0013,2026-02-25T00:00:00Z,2.3478,1.5622,3.8001,0.5854,7.8494,9.6539
E0014,2026-02-25T00:00:00Z,3.3247,4.2794,0.949,2.4425,4.8882,10.0818
E0015,2026-02-25T00:00:00Z,3.8902,1.3893,4.5547,-1.5413,5.5873,8.2236
E0016,2026-02-25T00:00:00Z,2.2008,2.595,3.8886,-0.703,6.2885,7.8028
E0017,2026-02-25T00:00:00Z,1.8713,1.0001,1.8103,0.7981,5.46,8.5248
E0018,2026-02-25T00:00:00Z,1.9016,0.9339,4.3805,-0.58,6.0742,8.4056
E0019,2026-02-25T00:00:00Z,2.5071,0.9389,0.8558,0.5153,4.4628,11.819
E0020,2026-02-25T00:00:00Z,3.8356,-0.007,0.7394,-1.0081,5.1495,6.4094
E0021,2026-02-25T00:00:00Z,3.2726,4.7034,1.7404,-1.6073,7.1326,8.5324
E0022,2026-02-25T00:00:00Z,2.825,3.7871,3.3192,-0.2202,5.717,9.5518
E0023,2026-02-25T00:00:00Z,4.1587,1.955,3.2509,1.9512,4.3894,8.2971
E0024,2026-02-25T00:00:00Z,1.9226,2.7379,2.4696,-0.7192,5.5656,8.4088
E0025,2026-02-25T00:00:00Z,4.1143,0.1199,4.1161,0.1188,4.815,9.165
E0026,2026-02-25T00:00:00Z,3.0141,2.7491,3.3843,1.0571,4.0563,9.7985
E0027,2026-02-25T00:00:00Z,3.2811,3.4753,2.6266,-1.4971,6.3697,7.9937
E0028,2026-02-25T00:00:00Z,4.218,2.3834,3.184,1.0596,5.4483,8.4136
E0029,2026-02-25T00:00:00Z,3.3203,2.4028,2.2606,-0.6697,4.8987,9.1654
E0030,2026-02-25T00:00:00Z,2.4488,1.3709,1.6749,-0.2024,5.3269,9.5027
E0031,2026-02-25T00:00:00Z,0.6548,3.8442,4.0119,-2.048,5.0597,8.7268
E0032,2026-02-25T00:00:00Z,1.846,0.4871,3.3372,-1.4534,5.9378,9.183
E0033,2026-02-25T00:00:00Z,1.3252,2.3314,3.3569,-0.7092,9.149,7.4201
E0034,2026-02-25T00:00:00Z,3.0605,5.2983,4.236,-2.3228,4.2686,9.3486
E0035,2026-02-25T00:00:00Z,6.3911,1.6674,3.7388,1.3757,6.347,9.4473
E0036,2026-02-25T00:00:00Z,3.5354,2.7818,3.2238,0.6921,6.7456,7.9167
E0037,2026-02-25T00:00:00Z,2.7109,3.7902,4.696,0.2836,6.4979,7.9656
E0038,2026-02-25T00:00:00Z,4.5064,2.7849,2.5883,-1.8932,7.1555,8.8619
E0039,2026-02-25T00:00:00Z,2.9861,2.9873,2.7816,-0.4714,8.0438,8.3647
E0040,2026-02-25T00:00:00Z,1.2786,1.291,2.9337,1.341,5.8722,8.4741
E0041,2026-02-25T00:00:00Z,4.2952,3.1627,2.696,0.3396,3.9874,8.426
E0042,2026-02-25T00:00:00Z,2.7424,1.9901,3.9041,-0.1007,6.1517,8.839
E0043,2026-02-25T00:00:00Z,3.6461,0.9336,3.1818,-0.7857,3.6715,8.5937
E0044,2026-02-25T00:00:00Z,1.6794,4.9468,2.9323,0.35,5.7098,9.4251
E0045,2026-02-25T00:00:00Z,3.1831,4.9512,4.2668,0.1553,3.8718,9.2372
E0046,2026-02-25T00:00:00Z,3.5609,5.3463,2.0865,-2.4849,1.8442,9.6178
E0047,2026-02-25T00:00:00Z,4.3437,3.8794,2.4634,-1.2947,5.1984,8.5272
E0048,2026-02-25T00:00:00Z,3.9479,1.8889,4.8403,1.9845,4.5242,9.4749
E0049,2026-02-25T00:00:00Z,2.8854,2.5363,2.5716,-1.4433,6.3157,8.0579
E0050,2026-02-25T00:00:00Z,3.8466,3.4885,2.1718,1.9047,4.91,7.7265
E0051,2026-02-25T00:00:00Z,2.2214,1.9463,4.8317,-1.6952,7.0979,7.9066
E0052,2026-02-25T00:00:00Z,4.4769,5.0702,4.0376,0.6322,6.2016,11.1968
E0053,2026-02-25T00:00:00Z,3.932,2.4709,2.7868,0.964,4.6361,9.1368
E0054,2026-02-25T00:00:00Z,2.3865,3.0917,1.6936,-0.4629,4.0785,9.6716
E0055,2026-02-25T00:00:00Z,4.3189,3.3808,1.4705,-2.587,5.1632,9.9476
E0056,2026-02-25T00:00:00Z,3.7247,-0.4871,2.6018,-0.6548,4.7547,9.2731
E0057,2026-02-25T00:00:00Z,3.1073,3.1052,1.1986,-0.7034,4.2446,8.1114
E0058,2026-02-25T00:00:00Z,3.3891,0.7422,3.4441,0.3734,5.2386,10.2665
E0059,2026-02-25T00:00:00Z,3.0961,-0.6546,1.6729,0.6555,6.8094,9.6659
E0060,2026-02-25T00:00:00Z,3.4815,4.6035,1.7311,0.7628,7.4365,7.531
E0061,2026-02-25T00:00:00Z,2.6361,3.489,3.9364,0.3091,4.3958,7.8522
E0062,2026-02-25T00:00:00Z,1.5136,0.1866,4.4333,0.2231,6.1515,8.1595
E0063,2026-02-25T00:00:00Z,1.6901,1.5234,1.861,0.8836,7.0171,8.8428
E0064,2026-02-25T00:00:00Z,2.4055,0.0854,6.3075,0.8435,7.4118,9.1358
E0065,2026-02-25T00:00:00Z,2.929,3.5107,3.0243,-0.2983,4.7518,9.4827
