entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-03-01T00:00:00Z,6.5019,2.0495,4.3046,-1.9548,6.1092,10.5164
E0001,2026-03-01T00:00:00Z,6.8668,4.1805,3.9384,1.1681,7.0271,10.5945
E0002,2026-03-01T00:00:00Z,6.4337,4.047,3.74,0.649,5.2544,8.911
E0003,2026-03-01T00:00:00Z,7.1029,1.838,5.1941,0.8976,6.4556,7.1527
E0004,2026-03-01T00:00:00Z,5.9832,3.978,3.7075,1.6071,5.5586,7.1725
E0005,2026-03-01T00:00:00Z,5.8313,1.9699,3.6098,1.3777,6.0419,6.3063
E0006,2026-03-01T00:00:00Z,6.0916,3.5286,2.4487,1.8715,4.6458,9.6874
E0007,2026-03-01T00:00:00Z,6.2847,2.0534,1.0355,-0.5319,7.7459,8.8467
E0008,2026-03-01T00:00:00Z,6.2704,1.4935,2.8761,0.8014,7.5915,7.7201
E0009,2026-03-01T00:00:00Z,5.1834,4.8903,3.1659,0.3332,1.5368,7.7969
E0010,2026-03-01T00:00:00Z,6.103,4.6513,3.8023,1.0224,5.5474,10.5499
E0011,2026-03-01T00:00:00Z,5.4828,2.4916,1.1922,-0.7167,7.7238,8.2223
E0012,2026-03-01T00:00:00Z,6.8431,1.4867,2.914,0.8277,5.7468,9.8826
E0013,2026-03-01T00:00:00Z,7.3905,3.4764,3.8147,1.4222,8.4404,8.0427
E0014,2026-03-01T00:00:00Z,6.3284,2.6375,1.5885,-0.1146,4.5895,8.3928
E0015,2026-03-01T00:00:00Z,5.7502,0.3582,4.296,-1.143,5.9887,8.2327
E0016,2026-03-01T00:00:00Z,7.2394,2.2979,3.2717,1.133,4.8924,8.1797
E0017,2026-03-01T00:00:00Z,7.2131,1.9549,2.6749,1.956,6.8417,8.6263
E0018,2026-03-01T00:00:00Z,7.2642,2.2758,4.708,0.3413,5.701,10.8278
E0019,2026-03-01T00:00:00Z,6.3426,2.765,3.8525,-0.4613,5.0625,8.5705
E0020,2026-03-01T00:00:00Z,6.1808,3.5539,5.2532,0.0227,6.4753,8.4761
E0021,2026-03-01T00:00:00Z,7.1398,1.9267,3.0819,1.2632,4.4972,10.5664
E0022,2026-03-01T00:00:00Z,4.4164,1.7447,5.9593,0.0098,4.4039,8.7845
E0023,2026-03-01T00:00:00Z,7.2373,2.8405,5.0234,-1.7318,6.4729,8.2958
E0024,2026-03-01T00:00:00Z,6.7701,1.2114,3.4452,-0.7793,5.9597,8.9948
E0025,2026-03-01T00:00:00Z,4.825,4.4111,4.6249,0.4404,6.2537,7.5756
E0026,2026-03-01T00:00:00Z,6.8862,1.3685,4.0325,-1.0001,3.0334,8.9229
E0027,2026-03-01T00:00:00Z,7.1528,0.9628,3.839,0.2997,5.057,8.321
E0028,2026-03-01T00:00:00Z,7.5234,3.5831,5.1706,0.344,6.2006,8.5958
E0029,2026-03-01T00:00:00Z,4.4646,4.7242,3.149,-1.0533,7.1013,9.0531
E0030,2026-03-01T00:00:00Z,6.462,2.225,3.5867,3.3314,7.7575,9.2012
E0031,2026-03-01T00:00:00Z,6.4536,4.8996,1.568,0.5343,9.218,8.8077
E0032,2026-03-01T00:00:00Z,6.8302,4.5828,2.2592,0.9526,4.4181,9.3319
E0033,2026-03-01T00:00:00Z,6.919,3.6495,1.7065,-0.0759,5.0712,8.3331
E0034,2026-03-01T00:00:00Z,6.8236,1.5659,5.0244,0.2586,5.7637,10.9044
E0035,2026-03-01T00:00:00Z,7.1055,2.5782,5.0034,0.3562,7.257,8.9448
E0036,2026-03-01T00:00:00Z,7.0974,1.6802,4.0574,0.3399,4.5276,8.2114
E0037,2026-03-01T00:00:00Z,6.3335,5.4739,3.3128,-1.3553,6.5148,9.4207
E0038,2026-03-01T00:00:00Z,7.1703,1.8365,0.3685,-0.736,7.2551,8.0884
E0039,2026-03-01T00:00:00Z,6.078,2.2882,3.3533,-1.2656,6.5453,6.5904
E0040,2026-03-01T00:00:00Z,6.4139,-1.2863,2.3038,0.3587,4.1969,9.3991
E0041,2026-03-01T00:00:00Z,5.1897,0.2097,4.9683,0.0839,4.8728,10.645
E0042,2026-03-01T00:00:00Z,7.74,2.6455,4.5376,1.3391,6.8931,10.4901
E0043,2026-03-01T00:00:00Z,6.3961,1.1739,4.4979,1.5378,5.5179,9.7788
E0044,2026-03-01T00:00:00Z,7.513,1.3211,2.3905,-2.0875,4.2616,10.9836
E0045,2026-03-01T00:00:00Z,6.4417,4.5955,1.9203,-0.2057,6.3414,8.8111
E0046,2026-03-01T00:00:00Z,5.3038,-0.3659,4.0161,0.1108,5.2737,10.5881
E0047,2026-03-01T00:00:00Z,7.2327,0.7699,4.1022,0.7277,7.0717,10.7533
