row_id,account_id,event_time,amount,category
R00519,A0070,1772841780000,39.56,salary
R00520,A0138,1772843100000,5.08,other
R00521,A0080,1772844420000,78.92,other
R00522,A0076,1772844900000,9.81,grocery
R00523,A0056,1772845500000,46.05,rent
R00524,A0121,1772845980000,22.13,other
R00525,A0075,1772846640000,1.86,grocery
R00526,A0109,1772846700000,120.7,travel
R00527,A0135,1772846880000,25.44,rent
R00528,A0049,1772847300000,41.22,rent
R00529,A0003,1772847300000,111.5,rent
R00530,A0007,1772847360000,16.91,grocery
R00531,A0082,1772848980000,12.83,rent
R00532,A0082,1772849280000,11.59,other
R00533,A0027,1772849940000,170.64,travel
R00534,A0096,1772850780000,15.69,travel
R00535,A0103,1772851680000,96.78,grocery
R00536,A0042,1772852460000,0.92,other
R00537,A0137,1772852820000,16.86,grocery
R00538,A0006,1772853420000,32.92,rent
R00539,A0141,1772853540000,9.51,travel
R00540,A0050,1772853900000,30.14,rent
R00541,A0062,1772854620000,12.29,salary
R00542,A0002,1772855520000,6.85,rent
R00543,A0096,1772856600000,23.33,travel
R00544,A0129,1772856780000,2.1,salary
R00545,A0090,1772856840000,111.53,rent
R00546,A0115,1772857620000,4.35,travel
R00547,A0064,1772857740000,16.85,rent
R00548,A0142,1772857860000,24.11,rent
R00549,A0061,1772857920000,4.07,other
R00550,A0109,1772858460000,13.31,salary
R00551,A0111,1772860140000,7.44,grocery
R00552,A0049,1772860260000,12.66,rent
R00553,A0116,1772860320000,8.11,grocery
R00554,A0059,1772860620000,8.4,travel
R00555,A0074,1772860800000,31.9,grocery
R00556,A0102,1772861220000,21.25,other
R00557,A0142,1772862480000,31.8,salary
R00558,A0140,1772863080000,11.74,other
R00559,A0097,1772863560000,24.16,other
R00560,A0039,1772866680000,59.73,travel
R00561,A0131,1772866860000,25.88,salary
R00562,A0051,1772868900000,208.46,rent
R00563,A0061,1772869500000,51.2,other
R00564,A0032,1772872080000,21.58,grocery
R00565,A0131,1772873220000,7.78,grocery
R00566,A0075,1772873580000,6.64,salary
R00567,A0122,1772873640000,129.95,salary
R00568,A0119,1772873820000,24.78,salary
R00569,A0099,1772874600000,11.41,travel
R00570,A0005,1772875800000,13.44,other
R00571,A0114,1772876280000,66.21,travel
R00572,A0107,1772877480000,20.39,rent
R00573,A0031,1772878740000,61.59,salary
R00574,A0080,1772879700000,17.99,grocery
R00575,A0026,1772880960000,50.49,travel
R00576,A0106,1772881500000,12.25,other
R00577,A0003,1772882400000,72.96,travel
R00578,A0115,1772883780000,13.86,grocery
R00579,A0029,1772883840000,11.95,grocery
R00580,A0115,1772884440000,7.45,grocery
R00581,A0050,1772885460000,50.57,grocery
R00582,A0072,1772885580000,62.37,other
R00583,A0106,1772886120000,24.88,other
R00584,A0066,1772886120000,27.2,other
R00585,A0118,1772886480000,77.53,other
R00586,A0091,1772887200000,1.58,salary
R00587,A0105,1772887560000,72.08,salary
R00588,A0126,1772887620000,11.37,other
R00589,A0144,1772888820000,19.35,other
R00590,A0009,1772888940000,21.59,grocery
R00591,A0053,1772889480000,16.64,rent
R00592,A0066,1772890080000,7.76,rent
R00593,A0089,1772890320000,12.12,rent
R00594,A0051,1772890920000,18.53,travel
R00595,A0142,1772892780000,80.23,rent
R00596,A0079,1772894220000,16.34,grocery
R00597,A0132,1772894640000,8.47,travel
R00598,A0146,1772895360000,9.94,other
R00599,A0116,1772897100000,42.86,travel
R00600,A0079,1772897640000,13.9,travel
R00601,A0118,1772897640000,14.62,rent
R00602,A0079,1772898120000,5.76,rent
R00603,A0043,1772899260000,65.2,travel
R00604,A0038,1772899440000,4.52,rent
R00605,A0144,1772899560000,33.4,grocery
R00606,A0135,1772900280000,4.29,other
R00607,A0039,1772902440000,25.84,grocery
R00608,A0056,1772902860000,13.84,rent
R00609,A0115,1772904120000,10.82,other
R00610,A0019,1772904900000,21.13,rent
R00611,A0135,1772905200000,41.02,salary
R00612,A0093,1772905260000,13.01,other
R00613,A0074,1772905320000,19.22,other
R00614,A0010,1772905500000,3.12,rent
R00615,A0062,1772905680000,55.13,salary
R00616,A0066,1772905920000,10.92,grocery
R00617,A0125,1772906640000,25.2,travel
R00618,A0137,1772906760000,16.32,grocery
R00619,A0078,1772907240000,11.5,rent
R00620,A0113,1772908560000,29.39,rent
R00621,A0090,1772908980000,51.16,other
R00622,A0119,1772910780000,37.92,travel
R00623,A0124,1772913540000,39.73,salary
R00624,A0016,1772914500000,129.42,rent
R00625,A0074,1772916120000,12.66,salary
R00626,A0122,1772916540000,10.11,salary
R00627,A0073,1772916840000,23.94,travel
R00628,A0101,1772917080000,18.98,salary
R00629,A0120,1772918820000,6.44,travel
R00630,A0001,1772919360000,18.01,salary
R00631,A0011,1772919540000,7.94,travel
R00632,A0041,1772920440000,16.22,grocery
R00633,A0040,1772920800000,33.35,grocery
R00634,A0021,1772920980000,21.16,travel
R00635,A0127,1772922360000,151.68,grocery
R00636,A0147,1772925180000,2.23,grocery
R00637,A0042,1772925600000,30.15,grocery
R00638,A0085,1772926140000,5.77,rent
R00639,A0085,1772926440000,15.42,grocery
R00640,A0115,1772927640000,55.06,grocery
R00641,A0055,1772927820000,13.93,grocery
R00642,A0106,1772927880000,70.2,rent
