account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773578048000,90.95,6840.51,840,silver,25,91.38,0
A0001,1773637247000,274.6,3775.36,659,silver,25,12.23,1
A0002,1772646308000,37.35,5527.62,649,bronze,34,94.52,0
A0003,1772538873000,58.41,6330.06,332,bronze,35,7.66,1
A0004,1772229082000,12.78,4582.94,358,gold,32,90.6,0
A0005,1772988530000,59.41,8999.91,390,gold,9,13.4,1
A0006,1772261586000,11.66,1660.4,373,gold,13,90.51,0
A0007,1772432626000,18.13,5131.7,639,gold,3,91.09,0
A0008,1772649861000,10.74,8039.68,430,bronze,8,11.27,1
A0009,1772689234000,109.98,6623.98,592,silver,34,86.55,0
A0010,1772051862000,5.68,3926.64,460,silver,32,13.68,1
A0011,1772534921000,54.88,3340.14,371,silver,3,9.05,1
A0012,1772953278000,24.77,4487.83,555,silver,19,6.68,1
A0013,1773395096000,207.07,10489.88,556,silver,7,89.44,0
A0014,1773049803000,42.12,2333.51,738,gold,33,12.12,1
A0015,1772353992000,65.8,1583.93,472,bronze,19,94.91,0
A0016,1773457528000,42.12,1270.47,659,bronze,18,12.19,1
A0017,1772114377000,6.06,-696.46,674,gold,23,10.08,1
A0018,1773679018000,33.18,6741.26,613,gold,1,6.18,1
A0019,1772279422000,36.22,8768.86,810,silver,12,11.54,1
A0020,1773664801000,189.8,7100.53,681,bronze,39,10.82,1
A0021,1772097281000,74.9,5667.12,366,gold,10,86.63,0
A0022,1772595498000,5.7,3728.99,544,silver,23,9.59,1
A0023,1772006643000,11.89,4182.64,844,gold,10,89.8,0
A0024,1773652857000,52.82,4654.94,390,silver,23,85.5,0
A0025,1772230811000,7.72,2240.05,749,silver,12,86.32,0
A0026,1772074615000,29.97,3376.04,729,gold,26,10.42,1
A0027,1772517177000,58.67,3934.79,531,gold,8,9.56,1
A0028,1773387375000,18.99,6410.58,332,gold,18,7.76,1
A0029,1773475158000,7.72,6819.25,848,bronze,16,10.64,1
A0030,1772817960000,35.01,9074.23,415,bronze,35,9.49,1
A0031,1773478430000,8.34,8228.36,551,bronze,26,89.48,0
A0032,1772229908000,14.24,954.7,731,bronze,3,8.28,1
A0033,1773480801000,82.83,1786.03,388,gold,7,94.75,0
A0034,1772328369000,68.7,6474.54,584,bronze,35,92.1,0
A0035,1773657936000,29.36,4933.34,747,gold,9,88.7,0
A0036,1773465856000,26.24,5474.0,441,silver,31,89.28,0
A0037,1772421285000,10.62,6278.09,396,bronze,34,90.41,0
A0038,1772598893000,33.98,1725.46,434,silver,6,93.93,0
A0039,1772508238000,71.17,5213.99,395,silver,39,86.34,0
A0040,1772082729000,9.01,3094.68,473,bronze,26,93.2,0
A0041,1773368617000,63.47,3877.08,399,silver,29,85.57,0
A0042,1772749040000,32.01,3445.79,705,bronze,1,11.06,1
A0043,1773410976000,32.49,5547.25,638,bronze,6,86.75,0
A0044,1772907780000,50.59,1945.75,627,bronze,30,11.33,1
A0045,1772058756000,24.21,5483.61,442,bronze,4,94.26,0
A0046,1772503230000,6.45,6554.15,667,silver,21,11.03,1
A0047,1772711158000,66.84,7546.6,632,gold,0,5.09,1
A0048,1772082590000,64.37,4928.68,467,gold,33,7.57,1
A0049,1772519391000,12.5,8978.95,451,gold,34,89.49,0
A0050,1772014076000,24.66,4492.87,850,silver,8,5.0,1
A0051,1772714250000,14.55,6077.37,809,bronze,39,87.69,0
A0052,1773139817000,17.82,2851.32,707,bronze,36,86.46,0
A0053,1772091157000,4.93,6866.33,453,gold,39,89.1,0
A0054,1772410218000,53.13,4945.29,711,bronze,6,5.67,1
A0055,1772720648000,467.53,4942.87,459,gold,4,93.9,0
A0056,1772216045000,12.03,1334.88,450,gold,4,90.26,0
A0057,1773575570000,112.07,7014.99,652,silver,19,5.58,1
A0058,1773352473000,15.62,3315.27,832,bronze,15,13.25,1
A0059,1772507614000,108.46,3107.49,517,gold,14,8.67,1
A0060,1772426933000,24.68,5701.02,571,gold,26,88.9,0
A0061,1772895347000,9.24,2037.84,439,gold,10,94.57,0
A0062,1772768983000,43.65,2474.88,655,bronze,4,8.14,1
A0063,1772630152000,15.34,3084.13,382,silver,0,5.74,1
A0064,1773644527000,47.12,5027.22,556,bronze,22,12.42,1
A0065,1773222203000,20.05,6057.2,340,gold,13,6.73,1
A0066,1772934925000,69.59,3794.03,805,bronze,20,7.78,1
A0067,1772531671000,18.23,6607.08,324,silver,27,88.98,0
A0068,1772535892000,122.58,3613.39,336,bronze,32,85.71,0
A0069,1773699342000,104.52,6363.97,346,bronze,18,7.2,1
A0070,1772437919000,16.86,2731.3,597,silver,9,11.28,1
A0071,1772449152000,185.78,5748.16,822,gold,21,10.66,1
A0072,1773454717000,40.11,5529.61,436,bronze,30,13.23,1
A0073,1772772128000,93.89,7906.85,808,gold,30,87.81,0
A0074,1772251989000,201.98,2828.15,742,gold,7,12.89,1
A0075,1772105420000,36.85,6029.26,684,bronze,28,90.24,0
A0076,1772030311000,49.73,4029.9,390,silver,15,9.91,1
A0077,1772281389000,83.37,6640.39,605,silver,9,7.52,1
A0078,1773165818000,60.72,5589.63,521,gold,11,8.99,1
A0079,1773211704000,21.75,7275.22,537,gold,23,94.72,0
A0080,1772855330000,5.8,3335.77,546,bronze,17,88.38,0
A0081,1772114417000,12.18,2930.05,468,silver,2,89.06,0
A0082,1773033921000,23.79,1513.72,670,gold,6,8.21,1
A0083,1773302445000,24.69,4704.8,344,gold,26,5.42,1
A0084,1772730074000,91.95,4432.35,796,silver,7,87.56,0
A0085,1772850752000,31.43,5226.42,306,bronze,31,14.73,1
A0086,1773665490000,53.8,9215.81,350,silver,7,87.56,0
A0087,1772362015000,20.64,8058.18,311,gold,18,85.28,0
A0088,1772461928000,18.79,5332.36,660,silver,26,90.87,0
A0089,1772204532000,34.62,3501.1,305,bronze,32,87.22,0
A0090,1773590241000,15.99,6810.48,850,silver,1,14.28,1
A0091,1772543830000,23.22,5402.32,840,silver,23,92.42,0
A0092,1772255588000,6.88,5649.52,500,silver,38,86.26,0
A0093,1773390279000,32.25,5288.58,832,silver,17,87.91,0
A0094,1772652971000,49.46,632.25,304,bronze,0,9.51,1
A0095,1772886241000,35.02,3348.05,838,gold,28,12.72,1
A0096,1773282426000,39.75,2054.03,536,silver,3,86.32,0
A0097,1771983705000,102.16,8215.06,752,gold,37,91.92,0
A0098,1772144617000,21.98,4806.99,364,silver,21,85.22,0
A0099,1772709132000,764.16,6128.12,621,gold,8,10.65,1
