txn_account_id,txn_event_time,amount,balance
A0000,1767248051000,340.37,6701.99
A0000,1767989850000,29.69,5873.36
A0000,1768377356000,90.32,6274.92
A0000,1771845778000,2.03,6583.49
A0000,1774611746000,90.95,6840.51
A0001,1767281544000,64.97,4942.73
A0001,1768120852000,115.07,4595.43
A0001,1768708980000,28.06,4113.82
A0001,1769805347000,8.99,3572.63
A0001,1771294594000,17.81,4056.04
A0001,1774756468000,274.6,3775.36
A0002,1767294425000,51.94,5413.06
A0002,1769509082000,77.07,5447.25
A0002,1769794475000,417.35,5757.04
A0002,1772965684000,37.35,5527.62
A0003,1768217193000,13.37,5429.26
A0003,1769296711000,10.67,5640.59
A0003,1769943076000,5.59,5275.58
A0003,1771015840000,23.63,6063.35
A0003,1772469939000,9.0,5976.2
A0003,1773524636000,27.75,6181.92
A0003,1774524785000,58.41,6330.06
A0004,1767226194000,75.16,4542.63
A0004,1767458898000,88.88,4922.47
A0004,1768023528000,28.7,4077.61
A0004,1768163684000,14.63,4016.35
A0004,1768379982000,65.38,4303.29
A0004,1768754666000,32.25,4359.94
A0004,1770613152000,9.33,4053.7
A0004,1772584874000,62.97,4260.67
A0004,1773942732000,12.78,4582.94
A0005,1767294321000,74.03,9130.7
A0005,1768622277000,1.06,9122.38
A0005,1769372024000,79.56,9510.69
A0005,1770481378000,151.54,9452.53
A0005,1772371650000,41.78,9338.99
A0005,1772917646000,110.85,9242.21
A0005,1773348032000,23.88,9175.03
A0005,1774873773000,59.41,8999.91
A0006,1767280231000,35.66,2419.08
A0006,1767897501000,29.54,2721.68
A0006,1768793671000,31.69,3043.64
A0006,1769219457000,40.77,3613.48
A0006,1771020074000,38.18,3112.89
A0006,1774388184000,36.4,2442.77
A0006,1774648878000,11.66,1660.4
A0007,1767273496000,4.06,4453.68
A0007,1768527929000,17.7,4719.39
A0007,1768579946000,279.87,5204.35
A0007,1771195045000,149.54,4840.8
A0007,1772256067000,14.32,4936.03
A0007,1772367197000,36.78,5204.84
A0007,1774524780000,18.13,5131.7
A0008,1767299927000,75.3,6817.18
A0008,1767762695000,25.76,6642.92
A0008,1768629505000,3.7,7122.3
A0008,1768629505000,3.7,7122.3
A0008,1770753002000,40.22,7432.0
A0008,1771661019000,34.98,7875.81
A0008,1772343794000,22.81,8190.76
A0008,1773523139000,29.11,7733.48
A0008,1774090606000,10.74,8039.68
A0009,1767248364000,53.92,6459.96
A0009,1767863125000,7.93,6311.18
A0009,1769051860000,5.74,6893.56
A0009,1772259594000,13.72,6820.71
A0009,1772382970000,12.47,6813.34
A0009,1773374667000,109.98,6623.98
A0010,1767245895000,3.61,5686.49
A0010,1769618233000,63.44,6097.84
A0010,1771231996000,30.43,5495.56
A0010,1771535834000,47.43,4629.75
A0010,1772258654000,21.36,4748.02
A0010,1772390470000,5.68,3926.64
A0011,1767229010000,11.72,3174.09
A0011,1768883322000,125.19,3496.82
A0011,1771715355000,76.07,3857.55
A0011,1773215586000,54.88,3340.14
A0012,1767311091000,17.9,4066.03
A0012,1769531855000,16.47,4245.57
A0012,1770530458000,4.64,3488.73
A0012,1770767154000,90.56,3557.06
A0012,1774500980000,10.2,4457.24
A0012,1774781980000,24.77,4487.83
A0013,1767306153000,8.76,10277.24
A0013,1767924565000,29.34,10987.34
A0013,1767924565000,29.34,10987.34
A0013,1768453017000,9.18,11445.28
A0013,1768996940000,94.61,10744.64
A0013,1769023247000,33.54,10291.72
A0013,1771352435000,133.51,10613.84
A0013,1774011021000,17.83,11039.28
A0013,1774546045000,207.07,10489.88
A0014,1769123840000,63.3,1952.4
A0014,1769413291000,73.79,1942.3
A0014,1770669870000,80.87,1698.61
A0014,1770957796000,93.63,2463.65
A0014,1771227006000,18.37,2686.27
A0014,1772573656000,24.37,2608.43
A0014,1773527302000,42.12,2333.51
A0015,1767226120000,37.52,2314.0
A0015,1768840841000,46.55,2330.03
A0015,1770521205000,12.24,2210.51
A0015,1771394885000,61.35,1900.28
A0015,1772453591000,65.8,1583.93
A0016,1767257443000,88.28,1115.44
A0016,1769982715000,81.18,909.28
A0016,1771914243000,879.26,983.1
A0016,1772836906000,2.81,1228.22
A0016,1772836906000,2.81,1228.22
A0016,1773218964000,16.6,1664.75
A0016,1773821656000,6.48,1656.51
A0016,1774844358000,42.12,1270.47
A0017,1767255618000,29.65,957.63
A0017,1769306843000,12.44,-188.0
A0017,1771863109000,116.6,277.76
A0017,1772348536000,51.62,-466.52
A0017,1773079426000,6.06,-696.46
A0018,1767303580000,38.8,5896.16
A0018,1767922137000,12.75,6032.8
A0018,1768111254000,124.31,6131.74
A0018,1768431955000,24.64,6119.08
A0018,1770003671000,140.93,5528.07
A0018,1770003671000,140.93,5528.07
A0018,1773353872000,54.72,6158.97
A0018,1774133148000,3.84,6500.79
A0018,1774433597000,33.18,6741.26
A0019,1767269735000,35.97,7983.45
A0019,1767674082000,13.83,7938.1
A0019,1769207045000,8.77,8104.9
A0019,1769647470000,9.48,8657.82
A0019,1770173332000,84.59,8699.22
A0019,1770412530000,24.78,8342.12
A0019,1774577290000,36.22,8768.86
A0020,1767288488000,79.06,6625.79
A0020,1768043040000,25.64,6894.52
A0020,1768471288000,8.95,6951.88
A0020,1774028553000,189.8,7100.53
A0021,1769104472000,15.11,4979.99
A0021,1771933917000,23.89,5642.92
A0021,1772013568000,21.75,5594.55
A0021,1773291877000,51.47,5439.96
A0021,1774393685000,74.9,5667.12
A0022,1767226707000,58.26,4492.88
A0022,1768409295000,8.76,4060.3
A0022,1769659526000,92.16,3694.35
A0022,1772379584000,13.15,4222.49
A0022,1774399526000,31.76,4265.09
A0022,1774436003000,5.7,3728.99
A0023,1767228477000,12.09,4528.76
A0023,1767929135000,81.46,4916.24
A0023,1770916724000,31.05,4826.46
A0023,1771689773000,15.1,4492.26
A0023,1773268154000,146.24,4303.52
