user_id,e1,e2,e3,e4,e5,e6,e7,e8
U0000,-0.1875,-1.4076,-0.8442,-0.4682,-2.3077,0.1256,-0.2335,-0.4218
U0001,0.3518,-0.1882,-1.0785,-0.2245,-0.7048,-0.6799,-2.1923,-0.1406
U0002,1.6092,0.1503,0.4994,-0.6912,0.7907,-0.0385,-0.768,-0.5242
U0003,-0.9414,0.1048,-0.1789,0.6767,-0.4131,-1.4272,0.5507,-0.2112
U0004,0.3849,-1.9251,-0.0138,0.7261,1.7001,0.6865,-0.2302,0.0165
U0005,1.2908,-0.3622,0.0037,0.4739,1.5881,-0.9948,0.7588,-1.3231
U0006,-1.5517,-0.5537,-0.6165,0.6942,-0.6862,0.7008,0.1214,0.7979
U0007,-1.4284,-1.1612,-0.986,-0.1682,-0.3676,1.5855,-0.0098,2.0407
U0008,0.9145,0.6703,0.2299,-0.2684,0.3049,1.5248,-0.7495,2.0338
U0009,-0.9201,-1.727,-0.31,-1.0659,-0.796,0.1736,1.6431,0.1463
U0010,-0.8891,-0.9205,-0.9294,0.4454,-0.901,0.2305,0.9136,0.6354
U0011,0.7449,-0.0529,-0.3699,-0.6433,-1.3245,1.8186,0.3031,1.2901
U0012,-2.6421,-0.1919,0.085,1.3931,-0.2595,2.0784,-0.5596,0.4411
U0013,0.5509,0.7156,-1.1902,0.1047,-0.407,0.5539,-1.4639,-0.8995
U0014,1.676,0.6401,-0.0105,0.1009,2.0786,-1.2033,-0.1008,-0.1986
U0015,-1.1736,0.4304,-0.6699,-1.1798,1.2469,5.0084,0.5856,-0.1596
U0016,0.9154,-1.762,1.3198,0.7666,-0.1784,0.598,0.304,-1.1387
U0017,-0.2386,1.527,1.1986,1.0137,-0.9419,-0.071,-0.1246,0.566
U0018,0.8281,-1.0451,2.2298,0.7386,0.5409,-0.3574,-2.5022,1.0705
U0019,-2.8885,-0.3271,-1.2955,-0.7663,0.6215,-1.4461,-0.0971,0.7228
U0020,0.3413,-0.1171,2.3472,-0.8491,1.4311,-2.1432,-0.1215,1.2551
U0021,-0.4955,-1.8408,-0.4502,1.6019,-2.0984,0.4264,1.6778,-0.301
U0022,-0.1514,0.13,-0.2241,-1.32,0.6953,-0.9129,0.4478,-0.0453
U0023,-1.4654,0.1185,-0.7165,-1.6321,-0.4201,-0.9417,-2.0578,0.6405
U0024,0.4707,-0.3541,-0.8285,0.9702,-1.0423,-1.0388,-0.0605,1.4974
U0025,0.3833,0.4931,-2.3184,-2.362,0.1256,0.8444,0.3874,1.1517
U0026,-0.5684,-1.2754,-1.5706,-0.9422,-0.7981,-1.8748,-1.5317,0.3612
U0027,0.9286,-1.5988,-1.1805,1.1297,0.7128,0.8738,-1.3928,-1.679
U0028,0.5596,-0.5011,-1.7902,0.2615,-1.6229,-1.5787,-1.0551,0.9885
U0029,-1.1348,-0.8145,2.5654,0.4132,0.7647,-1.1314,1.1975,-1.3698
U0030,-0.6131,0.6901,0.5389,0.3059,0.3528,-1.452,0.6691,0.9621
U0031,1.6735,-0.7341,0.1341,-0.2367,1.6392,-0.6206,1.7185,0.6112
U0032,0.9008,-0.5495,-0.8361,-1.0529,-1.1316,-0.2356,1.0163,-0.1208
U0033,0.0515,-0.2605,-0.7953,1.0386,-0.7903,2.7991,-0.0746,0.2634
U0034,-0.3682,0.2903,-0.8121,0.3063,-0.2966,-0.5202,-0.347,0.7821
U0035,0.4686,-1.8823,1.2555,2.269,1.9604,-0.8648,1.5773,0.319
U0036,0.5195,-0.3764,0.0352,0.7224,1.4299,1.1221,-0.6862,0.9407
U0037,1.3101,1.6456,-0.7622,-1.3711,-1.0976,0.294,-1.7025,-1.0511
U0038,0.0943,0.4253,-1.5976,1.7803,0.049,0.2856,-0.6103,-0.241
U0039,-0.91,-1.6122,-1.0267,0.4683,-0.539,-1.0263,-1.3678,0.3097
