row_id,account_id,event_time,amount,category
R00130,A0026,1772496720000,53.53,salary
R00131,A0145,1772496720000,11.7,grocery
R00132,A0098,1772497140000,7.04,salary
R00133,A0131,1772497200000,9.92,salary
R00134,A0020,1772497860000,14.68,travel
R00135,A0082,1772499660000,15.9,grocery
R00136,A0106,1772499660000,5.81,travel
R00137,A0141,1772500200000,4.5,travel
R00138,A0133,1772500380000,40.91,salary
R00139,A0148,1772500500000,33.63,grocery
R00140,A0036,1772500560000,49.4,travel
R00141,A0009,1772500980000,54.09,grocery
R00142,A0051,1772501280000,35.05,other
R00143,A0040,1772501700000,17.27,other
R00144,A0017,1772501700000,62.03,grocery
R00145,A0007,1772501820000,22.05,salary
R00146,A0136,1772503140000,16.08,salary
R00147,A0065,1772504280000,29.28,rent
R00148,A0120,1772504400000,31.7,rent
R00149,A0128,1772505360000,14.16,other
R00150,A0030,1772505720000,50.47,travel
R00151,A0045,1772505900000,32.97,travel
R00152,A0111,1772506140000,27.91,other
R00153,A0028,1772506200000,60.64,rent
R00154,A0008,1772507580000,74.82,grocery
R00155,A0075,1772509260000,42.38,grocery
R00156,A0075,1772509860000,8.4,grocery
R00157,A0081,1772510040000,5.03,grocery
R00158,A0086,1772511060000,13.44,salary
R00159,A0077,1772511120000,31.9,rent
R00160,A0056,1772511360000,12.7,other
R00161,A0111,1772511420000,3.71,rent
R00162,A0046,1772512560000,16.21,other
R00163,A0036,1772512920000,34.2,travel
R00164,A0070,1772513340000,5.75,other
R00165,A0136,1772514480000,21.78,salary
R00166,A0128,1772514900000,6.26,salary
R00167,A0088,1772514960000,233.54,grocery
R00168,A0072,1772515440000,105.79,grocery
R00169,A0025,1772515680000,54.54,other
R00170,A0085,1772516160000,3.85,grocery
R00171,A0087,1772517240000,64.41,grocery
R00172,A0025,1772518740000,20.65,other
R00173,A0107,1772520660000,13.51,salary
R00174,A0137,1772521080000,58.12,other
R00175,A0021,1772523480000,25.34,rent
R00176,A0126,1772523540000,23.24,travel
R00177,A0092,1772525460000,8.81,salary
R00178,A0086,1772527440000,7.55,travel
R00179,A0069,1772528580000,30.42,grocery
R00180,A0074,1772528700000,16.45,salary
R00181,A0015,1772528760000,25.38,travel
R00182,A0127,1772529540000,13.01,other
R00183,A0011,1772529900000,14.27,other
R00184,A0107,1772530200000,68.42,rent
R00185,A0098,1772530260000,6.91,grocery
R00186,A0035,1772530320000,4.98,other
R00187,A0134,1772531580000,27.96,grocery
R00188,A0064,1772532780000,46.36,rent
R00189,A0119,1772532960000,5.85,rent
R00190,A0136,1772533500000,2.89,grocery
R00191,A0020,1772533620000,8.08,grocery
R00192,A0128,1772534880000,32.82,grocery
R00193,A0061,1772535420000,29.44,grocery
R00194,A0121,1772535600000,125.63,grocery
R00195,A0073,1772537400000,17.61,salary
R00196,A0034,1772538300000,206.14,salary
R00197,A0081,1772538360000,21.27,salary
R00198,A0133,1772538840000,57.09,salary
R00199,A0134,1772539440000,15.71,travel
R00200,A0101,1772539500000,19.86,grocery
R00201,A0128,1772539740000,11.78,other
R00202,A0113,1772539920000,16.92,rent
R00203,A0051,1772540160000,18.22,grocery
R00204,A0114,1772541120000,46.38,rent
R00205,A0055,1772541540000,50.82,grocery
R00206,A0127,1772542560000,20.69,travel
R00207,A0097,1772543760000,7.78,salary
R00208,A0021,1772545320000,12.29,salary
R00209,A0041,1772546160000,149.17,salary
R00210,A0108,1772546580000,33.15,rent
R00211,A0098,1772548380000,16.02,grocery
R00212,A0130,1772548800000,17.51,travel
R00213,A0015,1772549400000,5.44,travel
R00214,A0002,1772549880000,23.32,travel
R00215,A0101,1772550300000,16.86,salary
R00216,A0017,1772550720000,8.28,grocery
R00217,A0105,1772551080000,10.3,salary
R00218,A0140,1772551380000,112.84,salary
R00219,A0036,1772551440000,50.63,grocery
R00220,A0076,1772554020000,30.3,travel
R00221,A0046,1772555100000,55.06,rent
R00222,A0136,1772555280000,16.4,salary
R00223,A0052,1772555820000,7.34,salary
R00224,A0117,1772556540000,6.2,grocery
R00225,A0100,1772557080000,24.11,other
R00226,A0014,1772558820000,3.8,travel
R00227,A0108,1772559720000,27.25,rent
R00228,A0087,1772560140000,63.29,rent
R00229,A0078,1772560200000,23.49,grocery
R00230,A0054,1772561280000,8.08,rent
R00231,A0140,1772562240000,15.67,salary
R00232,A0048,1772563020000,18.11,salary
R00233,A0143,1772563980000,16.0,rent
R00234,A0086,1772565360000,27.49,travel
R00235,A0107,1772565600000,28.31,grocery
R00236,A0022,1772566440000,42.19,travel
R00237,A0083,1772566560000,31.96,salary
R00238,A0009,1772567940000,44.41,travel
R00239,A0061,1772568060000,23.06,travel
R00240,A0087,1772569320000,13.85,salary
R00241,A0135,1772569380000,60.16,salary
R00242,A0111,1772570340000,11.82,grocery
R00243,A0064,1772572260000,107.06,other
R00244,A0022,1772572740000,8.53,salary
R00245,A0067,1772573880000,17.58,rent
R00246,A0006,1772574060000,21.96,rent
R00247,A0082,1772576880000,35.76,salary
R00248,A0007,1772577060000,38.94,other
R00249,A0019,1772577240000,6.46,grocery
R00250,A0029,1772578560000,2.63,other
R00251,A0015,1772579640000,13.59,salary
R00252,A0074,1772579640000,67.35,salary
R00253,A0031,1772580480000,11.41,grocery
R00254,A0047,1772580900000,17.7,grocery
R00255,A0115,1772581500000,113.19,other
R00256,A0126,1772581560000,6.33,other
R00257,A0066,1772581560000,5.8,travel
R00258,A0026,1772581860000,5.95,salary
