row_id,account_id,event_time,amount_usd,is_weekend,amount_7d
R00029,A0050,1772474040000,4.08025E0,0,4.295E1
R00253,A0050,1773751980000,2.3871E0,0,2.19E0
R00267,A0050,1773873360000,1.34E1,0,1.559E1
R00293,A0050,1774037340000,3.11E1,0,4.669E1
R00294,A0050,1774042020000,7.1831000000000005E0,0,5.328E1
R00519,A0050,1775145780000,1.008E1,0,1.008E1
R00540,A0050,1775249820000,3.16611E1,0,3.501E1
R00545,A0050,1775264580000,1.0962999999999998E0,1,4.655E1
R00589,A0050,1775610180000,1.7974E0,0,6.547E1
R00612,A0050,1775735100000,1.6256E1,0,7.827E1
R00641,A0050,1775849100000,3.1416500000000003E0,0,1.0125999999999999E2
R00687,A0050,1776147600000,3.5316000000000005E0,0,6.802999999999999E1
R00212,A0024,1773495960000,9.3599E0,1,7.37E0
R00308,A0024,1774098120000,5.700700000000001E0,1,1.2600000000000001E1
R00414,A0024,1774665960000,2.69875E1,1,2.648E1
R00496,A0024,1775038440000,9.9085E-1,0,3.168E1
R00504,A0024,1775066040000,2.648E1,0,5.816E1
R00640,A0024,1775847720000,3.367E1,0,3.367E1
R00002,A0037,1772327460000,9.4869E0,1,7.47E0
R00009,A0037,1772352900000,6.189020000000001E1,1,6.425E1
R00013,A0037,1772396040000,2.65E0,1,6.69E1
R00124,A0037,1773003180000,8.569E-1,1,9.02E0
R00227,A0037,1773597540000,1.4069500000000001E0,1,2.383E1
R00235,A0037,1773648840000,5.5481E0,0,1.99E1
R00328,A0037,1774213080000,1.94783E1,1,2.296E1
R00349,A0037,1774326480000,5.232E1,0,7.019E1
R00426,A0037,1774702920000,3.9709999999999995E-1,1,7.437E1
R00459,A0037,1774847400000,8.611E0,0,6.44E1
R00551,A0037,1775280420000,3.82E0,1,1.5900000000000006E1
R00692,A0037,1776186000000,1.180688E2,0,1.0832E2
R00047,A0015,1772568480000,6.391760000000001E1,0,5.864E1
R00080,A0015,1772700480000,2.7500700000000002E1,0,8.387E1
R00096,A0015,1772826780000,1.92494E1,0,1.0153E2
R00134,A0015,1773048180000,5.123E0,0,1.0623E2
R00173,A0015,1773278340000,1.6131E0,0,6.457000000000001E1
R00182,A0015,1773338880000,1.0924999999999999E-1,0,4.049E1
R00309,A0015,1774104360000,4.68122E1,1,3.686E1
R00413,A0015,1774660500000,1.42113E1,1,4.805E1
R00488,A0015,1774986300000,2.9526E0,0,4.2269999999999996E1
R00512,A0015,1775113020000,1.9151600000000002E1,0,5.7349999999999994E1
R00598,A0015,1775661840000,6.441E-1,0,2.186E1
R00613,A0015,1775739240000,7.5438E1,0,6.617999999999999E1
R00617,A0015,1775754420000,9.777300000000002E0,0,7.514999999999999E1
R00142,A0003,1773108960000,4.81584E1,0,3.792E1
R00304,A0003,1774071060000,1.5621E1,1,1.23E1
R00337,A0003,1774275240000,5.47497E1,0,5.541E1
R00412,A0003,1774660020000,6.731E0,1,6.0709999999999994E1
R00452,A0003,1774793100000,1.08585E0,1,5.9839999999999996E1
R00560,A0003,1775364960000,7.9325E0,1,9.493E1
R00672,A0003,1776048960000,2.4892E0,0,1.96E0
R00685,A0003,1776125700000,9.6615E0,0,1.0366E2
R00069,A0030,1772654520000,4.8355E-1,0,5.09E0
R00123,A0030,1772989800000,1.598E1,1,2.107E1
