account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772547776000,62.84,4954.83,531,silver,14,89.12,0
A0001,1772804090000,32.77,1298.44,336,silver,2,6.66,1
A0002,1773019906000,120.87,4823.41,706,silver,3,13.85,1
A0003,1773078103000,23.34,3169.18,746,bronze,21,14.48,1
A0004,1772177173000,6.71,3760.84,545,bronze,5,10.67,1
A0005,1772686095000,21.83,2994.03,680,gold,23,5.58,1
A0006,1772696875000,6.95,7436.34,850,silver,29,86.98,0
A0007,1772012793000,4.71,5484.39,850,gold,18,9.0,1
A0008,1773101935000,37.35,4186.72,588,bronze,20,13.58,1
A0009,1773250170000,9.62,6089.08,826,silver,29,7.68,1
A0010,1773259626000,24.17,4076.62,775,gold,2,93.44,0
A0011,1772190863000,51.41,6159.42,820,gold,37,86.32,0
A0012,1772704130000,38.73,6229.2,782,gold,0,11.88,1
A0013,1773691788000,9.63,5027.68,435,silver,7,85.47,0
A0014,1773610947000,7.46,4160.88,719,silver,32,89.69,0
A0015,1772344394000,41.68,3637.69,354,gold,26,87.48,0
A0016,1772506248000,1.88,6022.46,498,bronze,16,90.46,0
A0017,1772927940000,17.59,1045.31,778,gold,24,14.1,1
A0018,1772763715000,18.45,5742.49,595,gold,18,89.66,0
A0019,1772880673000,16.39,4863.85,819,bronze,6,90.28,0
A0020,1772685513000,10.16,7499.25,382,bronze,27,11.93,1
A0021,1773437371000,63.29,2907.25,358,silver,33,11.92,1
A0022,1773185796000,288.84,-520.61,378,silver,38,93.27,0
A0023,1772561132000,31.43,4539.65,769,gold,17,12.17,1
A0024,1773613975000,94.98,2853.86,650,silver,28,11.9,1
A0025,1772552999000,7.09,5513.32,412,silver,12,85.59,0
A0026,1771999715000,48.37,2259.23,469,bronze,19,89.22,0
A0027,1772361648000,135.03,4248.5,381,gold,8,88.14,0
A0028,1772873390000,8.29,3853.48,427,gold,14,86.32,0
A0029,1772931477000,6.42,6141.86,736,bronze,5,13.66,1
A0030,1773564531000,23.06,8744.21,395,silver,14,7.26,1
A0031,1772090678000,107.65,1598.4,368,gold,35,8.4,1
A0032,1773228437000,98.0,3639.24,720,bronze,37,91.76,0
A0033,1772618684000,56.3,3010.22,799,gold,15,90.03,0
A0034,1773407389000,54.39,4759.86,512,bronze,6,12.15,1
A0035,1772725288000,59.41,6409.16,306,silver,25,90.88,0
A0036,1771978580000,6.87,4802.29,831,silver,2,10.38,1
A0037,1772948204000,5.76,7916.88,300,silver,4,88.04,0
A0038,1773278823000,14.94,4449.04,387,silver,18,10.59,1
A0039,1773203622000,9.96,2686.7,669,gold,9,90.05,0
A0040,1772304174000,100.85,7079.85,522,bronze,28,86.26,0
A0041,1772203327000,26.93,6363.53,491,gold,16,10.42,1
A0042,1773195676000,125.26,2408.99,521,silver,31,8.03,1
A0043,1772970516000,201.66,3495.53,416,gold,32,7.66,1
A0044,1773406019000,22.86,3792.22,407,silver,19,85.08,0
A0045,1773504185000,13.93,1920.74,817,bronze,0,8.16,1
A0046,1773375944000,252.28,7572.99,336,silver,24,12.34,1
A0047,1772106659000,21.97,7826.3,558,bronze,33,89.59,0
A0048,1772308178000,10.38,3522.03,775,gold,30,13.52,1
A0049,1772791971000,46.12,6154.99,617,silver,23,10.55,1
A0050,1773679172000,32.35,8317.78,530,gold,12,7.57,1
A0051,1772089181000,31.88,5433.8,394,silver,0,91.94,0
A0052,1773027479000,25.6,3678.71,422,silver,19,5.39,1
A0053,1773644725000,115.73,6788.88,300,gold,26,93.16,0
A0054,1772698719000,87.36,2835.81,592,gold,20,14.99,1
A0055,1773066198000,45.68,4418.69,337,gold,9,10.22,1
A0056,1773422090000,23.59,5042.63,509,gold,16,86.98,0
A0057,1772017654000,5.74,3069.79,400,gold,8,14.12,1
A0058,1772425696000,18.75,1610.51,308,gold,19,10.42,1
A0059,1772019100000,11.46,4349.62,616,gold,21,91.0,0
A0060,1772607828000,66.53,5173.91,300,silver,26,94.66,0
A0061,1772736708000,64.33,5620.6,430,bronze,9,92.98,0
A0062,1772829279000,13.26,4854.73,347,silver,4,9.91,1
A0063,1772829766000,102.43,3027.63,722,bronze,39,12.61,1
A0064,1773179971000,27.97,2985.98,300,bronze,18,5.86,1
A0065,1772963196000,21.17,2942.0,713,bronze,37,87.41,0
A0066,1772328800000,108.12,6106.78,300,silver,27,6.28,1
A0067,1773643932000,63.43,5437.7,380,bronze,13,11.87,1
A0068,1772569264000,64.36,4856.62,368,gold,31,89.23,0
A0069,1773627171000,215.1,2943.81,337,bronze,28,11.27,1
A0070,1772985179000,15.11,5254.9,850,gold,28,87.16,0
A0071,1772667043000,13.4,4166.97,472,gold,36,8.9,1
A0072,1773652158000,17.5,5474.99,764,gold,17,6.59,1
A0073,1773061785000,77.82,1721.74,762,silver,36,85.16,0
