$ hops td read churntrainingba276e 1 --td-version 1 --n 200



account_id  label_time     transactions_account_id  transactions_event_time  transactions_amount  transactions_balance  profiles_account_id  profiles_event_time  profiles_credit_score  profiles_tier  activity_account_id  activity_event_time  activity_sessions_7d  account_health_account_id  account_health_event_time  account_health_health_score
----------  -------------  -----------------------  -----------------------  -------------------  --------------------  -------------------  -------------------  ---------------------  -------------  -------------------  -------------------  --------------------  -------------------------  -------------------------  ---------------------------
A0016       1772506248000  A0016                    1772370696000            56.13                5904.9                A0016                1767244923000        498                    bronze         A0016                1772134954000        5                     A0016                      1767334879000              46.48                      
A0030       1773564531000  A0030                    1772154977000            4.2                  8360.92               A0030                1767283693000        315                    bronze         A0030                1773422531000        14                    A0030                      1767256259000              37.57                      
A0042       1773195676000  A0042                    1773089683000            33.48                2505.65               A0042                1768603123000        521                    silver         A0042                1772816294000        4                     A0042                      1767349582000              51.85                      
A0043       1772970516000  A0043                    1772721003000            23.85                3201.52               A0043                1769446286000        416                    gold           A0043                1772719199000        33                    A0043                      1767395083000              50.81                      
A0044       1773406019000  A0044                    1772984038000            38.66                3806.74               A0044                1767251713000        407                    silver         A0044                1773366429000        11                    A0044                      1767370272000              43.22                      
A0054       1772698719000  A0054                    1770792793000            10.49                3109.12               A0054                1768473763000        592                    gold           A0054                1772149676000        8                     A0054                      1767377801000              51.37                      
A0056       1773422090000  A0056                    1772810177000            35.55                4572.24               A0056                1773073404000        509                    gold           A0056                1773342933000        29                    A0056                      1767254104000              52.23                      
A0003       1773078103000  A0003                    1770048889000            53.91                3319.33               A0003                1767267344000        746                    bronze         A0003                1772786680000        21                    A0003                      1767261194000              42.72                      
A0004       1772177173000  A0004                    1770678343000            41.15                3757.0                A0004                1767274308000        550                    bronze         A0004                1771592717000        29                    A0004                      1767280803000              56.87                      
A0012       1772704130000  A0012                    1772572697000            42.62                6882.94               A0012                1767307037000        799                    silver         A0012                1772145159000        0                     A0012                      1767273779000              43.33                      
A0040       1772304174000  A0040                    1770673417000            64.53                7442.12               A0040                1768292597000        522                    bronze         A0040                1772203489000        37                    A0040                      1767228056000              51.26                      
A0057       1772017654000  A0057                    1768970757000            34.8                 4177.82               A0057                1767269358000        455                    bronze         A0057                1771550474000        16                    A0057                      1767369481000              50.61                      
A0068       1772569264000  A0068                    1770890562000            16.17                4811.29               A0068                1767235498000        368                    gold           A0068                1772202149000        16                    A0068                      1767308471000              44.18                      
A0007       1772012793000  A0007                    1769910270000            46.29                5154.51               A0007                1770066945000        850                    gold           A0007                1771558141000        31                    A0007                      1767323040000              49.32                      
A0019       1772880673000  A0019                    1770769418000            162.54               4432.91               A0019                1772408016000        819                    bronze         A0019                1772828936000        28                    A0019                      1767339292000              53.2                       
A0024       1773613975000  A0024                    1773260225000            27.35                3373.98               A0024                1767279053000        618                    bronze         A0024                1773417632000        24                    A0024                      1767396065000              45.41                      
A0033       1772618684000  A0033                    1772118934000            81.67                3325.88               A0033                1767241365000        737                    gold           A0033                1772104414000        0                     A0033                      1767323277000              40.89                      
A0051       1772089181000  A0051                    1771234418000            38.1                 5558.15               A0051                1767250711000        459                    bronze         A0051                1771572908000        22                    A0051                      1767388902000              51.59                      
A0089       1772029665000  A0089                    1770909767000            41.97                5299.91               A0089                1770504830000        479                    bronze         A0089                1771530056000        32                    A0089                      1767353396000              44.94                      
A0009       1773250170000  A0009                    1773204603000            33.45                5944.59               A0009                1767293808000        799                    silver         A0009                1772735818000        28                    A0009                      1767275415000              43.32                      
A0010       1773259626000  A0010                    1772322155000            26.07                4682.89               A0010                1767297201000        775                    gold           A0010                1772826492000        18                    A0010                      1767240615000              47.01                      
A0018       1772763715000  A0018                    1772414543000            7.92                 4663.77               A0018                1767244688000        520                    silver         A0018                1772723934000        8                     A0018                      1767386271000              45.59                      
A0022       1773185796000  A0022                    1773036681000            42.17                138.71                A0022                1772248202000        378                    silver         A0022                1772693350000        29                    A0022                      1767260911000              48.97                      
A0041       1772203327000  A0041                    1771950725000            14.06                6647.26               A0041                1768646441000        491                    gold           A0041                1772163517000        0                     A0041                      1767339690000              42.33                      
A0062       1772829279000  A0062                    1771314264000            10.75                3746.77               A0062                1767238278000        423                    gold           A0062                1772786734000        0                     A0062                      1767322432000              55.36                      
A0086       1772247778000  A0086                    1770679572000            14.86                -1149.07              A0086                1767286539000        794                    silver         A0086                1772136154000        5                     A0086                      1767380747000              47.66                      
A0001       1772804090000  A0001                    1772760855000            19.29                1036.74               A0001                1769275814000        336                    silver         A0001                1772758736000        1                     A0001                      1767279620000              46.18                      
A0039       1773203622000  A0039                    1770913352000            61.58                3097.39               A0039                1767820721000        669                    gold           A0039                1772825008000        13                    A0039                      1767351480000              52.62                      
A0049       1772791971000  A0049                    1771090011000            24.38                5669.08               A0049                1767289977000        643                    silver         A0049                1772741140000        9                     A0049                      1767277937000              47.45                      
A0085       1773605333000  A0085                    1773356170000            130.38               4846.75               A0085                1768965703000        713                    bronze         A0085                1773374001000        14                    A0085                      1767385501000              52.92                      
A0097       1772098928000  A0097                    1771053568000            163.84               2687.42               A0097                1771301053000        738                    bronze         A0097                1771541890000        7                     A0097                      1767336417000              54.8                       
A0014       1773610947000  A0014                    1772181735000            12.24                4090.06               A0014                1767294306000        786                    gold           A0014                1773348567000        31                    A0014                      1767276329000              43.52                      
A0020       1772685513000  A0020                    1772163035000            51.4                 7621.12               A0020                1767261479000        382                    bronze         A0020                1772103208000        11                    A0020                      1767307702000              49.57                      
A0052       1773027479000  A0052                    1771192612000            218.05               3589.4                A0052                1767289403000        424                    gold           A0052                1772804530000        29                    A0052                      1767234262000              57.24                      
A0059       1772019100000  A0059                    1771919334000            5.1                  4694.31               A0059                1767304705000        680                    gold           A0059                1771510755000        28                    A0059                      1767320621000              52.24                      
A0065       1772963196000  A0065                    1771065145000            230.9                3417.28               A0065                1767612977000        713                    bronze         A0065                1772715908000        35                    A0065                      1767253708000              54.51                      
A0077       1772810531000  A0077                    1770687655000            40.82                -324.57               A0077                1767279182000        616                    silver         A0077                1772746918000        12                    A0077                      1767356912000              58.92                      
A0000       1772547776000  A0000                    1771501023000            52.46                4280.22               A0000                1767270202000        531                    silver         A0000                1772131793000        4                     A0000                      1767350592000              47.72                      
A0006       1772696875000  A0006                    1772525748000            31.31                8304.27               A0006                1767496729000        850                    silver         A0006                1772112195000        25                    A0006                      1767241307000              53.42                      
A0015       1772344394000  A0015                    1772155541000            16.27                3730.14               A0015                1771361974000        354                    gold           A0015                1772152272000        2                     A0015                      1767264399000              52.17                      
A0021       1773437371000  A0021                    1771604499000            16.32                3618.24               A0021                1767293738000        358                    silver         A0021                1773319588000        8                     A0021                      1767274879000              50.16                      
A0037       1772948204000  A0037                    1770098123000            42.18                7985.29               A0037                1767250034000        331                    bronze         A0037                1772707496000        22                    A0037                      1767225854000              45.72                      
A0050       1773679172000  A0050                    1773481961000            16.53                8081.39               A0050                1767292092000        556                    gold           A0050                1773329537000        28                    A0050                      1767297848000              57.58                      
