account_id,event_time,credit_score,tier
A0000,1767270202000,531,silver
A0001,1767268468000,339,bronze
A0001,1769275814000,336,silver
A0002,1767304826000,706,silver
A0003,1767267344000,746,bronze
A0004,1767274308000,550,bronze
A0004,1773766753000,545,bronze
A0005,1767303644000,613,bronze
A0005,1770645796000,680,gold
A0006,1767238465000,844,silver
A0006,1767496729000,850,silver
A0007,1767249154000,813,silver
A0007,1770066945000,850,gold
A0008,1767272181000,586,bronze
A0008,1774604420000,588,bronze
A0009,1767293808000,799,silver
A0009,1773913968000,826,silver
A0010,1767297201000,775,gold
A0011,1767311006000,810,bronze
A0011,1770481817000,820,gold
A0012,1767307037000,799,silver
A0012,1774035682000,782,gold
A0013,1767251783000,435,silver
A0014,1767294306000,786,gold
A0014,1774760192000,719,silver
A0015,1767296089000,336,bronze
A0015,1771361974000,354,gold
A0016,1767244923000,498,bronze
A0017,1767271739000,762,silver
A0017,1771599505000,778,gold
A0018,1767244688000,520,silver
A0018,1772950448000,595,gold
A0019,1767290035000,822,silver
A0019,1772408016000,819,bronze
A0020,1767261479000,382,bronze
A0021,1767293738000,358,silver
A0022,1767251557000,456,gold
A0022,1772248202000,378,silver
A0023,1767266681000,734,silver
A0023,1769341314000,769,gold
A0024,1767279053000,618,bronze
A0024,1774938865000,650,silver
A0025,1767232457000,412,silver
A0026,1767235273000,465,bronze
A0026,1773612938000,469,bronze
A0027,1767234472000,371,gold
A0027,1769346531000,381,gold
A0028,1767253871000,435,bronze
A0028,1773663914000,427,gold
A0029,1767248096000,736,bronze
A0030,1767283693000,315,bronze
A0030,1774128204000,395,silver
A0031,1767267630000,398,gold
A0031,1772401701000,368,gold
A0032,1767238865000,720,bronze
A0033,1767241365000,737,gold
A0033,1772981750000,799,gold
A0034,1767240209000,443,bronze
A0034,1774004953000,512,bronze
A0035,1767247311000,306,silver
A0036,1767230993000,813,bronze
A0036,1770420741000,831,silver
A0037,1767250034000,331,bronze
A0037,1773300830000,300,silver
A0038,1767234937000,414,bronze
A0038,1773450557000,387,silver
A0039,1767253022000,686,bronze
A0039,1767820721000,669,gold
A0040,1767282863000,593,bronze
A0040,1768292597000,522,bronze
A0041,1767258530000,519,gold
A0041,1768646441000,491,gold
A0042,1767259332000,543,silver
A0042,1768603123000,521,silver
A0043,1767225995000,452,bronze
A0043,1769446286000,416,gold
A0044,1767251713000,407,silver
A0045,1767231746000,817,bronze
A0046,1767275056000,387,silver
A0046,1774414827000,336,silver
A0047,1767258283000,567,bronze
A0047,1773695113000,558,bronze
A0048,1767234397000,794,bronze
A0048,1773540583000,775,gold
A0049,1767289977000,643,silver
A0049,1774128671000,617,silver
A0050,1767292092000,556,gold
A0050,1773853930000,530,gold
A0051,1767250711000,459,bronze
A0051,1773816408000,394,silver
A0052,1767289403000,424,gold
A0052,1774997864000,422,silver
A0053,1767246254000,311,bronze
A0053,1767566668000,300,gold
A0054,1767308369000,638,bronze
A0054,1768473763000,592,gold
A0055,1767280074000,337,gold
A0056,1767284771000,472,bronze
A0056,1773073404000,509,gold
A0057,1767269358000,455,bronze
A0057,1772133652000,400,gold
A0058,1767303673000,374,bronze
A0058,1768768450000,308,gold
A0059,1767304705000,680,gold
A0059,1773769396000,616,gold
A0060,1767293227000,321,gold
A0060,1773435622000,300,silver
A0061,1767236248000,382,silver
A0061,1770090963000,430,bronze
A0062,1767238278000,423,gold
A0062,1773913531000,347,silver
A0063,1767299449000,693,silver
A0063,1770974554000,722,bronze
A0064,1767295540000,374,gold
A0064,1774982276000,300,bronze
A0065,1767240277000,731,bronze
A0065,1767612977000,713,bronze
A0066,1767286731000,338,gold
A0066,1770149794000,300,silver
A0067,1767299902000,358,gold
A0067,1771325229000,380,bronze
A0068,1767235498000,368,gold
A0069,1767282008000,337,bronze
A0070,1767311011000,803,gold
A0070,1774348383000,850,gold
A0071,1767299591000,525,gold
A0071,1767490194000,472,gold
A0072,1767259519000,765,bronze
A0072,1770485772000,764,gold
A0073,1767238678000,840,bronze
A0073,1770572611000,762,silver
A0074,1767254241000,477,bronze
A0074,1768054648000,543,silver
A0075,1767277874000,789,gold
A0076,1767230321000,311,gold
A0076,1771237826000,383,silver
A0077,1767279182000,616,silver
A0078,1767310701000,520,silver
A0078,1773588347000,484,bronze
A0079,1767308434000,630,gold
A0079,1774711315000,582,bronze
A0080,1767247705000,579,gold
A0080,1768310589000,537,bronze
A0081,1767275934000,412,silver
A0081,1769127145000,368,silver
A0082,1767236546000,640,silver
A0082,1768060758000,656,gold
A0083,1767272796000,843,bronze
A0083,1773809705000,772,gold
A0084,1767231004000,848,gold
A0084,1771698995000,821,silver
A0085,1767274785000,691,bronze
A0085,1768965703000,713,bronze
A0086,1767286539000,794,silver
A0086,1774278651000,801,bronze
A0087,1767294946000,705,bronze
A0088,1767283282000,510,gold
A0088,1772550624000,540,bronze
A0089,1767263567000,423,gold
A0089,1770504830000,479,bronze
A0090,1767232474000,789,silver
A0090,1772979432000,835,bronze
A0091,1767284419000,751,bronze
A0091,1774736576000,773,gold
A0092,1767275045000,592,gold
A0092,1772487734000,517,silver
A0093,1767274700000,339,gold
A0094,1767233938000,676,silver
A0095,1767261835000,740,gold
A0095,1773410375000,800,gold
A0096,1767237511000,770,silver
A0096,1768301590000,811,gold
A0097,1767288652000,661,silver
A0097,1771301053000,738,bronze
A0098,1767272911000,375,gold
A0098,1773322524000,424,gold
A0099,1767284900000,342,silver
A0099,1773978699000,327,bronze
