row_id,account_id,event_time,amount,category
R00000,A0031,1769906520000,1330.44,salary
R00001,A0098,1769914140000,4697.66,travel
R00002,A0092,1769914200000,21871.88,grocery
R00003,A0114,1769914980000,342.52,grocery
R00004,A0126,1769930460000,6864.76,rent
R00005,A0001,1769935740000,91.75,salary
R00006,A0020,1769936280000,5116.34,rent
R00007,A0058,1769936880000,5530.59,salary
R00008,A0110,1769939100000,1248.48,other
R00009,A0143,1769939580000,3221.74,other
R00010,A0135,1769943300000,,other
R00011,A0090,1769945580000,2532.15,grocery
R00012,A0088,1769952240000,2275.89,grocery
R00013,A0134,1769963700000,880.51,salary
R00014,A0023,1769968500000,6774.22,travel
R00015,A0060,1769973540000,5751.34,travel
R00016,A0098,1769992620000,6788.18,salary
R00017,A0064,1770005640000,8650.52,grocery
R00018,A0079,1770006600000,8620.41,travel
R00019,A0132,1770029340000,7860.53,other
R00020,A0091,1770031500000,2776.99,travel
R00021,A0004,1770033900000,6621.08,salary
R00022,A0038,1770048480000,6651.61,grocery
R00023,A0055,1770051060000,3414.93,travel
R00024,A0143,1770059100000,2293.33,travel
R00025,A0134,1770068220000,208.09,salary
R00026,A0011,1770074400000,6759.26,grocery
R00027,A0142,1770087720000,6154.34,salary
R00028,A0004,1770088260000,7318.56,travel
R00029,A0083,1770090420000,5726.27,grocery
R00030,A0061,1770091080000,4531.33,rent
R00031,A0147,1770099000000,6991.13,other
R00032,A0079,1770099480000,3563.4,salary
R00033,A0137,1770101820000,3164.44,salary
R00034,A0115,1770106860000,9492.43,rent
R00035,A0082,1770106920000,6619.97,travel
R00036,A0035,1770117120000,597.51,rent
R00037,A0042,1770121380000,6339.8,other
R00038,A0107,1770122580000,964.66,other
R00039,A0100,1770126180000,545.31,other
R00040,A0127,1770127260000,7133.36,grocery
R00041,A0015,1770128040000,796.7,grocery
R00042,A0041,1770142440000,8945.47,salary
R00043,A0071,1770145320000,,other
R00044,A0027,1770152160000,4165.26,travel
R00045,A0088,1770154560000,8785.1,salary
R00046,A0144,1770154920000,5141.14,grocery
R00047,A0045,1770159300000,2355.02,salary
R00048,A0065,1770160980000,3100.1,grocery
R00049,A0139,1770162780000,6327.82,travel
R00050,A0148,1770165360000,3447.56,rent
R00051,A0032,1770171720000,9384.76,other
R00052,A0096,1770177000000,4548.01,other
R00053,A0111,1770178140000,6265.31,rent
R00054,A0126,1770194580000,1906.91,salary
R00055,A0039,1770200280000,4045.28,travel
R00056,A0076,1770203520000,5588.08,salary
R00057,A0019,1770204120000,8301.79,salary
R00058,A0125,1770208140000,8016.17,grocery
R00059,A0130,1770214500000,7514.61,travel
R00060,A0039,1770216600000,8169.55,salary
R00061,A0036,1770239160000,4093.55,salary
R00062,A0017,1770241620000,6053.95,rent
R00063,A0057,1770243060000,258.6,travel
R00064,A0050,1770256080000,1154.6,grocery
R00065,A0010,1770281760000,2599.88,travel
R00066,A0115,1770287160000,7795.35,travel
R00067,A0117,1770291120000,4299.63,other
R00068,A0026,1770291720000,3877.26,rent
R00069,A0069,1770300540000,12836.63,rent
R00070,A0044,1770305460000,4375.29,travel
R00071,A0141,1770307320000,7140.91,other
R00072,A0015,1770308280000,6455.71,other
R00073,A0118,1770308520000,5681.02,salary
R00074,A0108,1770311760000,7612.01,salary
R00075,A0064,1770311940000,8983.17,other
R00076,A0135,1770321000000,4502.68,salary
R00077,A0004,1770321060000,206.82,grocery
R00078,A0128,1770324900000,2461.45,other
R00079,A0122,1770339360000,2788.37,travel
R00080,A0145,1770342420000,3219.73,rent
R00081,A0063,1770364680000,9132.48,travel
R00082,A0037,1770366240000,4036.43,rent
R00083,A0043,1770367260000,4776.7,rent
R00084,A0128,1770369780000,3823.74,travel
R00085,A0121,1770377520000,4247.53,other
R00086,A0073,1770379380000,2099.15,travel
R00087,A0107,1770384660000,2160.23,travel
R00088,A0054,1770402420000,3489.12,grocery
R00089,A0082,1770418500000,4648.26,rent
R00090,A0079,1770421320000,6403.71,grocery
R00091,A0144,1770429180000,1244.5,rent
R00092,A0017,1770443640000,5861.39,grocery
R00093,A0055,1770446220000,8949.47,rent
R00094,A0138,1770450360000,1343.51,other
R00095,A0067,1770450900000,7244.49,grocery
R00096,A0011,1770453420000,5532.47,grocery
R00097,A0035,1770460980000,8834.62,misc
R00098,A0074,1770462720000,5582.03,salary
R00099,A0081,1770466860000,7994.55,grocery
R00100,A0115,1770467880000,4933.23,grocery
R00101,A0119,1770469200000,9026.89,travel
R00102,A0112,1770470520000,5494.43,rent
R00103,A0042,1770475440000,6873.5,salary
R00104,A0013,1770485460000,268.71,other
R00105,A0135,1770486900000,2908.36,salary
R00106,A0096,1770489660000,5304.72,rent
R00107,A0016,1770500820000,3089.87,other
R00108,A0126,1770502620000,1794.08,other
R00109,A0103,1770507960000,2715.2,other
R00110,A0015,1770511740000,5462.57,rent
R00111,A0149,1770512040000,8589.93,rent
R00112,A0033,1770513780000,8931.12,other
R00113,A0132,1770516000000,5.9,travel
R00114,A0039,1770519000000,4008.89,other
R00115,A0108,1770523320000,7902.13,rent
R00116,A0034,1770526680000,-367.78,grocery
R00117,A0127,1770527160000,1089.72,rent
R00118,A0039,1770528960000,8798.07,rent
R00119,A0045,1770529620000,4630.21,rent
R00120,A0004,1770537660000,9369.42,salary
R00121,A0063,1770541200000,3633.49,other
R00122,A0136,1770543840000,,other
R00123,A0011,1770544500000,6988.58,grocery
R00124,A0064,1770549840000,2803.83,other
R00125,A0096,1770554880000,548.54,other
R00126,A0123,1770561120000,6848.4,rent
R00127,A0087,1770563400000,7082.3,other
R00128,A0123,1770567300000,17132.29,travel
R00129,A0098,1770568860000,3084.38,rent
R00130,A0071,1770573300000,5800.49,other
R00131,A0112,1770576420000,1786.92,salary
R00132,A0097,1770583740000,2119.6,promo??
R00133,A0058,1770592800000,7139.52,salary
R00134,A0076,1770593940000,4802.49,grocery
R00135,A0040,1770610920000,-708.88,other
R00136,A0120,1770616860000,,travel
R00137,A0096,1770619740000,3960.8,rent
R00138,A0056,1770620640000,-577.57,travel
R00139,A0080,1770631440000,6852.94,rent
R00140,A0138,1770632460000,3727.72,rent
R00141,A0106,1770634260000,1971.08,grocery
R00142,A0131,1770637320000,7909.02,salary
R00143,A0045,1770648600000,6402.95,salary
R00144,A0027,1770653400000,7434.87,REFUND
R00145,A0111,1770657660000,2995.16,other
R00146,A0022,1770672780000,9035.35,travel
R00147,A0088,1770678120000,6206.08,travel
R00148,A0141,1770681360000,6716.89,rent
R00149,A0048,1770681480000,4668.41,other
R00150,A0097,1770700020000,8098.56,other
R00151,A0014,1770702420000,5761.36,grocery
R00152,A0051,1770705000000,5549.5,salary
R00153,A0069,1770709860000,7921.43,travel
R00154,A0110,1770712260000,4909.58,grocery
R00155,A0086,1770725400000,,rent
R00156,A0038,1770752760000,4576.5,salary
R00157,A0024,1770752760000,,salary
R00158,A0058,1770753000000,4801.63,grocery
R00159,A0127,1770773820000,8971.52,travel
R00160,A0005,1770773880000,5616.85,other
R00161,A0131,1770774300000,8237.42,rent
R00162,A0145,1770792300000,1941.87,rent
R00163,A0144,1770804660000,2499.83,other
R00164,A0049,1770804660000,6710.21,grocery
R00165,A0135,1770808320000,4560.35,rent
R00166,A0051,1770810960000,2323.86,rent
R00167,A0134,1770841920000,6257.1,travel
R00168,A0037,1770845700000,4267.25,other
R00169,A0037,1770849120000,3521.92,travel
R00170,A0146,1770859200000,7289.48,rent
R00171,A0051,1770864000000,4605.43,travel
R00172,A0140,1770865980000,1748.78,rent
R00173,A0100,1770868740000,5697.6,travel
R00174,A0059,1770888180000,2565.49,other
R00175,A0137,1770899640000,3678.79,rent
R00176,A0062,1770909060000,1350.68,rent
R00177,A0033,1770912300000,7716.29,other
R00178,A0118,1770919320000,3030.87,rent
R00179,A0061,1770919320000,8487.51,grocery
R00180,A0049,1770946680000,-62.05,grocery
R00181,A0128,1770948240000,1694.43,salary
R00182,A0059,1770951900000,-319.27,other
R00183,A0046,1770955620000,1342.35,rent
R00184,A0058,1770965580000,4026.58,other
R00185,A0087,1770970680000,4254.87,travel
R00186,A0038,1770971820000,6668.39,other
R00187,A0004,1770974220000,4402.96,other
R00188,A0088,1770985500000,8272.29,other
R00189,A0008,1770986160000,4499.88,other
R00190,A0039,1770995100000,7522.78,other
R00191,A0083,1770997260000,6201.37,grocery
R00192,A0096,1771004040000,6904.04,rent
R00193,A0125,1771007640000,4224.41,rent
R00194,A0081,1771012920000,7106.51,rent
R00195,A0005,1771025940000,9052.91,other
R00196,A0016,1771030320000,6612.05,grocery
R00197,A0068,1771031880000,7904.58,travel
R00198,A0145,1771036980000,1466.57,grocery
R00199,A0068,1771040400000,1457.85,salary
R00200,A0030,1771050960000,,other
R00201,A0131,1771055220000,7800.03,travel
R00202,A0142,1771065000000,5629.04,rent
R00203,A0074,1771072320000,3200.55,rent
R00204,A0011,1771080240000,1904.34,salary
R00205,A0140,1771084140000,6375.91,travel
R00206,A0095,1771096740000,2453.29,grocery
R00207,A0019,1771109460000,4963.16,salary
R00208,A0108,1771132500000,6099.72,salary
R00209,A0085,1771133040000,4203.97,grocery
R00210,A0005,1771134780000,-420.18,travel
R00211,A0130,1771136820000,9052.14,rent
R00212,A0088,1771140480000,1909.96,rent
R00213,A0061,1771141440000,3220.82,salary
R00214,A0013,1771142040000,,travel
R00215,A0140,1771143660000,2208.19,rent
R00216,A0026,1771150620000,7151.06,other
R00217,A0077,1771154820000,1132.49,other
R00218,A0112,1771158300000,1383.32,grocery
R00219,A0023,1771168440000,4024.65,travel
R00220,A0049,1771170000000,9163.78,salary
R00221,A0146,1771173180000,647.06,rent
R00222,A0130,1771173420000,714.53,travel
R00223,A0014,1771179600000,9315.26,travel
R00224,A0123,1771184460000,4636.56,salary
R00225,A0055,1771187280000,2582.94,salary
R00226,A0129,1771189740000,665.64,rent
R00227,A0064,1771197660000,5251.9,other
R00228,A0049,1771200420000,2300.2,salary
R00229,A0080,1771206600000,2553.03,travel
R00230,A0124,1771215480000,6316.97,other
R00231,A0113,1771222980000,999.61,REFUND
R00232,A0050,1771224720000,1702.34,grocery
R00233,A0050,1771235580000,819.83,salary
R00234,A0065,1771240560000,7715.69,travel
R00235,A0054,1771243920000,1617.61,travel
R00236,A0011,1771245420000,6095.01,grocery
R00237,A0039,1771246680000,517.95,travel
R00238,A0070,1771252500000,8241.86,salary
R00239,A0013,1771254600000,1361.72,grocery
R00240,A0148,1771255500000,302.45,rent
R00241,A0001,1771256340000,7007.84,travel
R00242,A0136,1771262280000,8420.91,travel
R00243,A0073,1771264980000,7730.62,grocery
R00244,A0064,1771277520000,9255.66,grocery
R00245,A0045,1771278120000,2720.86,travel
R00246,A0033,1771278540000,6242.26,rent
R00247,A0096,1771286880000,3642.29,rent
R00248,A0144,1771294140000,6904.75,grocery
R00249,A0025,1771294320000,1733.45,grocery
R00250,A0076,1771295880000,8763.39,travel
R00251,A0126,1771304220000,1484.58,grocery
R00252,A0106,1771307280000,9383.0,misc
R00253,A0020,1771314840000,3124.28,other
R00254,A0043,1771317900000,8101.83,grocery
R00255,A0023,1771318260000,7387.73,rent
R00256,A0087,1771320900000,3827.83,other
R00257,A0000,1771330800000,6592.7,rent
R00258,A0001,1771342320000,2134.67,grocery
R00259,A0064,1771346160000,2543.54,rent
R00260,A0042,1771346220000,6418.45,grocery
R00261,A0028,1771349160000,5891.99,rent
R00262,A0080,1771353960000,2790.44,other
R00263,A0021,1771355280000,6445.92,other
R00264,A0022,1771355940000,2817.3,travel
R00265,A0114,1771363980000,6040.7,rent
R00266,A0147,1771371660000,8757.61,grocery
R00267,A0139,1771378320000,3901.58,salary
R00268,A0056,1771388340000,7437.4,salary
R00269,A0052,1771390740000,1195.3,grocery
R00270,A0021,1771399200000,8828.25,other
