account_id,event_time,credit_score,tier
A0000,1767286283000,429,bronze
A0000,1774321689000,485,bronze
A0001,1767256834000,415,silver
A0002,1767279852000,688,bronze
A0003,1767253302000,585,silver
A0003,1774351977000,532,bronze
A0004,1767229271000,353,silver
A0005,1767310789000,806,silver
A0005,1772627274000,767,silver
A0006,1767243044000,821,bronze
A0006,1774688860000,793,bronze
A0007,1767290746000,335,bronze
A0007,1773841292000,363,gold
A0008,1767286133000,522,gold
A0008,1773742865000,507,silver
A0009,1767284297000,647,gold
A0010,1767252226000,759,bronze
A0010,1774362816000,798,bronze
A0011,1767228863000,356,gold
A0011,1773795055000,300,silver
A0012,1767302601000,545,silver
A0012,1774035502000,534,gold
A0013,1767242760000,541,bronze
A0013,1769860880000,538,gold
A0014,1767240592000,556,silver
A0014,1773508825000,499,bronze
A0015,1767251397000,598,bronze
A0015,1774219711000,525,silver
A0016,1767283163000,517,silver
A0016,1771101653000,468,bronze
A0017,1767248340000,773,gold
A0017,1767894648000,715,silver
A0018,1767228340000,333,bronze
A0019,1767253954000,748,bronze
A0020,1767264499000,719,bronze
A0021,1767228762000,473,silver
A0021,1773189395000,540,gold
A0022,1767274767000,801,silver
A0022,1767818330000,838,silver
A0023,1767227170000,578,bronze
A0023,1774928543000,639,gold
A0024,1767235823000,610,silver
A0024,1770718740000,630,gold
A0025,1767236414000,337,gold
A0025,1773371264000,397,silver
A0026,1767264492000,713,gold
A0026,1773996513000,647,gold
A0027,1767267797000,600,bronze
A0027,1773696286000,557,gold
A0028,1767308334000,346,bronze
A0028,1770933193000,300,gold
A0029,1767260762000,825,silver
A0030,1767242033000,701,bronze
A0030,1767671970000,740,bronze
A0031,1767250492000,809,silver
A0032,1767297529000,359,gold
A0032,1773377480000,334,gold
A0033,1767245158000,470,silver
A0033,1774179434000,472,gold
A0034,1767239589000,663,bronze
A0035,1767306969000,485,gold
A0035,1768501295000,406,bronze
A0036,1767234884000,462,gold
A0036,1769803735000,469,bronze
A0037,1767297811000,777,gold
A0037,1768781185000,798,gold
A0038,1767253105000,841,silver
A0039,1767310026000,570,gold
A0039,1773746560000,524,gold
A0040,1767293607000,555,gold
A0040,1770965209000,593,silver
A0041,1767253999000,633,gold
A0041,1772300265000,697,gold
A0042,1767300615000,362,gold
A0043,1767253578000,326,gold
A0043,1768760962000,300,silver
A0044,1767239907000,466,silver
A0044,1768876606000,450,silver
A0045,1767257000000,593,gold
A0045,1774642991000,534,bronze
A0046,1767294328000,474,gold
A0047,1767274254000,396,silver
A0047,1771646195000,375,silver
A0048,1767237084000,634,bronze
A0049,1767286371000,492,bronze
A0050,1767308593000,339,gold
A0051,1767265716000,748,silver
A0052,1767289100000,525,bronze
A0052,1767744866000,486,gold
A0053,1767277999000,799,bronze
A0053,1772641293000,833,gold
A0054,1767258585000,758,silver
A0054,1767771222000,681,gold
A0055,1767309487000,343,silver
A0055,1772211219000,383,bronze
A0056,1767225658000,841,bronze
A0056,1774461196000,850,gold
A0057,1767238818000,472,bronze
A0058,1767261810000,745,gold
A0059,1767266618000,725,silver
A0059,1774424370000,790,silver
A0060,1767264974000,435,silver
A0060,1771755465000,394,silver
A0061,1767287577000,500,bronze
A0062,1767247100000,434,silver
A0062,1773305423000,422,gold
A0063,1767275912000,595,silver
A0063,1769535310000,674,gold
A0064,1767244915000,605,silver
A0064,1770186797000,600,silver
A0065,1767273929000,372,bronze
A0065,1769266131000,406,silver
A0066,1767279644000,363,gold
A0066,1774071921000,415,gold
A0067,1767306444000,530,gold
A0067,1774160806000,511,bronze
A0068,1767250766000,557,silver
A0069,1767289081000,436,bronze
A0069,1773841930000,372,gold
A0070,1767238839000,326,bronze
A0070,1773058606000,317,silver
A0071,1767243156000,380,bronze
A0071,1770354031000,438,silver
A0072,1767264932000,464,bronze
A0072,1768459936000,436,gold
A0073,1767256386000,519,bronze
A0073,1772070325000,515,silver
A0074,1767227058000,637,bronze
A0074,1772798131000,698,silver
A0075,1767286077000,365,bronze
A0076,1767304525000,786,bronze
A0076,1774510164000,748,bronze
A0077,1767236441000,697,silver
A0077,1773778587000,691,bronze
A0078,1767271681000,346,bronze
A0079,1767265517000,773,gold
A0080,1767297501000,685,silver
A0081,1767267448000,680,bronze
A0081,1768936496000,682,gold
A0082,1767283400000,346,bronze
A0083,1767247236000,830,bronze
A0083,1773891070000,809,silver
A0084,1767293348000,401,gold
A0084,1771470263000,335,silver
A0085,1767228236000,681,gold
A0085,1773935633000,681,bronze
A0086,1767309432000,742,gold
A0086,1773615860000,729,silver
A0087,1767295220000,619,bronze
A0087,1772391623000,644,bronze
A0088,1767267161000,479,bronze
A0088,1770301767000,402,bronze
A0089,1767297773000,606,silver
A0090,1767285969000,425,gold
A0090,1774739456000,466,gold
A0091,1767285577000,678,silver
A0091,1774101225000,675,gold
A0092,1767248899000,511,silver
A0092,1772089774000,538,gold
A0093,1767311226000,628,silver
A0093,1774737547000,638,bronze
A0094,1767268993000,471,bronze
A0094,1768769274000,472,gold
A0095,1767287307000,707,silver
A0095,1768814829000,760,gold
A0096,1767293938000,476,gold
A0096,1768954432000,551,silver
A0097,1767270800000,469,gold
A0097,1771663593000,427,silver
A0098,1767300933000,840,silver
A0098,1768812612000,815,bronze
A0099,1767243563000,528,gold
A0099,1770174911000,529,gold
