row_id,account_id,event_time,amount,category
R00000,A0034,1769920140000,2423.38,salary
R00001,A0040,1769923920000,2535.28,travel
R00002,A0044,1769930580000,3397.77,grocery
R00003,A0008,1769935260000,88.35,salary
R00004,A0042,1769936100000,3985.11,grocery
R00005,A0003,1769940240000,7271.35,rent
R00006,A0001,1769943840000,2400.12,grocery
R00007,A0138,1769971980000,4696.19,travel
R00008,A0140,1769976000000,6003.37,rent
R00009,A0122,1769992080000,7754.24,grocery
R00010,A0100,1769992140000,6825.02,travel
R00011,A0144,1769994360000,967.2,travel
R00012,A0126,1769995080000,4966.4,grocery
R00013,A0015,1769995320000,684.71,grocery
R00014,A0122,1770001320000,1149.71,rent
R00015,A0116,1770001320000,1206.52,travel
R00016,A0069,1770003180000,8912.24,travel
R00017,A0087,1770004380000,6548.9,salary
R00018,A0012,1770009660000,1603.96,travel
R00019,A0090,1770016380000,5220.91,travel
R00020,A0008,1770025380000,5599.13,grocery
R00021,A0121,1770027900000,6440.42,grocery
R00022,A0095,1770031680000,6958.33,other
R00023,A0019,1770031800000,4781.08,travel
R00024,A0095,1770037800000,5466.72,rent
R00025,A0067,1770042000000,7738.14,rent
R00026,A0133,1770042300000,5461.49,travel
R00027,A0092,1770045660000,6693.38,salary
R00028,A0029,1770052080000,8827.94,grocery
R00029,A0012,1770056160000,2512.4,other
R00030,A0020,1770061440000,1331.06,travel
R00031,A0138,1770063960000,2460.4,grocery
R00032,A0022,1770072720000,6640.08,other
R00033,A0122,1770086520000,2882.4,salary
R00034,A0116,1770088680000,5563.5,grocery
R00035,A0051,1770095640000,114.68,salary
R00036,A0040,1770106500000,6983.59,other
R00037,A0043,1770107100000,4604.57,rent
R00038,A0130,1770114060000,5954.14,travel
R00039,A0133,1770114360000,5329.68,travel
R00040,A0008,1770114600000,142.21,travel
R00041,A0030,1770127800000,7559.8,grocery
R00042,A0100,1770128220000,487.15,uncategorized
R00043,A0055,1770135720000,7148.03,salary
R00044,A0083,1770137640000,2176.4,travel
R00045,A0119,1770146160000,1713.27,grocery
R00046,A0041,1770157200000,1850.02,rent
R00047,A0026,1770159900000,4487.89,other
R00048,A0110,1770161820000,4478.48,other
R00049,A0023,1770165960000,8853.51,grocery
R00050,A0021,1770173280000,3439.91,travel
R00051,A0072,1770177840000,2134.16,other
R00052,A0121,1770179100000,774.97,other
R00053,A0005,1770180720000,5389.06,travel
R00054,A0015,1770187200000,9261.2,travel
R00055,A0076,1770193020000,4565.96,travel
R00056,A0131,1770214380000,9052.92,other
R00057,A0144,1770214680000,6988.54,travel
R00058,A0115,1770217680000,2995.84,grocery
R00059,A0103,1770221460000,5630.33,rent
R00060,A0042,1770229500000,7303.45,travel
R00061,A0104,1770229500000,854.37,other
R00062,A0115,1770230580000,6689.03,other
R00063,A0075,1770231600000,2364.17,grocery
R00064,A0086,1770247020000,8062.68,salary
R00065,A0110,1770248040000,6560.25,rent
R00066,A0120,1770248100000,8242.16,salary
R00067,A0047,1770274200000,2524.86,rent
R00068,A0053,1770274500000,9497.85,rent
R00069,A0143,1770283860000,,rent
R00070,A0056,1770314220000,1664.3,other
R00071,A0139,1770329880000,714.14,rent
R00072,A0124,1770330600000,561.04,rent
R00073,A0006,1770333240000,6812.5,rent
R00074,A0121,1770333300000,4560.67,grocery
R00075,A0039,1770337920000,3116.39,other
R00076,A0118,1770339600000,484.01,other
R00077,A0016,1770343620000,4622.4,rent
R00078,A0074,1770347100000,760.96,travel
R00079,A0082,1770347640000,5054.32,salary
R00080,A0093,1770348240000,,other
R00081,A0087,1770358320000,1598.28,other
R00082,A0017,1770363900000,7427.95,grocery
R00083,A0094,1770366720000,6086.17,salary
R00084,A0126,1770370500000,3324.07,rent
R00085,A0050,1770371880000,1180.2,salary
R00086,A0113,1770378900000,6708.33,salary
R00087,A0111,1770386100000,4148.73,grocery
R00088,A0080,1770412620000,6770.01,salary
R00089,A0010,1770413100000,4762.73,travel
R00090,A0092,1770418260000,1758.73,grocery
R00091,A0062,1770419280000,3544.88,travel
R00092,A0112,1770425580000,6947.88,grocery
R00093,A0023,1770428880000,7036.73,other
R00094,A0022,1770431760000,3589.9,grocery
R00095,A0065,1770439260000,6764.12,grocery
R00096,A0039,1770439680000,1816.47,grocery
R00097,A0075,1770440040000,5979.25,other
R00098,A0019,1770440640000,8161.64,other
R00099,A0129,1770444360000,1917.06,grocery
R00100,A0109,1770446880000,8823.13,rent
R00101,A0002,1770454560000,7859.8,salary
R00102,A0019,1770459780000,11924.03,travel
R00103,A0017,1770473760000,5178.82,salary
R00104,A0012,1770473880000,6067.38,other
R00105,A0136,1770477660000,9069.13,travel
R00106,A0060,1770478020000,6781.61,other
R00107,A0017,1770478860000,8271.16,other
R00108,A0130,1770487740000,1330.98,grocery
R00109,A0145,1770488040000,747.68,grocery
R00110,A0017,1770491100000,2564.2,travel
R00111,A0035,1770494100000,8255.21,salary
R00112,A0029,1770494580000,7130.36,salary
R00113,A0054,1770495960000,983.41,grocery
R00114,A0137,1770498240000,7843.7,travel
R00115,A0026,1770499860000,5387.53,rent
R00116,A0106,1770503820000,4652.11,rent
R00117,A0040,1770518100000,8220.16,rent
R00118,A0111,1770524760000,,other
R00119,A0027,1770528180000,2696.19,grocery
R00120,A0130,1770530760000,12708.29,rent
R00121,A0103,1770534720000,3932.67,grocery
R00122,A0028,1770535260000,1396.93,travel
R00123,A0143,1770536700000,2117.73,travel
R00124,A0009,1770537060000,5362.47,travel
R00125,A0105,1770539820000,7303.46,other
R00126,A0120,1770541440000,4961.89,rent
R00127,A0000,1770543360000,1273.09,travel
R00128,A0060,1770545100000,,grocery
R00129,A0094,1770548100000,61.19,rent
R00130,A0060,1770549960000,504.19,other
R00131,A0031,1770553980000,2418.5,rent
R00132,A0051,1770565980000,3359.46,salary
R00133,A0118,1770569520000,7208.23,travel
R00134,A0077,1770571800000,9260.23,travel
R00135,A0090,1770572760000,8618.88,grocery
R00136,A0080,1770574800000,6064.59,rent
R00137,A0100,1770575220000,1825.99,salary
R00138,A0101,1770584040000,7770.08,rent
R00139,A0095,1770597780000,5429.54,grocery
R00140,A0005,1770601980000,9443.8,other
R00141,A0064,1770602460000,5324.79,other
R00142,A0010,1770610800000,8674.14,other
R00143,A0076,1770612060000,9339.58,rent
R00144,A0014,1770622980000,4510.69,salary
R00145,A0005,1770624060000,4905.86,travel
R00146,A0107,1770630000000,8669.16,grocery
R00147,A0086,1770635280000,5224.82,salary
R00148,A0062,1770652680000,4520.99,grocery
R00149,A0016,1770654840000,2911.85,grocery
R00150,A0018,1770660900000,579.1,grocery
R00151,A0046,1770663060000,123.45,other
R00152,A0071,1770664260000,5635.33,rent
R00153,A0005,1770669900000,2143.94,salary
R00154,A0141,1770678540000,1942.35,grocery
R00155,A0068,1770686520000,3758.56,other
R00156,A0121,1770688680000,8451.93,travel
R00157,A0130,1770694620000,5639.97,travel
R00158,A0092,1770695340000,-68.28,grocery
R00159,A0144,1770696960000,3319.05,salary
R00160,A0114,1770699120000,8705.63,salary
R00161,A0088,1770700620000,3026.53,rent
R00162,A0095,1770700980000,3900.71,rent
R00163,A0042,1770709140000,8136.27,rent
R00164,A0138,1770715320000,4780.3,travel
R00165,A0054,1770715440000,4641.84,grocery
R00166,A0071,1770717900000,4936.11,grocery
R00167,A0071,1770726840000,6218.68,travel
R00168,A0051,1770727680000,5874.41,travel
R00169,A0130,1770730080000,6379.48,travel
R00170,A0043,1770744060000,9089.25,grocery
R00171,A0087,1770762480000,6701.1,other
R00172,A0061,1770771300000,3939.73,other
R00173,A0124,1770773820000,197.7,grocery
R00174,A0003,1770775440000,7088.18,grocery
R00175,A0080,1770782760000,8647.91,travel
R00176,A0084,1770786420000,6396.87,rent
R00177,A0113,1770787740000,1999.33,rent
R00178,A0031,1770791880000,8828.89,rent
R00179,A0115,1770798240000,2539.27,rent
R00180,A0125,1770803700000,8885.85,salary
R00181,A0003,1770811800000,6172.27,travel
R00182,A0023,1770814140000,8049.88,rent
R00183,A0149,1770818280000,2580.76,grocery
R00184,A0119,1770818400000,4825.95,travel
R00185,A0146,1770818760000,4151.62,salary
