row_id,b_val
R00000,1.74
R00001,-4.2945
R00002,8.8873
R00003,-11.8113
R00006,-5.7289
R00008,3.1172
R00011,-5.1183
R00012,-1.155
R00013,-2.2386
R00014,-4.5968
R00016,-1.3136
R00017,5.0544
R00018,-5.3179
R00020,-1.9045
R00021,-7.0554
R00022,-4.3843
R00023,-6.5521
R00025,-7.7148
R00026,-2.8778
R00027,-1.6934
R00028,2.0007
R00029,-6.9102
R00030,-11.2066
R00031,-7.5057
R00032,-7.7246
R00033,0.2759
R00034,-14.0625
R00035,1.9393
R00037,4.8768
R00038,-9.2285
R00040,-2.6707
R00041,-5.1504
R00042,0.2785
R00043,4.1061
R00044,4.9885
R00045,-4.2737
R00046,-3.6361
R00047,-3.867
R00049,-5.995
R00050,-11.3407
R00051,-10.5789
R00052,-13.2879
R00053,-6.4489
R00054,-0.4492
R00055,3.1294
R00056,-3.9006
R00058,-3.2583
R00059,-3.7124
R00060,2.0116
R00061,-6.833
R00062,-2.4223
R00063,1.0341
R00065,-8.4396
R00066,-7.9155
R00067,-4.2586
R00068,-2.2007
R00069,-2.5507
R00070,-5.1246
R00071,-2.2223
R00072,-7.1868
R00073,-4.6993
R00076,-1.6621
R00077,2.7684
R00078,-4.9338
R00079,-0.5962
R00080,-1.719
R00081,-12.3554
R00082,-4.4314
R00083,-4.7003
R00084,-2.6564
R00085,-8.4237
R00086,-6.3458
R00088,-7.7015
R00089,2.5273
R00090,1.6733
R00091,-2.7524
R00092,-2.1622
R00093,5.2277
R00094,-2.3741
R00095,-5.196
R00096,-2.026
R00097,-8.4283
R00099,-4.1532
R00104,7.5095
R00105,-3.4233
R00107,0.6876
R00108,-3.3118
R00111,-8.5307
R00113,3.5532
R00115,-6.1002
R00116,-7.4447
R00118,-4.4836
R00119,-6.8651
R00120,-4.6289
R00121,-4.0211
R00122,-3.0782
R00123,1.0894
R00127,0.127
R00128,-2.557
R00129,-8.1477
R00130,-9.8948
R00131,-2.6296
R00132,-3.1264
R00134,-3.3356
R00135,-8.7296
R00137,-6.2145
R00139,-10.1848
R00141,-7.5006
R00142,-2.6244
R00143,-5.2321
R00144,-14.8505
R00145,2.1007
R00146,0.937
R00148,3.507
R00149,4.4905
R00150,4.1113
R00151,-2.159
R00152,-10.6985
R00153,-14.0747
R00154,-9.8824
R00155,-1.6826
R00157,-9.1087
R00158,-6.4097
R00159,3.7974
R00160,-4.5724
R00161,-1.6387
R00162,-1.2185
R00163,-8.5942
R00166,-2.1511
R00169,-10.7876
R00170,-4.8111
R00172,-2.3623
R00174,-6.7846
R00175,-11.7706
R00177,-4.0374
R00178,-7.8224
R00179,2.8998
R00180,-8.7209
R00181,-11.3758
R00182,-4.8034
R00183,-15.3397
R00186,-0.7102
R00191,10.1165
R00192,-6.3816
R00194,3.4056
R00195,-1.8048
R00196,-10.0018
R00197,-5.9952
R00199,-2.9256
R00200,-10.4543
R00201,4.5984
R00202,-7.6928
R00204,-5.6159
R00205,-1.6451
R00206,-3.5202
R00207,-9.6223
R00208,-1.0271
R00209,-2.7052
R00211,-1.8187
R00212,-3.2979
R00214,0.6746
R00216,-6.5132
R00217,-6.9587
R00218,-1.7499
R00219,-1.8399
R00220,-10.4804
R00221,-16.3981
R00222,5.5528
R00224,-0.6385
R00225,-7.9242
R00226,-6.9372
R00227,-8.4806
R00229,-5.5813
R00230,1.6342
R00231,-5.0474
R00232,-4.8988
R00233,-2.3213
R00234,-3.6524
R00235,-0.4196
R00236,2.0771
R00237,-4.4233
R00238,0.2886
R00239,-7.7799
R00240,-2.1097
R00241,-7.546
R00242,-4.2614
R00243,-6.9768
R00244,-6.7739
R00245,5.305
R00247,0.4289
R00248,-4.1663
R00251,-7.1937
R00253,-4.7599
R00254,-3.0851
R00255,-6.4134
R00256,4.4222
R00258,-4.5803
R00259,-8.478
R00260,-1.8307
R00262,-3.738
R00263,0.2031
R00264,-1.6681
R00265,3.3165
R00266,-3.1917
R00267,-4.7389
R00268,-2.0952
R00269,0.4053
R00271,-5.7326
R00272,-5.9398
R00273,-7.2886
R00274,-4.0012
R00275,-5.7485
R00276,0.6118
R00277,-0.1293
R00278,-2.453
R00279,-3.1922
R00281,-3.552
R00282,1.5077
R00283,-1.9798
R00287,-1.6386
R00291,1.6627
R00293,6.0948
R00294,-3.7505
R00295,7.2794
R00296,0.3357
R00297,-1.4846
R00301,-7.9923
R00302,-5.7471
R00303,-1.8604
R00306,-4.936
R00307,-4.6771
R00308,1.6062
R00309,1.6783
R00310,-11.8252
R00311,-1.0303
R00312,-1.2561
R00313,2.6082
R00315,-12.2572
R00316,-2.6805
R00319,-7.1702
