row_id,f1,f2,f3,f4,f5,label
T00000,1.67587,0.564498,1.649516,0.147851,0.063849,1
T00001,-0.389431,-0.390639,-0.393639,-0.988294,-1.019983,1
T00002,-1.541678,2.170635,-0.167482,-0.634543,0.10093,1
T00003,0.702697,0.03625,-0.087832,-0.633434,0.476415,0
T00004,0.704357,0.383544,1.111248,-0.09049,-0.411292,0
T00005,0.084888,-1.322919,-1.656723,0.813809,-0.500128,0
T00006,0.746629,-1.877309,-0.039796,1.197384,1.169874,1
T00007,-0.235292,-0.06504,-0.654743,1.689351,0.791821,0
T00008,-1.205106,-0.855187,-0.088241,-0.970412,-0.320807,0
T00009,0.287754,-0.878433,0.47073,-0.005694,0.360196,1
T00010,-1.334372,-1.306635,0.108488,0.431205,0.626861,1
T00011,-0.303487,2.309017,-1.085989,-1.67414,-0.4135,1
T00012,1.236667,1.321366,-0.301429,-1.043531,0.092744,0
T00013,-0.417225,-0.04777,-0.416659,-0.28714,-0.756859,1
T00014,-1.179652,1.228316,-0.795109,0.51779,-1.424238,0
T00015,-1.971939,-1.196692,2.378022,-0.972859,-0.265268,1
T00016,1.082802,1.856392,-0.468856,-1.109609,0.908877,1
T00017,0.808301,0.138082,-1.490605,1.502191,-0.136788,0
T00018,1.364834,0.935631,-0.898396,-0.562526,-0.573116,0
T00019,-0.605629,0.332256,-0.208546,1.356034,2.191482,1
T00020,0.516886,-1.006652,0.429899,2.383063,0.531581,1
T00021,0.128928,-0.240301,0.822358,-0.526978,-0.718182,0
T00022,-0.457573,0.798832,-1.190257,0.405497,1.383965,1
T00023,-0.464363,-2.176733,0.821943,0.865792,-0.225296,0
T00024,1.045159,0.264594,-1.457501,0.718628,-0.781463,0
T00025,-1.260397,-1.048563,0.289539,-0.476697,1.000795,0
T00026,-0.182363,0.397611,0.649494,0.454698,0.374059,1
T00027,1.052306,0.38387,-0.96504,2.364842,0.730465,0
T00028,-0.208972,-1.358237,-1.882503,0.141763,1.240283,0
T00029,1.167116,-1.040466,-1.720313,-0.096694,-0.119372,0
T00030,1.124795,-1.34396,-1.956957,1.859167,-0.639473,0
T00031,1.880524,-0.204244,-0.889626,0.958959,-1.774715,0
T00032,1.411093,0.621421,-0.904404,-1.228753,-1.990724,0
T00033,-0.639197,0.816534,-0.026211,-0.087792,-0.006025,0
T00034,-1.518738,1.533953,-0.070858,-0.475405,-0.019333,1
T00035,0.586806,-0.260953,-0.322163,0.801169,-1.548604,0
T00036,-0.893533,0.084232,0.738621,0.432439,0.508993,1
T00037,-0.519777,-2.305059,-0.033862,-0.35866,-0.539321,0
T00038,0.898497,0.575681,-1.055497,-0.565567,-0.67803,0
T00039,-0.453376,0.108993,-1.367199,1.777297,-0.383627,0
T00040,0.330275,-0.299457,1.283028,-0.400679,0.847106,1
T00041,1.91896,-0.46351,-0.146225,-0.669394,-0.969464,1
T00042,0.774152,-0.151798,0.102358,-0.627008,-0.786627,1
T00043,-0.181047,1.218986,1.034299,-1.283321,1.424908,1
T00044,-0.080129,0.290767,0.298986,-0.555096,-0.525358,1
T00045,-2.059295,-0.471886,1.106258,-0.318324,0.770116,1
T00046,-1.414977,-1.135323,-0.11346,0.171169,0.334263,0
T00047,-0.465357,0.061487,0.275139,-0.979625,-1.682884,0
T00048,-0.404123,-1.957454,0.494699,0.398383,0.421677,0
T00049,2.538806,-1.657446,-1.367161,1.362671,-2.254167,0
T00050,0.48719,0.429931,1.216136,-0.60029,1.745513,1
T00051,1.376561,-1.409105,-0.281962,0.53021,-0.973946,0
T00052,0.19975,-0.575782,0.274099,0.477077,0.439879,1
T00053,0.293697,1.239283,-0.419537,-0.326258,-1.467011,0
T00054,-0.479449,0.040174,-0.258382,-0.378565,-1.328818,0
T00055,-0.713968,-1.086998,-1.51092,0.549168,-0.506035,1
T00056,0.240897,1.419224,0.157191,-0.869367,1.10353,0
T00057,1.282285,-0.778119,-0.956272,-1.527156,0.317471,0
T00058,-2.180365,1.423527,0.554549,-1.239621,0.836285,1
T00059,0.419262,-0.906045,-0.047911,0.140376,-0.116264,0
T00060,-1.322052,1.445807,-1.215721,0.080134,-0.113744,1
T00061,-1.288822,-0.847469,0.695246,1.348236,0.710362,1
T00062,-0.528748,1.014247,-0.11646,-0.809354,-1.583679,0
T00063,1.351818,0.909375,1.79547,0.774074,0.076167,1
T00064,0.468408,-0.085474,-0.441532,2.637125,-0.741366,1
T00065,-1.271758,-0.05801,-0.932019,1.050326,-1.153013,0
T00066,2.225853,0.940386,-0.322166,0.263837,0.566826,0
T00067,-1.000003,-0.230215,0.197566,0.977238,0.038047,0
T00068,-0.311456,0.494079,-1.120392,0.931714,0.363368,0
T00069,0.758755,-1.379419,0.185487,0.221116,-1.300506,0
T00070,1.111781,-1.140368,0.557418,-0.003785,0.185038,0
T00071,-0.535739,-2.381854,-0.53255,1.122158,0.892275,0
T00072,-1.717152,-1.529129,2.344446,0.54154,-1.222671,0
T00073,-2.291372,0.591308,0.087959,0.195793,0.069584,1
T00074,-0.127597,-0.768899,-0.404039,0.051253,0.14505,0
T00075,0.45129,0.773649,1.526639,1.512258,0.038815,1
T00076,-0.28861,-2.171419,1.697114,1.68482,-1.731926,0
T00077,-1.062274,0.557323,-1.222344,-0.943662,-0.359553,0
T00078,0.496371,0.414409,2.171152,-0.550937,-0.494217,1
T00079,-0.156492,-0.224631,0.838826,0.960713,1.550529,1
T00080,-0.766129,0.89781,-0.28359,-0.569312,-1.156851,0
T00081,0.001767,-0.3573,0.251359,0.052739,0.606105,1
T00082,-0.825047,0.816649,-1.475586,-0.516203,-0.454553,0
T00083,1.309141,0.567346,0.308813,-0.614079,2.977778,1
T00084,-0.539958,-1.618458,0.4254,-0.379545,0.265067,0
T00085,1.514978,0.722314,-1.521506,1.173261,-0.364673,0
T00086,-2.884233,0.793345,-0.122849,0.385831,-0.579948,0
T00087,-0.427707,-1.79119,-1.257307,0.668196,-1.013215,0
T00088,0.412549,-2.057443,-2.600333,-0.015049,-1.667577,0
T00089,-0.869119,1.578017,1.428814,0.214715,-1.339337,1
T00090,-0.376093,0.384953,0.27744,0.417795,0.476187,1
T00091,-0.144907,0.745599,1.646552,1.477147,0.492528,0
T00092,0.140339,-0.022552,-0.721902,-0.218104,-0.52551,0
T00093,0.680304,1.650664,0.375018,-0.895602,0.791745,1
T00094,0.596046,-0.176288,-0.350164,0.698164,0.263294,1
T00095,0.473856,-1.806743,-0.671512,0.247759,1.233503,1
T00096,0.520512,1.21333,-1.474826,-1.088022,0.026493,0
T00097,0.190394,0.333073,0.156561,1.085507,-0.513896,1
T00098,0.163225,-0.354095,-1.266663,1.12512,-1.767018,0
T00099,-0.300873,-0.652169,0.134805,0.409854,-0.219859,0
T00100,-0.687459,0.302284,0.6786,2.402937,-1.179838,1
T00101,0.80127,0.33431,-0.735647,-1.809049,0.669051,0
T00102,0.278346,1.305944,1.019679,-0.50126,-0.364173,0
T00103,0.809433,-1.131768,0.284205,-0.673374,0.208058,1
