row_id,account_id,event_time,amount,category
R00198,A0086,1772584200000,5.78,grocery
R00199,A0111,1772584680000,50.74,rent
R00200,A0034,1772585280000,33.58,other
R00201,A0048,1772585580000,11.75,salary
R00202,A0011,1772586120000,99.03,grocery
R00203,A0079,1772586240000,6.56,salary
R00204,A0036,1772586780000,7.8,other
R00205,A0078,1772587200000,20.35,other
R00206,A0145,1772588040000,57.25,rent
R00207,A0087,1772588340000,29.43,salary
R00208,A0060,1772589000000,6.58,rent
R00209,A0060,1772589720000,14.96,grocery
R00210,A0106,1772590140000,21.5,rent
R00211,A0001,1772592000000,4.85,grocery
R00212,A0132,1772596440000,33.63,rent
R00213,A0133,1772598240000,33.3,grocery
R00214,A0016,1772599380000,22.39,rent
R00215,A0073,1772599440000,165.22,travel
R00216,A0055,1772600220000,42.16,travel
R00217,A0062,1772600940000,27.32,grocery
R00218,A0094,1772601180000,3.51,grocery
R00219,A0040,1772601240000,20.44,salary
R00220,A0135,1772602980000,174.99,grocery
R00221,A0096,1772603880000,7.1,grocery
R00222,A0139,1772604540000,12.01,grocery
R00223,A0097,1772604720000,279.26,travel
R00224,A0089,1772605500000,51.57,rent
R00225,A0117,1772606160000,43.02,rent
R00226,A0034,1772608020000,31.22,salary
R00227,A0089,1772609280000,32.64,travel
R00228,A0038,1772610540000,9.92,other
R00229,A0033,1772610840000,16.33,travel
R00230,A0012,1772611080000,11.73,other
R00231,A0037,1772611320000,21.15,travel
R00232,A0003,1772612100000,75.87,travel
R00233,A0118,1772612580000,7.67,other
R00234,A0125,1772612640000,2.6,rent
R00235,A0063,1772614800000,15.9,grocery
R00236,A0076,1772615580000,20.1,grocery
R00237,A0046,1772615640000,18.82,rent
R00238,A0034,1772616720000,31.54,salary
R00239,A0083,1772616780000,56.49,salary
R00240,A0099,1772618580000,22.02,rent
R00241,A0109,1772618760000,14.54,other
R00242,A0006,1772618880000,71.85,grocery
R00243,A0000,1772619420000,4.31,rent
R00244,A0100,1772620320000,117.95,travel
R00245,A0142,1772620440000,9.72,travel
R00246,A0017,1772620620000,18.38,rent
R00247,A0142,1772622480000,12.94,grocery
R00248,A0071,1772622720000,39.35,travel
R00249,A0077,1772622900000,8.78,grocery
R00250,A0079,1772623140000,6.34,salary
R00251,A0117,1772624880000,44.92,rent
R00252,A0123,1772625420000,33.56,salary
R00253,A0106,1772625720000,23.94,other
R00254,A0111,1772626620000,16.77,rent
R00255,A0037,1772628000000,15.13,other
R00256,A0031,1772629080000,41.33,salary
R00257,A0128,1772629620000,18.79,other
R00258,A0120,1772631120000,47.1,grocery
R00259,A0118,1772631360000,33.56,travel
R00260,A0144,1772631660000,34.65,other
R00261,A0100,1772633160000,37.27,travel
R00262,A0093,1772633460000,51.9,other
R00263,A0004,1772634060000,19.27,grocery
R00264,A0133,1772635080000,41.22,salary
R00265,A0100,1772635620000,7.89,rent
R00266,A0028,1772635800000,5.66,salary
R00267,A0008,1772635920000,22.1,travel
R00268,A0057,1772636040000,81.82,salary
R00269,A0043,1772637180000,42.56,salary
R00270,A0112,1772638680000,4.89,other
R00271,A0126,1772640420000,68.56,rent
R00272,A0116,1772641140000,14.63,other
R00273,A0146,1772642520000,91.74,rent
R00274,A0043,1772642760000,23.89,travel
R00275,A0096,1772643420000,74.44,grocery
R00276,A0066,1772644500000,52.43,grocery
R00277,A0065,1772644680000,4.94,grocery
R00278,A0091,1772646540000,28.81,rent
R00279,A0028,1772647440000,18.45,other
R00280,A0117,1772647920000,57.67,grocery
R00281,A0065,1772649240000,12.33,salary
R00282,A0016,1772649420000,9.74,grocery
R00283,A0026,1772650020000,8.33,other
R00284,A0069,1772650260000,62.6,grocery
R00285,A0049,1772651280000,176.57,salary
R00286,A0034,1772651400000,187.19,salary
R00287,A0059,1772652300000,21.01,grocery
R00288,A0053,1772652780000,89.35,salary
R00289,A0072,1772652840000,146.21,travel
R00290,A0091,1772653260000,10.79,other
R00291,A0015,1772653620000,34.01,travel
R00292,A0059,1772653740000,7.76,other
R00293,A0140,1772653860000,3.56,grocery
R00294,A0129,1772653980000,53.08,grocery
R00295,A0148,1772654340000,13.12,grocery
R00296,A0028,1772654400000,36.29,grocery
R00297,A0099,1772654520000,8.09,salary
R00298,A0143,1772655420000,9.9,rent
R00299,A0063,1772655780000,58.73,other
R00300,A0093,1772656140000,5.9,grocery
R00301,A0056,1772657520000,9.03,rent
R00302,A0032,1772658480000,24.44,grocery
R00303,A0115,1772659620000,1.46,salary
R00304,A0110,1772661420000,23.87,salary
R00305,A0141,1772663040000,16.66,other
R00306,A0016,1772663340000,18.99,grocery
R00307,A0028,1772663400000,13.2,salary
R00308,A0102,1772663940000,85.31,salary
R00309,A0012,1772664540000,26.74,grocery
R00310,A0039,1772664660000,181.26,travel
R00311,A0032,1772665380000,157.5,rent
R00312,A0005,1772666580000,9.37,salary
R00313,A0105,1772666760000,30.55,grocery
R00314,A0149,1772668320000,7.24,grocery
R00315,A0142,1772668680000,94.71,salary
