row_id,account_id,event_time,amount,category
R00000,A0081,1767228840000,8.64,other
R00001,A0116,1767238800000,26.1,other
R00002,A0098,1767250020000,14.78,travel
R00003,A0065,1767250260000,12.58,travel
R00004,A0093,1767251640000,70.3,grocery
R00005,A0091,1767255000000,51.61,grocery
R00006,A0070,1767256200000,7.77,grocery
R00007,A0012,1767269160000,40.14,travel
R00008,A0113,1767269340000,24.02,salary
R00009,A0104,1767269640000,30.75,grocery
R00010,A0042,1767283680000,7.61,grocery
R00011,A0017,1767286680000,15.99,other
R00012,A0049,1767292200000,11.65,other
R00013,A0087,1767300960000,46.49,salary
R00014,A0087,1767312240000,6.87,travel
R00015,A0115,1767313020000,18.28,rent
R00016,A0105,1767323640000,32.42,travel
R00017,A0045,1767334800000,33.97,salary
R00018,A0060,1767339240000,28.22,grocery
R00019,A0103,1767343620000,89.99,grocery
R00020,A0101,1767343740000,101.9,travel
R00021,A0048,1767350820000,7.24,rent
R00022,A0010,1767353760000,4.08,other
R00023,A0051,1767365760000,3.64,other
R00024,A0103,1767368280000,45.65,other
R00025,A0028,1767398580000,13.96,salary
R00026,A0111,1767401040000,11.28,travel
R00027,A0089,1767401700000,48.73,travel
R00028,A0005,1767404940000,15.92,salary
R00029,A0049,1767406620000,3.24,travel
R00030,A0035,1767425280000,70.93,travel
R00031,A0068,1767439980000,15.6,salary
R00032,A0054,1767448380000,4.17,salary
R00033,A0027,1767457920000,13.91,other
R00034,A0117,1767461340000,0.44,travel
R00035,A0095,1767468300000,25.06,salary
R00036,A0090,1767485040000,50.54,other
R00037,A0059,1767497220000,6.93,grocery
R00038,A0005,1767522840000,31.63,other
R00039,A0054,1767526200000,110.88,salary
R00040,A0046,1767538380000,8.54,salary
R00041,A0023,1767540240000,10.67,grocery
R00042,A0067,1767551160000,23.66,rent
R00043,A0100,1767575640000,11.11,other
R00044,A0056,1767591240000,19.29,salary
R00045,A0014,1767591720000,14.27,other
R00046,A0106,1767597720000,13.87,salary
R00047,A0006,1767614160000,4.06,travel
R00048,A0098,1767615180000,13.36,other
R00049,A0050,1767625860000,11.44,salary
R00050,A0082,1767637920000,6.43,salary
R00051,A0024,1767640920000,6.64,travel
R00052,A0101,1767642600000,8.67,rent
R00053,A0054,1767646920000,70.82,travel
R00054,A0017,1767649320000,32.7,rent
R00055,A0061,1767663180000,37.33,travel
R00056,A0029,1767667140000,16.94,rent
R00057,A0029,1767671520000,9.58,rent
R00058,A0048,1767673920000,59.35,other
R00059,A0047,1767687180000,7.52,other
R00060,A0111,1767694020000,10.53,travel
R00061,A0114,1767709380000,80.38,travel
R00062,A0012,1767712320000,23.01,salary
R00063,A0107,1767752460000,18.23,other
R00064,A0021,1767756420000,34.05,travel
R00065,A0080,1767760560000,12.44,other
R00066,A0002,1767769740000,27.85,salary
R00067,A0046,1767780120000,109.7,rent
R00068,A0104,1767789960000,3.51,travel
R00069,A0090,1767811500000,4.52,other
R00070,A0048,1767813360000,72.85,other
R00071,A0054,1767819000000,31.14,travel
R00072,A0074,1767820620000,18.75,other
R00073,A0028,1767826500000,10.08,other
R00074,A0055,1767831720000,15.37,salary
R00075,A0027,1767838920000,15.17,grocery
R00076,A0020,1767856920000,19.82,rent
R00077,A0119,1767858360000,17.47,travel
R00078,A0054,1767890700000,146.71,grocery
R00079,A0050,1767896880000,18.22,grocery
R00080,A0082,1767916380000,24.16,grocery
R00081,A0002,1767924600000,14.87,salary
R00082,A0096,1767931920000,2.72,other
R00083,A0013,1767934980000,6.24,grocery
R00084,A0037,1767935040000,4.13,rent
R00085,A0020,1767940740000,31.16,travel
R00086,A0013,1767942420000,19.66,salary
R00087,A0006,1767950160000,81.45,other
R00088,A0047,1767956640000,29.29,grocery
R00089,A0045,1767965040000,27.16,rent
R00090,A0054,1767990840000,32.44,grocery
R00091,A0071,1767993120000,20.25,salary
R00092,A0089,1767994560000,5.84,other
R00093,A0096,1767994680000,11.25,rent
R00094,A0029,1767995700000,30.38,grocery
R00095,A0084,1767998160000,8.15,grocery
R00096,A0013,1768011660000,93.17,other
R00097,A0099,1768014180000,7.94,other
R00098,A0080,1768038600000,12.68,travel
R00099,A0015,1768042980000,6.76,rent
R00100,A0114,1768044180000,123.22,salary
R00101,A0079,1768052520000,8.06,grocery
R00102,A0118,1768054380000,19.71,rent
R00103,A0097,1768059600000,25.56,rent
R00104,A0033,1768065180000,17.03,other
R00105,A0090,1768066200000,19.24,salary
R00106,A0101,1768084560000,16.74,grocery
R00107,A0038,1768085580000,51.41,grocery
R00108,A0023,1768088820000,6.42,salary
R00109,A0105,1768090860000,156.63,rent
R00110,A0059,1768091040000,89.83,grocery
R00111,A0105,1768097220000,31.68,rent
R00112,A0102,1768100220000,8.87,other
R00113,A0065,1768113780000,14.1,grocery
R00114,A0073,1768129920000,45.71,salary
R00115,A0033,1768140120000,10.86,grocery
R00116,A0032,1768144080000,17.75,rent
R00117,A0042,1768151820000,10.55,rent
R00118,A0046,1768161540000,19.58,salary
R00119,A0109,1768167180000,66.34,salary
R00120,A0062,1768174920000,50.12,rent
R00121,A0018,1768189620000,5.48,travel
R00122,A0053,1768194840000,20.71,grocery
R00123,A0083,1768205760000,11.08,grocery
R00124,A0044,1768208160000,24.4,rent
R00125,A0016,1768210080000,7.81,rent
R00126,A0119,1768219620000,10.97,travel
R00127,A0078,1768228080000,4.03,salary
R00128,A0113,1768233120000,44.1,other
R00129,A0060,1768274820000,19.69,travel
R00130,A0031,1768291320000,17.64,rent
R00131,A0118,1768297980000,0.3,rent
R00132,A0119,1768302960000,18.43,travel
R00133,A0013,1768303380000,12.91,other
R00134,A0117,1768317180000,85.59,salary
R00135,A0029,1768321500000,5.33,other
R00136,A0003,1768345200000,23.12,rent
R00137,A0089,1768352700000,63.41,other
R00138,A0086,1768355520000,18.8,salary
R00139,A0070,1768356840000,26.31,salary
R00140,A0015,1768362840000,48.4,rent
R00141,A0091,1768369620000,32.36,grocery
R00142,A0021,1768377300000,5.54,other
R00143,A0042,1768379160000,5.73,other
R00144,A0081,1768384260000,5.99,travel
R00145,A0031,1768385520000,29.88,travel
R00146,A0054,1768388580000,62.6,rent
R00147,A0078,1768396080000,36.79,other
R00148,A0009,1768398840000,12.15,salary
R00149,A0010,1768404600000,53.46,salary
R00150,A0022,1768407180000,34.0,other
R00151,A0031,1768409040000,17.95,rent
R00152,A0074,1768415940000,11.82,rent
R00153,A0048,1768418040000,17.09,salary
R00154,A0066,1768423380000,30.68,travel
R00155,A0066,1768424880000,9.82,grocery
R00156,A0012,1768428360000,248.24,grocery
R00157,A0030,1768435860000,4.25,rent
R00158,A0050,1768444260000,63.88,grocery
R00159,A0091,1768459620000,4.88,grocery
R00160,A0060,1768470900000,16.9,grocery
R00161,A0052,1768484700000,16.73,travel
R00162,A0081,1768501980000,53.86,travel
R00163,A0110,1768533900000,8.73,rent
R00164,A0073,1768534440000,24.45,other
R00165,A0063,1768542660000,23.02,other
R00166,A0035,1768551780000,47.98,other
R00167,A0089,1768558020000,20.58,other
R00168,A0002,1768577340000,7.87,other
R00169,A0092,1768614900000,11.88,travel
R00170,A0009,1768625460000,5.44,other
R00171,A0119,1768638000000,22.56,other
R00172,A0028,1768640160000,3.84,rent
R00173,A0103,1768643400000,19.05,rent
R00174,A0109,1768644480000,25.65,grocery
R00175,A0073,1768657020000,41.96,salary
R00176,A0034,1768658940000,18.87,grocery
R00177,A0087,1768661460000,228.54,other
R00178,A0093,1768663140000,100.35,salary
R00179,A0076,1768668300000,7.71,grocery
R00180,A0101,1768669980000,7.57,rent
R00181,A0007,1768674060000,25.55,other
R00182,A0075,1768684020000,51.35,salary
R00183,A0018,1768689540000,23.94,grocery
R00184,A0119,1768690380000,30.19,other
R00185,A0076,1768698840000,97.85,rent
R00186,A0076,1768699260000,29.27,grocery
R00187,A0045,1768712580000,19.38,travel
R00188,A0118,1768719180000,68.4,salary
R00189,A0006,1768725780000,14.53,other
R00190,A0023,1768729860000,6.83,salary
R00191,A0052,1768757520000,18.81,grocery
R00192,A0080,1768765260000,8.4,travel
R00193,A0092,1768766160000,20.2,other
R00194,A0051,1768766460000,26.46,travel
R00195,A0045,1768772100000,11.69,salary
R00196,A0098,1768783560000,3.26,grocery
R00197,A0086,1768786560000,63.28,salary
R00198,A0094,1768802400000,53.2,salary
R00199,A0102,1768822560000,7.83,grocery
R00200,A0106,1768839240000,3.65,travel
R00201,A0076,1768841700000,54.26,salary
R00202,A0090,1768850880000,23.95,grocery
R00203,A0046,1768855800000,7.62,salary
