account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773198564000,37.92,4106.17,789,silver,10,51.66,0
A0001,1772433141000,35.15,5260.63,543,silver,26,48.09,0
A0002,1772682007000,70.22,7180.47,751,silver,33,57.43,0
A0003,1772102032000,13.79,4081.74,685,silver,25,45.63,1
A0004,1772993704000,42.21,5599.55,704,gold,36,43.84,1
A0005,1772700494000,232.63,4904.57,680,gold,10,48.74,0
A0006,1773296817000,49.46,3757.51,363,silver,10,50.18,1
A0007,1772464749000,28.67,4541.0,447,silver,26,54.46,0
A0008,1772531629000,87.27,9047.03,546,bronze,37,52.15,1
A0009,1772121758000,40.41,2395.35,399,silver,39,52.18,1
A0010,1772715426000,81.62,7711.74,305,gold,36,46.16,1
A0011,1772620274000,49.05,3953.78,370,silver,30,49.5,1
A0012,1772836928000,31.47,6390.66,413,gold,12,48.08,1
A0013,1772099342000,74.68,7289.06,596,gold,14,50.61,1
A0014,1772869476000,20.52,5237.28,775,gold,30,58.48,0
A0015,1772653771000,90.31,2284.31,349,silver,2,49.85,1
A0016,1773340563000,165.44,7895.56,442,bronze,9,38.27,0
A0017,1773217241000,18.28,5025.09,734,silver,29,46.36,1
A0018,1772943292000,35.93,3772.71,689,gold,3,54.05,1
A0019,1772714794000,78.92,2338.01,336,gold,9,54.71,0
A0020,1772935263000,340.72,3024.67,382,silver,10,49.5,1
A0021,1772281807000,30.19,6208.39,738,gold,15,46.31,0
A0022,1773106982000,23.6,2065.8,572,silver,9,51.22,0
A0023,1773278442000,72.91,2917.89,373,silver,28,48.08,1
A0024,1772179113000,9.68,6334.16,809,bronze,1,45.22,1
A0025,1772323177000,25.09,1839.25,485,bronze,5,50.1,1
A0026,1772989186000,13.11,4509.0,492,bronze,28,40.65,0
A0027,1772158701000,45.76,471.11,387,bronze,13,40.66,0
A0028,1773566314000,24.41,7197.85,306,bronze,1,40.1,0
A0029,1773262110000,35.49,6488.17,834,silver,21,41.03,1
A0030,1773548099000,56.06,5944.51,300,gold,0,48.56,1
A0031,1772212497000,13.54,3735.04,445,gold,1,51.2,1
A0032,1772149058000,15.25,6002.38,356,bronze,28,46.76,1
A0033,1773135591000,63.41,3966.02,832,bronze,29,57.23,1
A0034,1772840727000,22.61,3292.13,656,bronze,10,55.5,0
A0035,1773224137000,124.26,2233.72,632,bronze,26,53.8,0
A0036,1773383690000,28.01,1879.43,374,silver,10,48.82,1
A0037,1773169665000,96.88,2386.69,733,bronze,34,54.11,1
A0038,1773530334000,25.35,3849.45,825,silver,26,58.65,0
A0039,1773284206000,14.88,1904.2,809,bronze,24,49.17,1
A0040,1773094879000,130.73,4280.01,762,gold,13,66.85,0
A0041,1772345549000,33.03,7405.23,585,bronze,1,46.38,1
A0042,1772330107000,20.98,3030.65,751,bronze,12,51.62,1
A0043,1773682545000,38.46,3270.56,501,silver,17,48.17,1
A0044,1773673432000,229.54,1893.68,566,gold,29,55.91,0
A0045,1772018676000,6.91,4992.28,409,silver,2,47.99,0
A0046,1773447948000,7.87,7749.0,491,gold,11,39.27,0
A0047,1773665766000,50.47,4549.15,607,silver,14,45.94,1
A0048,1773614775000,58.84,5585.95,808,bronze,31,47.27,0
A0049,1773678057000,60.83,1646.19,581,bronze,34,54.27,1
A0050,1772083804000,10.79,5380.27,662,gold,33,56.81,0
A0051,1772978414000,46.56,3070.85,389,bronze,2,61.56,0
A0052,1772451119000,32.06,1896.5,460,bronze,5,59.12,1
A0053,1773467159000,13.15,3070.26,549,gold,30,51.98,1
A0054,1772515698000,8.48,4968.82,300,silver,36,50.31,1
A0055,1772959821000,23.13,1493.58,595,silver,30,44.01,1
A0056,1773448020000,50.61,7075.89,353,bronze,36,48.35,1
A0057,1772691227000,17.6,4116.33,776,silver,34,47.12,1
A0058,1772226130000,7.35,3022.6,519,silver,1,57.12,1
A0059,1772284044000,128.52,3667.73,555,bronze,14,49.69,0
A0060,1773489276000,48.03,6708.29,522,silver,30,45.1,1
A0061,1773189443000,74.25,5304.7,326,gold,1,44.77,1
A0062,1772369903000,97.8,2115.82,364,silver,21,54.11,1
A0063,1772769465000,45.63,4807.41,723,gold,12,54.75,0
A0064,1772268881000,27.45,2122.9,800,bronze,27,50.05,0
A0065,1773255830000,20.65,7549.63,398,bronze,8,43.08,1
A0066,1772419364000,34.74,4790.74,725,silver,11,49.29,1
A0067,1772975050000,46.52,3504.74,300,silver,11,55.42,0
A0068,1772016068000,73.2,7796.9,300,gold,6,44.14,1
A0069,1772428484000,70.13,4494.27,484,silver,25,49.25,1
A0070,1773125092000,17.25,6933.2,314,gold,22,56.27,1
A0071,1773268761000,67.08,5529.56,567,gold,30,48.94,1
A0072,1772871458000,208.44,9978.67,476,silver,20,39.83,0
A0073,1772920648000,37.92,2654.1,499,gold,27,57.34,0
A0074,1772440802000,63.66,5255.48,413,bronze,35,49.11,0
A0075,1772338519000,96.66,4592.74,490,silver,8,43.0,1
A0076,1772523675000,5.54,4921.05,671,gold,5,53.9,1
A0077,1773260169000,58.59,4541.99,417,bronze,2,52.04,0
A0078,1773198037000,18.24,4743.73,507,silver,39,49.85,1
A0079,1772693114000,20.07,3636.5,591,silver,14,48.8,1
A0080,1771983145000,104.78,6500.17,555,gold,24,47.96,1
A0081,1772363056000,14.0,6232.25,775,gold,16,50.73,0
A0082,1773665470000,87.78,6431.5,620,gold,23,49.71,0
A0083,1773298258000,193.55,3767.41,476,silver,15,49.46,1
A0084,1773318004000,46.6,8476.1,567,bronze,2,43.56,1
A0085,1773346940000,34.45,1926.25,379,bronze,3,43.89,1
A0086,1772773750000,16.5,2454.99,445,bronze,15,40.24,0
A0087,1772085230000,51.3,6208.27,791,gold,15,48.44,0
A0088,1772616881000,35.59,6068.05,591,gold,27,51.93,0
A0089,1773405105000,38.92,4004.23,492,silver,7,45.32,0
A0090,1773241781000,19.33,6725.73,732,gold,36,53.05,1
A0091,1773215312000,37.6,1123.18,500,gold,4,54.14,0
A0092,1773104941000,13.82,2589.85,399,gold,5,47.98,1
A0093,1772947424000,59.2,3995.03,519,silver,34,55.65,1
A0094,1772597029000,21.9,3619.73,478,silver,28,48.15,0
A0095,1772543051000,18.66,3696.48,424,bronze,18,59.49,1
A0096,1773446940000,17.99,3252.8,537,silver,34,54.05,0
A0097,1772261077000,15.97,2489.17,324,silver,26,62.02,1
A0098,1772682866000,38.7,5026.97,707,bronze,7,53.19,1
A0099,1772115231000,11.45,6314.07,402,silver,29,40.37,1
