account_id,event_time,sessions_7d
A0000,1767289444000,25
A0000,1767921101000,39
A0000,1768565708000,12
A0000,1769161453000,29
A0000,1769761685000,38
A0000,1770332652000,1
A0000,1770903498000,22
A0000,1771551319000,4
A0000,1772136557000,12
A0000,1772729929000,10
A0000,1773397580000,3
A0000,1773954666000,19
A0000,1774534842000,7
A0001,1767252928000,23
A0001,1767881243000,20
A0001,1768479020000,6
A0001,1769060591000,23
A0001,1769709457000,16
A0001,1770319176000,3
A0001,1770893355000,14
A0001,1771553111000,5
A0001,1772151186000,26
A0001,1772766479000,32
A0001,1773348576000,18
A0001,1773981890000,17
A0001,1774544619000,9
A0002,1767323744000,3
A0002,1767938820000,18
A0002,1768596045000,17
A0002,1769182544000,20
A0002,1769724497000,26
A0002,1770348214000,9
A0002,1770987564000,17
A0002,1771610637000,27
A0002,1772200994000,33
A0002,1772765875000,23
A0002,1773362001000,0
A0002,1774033670000,13
A0002,1774582552000,27
A0003,1767291213000,27
A0003,1767852186000,25
A0003,1768487406000,32
A0003,1769129394000,0
A0003,1769705283000,39
A0003,1770321904000,2
A0003,1770878044000,37
A0003,1771511028000,25
A0003,1772140736000,32
A0003,1772680909000,38
A0003,1773282002000,20
A0003,1773933868000,31
A0003,1774538248000,37
A0004,1767364656000,31
A0004,1767979888000,12
A0004,1768574470000,22
A0004,1769130401000,23
A0004,1769775038000,25
A0004,1770400399000,15
A0004,1770999072000,34
A0004,1771563083000,22
A0004,1772175457000,33
A0004,1772753678000,36
A0004,1773365797000,38
A0004,1773962268000,35
A0004,1774607084000,35
A0005,1767317953000,39
A0005,1767922935000,7
A0005,1768478009000,20
A0005,1769132147000,26
A0005,1769665745000,33
A0005,1770318903000,5
A0005,1770900548000,7
A0005,1771533277000,7
A0005,1772136270000,10
A0005,1772732838000,10
A0005,1773370591000,20
A0005,1773923621000,39
A0005,1774582270000,36
A0006,1767364233000,25
A0006,1767925940000,33
A0006,1768532380000,4
A0006,1769176341000,4
A0006,1769806461000,17
A0006,1770414687000,25
A0006,1771020234000,23
A0006,1771548589000,26
A0006,1772212256000,39
A0006,1772837567000,10
A0006,1773377668000,36
A0006,1773994672000,18
A0006,1774620286000,37
A0007,1767381026000,37
A0007,1767986732000,14
A0007,1768587989000,16
A0007,1769122899000,6
A0007,1769796598000,24
A0007,1770405506000,38
A0007,1771001136000,20
A0007,1771569825000,17
A0007,1772182281000,26
A0007,1772795147000,36
A0007,1773415596000,17
A0007,1774009486000,0
A0007,1774621158000,13
A0008,1767331779000,16
A0008,1767968530000,3
A0008,1768558636000,15
A0008,1769118599000,1
A0008,1769776808000,19
A0008,1770354710000,31
A0008,1770955087000,9
A0008,1771600621000,1
A0008,1772134230000,37
A0008,1772736409000,13
A0008,1773352008000,30
A0008,1773968173000,9
A0008,1774584706000,33
A0009,1767352954000,28
A0009,1767916037000,2
A0009,1768552953000,31
A0009,1769177809000,6
A0009,1769723232000,34
A0009,1770324046000,0
A0009,1770994405000,20
A0009,1771600094000,39
A0009,1772166758000,15
A0009,1772798040000,12
A0009,1773375855000,30
A0009,1773996499000,17
A0009,1774582420000,8
A0010,1767300093000,28
A0010,1767933013000,34
A0010,1768564294000,24
A0010,1769154587000,38
A0010,1769769976000,11
A0010,1770350289000,8
A0010,1770968707000,16
A0010,1771508699000,14
A0010,1772164544000,36
A0010,1772785830000,15
A0010,1773357556000,29
A0010,1773936783000,33
A0010,1774582055000,5
A0011,1767370742000,10
A0011,1767908000000,36
A0011,1768582717000,26
A0011,1769125078000,33
A0011,1769778863000,36
A0011,1770396533000,32
A0011,1770932343000,19
A0011,1771565723000,4
A0011,1772159023000,30
A0011,1772758373000,24
A0011,1773409634000,3
A0011,1773975418000,16
A0011,1774592703000,18
A0012,1767371687000,14
A0012,1767901968000,19
A0012,1768548766000,32
A0012,1769115528000,32
A0012,1769797503000,13
A0012,1770401343000,36
A0012,1770958273000,18
A0012,1771598462000,9
A0012,1772197939000,18
A0012,1772749311000,12
A0012,1773391900000,16
A0012,1774011188000,5
A0012,1774572983000,28
A0013,1767325900000,0
A0013,1767949731000,32
A0013,1768494005000,37
A0013,1769117378000,38
A0013,1769755481000,21
A0013,1770326484000,32
A0013,1770902993000,22
A0013,1771539373000,14
A0013,1772156311000,14
A0013,1772714477000,18
A0013,1773321886000,31
A0013,1773989503000,12
A0013,1774573251000,15
A0014,1767285798000,34
A0014,1767904096000,2
A0014,1768525056000,17
A0014,1769135959000,10
A0014,1769742072000,11
A0014,1770328343000,36
A0014,1770943577000,12
A0014,1771515137000,35
A0014,1772168929000,10
A0014,1772700032000,30
A0014,1773319051000,3
A0014,1773948143000,15
A0014,1774583411000,19
A0015,1767386422000,21
A0015,1767979749000,8
A0015,1768595772000,32
A0015,1769140250000,5
A0015,1769731742000,30
A0015,1770339240000,37
A0015,1770989924000,17
A0015,1771622647000,25
A0015,1772167814000,2
A0015,1772784664000,10
A0015,1773426447000,36
A0015,1773999543000,11
A0015,1774631698000,11
A0016,1767319618000,26
A0016,1767958425000,30
A0016,1768524547000,34
A0016,1769136637000,3
A0016,1769744952000,18
A0016,1770390612000,23
A0016,1770934840000,37
A0016,1771579143000,9
A0016,1772198200000,32
A0016,1772809389000,9
A0016,1773375691000,14
A0016,1774022870000,36
A0016,1774577110000,14
A0017,1767351750000,39
A0017,1767919653000,7
A0017,1768536125000,6
A0017,1769173052000,13
A0017,1769781723000,35
A0017,1770413917000,16
A0017,1770970317000,35
A0017,1771583719000,15
A0017,1772163179000,23
A0017,1772788068000,29
A0017,1773386457000,26
A0017,1774012191000,8
A0017,1774572186000,23
A0018,1767278412000,1
A0018,1767912836000,27
A0018,1768479895000,3
A0018,1769075792000,25
A0018,1769683430000,0
A0018,1770333434000,16
A0018,1770960909000,28
A0018,1771558815000,27
A0018,1772143905000,19
A0018,1772715638000,3
A0018,1773377143000,38
A0018,1773940376000,10
A0018,1774589078000,34
A0019,1767393979000,4
A0019,1767984534000,5
A0019,1768531618000,7
A0019,1769159805000,9
A0019,1769779234000,11
A0019,1770337045000,38
A0019,1770975278000,25
A0019,1771619438000,17
A0019,1772214320000,9
A0019,1772780562000,21
A0019,1773386129000,29
A0019,1773968564000,10
A0019,1774617272000,6
A0020,1767363898000,16
A0020,1767992158000,36
A0020,1768523392000,36
A0020,1769203367000,17
A0020,1769730538000,13
A0020,1770390790000,28
A0020,1770987568000,1
A0020,1771550719000,16
A0020,1772157274000,19
A0020,1772812734000,10
A0020,1773435330000,28
A0020,1773997856000,33
A0020,1774628741000,8
A0021,1767253514000,30
A0021,1767906791000,14
A0021,1768448335000,20
A0021,1769132959000,2
A0021,1769712928000,19
A0021,1770329532000,10
A0021,1770922973000,19
A0021,1771545226000,29
A0021,1772093990000,15
A0021,1772735291000,4
A0021,1773336683000,7
A0021,1773930157000,30
A0021,1774540825000,2
A0022,1767349295000,2
A0022,1767921397000,1
A0022,1768550302000,22
A0022,1769189569000,39
A0022,1769779519000,17
A0022,1770380768000,20
A0022,1770980813000,0
A0022,1771590747000,36
A0022,1772148752000,39
A0022,1772807628000,9
A0022,1773365592000,15
A0022,1773966709000,34
A0022,1774614563000,15
A0023,1767240368000,36
A0023,1767858090000,14
A0023,1768463293000,32
A0023,1769126216000,26
A0023,1769720032000,16
A0023,1770259408000,24
A0023,1770924629000,27
A0023,1771493422000,3
A0023,1772143248000,4
A0023,1772737397000,28
A0023,1773332574000,1
A0023,1773890127000,34
A0023,1774537953000,24
A0024,1767232364000,27
A0024,1767890548000,35
A0024,1768473578000,9
A0024,1769058126000,6
A0024,1769666885000,30
A0024,1770253801000,20
A0024,1770883293000,37
A0024,1771543826000,2
A0024,1772092636000,1
A0024,1772719219000,5
A0024,1773318898000,29
A0024,1773959597000,15
A0024,1774501704000,16
A0025,1767289215000,19
A0025,1767924576000,36
A0025,1768561127000,14
A0025,1769099428000,2
A0025,1769687993000,21
A0025,1770347447000,17
A0025,1770941853000,22
A0025,1771510309000,21
A0025,1772120467000,5
A0025,1772720939000,24
A0025,1773334369000,4
A0025,1773975560000,4
A0025,1774548592000,4
A0026,1767326743000,33
A0026,1767879578000,27
A0026,1768521124000,4
A0026,1769093315000,28
A0026,1769677793000,14
A0026,1770346225000,17
A0026,1770919530000,14
A0026,1771516162000,16
A0026,1772147588000,13
A0026,1772699421000,28
A0026,1773366539000,9
A0026,1773958069000,0
A0026,1774574911000,3
A0027,1767245759000,30
A0027,1767868898000,29
A0027,1768484445000,7
A0027,1769120279000,18
A0027,1769737507000,6
A0027,1770337443000,27
A0027,1770883303000,33
A0027,1771496034000,13
A0027,1772167573000,16
A0027,1772765275000,36
A0027,1773324459000,34
A0027,1773920254000,36
A0027,1774521887000,11
A0028,1767263330000,37
A0028,1767918975000,21
A0028,1768510531000,26
A0028,1769124187000,11
A0028,1769721318000,20
A0028,1770335039000,3
A0028,1770944379000,8
A0028,1771563434000,9
A0028,1772136842000,19
A0028,1772696262000,2
A0028,1773344830000,1
A0028,1773988476000,36
A0028,1774561290000,23
A0029,1767343634000,24
A0029,1767885208000,5
A0029,1768521445000,6
A0029,1769106808000,22
A0029,1769698074000,27
A0029,1770312934000,18
A0029,1770895769000,31
A0029,1771508697000,24
A0029,1772132430000,27
A0029,1772764303000,21
A0029,1773310715000,10
A0029,1773932653000,29
A0029,1774565151000,10
A0030,1767251852000,15
A0030,1767835744000,3
A0030,1768504859000,17
A0030,1769122685000,4
A0030,1769727562000,36
A0030,1770311704000,1
A0030,1770880733000,6
A0030,1771489496000,30
A0030,1772110681000,36
A0030,1772731871000,34
A0030,1773310693000,0
A0030,1773962771000,17
A0030,1774531835000,8
A0031,1767377507000,13
A0031,1767900314000,29
A0031,1768524045000,18
