account_id,event_time,amount,balance
A0000,1772952328000,12.54,3911.45
A0001,1768579898000,22.95,5266.56
A0003,1769405840000,36.31,4575.49
A0004,1771297414000,42.12,5611.63
A0006,1767277471000,78.03,5036.01
A0011,1770107730000,43.91,3972.35
A0012,1769183130000,28.1,6543.91
A0012,1771432892000,71.09,5778.75
A0013,1770500672000,9.55,6806.1
A0014,1768959010000,12.23,4850.37
A0014,1770137528000,50.0,5157.95
A0016,1767441425000,178.92,7691.37
A0016,1771395688000,13.61,7827.72
A0019,1768536285000,32.31,2615.36
A0020,1768612072000,22.19,4684.74
A0021,1768892236000,22.88,6783.67
A0023,1767306912000,36.12,3810.65
A0024,1771709209000,19.8,6093.18
A0025,1769062632000,17.7,2949.5
A0025,1771058553000,96.89,1980.06
A0026,1771709285000,15.13,4336.8
A0026,1772769940000,92.95,4520.16
A0034,1770889691000,17.94,2355.61
A0038,1769939884000,137.55,3706.05
A0040,1771270158000,14.81,4707.61
A0040,1772535321000,101.62,4636.62
A0041,1770857823000,75.73,7138.86
A0043,1768455096000,17.59,3373.99
A0043,1772222205000,29.74,2928.19
A0044,1769033847000,24.59,2222.9
A0045,1768154888000,48.64,4176.69
A0046,1772160976000,19.89,7136.79
A0049,1768336895000,7.74,1241.37
A0049,1772964895000,142.82,1978.31
A0053,1769846562000,17.45,3109.9
A0056,1769822171000,3.46,6731.1
A0059,1769860446000,20.71,3316.86
A0060,1767980474000,53.18,7485.04
A0060,1769737326000,24.54,6855.84
A0062,1771456250000,15.56,1724.15
A0063,1770939321000,41.17,5152.16
A0063,1771359488000,71.02,5050.6
A0063,1772412425000,38.56,5107.78
A0064,1767600135000,49.18,2852.35
A0067,1767226820000,4.33,2690.53
A0069,1768446804000,18.88,4457.74
A0069,1771046251000,27.38,5282.65
A0069,1771759429000,70.13,5460.46
A0074,1770213194000,228.73,5615.09
A0075,1767229167000,218.29,4533.91
A0076,1772293093000,11.7,3970.5
A0077,1771217970000,37.55,4795.41
A0081,1767927240000,159.93,5721.62
A0082,1772255400000,66.1,6426.35
A0084,1771161684000,5.61,8799.6
A0086,1772178917000,105.8,1785.56
A0087,1767266092000,30.57,6475.87
A0087,1768800379000,35.63,7513.96
A0087,1769514241000,15.02,6704.1
A0089,1772504676000,16.52,3722.06
A0090,1767243828000,6.05,6645.99
A0093,1772458807000,103.62,4303.84
A0094,1770720683000,25.25,3490.96
A0094,1771299586000,32.08,3414.23
A0095,1769632551000,149.92,4174.16
A0096,1772043270000,19.02,3744.14
A0098,1768285705000,126.81,5327.11
A0099,1772028318000,50.24,6461.1
