entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-11T00:00:00Z,0.7302,1.5142,1.2537,11.3818,3.367,3.1894
E0001,2026-01-11T00:00:00Z,1.671,1.0484,4.8037,9.5286,3.7666,4.4047
E0002,2026-01-11T00:00:00Z,0.2237,0.9941,2.1556,8.0763,2.6726,5.2238
E0003,2026-01-11T00:00:00Z,-0.4387,0.5169,5.9408,9.2637,2.5236,4.898
E0004,2026-01-11T00:00:00Z,1.1899,1.4121,2.4364,7.1892,1.4477,7.0471
E0005,2026-01-11T00:00:00Z,2.8479,0.7482,5.2156,8.6176,2.4253,2.1465
E0006,2026-01-11T00:00:00Z,0.9593,0.2086,0.1434,9.1386,3.8259,2.3295
E0007,2026-01-11T00:00:00Z,1.7483,0.5209,3.7053,10.4579,2.152,4.1309
E0008,2026-01-11T00:00:00Z,0.4534,1.5282,1.8746,10.3012,3.2296,4.8662
E0009,2026-01-11T00:00:00Z,0.2343,0.5229,4.3868,10.7731,2.6725,5.6899
E0010,2026-01-11T00:00:00Z,-2.1073,1.1009,3.5169,7.4659,3.2083,4.5125
E0011,2026-01-11T00:00:00Z,3.8555,0.82,1.2678,8.8667,3.6268,3.341
E0012,2026-01-11T00:00:00Z,2.8246,1.9701,4.9528,11.296,3.8526,0.6184
E0013,2026-01-11T00:00:00Z,1.8684,0.5346,0.4953,12.9254,2.5514,6.2937
E0014,2026-01-11T00:00:00Z,4.4382,1.1244,1.2475,8.5988,3.631,2.8592
E0015,2026-01-11T00:00:00Z,-1.7611,1.1998,4.5068,8.6313,2.6956,1.8248
E0016,2026-01-11T00:00:00Z,0.1598,0.4254,0.2076,9.5619,2.6082,1.53
E0017,2026-01-11T00:00:00Z,2.6359,0.067,2.5979,12.0313,1.4587,7.1149
E0018,2026-01-11T00:00:00Z,0.8667,1.1891,4.6356,8.4327,2.2339,5.9585
E0019,2026-01-11T00:00:00Z,2.3511,1.0591,2.4619,11.7512,1.6717,3.9477
E0020,2026-01-11T00:00:00Z,2.0943,1.5804,2.496,12.3844,3.1729,1.5489
E0021,2026-01-11T00:00:00Z,1.2362,0.7384,4.0895,9.465,2.4235,3.0647
E0022,2026-01-11T00:00:00Z,-0.42,1.1127,3.5016,9.8496,3.9599,3.9706
E0023,2026-01-11T00:00:00Z,0.0665,1.2423,5.1766,11.0979,2.2989,7.2695
E0024,2026-01-11T00:00:00Z,2.631,1.9222,3.0653,8.9426,2.1359,2.8119
E0025,2026-01-11T00:00:00Z,1.0927,0.4482,-0.6771,11.8524,2.6848,1.4022
E0026,2026-01-11T00:00:00Z,1.6327,0.5761,3.7689,7.6727,1.9798,6.7375
E0027,2026-01-11T00:00:00Z,1.9621,1.4782,2.7851,10.5262,2.323,5.0997
E0028,2026-01-11T00:00:00Z,2.2983,1.4301,0.3528,8.7199,1.9671,2.8939
E0029,2026-01-11T00:00:00Z,2.5824,0.3731,3.6743,9.3791,2.3638,5.4949
E0030,2026-01-11T00:00:00Z,4.8242,0.9658,4.0049,10.1181,2.4298,5.6349
E0031,2026-01-11T00:00:00Z,1.0513,2.4554,5.4888,13.8679,2.6692,2.7073
E0032,2026-01-11T00:00:00Z,2.8799,0.591,6.3118,8.7625,2.0412,5.9711
E0033,2026-01-11T00:00:00Z,1.6267,0.6528,2.8197,7.9827,2.946,6.4169
E0034,2026-01-11T00:00:00Z,-5.0694,0.3344,3.4522,7.5038,3.1728,5.1756
E0035,2026-01-11T00:00:00Z,0.9467,0.7987,2.7478,8.2634,3.6438,5.8267
E0036,2026-01-11T00:00:00Z,3.9629,1.4391,2.3677,12.7152,2.2298,-0.4185
E0037,2026-01-11T00:00:00Z,0.3211,1.6813,1.7183,13.4411,3.3158,1.3844
E0038,2026-01-11T00:00:00Z,-0.0802,0.995,2.9404,11.8896,2.6077,4.4905
