row_id,a_val
R00000,11.0655
R00001,12.0466
R00002,6.3503
R00003,16.0839
R00004,12.6586
R00005,7.3082
R00006,9.2766
R00007,7.2354
R00010,11.0869
R00011,13.8443
R00012,6.6331
R00014,8.9648
R00015,10.2706
R00016,6.9686
R00017,11.8915
R00018,7.4198
R00019,8.503
R00021,10.0636
R00022,17.5681
R00025,5.6655
R00026,8.6438
R00029,10.4783
R00030,9.7761
R00031,15.5739
R00032,9.7929
R00033,7.9892
R00034,5.5394
R00036,8.3134
R00037,16.0813
R00038,11.044
R00039,12.2442
R00040,6.1649
R00042,1.1959
R00044,1.9258
R00045,3.6687
R00047,11.3441
R00048,9.9014
R00050,16.7092
R00051,6.2883
R00052,11.6856
R00054,10.6019
R00055,12.4349
R00056,12.1146
R00058,9.3357
R00059,14.7823
R00062,12.0812
R00065,12.9345
R00067,16.2198
R00068,11.0095
R00069,8.6067
R00070,8.8422
R00071,9.8358
R00073,13.34
R00074,8.2118
R00075,10.4618
R00076,11.3111
R00077,9.4784
R00078,2.8819
R00079,14.8701
R00082,10.6602
R00083,18.1337
R00084,7.0158
R00085,7.5718
R00086,10.6945
R00088,17.1243
R00089,6.4711
R00090,7.0737
R00091,12.4813
R00092,5.8153
R00093,7.9676
R00094,8.4189
R00095,14.5376
R00096,8.7766
R00097,11.3286
R00098,2.8781
R00099,9.9182
R00100,12.2391
R00101,12.2169
R00102,1.6937
R00103,10.8935
R00104,5.0334
R00105,5.3566
R00106,9.3005
R00107,12.0795
R00108,4.989
R00109,15.6815
R00111,5.2697
R00112,8.8928
R00113,18.8256
R00114,13.2668
R00115,12.6176
R00116,5.4371
R00117,19.9227
R00119,13.4669
R00120,9.1621
R00122,6.9312
R00123,10.4493
R00124,12.8889
R00125,2.893
R00126,18.6859
R00127,13.589
R00128,11.7758
R00129,11.2725
R00131,10.8216
R00132,9.2487
R00133,7.7593
R00134,6.0238
R00135,6.878
R00136,12.6566
R00137,7.7022
R00138,6.8213
R00140,9.4491
R00141,4.7863
R00142,6.5205
R00143,10.447
R00145,12.6946
R00147,15.0779
R00148,2.8782
R00149,10.1569
R00150,7.963
R00151,3.7387
R00152,11.24
R00153,12.6768
R00156,13.3182
R00157,16.4083
R00158,13.0706
R00159,16.8583
R00160,8.7132
R00161,16.751
R00162,10.0035
R00163,9.3024
R00164,10.1215
R00165,9.2941
R00167,14.1008
R00169,10.5152
R00170,4.5371
R00171,13.2584
R00174,4.5405
R00175,9.8185
R00178,11.1806
R00179,15.8759
R00180,8.0091
R00181,7.3269
R00182,7.3739
R00183,3.9514
R00184,8.3701
R00185,10.5969
R00186,12.5483
R00187,7.6044
R00188,12.649
R00191,9.6144
R00192,8.1162
R00193,9.5666
R00194,12.5409
R00196,16.5846
R00197,7.0677
R00198,12.6801
R00199,17.2149
R00201,11.6587
R00202,9.9036
R00204,7.7176
R00206,6.1922
R00207,6.7641
R00208,14.989
R00210,7.485
R00211,8.5978
R00212,10.9143
R00213,14.2137
R00214,21.0535
R00215,4.3211
R00217,4.2484
R00220,2.2622
R00221,12.0882
R00223,11.3739
R00225,11.2874
R00226,16.3972
R00227,11.4158
R00228,5.0611
R00230,14.7407
R00231,9.7379
R00232,14.4914
R00233,7.3784
R00234,6.48
R00235,12.8986
R00236,12.5794
R00237,8.7532
R00238,9.0587
R00240,13.6796
R00241,8.7924
R00242,16.0109
R00243,9.1589
R00244,12.5131
R00246,13.7991
R00247,7.8525
R00249,17.0664
R00250,16.1653
R00251,10.1271
R00252,5.5009
R00253,18.6897
R00254,15.0174
R00255,11.0313
R00256,9.373
R00257,10.0005
R00258,13.982
R00259,5.5269
R00260,8.2574
R00261,1.6949
R00262,8.2542
R00263,17.8328
R00264,17.5435
R00265,6.2883
R00267,10.668
R00269,12.6559
R00272,13.3096
R00273,9.1318
R00274,13.4183
R00275,7.5144
R00277,11.8779
R00278,15.6341
R00279,20.2878
R00280,6.0093
R00281,1.7378
R00282,10.5533
R00283,6.2526
R00286,1.4916
R00287,12.2203
R00288,9.3596
R00289,10.0766
R00291,8.2096
R00293,15.6518
R00294,13.7077
R00295,8.0837
R00296,15.1157
R00298,8.6301
R00299,11.7948
R00300,4.336
R00301,15.168
R00302,8.3671
R00303,2.7028
R00304,4.9237
R00305,7.9134
R00306,18.6737
R00307,11.9952
R00308,14.6943
R00309,6.5238
R00311,8.4429
R00314,3.3613
R00317,-0.3099
R00318,6.3964
R00319,11.6969
