date,pm25_lag1,temperature,humidity,wind_speed,pressure,precipitation
2025-04-07,3.6,5.8,63,16.5,1020.5,0.0
2025-04-09,3.7,4.0,56,28.9,1014.4,0.3
2025-04-11,3.3,5.5,61,18.6,1003.4,0.0
2025-04-13,2.4,7.9,77,17.8,1003.5,0.1
2025-04-21,2.8,7.0,87,9.7,1009.3,0.3
2025-04-23,4.9,7.5,89,12.7,1013.9,1.6
2025-04-26,2.6,5.1,61,13.4,1024.0,0.0
2025-05-01,2.0,8.6,79,13.5,1013.6,0.3
2025-05-04,1.5,5.7,55,26.9,1003.6,0.1
2025-05-10,3.5,6.6,68,9.4,1020.5,0.0
2025-05-13,4.2,11.8,65,8.2,1011.6,2.1
2025-05-16,2.4,11.1,56,23.4,1012.7,0.1
2025-05-26,4.6,13.8,69,19.2,1003.1,1.1
2025-06-03,3.2,15.1,59,14.7,1005.3,0.0
2025-06-09,3.0,13.5,75,14.4,1002.2,9.1
2025-06-12,6.0,12.8,62,24.8,1020.2,0.0
2025-06-14,2.8,17.6,49,13.2,1021.8,0.0
2025-06-16,3.6,19.2,64,17.3,1007.4,0.2
2025-06-30,2.5,16.8,58,22.3,1011.0,0.0
2025-07-02,3.5,19.7,69,12.2,1010.2,0.6
2025-07-19,7.7,21.1,69,10.6,1010.3,0.0
2025-07-21,8.0,21.6,68,13.5,1006.7,0.0
2025-07-23,7.3,21.9,74,17.8,1004.7,0.9
2025-07-25,10.3,22.1,76,11.9,1006.6,0.6
2025-07-28,4.9,21.6,73,7.8,1003.1,5.6
2025-07-31,4.2,18.8,80,12.7,1005.2,2.8
2025-08-02,4.4,18.6,81,15.4,1003.8,3.0
2025-08-10,4.9,17.4,67,17.4,1011.6,0.1
2025-08-14,4.8,20.8,65,14.9,1019.2,0.0
2025-08-19,3.9,15.1,67,15.3,1008.0,0.4
2025-08-21,2.4,12.5,75,11.0,1004.7,1.9
2025-08-28,4.9,15.5,85,11.4,1006.2,0.0
2025-09-02,6.8,16.7,87,15.2,1008.4,1.6
2025-09-09,8.3,17.7,83,13.8,1019.1,0.0
2025-09-11,8.5,17.4,90,36.9,1005.0,15.0
2025-09-14,4.5,15.7,86,13.6,1010.8,4.4
2025-09-16,3.8,14.1,86,21.7,992.8,2.4
2025-09-21,4.3,16.6,82,22.1,997.1,1.2
2025-09-25,2.5,10.3,78,7.8,1029.9,0.0
2025-09-29,2.5,10.6,72,13.2,1029.9,0.0
2025-10-04,5.0,9.9,79,27.8,999.7,14.8
2025-10-12,2.1,8.5,67,25.8,1014.9,0.0
2025-10-17,3.8,3.3,80,13.2,1013.3,0.0
2025-10-31,4.4,6.5,92,15.3,1006.8,0.0
2025-11-03,4.8,7.1,92,11.8,1006.0,0.0
2025-11-07,7.9,9.0,93,9.5,1009.6,5.2
2025-11-10,7.2,5.4,92,5.8,1009.4,0.0
2025-11-13,6.0,6.9,90,20.7,993.7,3.4
2025-11-16,2.2,0.9,89,17.8,997.4,0.2
2025-11-19,4.2,-3.1,90,7.1,1001.2,2.8
2025-11-25,10.0,-2.1,97,7.2,1008.8,0.0
2025-11-30,4.7,5.4,96,17.5,1005.1,3.9
2025-12-02,3.8,5.1,85,22.6,1009.4,0.1
2025-12-17,11.6,5.1,95,19.8,1007.7,0.5
2025-12-29,1.7,-1.2,57,25.5,1004.4,0.1
2026-01-05,4.2,-7.6,85,20.5,1010.1,4.6
2026-01-09,4.7,-4.4,81,19.3,1016.3,0.1
2026-01-15,4.5,1.3,93,19.5,1009.9,0.0
2026-01-20,11.0,-1.5,95,10.5,1021.6,0.0
2026-01-28,2.7,-7.1,91,14.7,1011.5,0.0
2026-02-02,2.8,-8.1,85,8.7,1025.1,0.0
2026-02-04,3.6,-6.3,87,16.6,1022.5,0.0
2026-02-09,4.5,-8.4,87,15.0,1013.2,0.0
2026-02-12,5.7,-7.4,88,16.2,991.6,0.0
2026-02-16,6.7,-8.1,80,10.6,1007.8,0.0
2026-02-22,5.5,-4.5,84,17.3,1005.3,0.0
2026-02-28,6.9,2.6,98,14.4,1010.8,2.1
2026-03-04,7.2,3.4,67,19.2,1013.6,0.0
2026-03-06,5.1,4.0,78,14.4,1018.9,0.0
2026-03-13,5.9,6.0,79,29.6,997.6,1.9
2026-03-17,7.5,3.5,88,14.3,1017.4,0.0
2026-03-21,5.4,6.6,65,16.2,1016.1,0.0
2026-03-25,6.1,6.2,88,27.6,980.7,7.4
2026-03-28,2.8,4.1,81,18.4,1009.2,0.2
2026-03-30,4.0,4.1,82,25.8,1004.2,0.7
2026-04-02,4.3,7.1,89,13.8,1007.5,1.9
2026-04-09,2.6,2.3,64,10.9,1026.8,0.0
2026-04-11,3.4,3.8,66,10.1,1020.3,0.0
2026-04-13,5.5,6.3,70,15.3,1025.1,0.0
2026-04-19,5.4,6.0,62,16.7,1022.0,0.0
2026-04-22,4.3,9.0,59,17.7,1014.5,0.0
2026-04-25,2.6,6.2,63,25.3,998.0,1.3
2026-04-28,2.3,5.4,48,19.9,1023.6,0.2
2026-05-04,3.5,9.9,68,21.9,1000.8,5.3
2026-05-08,2.6,9.6,39,13.3,1023.0,0.0
2026-05-12,3.7,7.3,92,21.7,995.1,9.0
2026-05-15,4.2,10.5,72,14.8,1000.5,0.6
2026-05-17,4.2,10.9,69,16.8,1008.9,0.4
2026-05-25,2.3,15.9,56,16.6,1017.0,0.0
2026-06-01,3.9,15.2,66,15.7,1009.2,0.0
