row_id,account_id,event_time,amount,category
R00000,A0085,1767234900000,110.96,travel
R00001,A0071,1767255720000,16.49,grocery
R00002,A0100,1767264960000,18.24,grocery
R00003,A0063,1767281220000,75.85,other
R00004,A0085,1767306900000,40.99,salary
R00005,A0011,1767325200000,20.82,other
R00006,A0065,1767329940000,56.26,salary
R00007,A0075,1767335940000,46.42,other
R00008,A0079,1767336540000,51.88,other
R00009,A0072,1767342360000,24.74,travel
R00010,A0032,1767351120000,8.9,other
R00011,A0080,1767352920000,57.16,salary
R00012,A0014,1767354000000,33.03,grocery
R00013,A0082,1767372240000,2.68,salary
R00014,A0073,1767374160000,106.95,other
R00015,A0092,1767397320000,47.37,other
R00016,A0014,1767405180000,54.63,other
R00017,A0097,1767414180000,68.27,grocery
R00018,A0068,1767415260000,8.6,other
R00019,A0093,1767420540000,8.12,grocery
R00020,A0078,1767434340000,19.69,other
R00021,A0057,1767437220000,34.94,rent
R00022,A0051,1767453480000,5.58,other
R00023,A0061,1767461220000,3.38,grocery
R00024,A0069,1767472860000,28.43,grocery
R00025,A0066,1767480540000,3.0,grocery
R00026,A0001,1767496260000,37.69,grocery
R00027,A0114,1767496740000,122.02,salary
R00028,A0060,1767499800000,8.39,other
R00029,A0106,1767501480000,7.27,grocery
R00030,A0038,1767509040000,38.13,travel
R00031,A0060,1767517440000,79.27,salary
R00032,A0095,1767523560000,16.49,grocery
R00033,A0080,1767535260000,19.02,salary
R00034,A0001,1767545340000,12.78,rent
R00035,A0030,1767561600000,38.86,travel
R00036,A0077,1767565140000,12.67,grocery
R00037,A0054,1767577620000,13.73,travel
R00038,A0049,1767580620000,23.52,grocery
R00039,A0081,1767585600000,213.37,other
R00040,A0087,1767586140000,6.19,other
R00041,A0030,1767597420000,9.96,rent
R00042,A0108,1767602100000,32.84,travel
R00043,A0010,1767609240000,35.52,salary
R00044,A0032,1767613920000,3.42,grocery
R00045,A0071,1767618060000,12.99,travel
R00046,A0103,1767619560000,13.16,salary
R00047,A0052,1767642720000,28.08,salary
R00048,A0089,1767648720000,50.86,rent
R00049,A0033,1767649740000,7.96,travel
R00050,A0052,1767652260000,2.92,grocery
R00051,A0038,1767664440000,10.26,grocery
R00052,A0117,1767668820000,10.78,salary
R00053,A0078,1767672600000,62.5,grocery
R00054,A0043,1767678240000,189.46,salary
R00055,A0093,1767685260000,22.16,salary
R00056,A0007,1767685680000,27.01,grocery
R00057,A0038,1767685920000,3.29,rent
R00058,A0037,1767692220000,93.44,grocery
R00059,A0020,1767694860000,4.95,grocery
R00060,A0030,1767705480000,27.27,travel
R00061,A0098,1767740160000,292.22,grocery
R00062,A0033,1767744000000,50.71,salary
R00063,A0004,1767747420000,12.5,travel
R00064,A0048,1767757920000,47.66,other
R00065,A0045,1767765720000,23.19,grocery
R00066,A0110,1767783600000,18.8,salary
R00067,A0106,1767783660000,50.04,travel
R00068,A0039,1767786480000,13.72,grocery
R00069,A0090,1767786600000,42.67,rent
R00070,A0047,1767790740000,36.23,salary
R00071,A0077,1767809220000,9.61,salary
R00072,A0109,1767815520000,26.06,salary
R00073,A0008,1767818460000,14.71,salary
R00074,A0034,1767823140000,32.77,grocery
R00075,A0091,1767825120000,10.92,rent
R00076,A0110,1767858960000,66.65,salary
R00077,A0045,1767868320000,25.85,salary
R00078,A0031,1767882420000,63.34,rent
R00079,A0081,1767888840000,39.79,rent
R00080,A0030,1767889200000,138.19,rent
R00081,A0087,1767891180000,126.52,rent
R00082,A0033,1767897360000,36.82,other
R00083,A0032,1767909060000,40.52,rent
R00084,A0008,1767920760000,7.21,grocery
R00085,A0003,1767922260000,34.38,grocery
R00086,A0041,1767925680000,30.25,travel
R00087,A0067,1767930780000,9.51,other
R00088,A0030,1767934980000,9.79,grocery
R00089,A0066,1767942300000,12.38,other
R00090,A0011,1767946020000,23.65,salary
R00091,A0036,1767956400000,37.89,rent
R00092,A0070,1767959400000,36.21,salary
R00093,A0061,1767968520000,6.34,rent
R00094,A0095,1767977580000,58.63,other
R00095,A0085,1767999660000,8.1,travel
R00096,A0040,1768001100000,33.91,travel
R00097,A0037,1768003020000,11.66,grocery
R00098,A0073,1768004880000,21.23,other
R00099,A0119,1768030560000,24.4,travel
R00100,A0096,1768041240000,41.81,grocery
R00101,A0065,1768049100000,102.57,rent
R00102,A0032,1768050480000,3.08,rent
R00103,A0018,1768056240000,5.83,grocery
R00104,A0118,1768068480000,3.22,grocery
R00105,A0085,1768071600000,55.62,other
R00106,A0112,1768076160000,26.46,other
R00107,A0035,1768078560000,8.25,rent
R00108,A0028,1768078560000,37.18,salary
R00109,A0024,1768085040000,17.37,salary
R00110,A0094,1768090500000,45.3,rent
R00111,A0089,1768098180000,12.52,other
R00112,A0112,1768111440000,39.95,rent
R00113,A0108,1768146840000,10.69,grocery
R00114,A0076,1768158720000,33.32,other
R00115,A0074,1768158840000,3.2,rent
R00116,A0117,1768164900000,6.12,rent
R00117,A0046,1768173060000,18.78,rent
R00118,A0013,1768180920000,7.95,salary
R00119,A0021,1768187100000,12.04,rent
R00120,A0111,1768191480000,15.33,rent
R00121,A0080,1768191780000,8.81,rent
R00122,A0081,1768206720000,10.01,rent
R00123,A0003,1768207380000,8.04,salary
R00124,A0052,1768207620000,9.42,grocery
R00125,A0036,1768211220000,12.85,rent
R00126,A0078,1768211340000,5.79,salary
R00127,A0063,1768216800000,47.1,salary
R00128,A0101,1768222200000,75.83,rent
R00129,A0103,1768222500000,31.77,travel
R00130,A0075,1768222980000,36.52,rent
R00131,A0044,1768234020000,23.89,rent
R00132,A0105,1768234320000,13.09,rent
R00133,A0036,1768240860000,347.3,travel
R00134,A0066,1768242720000,3.85,travel
R00135,A0080,1768245000000,5.35,rent
R00136,A0115,1768250760000,6.31,rent
R00137,A0103,1768253640000,121.53,other
R00138,A0100,1768263960000,203.07,grocery
R00139,A0005,1768278840000,17.62,travel
R00140,A0046,1768284300000,38.39,other
R00141,A0014,1768292700000,32.96,grocery
R00142,A0003,1768310340000,10.38,rent
R00143,A0119,1768319580000,19.18,travel
R00144,A0064,1768325280000,19.34,grocery
R00145,A0014,1768339080000,86.77,other
R00146,A0073,1768352400000,43.95,rent
R00147,A0052,1768356660000,6.06,other
R00148,A0027,1768357620000,4.64,rent
R00149,A0018,1768377180000,42.42,grocery
R00150,A0063,1768378680000,24.1,salary
R00151,A0090,1768378740000,5.61,rent
R00152,A0036,1768380120000,17.56,other
R00153,A0012,1768388880000,6.67,other
R00154,A0072,1768399740000,14.63,travel
R00155,A0094,1768404480000,7.29,other
R00156,A0027,1768411380000,8.07,salary
R00157,A0093,1768413060000,7.68,grocery
R00158,A0028,1768421820000,5.73,salary
R00159,A0085,1768422420000,8.09,travel
R00160,A0033,1768446540000,12.75,grocery
R00161,A0092,1768446720000,7.52,rent
R00162,A0004,1768450380000,5.69,travel
R00163,A0060,1768457160000,4.45,salary
R00164,A0060,1768471320000,44.67,travel
R00165,A0059,1768487040000,23.04,travel
R00166,A0113,1768494300000,28.63,rent
R00167,A0093,1768495620000,23.56,rent
R00168,A0105,1768497960000,6.92,salary
R00169,A0017,1768498080000,4.86,salary
R00170,A0042,1768510320000,20.34,other
R00171,A0081,1768516800000,29.62,rent
R00172,A0066,1768536360000,326.91,travel
R00173,A0001,1768548840000,78.98,salary
R00174,A0100,1768550340000,13.48,salary
R00175,A0092,1768555440000,66.52,travel
R00176,A0102,1768569840000,28.36,rent
R00177,A0112,1768570740000,12.48,rent
R00178,A0065,1768577940000,56.27,travel
R00179,A0008,1768587360000,36.02,rent
R00180,A0038,1768589760000,11.3,other
R00181,A0022,1768593240000,10.11,other
R00182,A0025,1768604100000,6.65,travel
R00183,A0033,1768615260000,37.59,travel
R00184,A0022,1768616580000,19.07,rent
R00185,A0110,1768622040000,21.82,travel
R00186,A0111,1768625100000,8.32,grocery
R00187,A0027,1768648380000,6.01,travel
R00188,A0015,1768717680000,33.44,travel
R00189,A0074,1768719180000,119.11,travel
R00190,A0091,1768720860000,11.49,travel
R00191,A0010,1768722900000,16.37,other
R00192,A0021,1768724160000,65.01,rent
R00193,A0025,1768734360000,12.88,grocery
R00194,A0035,1768740060000,10.75,other
R00195,A0095,1768748760000,66.28,rent
R00196,A0064,1768759860000,61.46,other
R00197,A0108,1768781340000,18.83,rent
R00198,A0102,1768787280000,12.66,rent
R00199,A0005,1768788900000,52.29,other
R00200,A0032,1768814640000,6.81,travel
R00201,A0022,1768816260000,129.6,other
R00202,A0049,1768819260000,15.98,salary
R00203,A0006,1768820220000,4.52,rent
R00204,A0026,1768843500000,22.41,other
R00205,A0116,1768845360000,19.45,salary
R00206,A0082,1768845540000,68.41,other
R00207,A0094,1768848000000,6.03,salary
R00208,A0038,1768848720000,58.91,travel
R00209,A0117,1768856460000,30.87,travel
R00210,A0020,1768866540000,18.1,other
R00211,A0067,1768879380000,47.48,other
R00212,A0113,1768902540000,40.74,grocery
R00213,A0026,1768904520000,6.14,other
R00214,A0084,1768911600000,24.83,rent
R00215,A0082,1768917960000,37.01,salary
