entity_id,f1,f2,f3,f4,f5
E0000,11.914868,30.534611,3.183329,1.708658,2.115255
E0001,3.328232,7.393173,12.499212,14.087947,2.282356
E0002,13.58942,4.965831,13.74262,7.011881,1.314673
E0003,4.358998,15.076733,6.487862,17.728874,1.686791
E0004,4.234636,7.588885,3.684075,6.595305,1.721055
E0005,10.28284,3.560846,4.600697,4.498795,1.476715
E0006,11.408995,8.73622,5.04901,3.895571,1.379414
E0007,3.275652,16.646193,7.583093,12.487901,2.592299
E0008,10.045946,1.437919,2.44582,5.962769,2.674497
E0009,7.891043,2.380152,6.529048,32.442737,2.376011
E0010,3.756146,17.881924,5.145013,2.822747,2.735357
E0011,35.024399,27.860888,3.733279,3.061229,1.266642
E0012,4.206692,9.006895,5.283816,8.42651,1.575646
E0013,7.948976,5.845056,7.72852,7.569678,2.59694
E0014,5.785691,4.727008,4.67682,4.880989,2.781943
E0015,7.844597,5.482188,11.89539,5.579107,1.407633
E0016,3.153223,5.650215,16.233636,3.481024,2.511758
E0017,9.395429,5.94127,2.327085,8.852104,1.837878
E0018,7.97426,10.718518,9.593478,0.310193,2.518029
E0019,15.033853,17.768862,2.46433,3.512213,2.258391
E0020,3.589139,6.290373,18.784174,70.88679,1.360161
E0021,5.470521,7.712588,18.368437,0.946491,2.245288
E0022,7.217602,7.681047,7.016699,1.393077,3.174542
E0023,5.165083,7.2119,3.194508,11.779873,1.201914
E0024,27.353023,18.238954,2.009427,15.310876,2.381139
E0025,24.068708,10.765939,2.278558,2.143122,2.526477
E0026,11.066537,15.291458,5.525747,13.432429,3.530966
E0027,10.564173,20.759061,3.46786,4.603485,2.762801
E0028,14.21823,14.660795,6.220661,15.515119,2.512995
E0029,10.648574,7.483311,1.262736,14.165431,1.285318
E0030,19.343905,20.962207,5.362056,5.046589,1.964206
E0031,3.202438,9.439203,3.916965,7.416683,2.992707
E0032,5.597556,17.144153,12.28701,9.800299,2.898026
E0033,2.18178,2.710473,8.484502,6.762781,2.271806
E0034,5.564651,2.766955,21.883909,2.127954,1.623907
E0035,15.45149,5.723841,8.555626,6.38335,2.652585
E0036,9.620462,2.692805,3.707098,3.609021,2.153976
E0037,5.104478,5.951788,12.238738,18.157066,2.910598
E0038,15.138538,5.273643,6.839955,4.317304,1.430961
E0039,8.25464,10.073342,3.381399,15.784605,3.160823
E0040,8.614699,14.167972,13.994124,5.47861,1.461968
E0041,10.63671,15.258728,3.440592,4.572477,2.364952
E0042,8.292826,32.027604,7.146824,26.085761,2.380687
E0043,10.536689,2.792381,12.698263,2.569897,2.336384
E0044,2.470045,12.274818,9.701849,6.957107,2.789681
E0045,9.757896,7.579052,1.914793,1.082543,2.597045
E0046,4.287534,15.987696,7.724874,17.508969,2.464401
E0047,7.959397,1.121824,1.961324,4.726554,1.11776
E0048,11.982292,5.585124,8.779346,10.487698,2.713153
E0049,7.26926,0.930775,21.070058,15.894967,2.78401
E0050,19.319201,8.276299,1.537485,4.217865,2.13058
E0051,11.354126,7.221704,5.604488,4.546606,1.681821
E0052,13.406952,8.096493,28.645434,8.439776,1.546142
E0053,62.033601,17.162753,4.456541,0.986106,1.847215
E0054,15.274218,26.448395,9.38069,32.215566,2.820829
E0055,5.586089,14.584389,39.092589,2.629269,3.236859
E0056,3.760805,4.840697,6.072075,24.656976,1.644803
E0057,2.888781,18.766606,10.418605,5.633722,2.80354
E0058,5.622777,1.783654,4.184442,38.771777,1.711493
E0059,19.679696,9.028601,5.93869,6.534728,3.169676
E0060,14.286615,2.754084,1.833156,11.213961,1.88333
E0061,8.767924,11.477964,4.39954,8.638024,2.3401
E0062,20.816014,14.131888,45.504004,10.152688,1.914165
E0063,8.605278,8.97609,5.928359,3.902022,1.4715
E0064,4.296455,45.517469,18.735214,12.955382,2.122941
E0065,8.969907,4.521854,3.720275,2.41202,2.243236
E0066,14.719664,3.327832,3.485068,15.620743,1.612766
E0067,11.098182,2.655441,5.600687,38.600265,2.291342
E0068,38.552591,6.924854,11.252645,19.965303,1.908972
E0069,3.297749,3.727248,3.067841,12.211773,2.040225
E0070,7.772837,13.369091,5.69453,10.220768,2.495696
E0071,2.333509,7.039072,5.926805,5.890506,1.732704
E0072,7.420898,5.613534,14.627113,6.559801,2.224117
E0073,28.555334,1.956192,24.270689,13.79084,0.907215
E0074,2.974524,3.34392,7.923112,20.370268,2.176285
E0075,2.952876,5.799678,13.131525,3.262507,1.944677
E0076,8.560565,3.960535,2.073545,5.134828,1.501456
E0077,20.820284,4.786112,4.574058,3.974143,1.269647
E0078,4.056252,7.186008,11.092308,31.676589,2.208574
E0079,11.737789,23.091791,8.400882,1.401626,2.979485
E0080,7.282002,4.915458,14.099608,3.729132,2.322565
E0081,7.905015,5.921928,5.811335,31.114015,1.520686
E0082,12.898909,0.962143,40.653932,32.607834,2.848065
E0083,3.016581,13.56045,26.642266,13.966778,2.096966
E0084,12.425916,10.347593,9.45509,14.513376,2.886377
E0085,10.755298,3.477639,8.490122,10.524216,2.115184
E0086,9.623814,39.768469,17.417529,30.854157,2.610225
E0087,7.504003,7.021344,8.817806,24.812451,2.648439
E0088,1.698626,7.349273,14.787406,2.697316,2.169946
E0089,5.617728,29.411204,9.583636,2.718185,1.633714
E0090,8.560867,4.467442,6.469828,4.857615,1.640758
E0091,3.16612,11.791192,42.385069,7.361809,2.63191
E0092,17.160905,8.193732,7.054543,2.953846,1.606889
E0093,6.566209,15.654969,20.659795,5.938394,1.720049
E0094,8.25948,11.385693,27.643841,14.305432,3.212223
E0095,6.366898,7.967182,1.786151,14.935509,2.532463
E0096,8.90577,3.492666,20.81809,12.103922,1.490236
E0097,3.574177,8.947143,11.642313,6.564524,1.541741
E0098,6.098468,15.452001,2.055655,6.922326,3.32855
E0099,2.857428,15.737896,17.04421,3.713177,2.988388
E0100,3.816218,8.202769,20.311601,16.127433,2.435535
E0101,8.997962,7.91504,6.853952,10.465379,1.762988
E0102,44.162529,13.416801,5.379958,4.857286,1.370366
E0103,11.044922,7.521608,11.278304,5.96219,2.201467
E0104,7.542593,9.318839,2.643144,20.430699,1.859886
E0105,12.038479,3.698209,9.646982,6.807937,2.916949
E0106,17.911643,7.297338,13.967279,15.940215,1.661496
E0107,5.198155,5.902314,3.677807,7.484189,2.132125
E0108,3.084188,9.872373,4.018077,4.493196,2.195383
E0109,3.000424,46.75148,3.107254,6.063702,2.147434
E0110,5.578779,2.553763,5.926208,1.058189,2.474355
E0111,10.949744,34.447273,13.387744,4.027322,2.061725
E0112,8.5476,5.923592,16.626083,5.629362,1.771451
E0113,14.721622,7.434321,8.062881,0.876447,1.717626
E0114,3.403781,8.133349,16.317458,18.939788,1.847138
E0115,7.78537,4.427933,39.171684,2.289954,1.444167
E0116,1.248442,11.222203,4.350217,4.927884,0.966364
E0117,4.773387,4.687751,8.91761,3.246659,2.463348
E0118,8.00416,2.886313,24.087518,7.154236,2.939247
E0119,15.66982,12.495202,1.993257,82.394222,2.181049
E0120,1.943818,12.066904,2.041649,5.334966,2.359522
E0121,3.979706,5.047442,8.747871,11.834159,2.301465
E0122,5.336191,11.368217,6.720045,7.317708,1.961083
E0123,3.794271,2.833456,10.042008,22.844605,2.674613
E0124,11.324505,8.14211,8.361395,8.969629,2.403012
