row_id,status,balance,updated_at
R00140,closed,6154.85,1770301200000
R00059,closed,5034.41,1769960280000
R00113,active,5787.81,1770225120000
R00274,dormant,1358.92,1770073260000
R00100,active,3985.27,1770241440000
R00143,dormant,6852.52,1770043740000
R00142,closed,1798.15,1770476820000
R00040,closed,7162.8,1769988780000
R00133,closed,7581.31,1770256440000
R00052,closed,4072.59,1770362460000
R00277,active,8165.1,1770206760000
R00380,active,7902.65,1770367860000
R00208,active,8389.99,1770016260000
R00130,dormant,3068.28,1770175800000
R00385,active,6384.81,1770101220000
R00266,active,6219.91,1770017760000
R00160,closed,3492.58,1769946300000
R00396,closed,6705.89,1769962320000
R00398,active,4136.83,1770038220000
R00212,closed,7149.41,1770083400000
R00115,dormant,5585.09,1769947980000
R00197,active,5549.43,1770430260000
R00128,active,3287.55,1770320520000
R00153,active,6052.69,1770439680000
R00062,dormant,2623.21,1770234600000
R00321,dormant,7155.26,1769937840000
R00182,active,8123.57,1770222180000
R00151,closed,3527.39,1770442440000
R00313,closed,5666.81,1770171660000
R00144,active,4427.59,1770248700000
R00379,closed,4755.32,1769995740000
R00287,closed,3841.87,1770228060000
R00272,active,4715.83,1770023580000
R00352,dormant,8307.63,1770463440000
R00331,closed,7913.33,1770326940000
R00238,closed,2568.85,1770025920000
R00343,closed,3797.01,1770130260000
R00314,dormant,3737.03,1770234300000
R00170,active,7702.99,1770107940000
R00249,dormant,4740.79,1770430260000
R00283,active,4898.79,1770462300000
R00018,active,3488.38,1770210660000
R00132,dormant,6111.59,1770499320000
R00117,closed,7799.42,1770373500000
R00016,active,4855.66,1770373500000
R00030,dormant,5138.53,1770103140000
R00236,closed,4778.39,1770339240000
R00362,dormant,5358.77,1770060180000
R00050,active,4608.87,1770097020000
R00259,closed,4261.46,1770257940000
R00269,active,9750.69,1769978520000
R00015,dormant,8206.62,1770493740000
R00367,active,4547.29,1770271680000
R00347,closed,8301.3,1770238140000
R00221,closed,4974.6,1770422400000
R00119,active,7664.17,1770009660000
R00234,closed,3884.97,1769948160000
R00340,dormant,8419.84,1770317400000
R00222,closed,6009.42,1770490620000
R00046,active,-512.33,1769934540000
R00363,closed,5391.09,1770092820000
R00111,dormant,5162.97,1770047160000
R00027,active,5277.16,1770006300000
R00276,closed,5473.69,1770380820000
R00316,closed,4382.19,1769966400000
R00355,closed,10536.12,1770029520000
R00118,closed,5887.65,1770138420000
R00311,closed,705.62,1770431400000
R00375,dormant,3817.53,1770296820000
R00102,active,4709.85,1770391140000
R00148,active,2043.63,1770344100000
R00056,dormant,6063.29,1770241680000
R00332,closed,4081.9,1770055020000
R00294,dormant,4656.4,1770310860000
R00007,closed,3259.97,1770453060000
R00002,closed,5613.17,1770084720000
R00348,active,5277.07,1770440760000
R00083,closed,6037.89,1770042960000
R00017,dormant,5517.62,1770179640000
R00199,dormant,8085.91,1770456420000
R00253,active,4277.24,1770335280000
R00329,closed,5294.44,1770002580000
R00335,active,2958.57,1770350400000
R00139,active,4334.56,1770282600000
R00070,closed,4777.19,1770398520000
R00069,dormant,4142.58,1770150840000
R00098,active,6048.28,1770387780000
R00210,closed,5200.24,1770056880000
R00061,dormant,6317.35,1769966220000
R00345,dormant,8304.49,1770405960000
