row_id,account_id,event_time,amount,category
R00095,A0146,1772496540000,5.54,other
R00096,A0072,1772496780000,14.76,other
R00097,A0021,1772496840000,7.73,travel
R00098,A0053,1772497140000,78.52,salary
R00099,A0020,1772497200000,5.98,grocery
R00100,A0062,1772497200000,15.65,grocery
R00101,A0130,1772497380000,10.73,travel
R00102,A0052,1772497500000,81.64,other
R00103,A0036,1772501760000,17.89,salary
R00104,A0050,1772502300000,12.76,rent
R00105,A0113,1772503020000,9.03,grocery
R00106,A0114,1772503440000,5.28,travel
R00107,A0036,1772504040000,7.75,salary
R00108,A0081,1772505660000,72.02,other
R00109,A0093,1772506020000,33.14,salary
R00110,A0029,1772506440000,7.1,grocery
R00111,A0019,1772508360000,19.07,rent
R00112,A0061,1772509980000,76.23,salary
R00113,A0130,1772510820000,14.39,travel
R00114,A0000,1772511600000,16.58,travel
R00115,A0140,1772511600000,28.92,rent
R00116,A0129,1772511660000,11.66,rent
R00117,A0112,1772511720000,8.69,other
R00118,A0096,1772512200000,6.85,travel
R00119,A0014,1772512920000,11.96,other
R00120,A0051,1772514240000,150.77,rent
R00121,A0098,1772514600000,12.89,salary
R00122,A0071,1772514720000,15.28,other
R00123,A0145,1772515740000,3.6,salary
R00124,A0109,1772516580000,145.46,travel
R00125,A0109,1772517540000,205.18,grocery
R00126,A0076,1772521080000,13.57,travel
R00127,A0031,1772521680000,11.29,salary
R00128,A0050,1772521740000,14.97,travel
R00129,A0032,1772523420000,22.64,other
R00130,A0057,1772523600000,11.42,rent
R00131,A0096,1772524260000,57.74,rent
R00132,A0038,1772524560000,14.65,grocery
R00133,A0107,1772525040000,37.78,other
R00134,A0046,1772525760000,2.21,grocery
R00135,A0077,1772526120000,22.62,travel
R00136,A0074,1772527860000,27.97,salary
R00137,A0047,1772528880000,9.1,travel
R00138,A0091,1772529180000,5.05,other
R00139,A0033,1772530560000,5.37,grocery
R00140,A0120,1772532120000,68.31,rent
R00141,A0010,1772532420000,16.4,salary
R00142,A0075,1772532900000,3.87,grocery
R00143,A0126,1772534100000,31.5,travel
R00144,A0007,1772534460000,64.9,other
R00145,A0138,1772534700000,14.53,rent
R00146,A0130,1772534820000,22.82,salary
R00147,A0020,1772536020000,19.14,salary
R00148,A0087,1772536500000,56.77,other
R00149,A0050,1772536920000,86.99,grocery
R00150,A0001,1772537520000,10.61,rent
R00151,A0081,1772539140000,19.97,grocery
R00152,A0088,1772539320000,46.37,other
R00153,A0052,1772540340000,6.93,grocery
R00154,A0091,1772541300000,14.49,grocery
R00155,A0149,1772541660000,8.98,grocery
R00156,A0113,1772543040000,21.83,grocery
R00157,A0105,1772543160000,29.31,rent
R00158,A0119,1772543940000,42.78,travel
R00159,A0074,1772544180000,25.27,other
R00160,A0053,1772545260000,26.0,other
R00161,A0137,1772545620000,9.46,other
R00162,A0006,1772550660000,15.4,salary
R00163,A0145,1772550660000,4.68,salary
R00164,A0130,1772551260000,33.26,rent
R00165,A0092,1772551560000,7.82,salary
R00166,A0035,1772551560000,18.87,travel
R00167,A0090,1772552460000,30.65,other
R00168,A0130,1772552760000,13.06,rent
R00169,A0044,1772553000000,60.48,travel
R00170,A0060,1772553540000,75.92,grocery
R00171,A0050,1772554020000,21.13,grocery
R00172,A0083,1772554620000,32.42,grocery
R00173,A0045,1772555880000,104.69,other
R00174,A0062,1772556720000,26.72,rent
R00175,A0067,1772557080000,18.46,other
R00176,A0097,1772557200000,27.41,salary
R00177,A0008,1772558460000,11.51,grocery
R00178,A0063,1772559420000,152.45,salary
R00179,A0147,1772559420000,57.89,salary
R00180,A0094,1772559660000,14.27,travel
R00181,A0058,1772562120000,6.92,salary
R00182,A0017,1772562420000,4.11,salary
R00183,A0080,1772563380000,15.11,grocery
R00184,A0127,1772563680000,5.44,travel
R00185,A0080,1772563920000,26.06,other
R00186,A0145,1772564040000,50.8,salary
R00187,A0066,1772565000000,19.65,salary
R00188,A0032,1772566140000,16.01,other
R00189,A0141,1772566200000,217.96,other
R00190,A0143,1772567340000,49.91,other
R00191,A0112,1772567340000,82.62,salary
R00192,A0014,1772567700000,34.68,rent
R00193,A0149,1772568000000,13.31,rent
R00194,A0087,1772569020000,66.63,travel
R00195,A0110,1772569140000,21.37,rent
R00196,A0143,1772571300000,15.01,rent
R00197,A0106,1772573400000,31.4,rent
R00198,A0026,1772576820000,17.66,other
R00199,A0066,1772579820000,8.72,other
R00200,A0023,1772580420000,41.44,grocery
R00201,A0031,1772581500000,4.98,travel
R00202,A0052,1772581800000,8.45,other
