account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773508161000,19.21,430.58,637,silver,6,90.22,0
A0001,1772752043000,27.67,5758.24,330,gold,33,13.97,1
A0002,1772901264000,23.03,4537.92,748,gold,37,90.48,0
A0003,1772024168000,23.35,4551.95,746,silver,6,89.33,0
A0004,1773578614000,33.94,6088.24,630,silver,32,5.22,1
A0005,1771986214000,23.16,6335.94,332,gold,12,90.3,0
A0006,1773412211000,20.12,6420.58,511,silver,21,9.75,1
A0007,1772189270000,56.76,5982.02,503,silver,16,7.31,1
A0008,1772974151000,12.16,6957.48,577,gold,16,86.17,0
A0009,1772876306000,35.0,9425.3,376,bronze,1,85.27,0
A0010,1773224088000,115.29,4039.01,710,silver,17,93.86,0
A0011,1772095439000,25.47,5056.39,760,silver,18,9.94,1
A0012,1772981518000,69.49,6038.95,751,gold,37,13.57,1
A0013,1772105010000,24.76,2846.28,407,silver,7,88.1,0
A0014,1773525294000,29.14,6930.47,695,gold,27,86.89,0
A0015,1772681134000,6.89,5485.05,402,silver,4,94.09,0
A0016,1773349926000,52.62,3992.02,300,silver,28,11.89,1
A0017,1773618648000,84.29,2518.24,518,gold,5,94.49,0
A0018,1772814385000,45.87,4063.98,316,gold,10,87.4,0
A0019,1773048704000,25.83,7900.54,414,gold,6,93.62,0
A0020,1772776791000,143.85,2886.78,559,silver,13,11.16,1
A0021,1772777632000,126.79,3790.02,612,silver,35,86.36,0
A0022,1773547477000,65.62,4505.08,791,gold,8,7.7,1
A0023,1773047091000,18.01,4047.39,599,bronze,1,6.01,1
A0024,1773697401000,6.32,4714.94,711,bronze,9,8.23,1
A0025,1772710633000,374.59,5719.63,559,gold,3,6.71,1
A0026,1772018661000,99.98,5210.94,411,silver,4,9.35,1
A0027,1772630936000,221.36,2765.43,327,silver,15,13.07,1
A0028,1773665533000,300.65,8165.32,670,silver,5,9.86,1
A0029,1773650525000,340.17,9173.87,626,silver,16,85.02,0
A0030,1773691563000,84.91,7226.01,448,bronze,11,7.82,1
A0031,1773346029000,484.34,6602.98,848,bronze,2,13.8,1
A0032,1772935169000,86.36,6568.46,602,bronze,25,8.21,1
A0033,1773249670000,60.14,2424.87,308,silver,26,89.99,0
A0034,1773166713000,64.82,8573.99,622,bronze,25,93.23,0
A0035,1772745636000,27.39,7133.91,811,silver,13,13.02,1
A0036,1773615957000,30.09,4963.21,690,bronze,16,8.48,1
A0037,1772321537000,25.47,5289.13,511,bronze,5,89.28,0
A0038,1773292639000,41.55,4550.41,780,bronze,30,89.43,0
A0039,1773408417000,10.97,7153.09,437,gold,1,94.48,0
A0040,1773467111000,59.99,7697.47,456,silver,12,88.12,0
A0041,1772052444000,64.38,5311.73,783,bronze,28,9.25,1
A0042,1772076533000,59.18,8218.83,406,gold,9,89.39,0
A0043,1773568509000,3.56,8500.58,531,gold,12,85.16,0
A0044,1772670112000,32.23,2752.32,526,bronze,6,91.14,0
A0045,1772045995000,22.1,6403.84,725,bronze,25,94.8,0
