entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-01-01T00:00:00Z,12.4264,1.7602,3.1138,2.9905,3.523,1.724
E0001,2026-01-01T00:00:00Z,5.5202,2.3718,-0.0491,4.2003,3.4726,0.6328
E0002,2026-01-01T00:00:00Z,9.2039,3.3578,0.8741,3.5393,2.4066,0.2847
E0003,2026-01-01T00:00:00Z,9.861,1.0408,3.0948,7.4977,2.8603,-2.2692
E0004,2026-01-01T00:00:00Z,8.0389,5.4576,3.0787,1.942,3.5381,-3.5244
E0005,2026-01-01T00:00:00Z,8.3432,1.2883,1.9962,3.4621,3.2577,1.2488
E0006,2026-01-01T00:00:00Z,7.593,2.9336,3.9949,4.0625,3.1879,0.4293
E0007,2026-01-01T00:00:00Z,9.4124,2.9203,-0.9967,4.5838,3.8545,-0.0478
E0008,2026-01-01T00:00:00Z,10.5483,3.8808,1.9898,0.0524,2.9956,1.3447
E0009,2026-01-01T00:00:00Z,9.8091,3.3598,3.6893,0.7451,1.966,-0.4433
E0010,2026-01-01T00:00:00Z,9.8406,3.032,1.8772,2.8703,4.6776,0.8673
E0011,2026-01-01T00:00:00Z,9.4128,3.5291,1.6808,3.3656,3.5771,1.0867
E0012,2026-01-01T00:00:00Z,7.46,2.8314,1.7263,2.4296,2.1149,-1.1201
E0013,2026-01-01T00:00:00Z,11.1999,2.7835,3.4693,5.093,1.7345,0.6696
E0014,2026-01-01T00:00:00Z,9.2949,1.9108,0.132,4.2315,3.9599,3.1771
E0015,2026-01-01T00:00:00Z,8.3504,3.7424,0.696,-0.2213,3.3461,3.1739
E0016,2026-01-01T00:00:00Z,5.7263,3.7306,-2.0625,4.2635,2.8739,0.8411
E0017,2026-01-01T00:00:00Z,6.375,1.766,4.6284,6.7706,2.9485,3.2456
E0018,2026-01-01T00:00:00Z,13.1942,1.529,3.0918,6.3805,2.0617,0.6728
E0019,2026-01-01T00:00:00Z,9.8214,1.812,1.9141,4.4232,3.2632,1.0611
E0020,2026-01-01T00:00:00Z,12.0412,2.9007,2.0204,4.2266,2.1403,-1.0499
E0021,2026-01-01T00:00:00Z,4.9321,2.6996,0.7063,2.5515,2.1016,-1.8065
E0022,2026-01-01T00:00:00Z,5.3678,2.5234,1.3488,3.5855,4.5746,1.673
E0023,2026-01-01T00:00:00Z,7.2948,5.2988,-0.1643,6.2846,3.2694,0.3478
E0024,2026-01-01T00:00:00Z,7.5046,4.5064,0.3982,1.5311,3.1406,-0.1308
E0025,2026-01-01T00:00:00Z,9.6476,3.1533,0.7164,4.8114,3.8675,2.7772
E0026,2026-01-01T00:00:00Z,8.4804,4.9281,-0.1643,3.9345,3.2115,-0.9595
E0027,2026-01-01T00:00:00Z,7.8529,3.3034,3.8475,4.1057,2.0575,2.1571
E0028,2026-01-01T00:00:00Z,7.3872,3.628,0.6613,3.9774,4.2838,1.3808
E0029,2026-01-01T00:00:00Z,10.8525,2.3248,0.4244,-0.725,2.9284,1.9478
E0030,2026-01-01T00:00:00Z,10.3404,3.7415,-0.5625,3.1627,2.6125,1.3173
E0031,2026-01-01T00:00:00Z,10.0618,4.4688,-0.084,4.8066,3.1126,-0.0696
E0032,2026-01-01T00:00:00Z,7.767,4.2392,1.2542,2.1897,2.0249,2.3933
E0033,2026-01-01T00:00:00Z,7.2493,1.8204,-0.0024,3.3622,3.5418,0.4524
