row_id,account_id,event_time,amount,category
R00589,A0027,1772842260000,16.36,rent
R00590,A0082,1772842740000,22.33,grocery
R00591,A0020,1772845020000,56.15,rent
R00592,A0042,1772846220000,46.52,salary
R00593,A0128,1772847000000,6.01,other
R00594,A0139,1772848680000,10.25,travel
R00595,A0019,1772849220000,83.15,other
R00596,A0121,1772849640000,9.29,grocery
R00597,A0123,1772849700000,5.66,travel
R00598,A0019,1772850000000,21.22,travel
R00599,A0142,1772852280000,4.46,other
R00600,A0059,1772854620000,44.54,rent
R00601,A0024,1772854800000,44.94,other
R00602,A0136,1772854800000,18.73,rent
R00603,A0049,1772855040000,17.67,rent
R00604,A0003,1772855040000,3.17,rent
R00605,A0126,1772855880000,8.99,grocery
R00606,A0077,1772856180000,2.55,salary
R00607,A0103,1772856840000,13.64,travel
R00608,A0058,1772857560000,6.84,grocery
R00609,A0138,1772860500000,52.95,grocery
R00610,A0067,1772860620000,260.27,other
R00611,A0024,1772861340000,3.32,other
R00612,A0130,1772861400000,41.97,other
R00613,A0085,1772862180000,24.03,travel
R00614,A0084,1772862540000,27.73,travel
R00615,A0053,1772862780000,35.73,grocery
R00616,A0110,1772864100000,8.24,other
R00617,A0062,1772864220000,186.97,travel
R00618,A0096,1772864580000,4.98,salary
R00619,A0054,1772865720000,23.42,travel
R00620,A0128,1772866140000,7.29,rent
R00621,A0138,1772866200000,4.44,grocery
R00622,A0063,1772866320000,67.63,rent
R00623,A0028,1772866500000,45.46,salary
R00624,A0037,1772867820000,16.33,salary
R00625,A0020,1772867940000,10.74,other
R00626,A0042,1772868180000,3.0,rent
R00627,A0007,1772868360000,15.87,salary
R00628,A0024,1772868540000,33.01,rent
R00629,A0031,1772868660000,58.01,other
R00630,A0044,1772869200000,7.28,rent
R00631,A0073,1772870460000,77.36,grocery
R00632,A0001,1772870640000,26.59,travel
R00633,A0120,1772871600000,59.78,salary
R00634,A0024,1772871900000,24.51,grocery
R00635,A0077,1772872320000,18.22,rent
R00636,A0006,1772872380000,17.56,other
R00637,A0123,1772872740000,9.06,travel
R00638,A0029,1772872800000,6.82,other
R00639,A0061,1772873520000,25.91,rent
R00640,A0027,1772874120000,24.33,grocery
R00641,A0036,1772874120000,10.03,grocery
R00642,A0070,1772875740000,75.29,other
R00643,A0017,1772876040000,18.75,other
R00644,A0015,1772876460000,5.01,rent
R00645,A0080,1772876760000,23.82,salary
R00646,A0098,1772877840000,76.84,salary
R00647,A0029,1772878200000,14.38,salary
R00648,A0025,1772878260000,39.61,travel
R00649,A0019,1772879220000,51.61,salary
R00650,A0068,1772879940000,1.3,salary
R00651,A0018,1772880540000,91.42,other
R00652,A0146,1772881200000,5.6,travel
R00653,A0140,1772881620000,93.25,rent
R00654,A0128,1772882160000,2.41,salary
R00655,A0119,1772882400000,27.62,rent
R00656,A0113,1772882400000,11.87,travel
R00657,A0098,1772882640000,49.59,rent
R00658,A0050,1772882820000,9.53,travel
R00659,A0100,1772884200000,17.03,travel
R00660,A0043,1772885700000,28.98,salary
R00661,A0112,1772886000000,45.47,other
R00662,A0096,1772886240000,5.16,rent
R00663,A0015,1772886300000,7.88,rent
R00664,A0099,1772887500000,22.9,other
R00665,A0071,1772888040000,12.51,other
R00666,A0081,1772888520000,4.2,rent
R00667,A0061,1772889240000,12.23,grocery
R00668,A0024,1772889420000,43.57,grocery
R00669,A0026,1772890380000,43.91,grocery
R00670,A0017,1772890560000,3.26,grocery
R00671,A0063,1772891160000,27.43,salary
R00672,A0005,1772892240000,12.16,rent
R00673,A0094,1772892240000,14.29,other
R00674,A0023,1772893260000,12.78,other
R00675,A0005,1772896620000,78.45,salary
R00676,A0147,1772897100000,13.32,rent
R00677,A0045,1772897520000,1.0,rent
R00678,A0044,1772898060000,96.91,rent
R00679,A0120,1772900280000,13.66,grocery
R00680,A0095,1772900640000,17.51,grocery
R00681,A0018,1772901000000,34.19,travel
R00682,A0083,1772901360000,9.28,other
R00683,A0046,1772901720000,80.43,rent
R00684,A0027,1772903520000,49.53,salary
R00685,A0063,1772903820000,5.94,salary
R00686,A0037,1772905020000,16.47,grocery
R00687,A0125,1772905440000,10.69,travel
R00688,A0014,1772905560000,30.33,salary
R00689,A0139,1772905680000,5.92,grocery
R00690,A0108,1772906400000,90.0,travel
R00691,A0086,1772907300000,13.76,grocery
R00692,A0112,1772909100000,72.46,travel
R00693,A0121,1772909460000,271.03,rent
R00694,A0146,1772910600000,17.32,grocery
R00695,A0005,1772911140000,0.61,grocery
R00696,A0052,1772911380000,92.96,salary
R00697,A0050,1772911560000,5.69,grocery
R00698,A0120,1772912460000,126.47,travel
R00699,A0119,1772912880000,29.11,grocery
R00700,A0096,1772913960000,49.38,other
R00701,A0055,1772914920000,36.26,grocery
R00702,A0119,1772914980000,2.02,grocery
R00703,A0010,1772919120000,10.75,grocery
R00704,A0095,1772919540000,63.43,salary
R00705,A0089,1772921400000,9.29,rent
R00706,A0123,1772921640000,43.11,salary
R00707,A0094,1772921700000,76.28,salary
R00708,A0081,1772922360000,12.91,travel
R00709,A0111,1772922600000,3.22,rent
R00710,A0068,1772922780000,8.87,salary
R00711,A0075,1772923380000,294.27,other
R00712,A0025,1772924340000,36.36,salary
R00713,A0091,1772924640000,12.71,salary
R00714,A0147,1772925300000,26.6,grocery
R00715,A0110,1772925420000,23.52,rent
R00716,A0117,1772925840000,70.9,grocery
R00717,A0119,1772926200000,38.39,other
R00718,A0044,1772927220000,48.01,salary
