account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1772039030000,28.77,6159.39,473,bronze,9,7.13,1
A0001,1773333942000,146.02,2904.45,757,silver,27,93.28,0
A0002,1773387632000,5.81,7219.32,765,bronze,30,94.84,0
A0003,1772491901000,71.48,7306.53,365,silver,23,9.01,1
A0004,1773080693000,18.8,3580.05,592,silver,17,94.25,0
A0005,1772501065000,136.76,4258.69,779,gold,20,6.1,1
A0006,1772868653000,22.1,7067.62,665,bronze,2,88.65,0
A0007,1772373363000,12.44,3901.02,348,gold,36,93.82,0
A0008,1773030099000,57.36,-798.73,514,bronze,33,5.88,1
A0009,1772213522000,39.62,3732.38,840,silver,12,86.42,0
A0010,1772304098000,7.35,6806.51,541,gold,14,8.96,1
A0011,1772458246000,181.2,582.74,547,silver,19,92.04,0
A0012,1773252115000,20.79,3692.98,315,bronze,2,8.63,1
A0013,1773243592000,28.37,6351.67,479,bronze,39,92.69,0
A0014,1772022162000,5.59,9910.86,556,bronze,30,92.87,0
A0015,1773541208000,5.62,9217.82,723,silver,34,6.56,1
A0016,1773309778000,63.0,5554.08,735,silver,29,8.88,1
A0017,1772571782000,514.65,3984.23,511,gold,23,94.58,0
A0018,1772472216000,15.72,7263.22,509,silver,28,87.81,0
A0019,1772839493000,9.04,6171.63,347,silver,19,7.72,1
A0020,1772651846000,14.43,2823.74,749,bronze,24,86.23,0
A0021,1772041040000,9.39,791.17,493,gold,23,12.7,1
A0022,1772997379000,264.36,3796.94,730,gold,11,92.92,0
A0023,1772582180000,11.9,4686.06,565,silver,14,88.67,0
A0024,1772568796000,30.99,7516.45,451,bronze,22,10.98,1
A0025,1773333888000,21.9,3152.51,741,bronze,12,87.56,0
A0026,1773144706000,45.87,4978.1,682,silver,1,13.2,1
A0027,1772094762000,51.65,5154.26,412,bronze,37,87.79,0
A0028,1772277415000,27.3,7176.39,451,silver,20,94.79,0
A0029,1773584813000,25.27,5149.6,845,bronze,24,10.51,1
A0030,1772870975000,16.18,7523.68,721,silver,24,92.88,0
A0031,1773243056000,152.43,7564.32,318,gold,8,6.18,1
A0032,1773476375000,74.73,8160.0,427,gold,4,8.13,1
A0033,1772977070000,128.9,5062.31,614,bronze,10,6.4,1
A0034,1772457014000,121.93,7032.7,805,silver,15,91.53,0
A0035,1773551903000,66.05,1094.88,769,gold,37,88.63,0
A0036,1772267432000,53.58,4260.54,751,bronze,27,5.86,1
A0037,1772730858000,23.97,4742.0,581,bronze,22,91.4,0
A0038,1773047048000,31.04,3236.91,690,silver,13,9.8,1
A0039,1772320948000,118.32,3420.47,673,gold,33,6.05,1
A0040,1772166136000,51.26,3891.26,532,gold,6,14.62,1
A0041,1772467883000,21.71,2266.11,347,silver,23,89.38,0
A0042,1772447670000,26.31,1908.46,810,silver,25,9.16,1
A0043,1772314585000,77.28,1788.17,718,silver,37,92.74,0
A0044,1772402407000,383.49,7266.48,358,gold,11,86.17,0
A0045,1772124615000,51.22,6039.01,336,silver,0,93.72,0
A0046,1772813524000,79.46,7269.88,773,silver,22,5.41,1
A0047,1773113656000,47.81,2337.16,839,gold,3,87.06,0
A0048,1772714229000,19.71,3360.24,314,silver,25,91.59,0
A0049,1772546693000,40.43,7559.04,817,silver,11,8.92,1
A0050,1772403430000,17.95,4755.91,494,gold,10,86.64,0
A0051,1772973532000,82.42,7513.7,494,gold,3,11.42,1
A0052,1773445175000,22.7,3673.71,594,gold,31,89.03,0
A0053,1772465062000,81.96,4038.38,729,silver,6,87.25,0
A0054,1773286095000,53.87,6262.74,627,bronze,21,14.07,1
A0055,1772152289000,17.64,5908.8,640,bronze,32,6.55,1
A0056,1773492459000,79.6,6760.67,623,bronze,18,9.73,1
A0057,1773283438000,198.14,1135.35,462,gold,25,8.06,1
A0058,1773310133000,268.45,3072.14,464,silver,18,87.28,0
A0059,1773513507000,74.67,4150.01,737,silver,13,5.38,1
A0060,1773463991000,3.93,-429.47,694,gold,31,8.43,1
A0061,1772483755000,10.67,2904.52,300,gold,3,86.49,0
A0062,1772849204000,27.91,8846.29,600,gold,33,9.05,1
A0063,1772879287000,154.94,6168.23,474,silver,30,10.85,1
A0064,1773583674000,85.51,10857.45,685,bronze,25,5.24,1
A0065,1772786717000,82.84,8532.01,587,silver,6,5.93,1
A0066,1773068276000,68.23,5416.44,615,silver,9,11.84,1
A0067,1772073331000,28.85,6369.56,598,gold,24,12.59,1
A0068,1772803407000,8.57,5204.67,588,silver,2,5.02,1
A0069,1772448295000,9.83,6253.25,372,bronze,23,8.94,1
A0070,1771996382000,15.37,2797.93,701,bronze,27,90.65,0
A0071,1773086270000,126.2,2139.93,300,silver,17,87.1,0
A0072,1773240498000,236.56,7716.24,342,bronze,20,14.18,1
A0073,1773093402000,68.46,1572.01,468,bronze,4,14.03,1
A0074,1772843406000,13.68,3619.72,745,silver,0,89.2,0
A0075,1772843610000,69.45,4158.13,610,bronze,32,94.33,0
A0076,1773651384000,21.42,3024.51,563,silver,33,14.0,1
A0077,1772888506000,104.16,1921.35,389,gold,9,6.83,1
A0078,1773603082000,10.79,3903.37,428,gold,11,91.11,0
A0079,1772711674000,13.54,4710.05,495,silver,27,6.73,1
A0080,1773529546000,9.5,8161.97,558,gold,31,5.96,1
A0081,1773583935000,66.69,3254.63,677,bronze,11,6.79,1
A0082,1772226456000,7.7,6428.49,493,bronze,23,8.47,1
A0083,1773023237000,15.19,6627.07,356,silver,27,12.98,1
A0084,1772692732000,17.15,4252.97,678,gold,6,12.94,1
A0085,1772618231000,70.67,6866.31,463,silver,1,12.98,1
A0086,1772399433000,85.32,6196.96,749,gold,13,85.27,0
A0087,1773130920000,104.78,5241.96,595,bronze,35,14.05,1
A0088,1773112894000,14.67,5015.59,315,gold,0,8.84,1
A0089,1772855857000,58.57,4225.77,472,silver,18,92.63,0
A0090,1772562360000,19.69,5776.88,525,gold,35,94.98,0
A0091,1772165763000,302.03,4713.24,558,bronze,12,5.02,1
A0092,1773424231000,59.99,7551.96,431,bronze,32,91.99,0
A0093,1772485400000,48.7,4227.05,663,gold,33,92.31,0
A0094,1772981938000,30.09,6210.2,672,gold,29,9.37,1
A0095,1772612709000,281.14,5181.75,800,silver,8,89.18,0
A0096,1773222061000,15.4,3480.01,619,bronze,11,5.13,1
A0097,1773373932000,21.71,3283.21,622,silver,21,88.73,0
A0098,1773406747000,13.36,3185.05,544,gold,29,13.3,1
A0099,1772795990000,116.11,9133.41,335,gold,38,93.49,0
