row_id,account_id,event_time,amount,category
R00000,A0027,1767225600000,18.88,rent
R00001,A0029,1767234420000,47.61,rent
R00002,A0047,1767248520000,3.82,travel
R00003,A0024,1767252840000,9.16,rent
R00004,A0000,1767257940000,19.16,other
R00005,A0057,1767260520000,7.73,rent
R00006,A0115,1767279480000,16.5,other
R00007,A0118,1767279600000,8.43,grocery
R00008,A0067,1767282480000,61.68,salary
R00009,A0084,1767290700000,28.91,travel
R00010,A0099,1767307560000,35.92,salary
R00011,A0074,1767310200000,57.81,rent
R00012,A0061,1767314040000,175.42,salary
R00013,A0103,1767318540000,7.28,grocery
R00014,A0070,1767343620000,96.47,travel
R00015,A0043,1767390420000,5.09,rent
R00016,A0024,1767401880000,30.72,travel
R00017,A0115,1767402060000,4.16,grocery
R00018,A0074,1767410460000,26.88,grocery
R00019,A0054,1767431880000,12.31,other
R00020,A0106,1767431880000,21.45,travel
R00021,A0077,1767434340000,12.21,rent
R00022,A0000,1767437400000,8.26,other
R00023,A0072,1767446940000,167.65,rent
R00024,A0100,1767478440000,16.07,grocery
R00025,A0003,1767484680000,53.7,other
R00026,A0041,1767489120000,113.88,salary
R00027,A0016,1767489240000,9.28,rent
R00028,A0085,1767491460000,92.57,rent
R00029,A0050,1767494100000,27.33,other
R00030,A0074,1767503100000,109.01,travel
R00031,A0002,1767522600000,9.7,grocery
R00032,A0012,1767524940000,20.59,travel
R00033,A0089,1767533280000,20.2,grocery
R00034,A0040,1767538800000,21.49,grocery
R00035,A0114,1767559920000,21.65,other
R00036,A0096,1767560100000,32.86,other
R00037,A0034,1767579180000,8.17,salary
R00038,A0111,1767594000000,12.86,grocery
R00039,A0033,1767608040000,43.83,grocery
R00040,A0070,1767608760000,13.91,rent
R00041,A0088,1767610920000,16.79,rent
R00042,A0059,1767622080000,310.7,grocery
R00043,A0051,1767630300000,70.72,other
R00044,A0049,1767632940000,10.94,other
R00045,A0099,1767655740000,6.8,travel
R00046,A0115,1767659640000,35.59,salary
R00047,A0109,1767670980000,2.3,travel
R00048,A0073,1767671700000,35.55,rent
R00049,A0096,1767674700000,18.21,other
R00050,A0111,1767690540000,8.97,grocery
R00051,A0055,1767691860000,5.46,other
R00052,A0027,1767701040000,48.11,rent
R00053,A0094,1767706800000,48.07,other
R00054,A0030,1767709920000,68.6,travel
R00055,A0108,1767734940000,5.35,rent
R00056,A0060,1767742680000,15.35,other
