row_id,status,balance,updated_at
R00293,active,8893.24,1770397980000
R00348,active,3405.38,1770285000000
R00103,active,5583.56,1770603300000
R00224,active,2522.62,1770348120000
R00010,active,9231.13,1770596280000
R00178,closed,4463.77,1770456480000
R00269,dormant,3876.92,1770101460000
R00244,active,1234.74,1770652260000
R00050,active,8885.57,1770565260000
R00196,closed,3753.34,1770550740000
R00147,closed,2343.83,1770409680000
R00381,closed,8765.57,1770453240000
R00142,dormant,6656.52,1770154380000
R00192,dormant,5770.95,1770142020000
R00337,dormant,4165.85,1770392340000
R00308,active,5194.27,1770420720000
R00118,closed,1515.64,1770088500000
R00139,closed,7545.86,1770305400000
R00035,dormant,5862.38,1770056400000
R00127,dormant,4179.81,1770151200000
R00027,dormant,4698.14,1770087780000
R00357,closed,1596.96,1770683100000
R00061,closed,3091.06,1770300900000
R00307,closed,7793.8,1770711900000
R00145,dormant,3597.5,1770297540000
R00368,active,7410.27,1770251700000
R00211,active,7696.84,1770259740000
R00081,active,6735.9,1770125160000
R00275,active,3737.23,1770565020000
R00146,dormant,4704.93,1770645780000
R00377,closed,4287.41,1770284760000
R00257,dormant,6447.19,1770436680000
R00165,closed,3239.0,1770254040000
R00123,closed,8025.81,1770364020000
R00205,closed,4855.82,1770404880000
R00055,closed,2200.02,1770530640000
R00352,closed,5343.41,1770552120000
R00190,dormant,1235.17,1770503580000
R00155,active,3739.04,1770513360000
R00122,closed,6619.29,1770330600000
R00394,closed,4243.43,1770502980000
R00096,closed,4216.27,1770148200000
R00136,active,821.28,1770408180000
R00208,dormant,5768.83,1770230220000
R00280,dormant,6522.4,1770574860000
R00207,closed,5473.9,1770137580000
R00344,closed,3478.95,1770474900000
R00248,active,6177.81,1770525000000
R00109,closed,6270.22,1770237120000
R00154,dormant,6965.06,1770464100000
R00162,dormant,5489.1,1770553380000
R00364,active,4738.88,1770584400000
R00325,dormant,4626.02,1770050100000
R00384,closed,1937.81,1770075720000
R00120,closed,7324.65,1770069000000
R00074,active,10008.16,1770181560000
R00259,dormant,3361.33,1770410520000
R00111,dormant,8758.56,1770323580000
R00086,closed,2785.56,1770428820000
R00223,active,5864.39,1770340140000
R00306,active,6251.72,1770767340000
R00135,dormant,3118.76,1770239340000
R00091,active,4325.52,1770376680000
R00026,dormant,4334.59,1770336360000
R00301,dormant,10825.61,1770148080000
R00182,dormant,6973.63,1770268560000
R00051,active,3849.29,1770130440000
R00355,dormant,7147.25,1770134220000
R00171,dormant,6535.02,1770266160000
R00066,dormant,3128.95,1770239040000
R00157,closed,4651.17,1770027180000
R00231,closed,3304.49,1770181980000
R00334,closed,4191.78,1770229560000
R00088,dormant,6058.9,1770160740000
R00069,active,4644.16,1770569880000
R00258,active,7696.46,1770498960000
R00302,active,8533.57,1770255060000
R00378,active,5606.02,1770702300000
R00156,active,4531.72,1770336900000
R00078,active,7202.25,1770317580000
R00172,active,3888.92,1770580080000
R00233,dormant,7463.12,1770499200000
R00362,closed,696.59,1770387600000
R00056,dormant,3483.1,1770359580000
R00246,closed,4613.87,1770358200000
R00341,closed,6126.24,1770702660000
R00230,dormant,2865.03,1770392880000
R00296,active,5471.81,1770207420000
R00169,closed,4704.61,1770315420000
R00143,active,3224.72,1770474900000
