row_id,account_id,event_time,amount,currency
R00000,A0033,1772351160000,66.25,USD
R00001,A0049,1772356080000,14.94,USD
R00002,A0015,1772358960000,15.41,EUR
R00003,A0002,1772361660000,23.96,EUR
R00004,A0047,1772369640000,5.09,SEK
R00005,A0002,1772370960000,16.41,USD
R00006,A0033,1772371500000,38.35,SEK
R00007,A0000,1772378220000,55.95,SEK
R00008,A0055,1772380140000,35.62,EUR
R00009,A0008,1772383200000,4.51,EUR
R00010,A0042,1772384940000,119.32,SEK
R00011,A0057,1772385240000,28.18,EUR
R00012,A0001,1772388540000,52.85,SEK
R00013,A0038,1772392740000,38.57,USD
R00014,A0049,1772397900000,11.35,GBP
R00015,A0011,1772412180000,33.28,USD
R00016,A0019,1772414520000,4.82,GBP
R00017,A0015,1772425860000,25.11,USD
R00018,A0055,1772437440000,12.59,SEK
R00019,A0025,1772438520000,12.42,GBP
R00020,A0021,1772450700000,12.99,USD
R00021,A0048,1772451000000,4.02,USD
R00022,A0013,1772454960000,77.07,USD
R00023,A0023,1772456640000,19.05,EUR
R00024,A0048,1772466780000,3.22,USD
R00025,A0043,1772475060000,21.34,EUR
R00026,A0029,1772488860000,20.03,SEK
R00027,A0010,1772494860000,5.8,USD
R00028,A0051,1772496840000,8.89,USD
R00029,A0001,1772497800000,4.83,SEK
R00030,A0001,1772502420000,10.47,SEK
R00031,A0015,1772510760000,82.15,EUR
R00032,A0029,1772511420000,19.08,GBP
R00033,A0022,1772514900000,1.84,USD
R00034,A0006,1772517420000,101.71,GBP
R00035,A0006,1772518860000,16.89,USD
R00036,A0009,1772523720000,7.34,USD
R00037,A0034,1772525460000,10.46,GBP
R00038,A0039,1772535540000,11.03,SEK
R00039,A0024,1772542380000,4.84,EUR
R00040,A0044,1772561040000,16.61,GBP
R00041,A0026,1772562840000,82.74,SEK
R00042,A0034,1772564340000,17.0,GBP
R00043,A0059,1772566380000,11.18,SEK
R00044,A0044,1772568240000,24.04,USD
R00045,A0012,1772569200000,23.02,SEK
R00046,A0029,1772575140000,25.99,EUR
R00047,A0044,1772576160000,8.51,GBP
R00048,A0053,1772576580000,88.62,SEK
