entity_id,f1,f2,f3,f4,f5
E0237,19.901039,15.072283,10.495446,23.258858,6.496846
E0264,2.566517,4.432994,1.345424,2.399033,0.548738
E0148,0.735485,6.384889,5.385672,2.787128,2.557437
E0133,3.709045,8.084999,7.616044,6.437204,16.186304
E0030,35.64594,2.038333,5.992153,1.854136,8.398269
E0258,3.898004,14.906038,10.152271,3.935638,8.194662
E0091,8.960282,7.190848,16.33698,3.297686,15.727099
E0147,9.350514,9.811502,12.189882,5.218744,11.319492
E0230,5.255681,12.509218,4.584058,33.492846,9.188322
E0257,8.839195,26.029952,4.851929,1.342481,6.596932
E0276,15.555208,24.882539,4.580755,3.499615,15.04583
E0115,6.370838,21.673819,4.136293,3.178198,2.309816
E0080,5.384353,8.28779,6.641786,7.271948,9.650078
E0047,12.355798,0.576502,4.599088,5.328885,24.811886
E0179,18.605663,12.870772,14.932244,0.957654,3.84429
E0169,3.232044,6.536609,7.898783,30.202272,6.799885
E0120,23.283215,13.595212,8.559769,4.826493,3.454694
E0250,13.514816,16.071322,5.669248,3.953675,6.941358
E0200,12.654981,11.574787,10.487551,13.532174,8.297885
E0214,13.603449,9.50972,3.273041,13.419499,9.040908
E0164,4.162349,3.01474,9.750006,5.239666,26.84259
E0285,5.582468,6.79587,9.784506,6.057319,9.394339
E0044,8.566445,9.189286,2.721043,2.952587,4.747803
E0119,8.112271,2.377891,30.572204,9.526369,8.891103
E0025,3.699591,34.076109,4.294311,12.733202,3.989168
E0084,1.838658,7.503194,1.943832,33.399837,11.683369
E0121,6.586289,3.189645,2.556224,15.077468,15.195602
E0087,6.152263,10.050117,13.866851,3.184998,6.64229
E0116,8.511668,8.466171,8.244974,8.307558,4.772529
E0205,4.711016,34.787242,7.670801,1.51916,6.251417
E0006,6.292544,5.014856,1.973015,20.346287,2.294403
E0117,25.747234,19.059235,6.57629,29.582345,11.72539
E0267,18.968122,6.808168,2.788212,5.35968,1.239605
E0146,2.952896,4.507812,8.513918,14.911756,23.01323
E0236,8.848438,11.832436,15.04573,3.375049,6.525174
E0107,3.317628,4.355477,8.652004,6.243694,2.205662
E0254,9.267441,14.91103,2.662436,3.517695,2.335825
E0208,12.4641,5.754896,5.531889,16.244112,16.255867
E0161,6.130116,2.438791,46.402997,3.551054,5.11321
E0043,3.904508,12.025543,5.673882,7.773824,6.547493
E0145,6.048745,15.551668,2.081453,11.216077,6.301235
E0223,29.334657,2.767384,10.266971,7.628,8.219987
E0127,5.687913,6.417295,4.427192,9.030227,3.033897
E0226,11.44438,22.644142,18.151392,6.060449,8.618583
E0112,3.587022,4.224992,9.691464,9.829406,24.005903
E0137,14.403385,1.342975,4.044254,9.565293,10.421069
E0296,1.567696,18.12995,15.361777,14.649108,18.660125
E0262,4.668505,13.308849,5.144604,1.208347,4.832845
E0140,4.75585,41.242331,7.33739,8.466015,3.27517
E0042,5.527852,11.802614,4.578154,8.756412,22.578764
E0196,11.470019,12.831696,12.174331,0.916594,8.615167
E0068,3.272065,4.331013,3.994402,9.37161,7.642053
E0032,12.20262,9.245833,3.964233,8.068794,18.992077
E0050,4.065803,67.110298,27.10137,13.091961,3.078907
E0206,16.803081,10.735282,10.235442,11.044848,6.715828
E0098,12.87886,2.010267,9.108986,39.629258,3.465473
E0096,14.801999,12.779284,7.670996,16.74872,0.830872
E0154,11.047531,1.338917,3.324154,20.45687,12.558157
E0082,15.88891,7.439467,23.733642,8.053782,8.456999
E0204,5.563319,16.71959,1.891053,12.786871,14.941
E0075,4.56969,9.574976,11.658226,14.903612,4.988486
E0070,4.895207,8.11212,16.109897,5.736571,33.13919
E0299,21.926861,2.362501,1.334601,7.746262,13.275493
E0019,5.251038,47.291749,26.955866,16.851258,3.236462
E0090,5.493859,2.855406,9.888373,14.612248,3.829635
E0045,14.113436,2.466894,1.427947,7.538935,33.413056
E0225,16.603024,8.262506,15.278981,2.188273,13.698601
E0018,20.3467,25.143351,15.096729,6.008523,7.744823
E0009,16.128776,7.042708,4.243658,4.372044,22.075159
E0097,3.372425,2.457967,9.14871,12.272928,19.668018
E0000,10.650291,26.911677,10.708722,8.181504,3.575421
E0058,20.659101,3.125672,12.452017,7.538434,6.203197
E0168,2.569624,4.059714,4.595724,5.75163,22.78567
E0015,8.602784,26.356307,9.981203,7.770014,4.869851
E0187,20.477342,47.450768,11.868359,6.961769,2.255987
E0003,33.118398,6.839771,4.710888,2.326124,14.672069
E0217,1.691144,8.376658,10.351474,2.315472,3.123049
E0152,3.497548,12.161644,11.454887,15.448204,2.337687
E0297,9.359515,10.059998,13.71196,5.641244,19.533271
E0125,11.290892,8.047871,3.219018,6.748652,17.624479
E0014,1.857291,3.70015,7.783115,4.172862,5.381481
E0229,5.372668,8.831306,21.076241,12.673981,8.974446
E0057,2.388683,0.86862,7.272853,3.018872,1.748835
E0029,16.101644,6.388373,5.702581,7.446278,10.031114
E0063,22.486916,3.350375,7.788025,4.50687,6.310921
E0007,11.47194,9.081968,6.574265,1.416424,4.302564
E0235,6.948363,4.226374,10.188573,7.161505,11.551811
E0192,3.119216,30.543461,9.741065,1.041514,8.465347
E0012,9.691995,16.587653,34.438228,8.855428,5.064178
E0245,4.873839,36.676521,8.943772,2.820134,8.917568
E0002,2.145635,26.508647,16.8107,13.816417,24.815657
E0212,5.326311,7.969403,12.871108,12.962735,36.198742
E0180,12.273827,9.355462,5.242732,6.953158,17.460139
E0008,9.493642,2.826478,29.180296,6.53939,6.699903
E0118,3.001691,3.227751,2.038335,10.114866,14.142846
E0011,8.390529,6.727038,1.118839,3.196616,11.102214
E0198,3.494609,21.813552,14.787052,9.26607,8.270398
