account_id,event_time,credit_score,tier
A0000,1767248850000,479,gold
A0000,1771600757000,505,bronze
A0001,1767240813000,807,silver
A0002,1767229265000,531,bronze
A0002,1770772013000,452,silver
A0003,1767284295000,764,bronze
A0003,1769156432000,810,gold
A0004,1767269194000,809,bronze
A0004,1769568671000,751,gold
A0005,1767269491000,685,gold
A0005,1767954285000,750,gold
A0006,1767269271000,794,bronze
A0006,1773817918000,846,gold
A0007,1767283341000,358,bronze
A0007,1774241643000,327,bronze
A0008,1767278186000,384,bronze
A0008,1773321464000,424,silver
A0009,1767274852000,541,gold
A0009,1774040795000,609,silver
A0010,1767279630000,608,bronze
A0011,1767282071000,645,gold
A0011,1769483379000,583,gold
A0012,1767288266000,560,silver
A0013,1767300293000,379,bronze
A0013,1772013992000,378,silver
A0014,1767277617000,563,silver
A0014,1773195314000,505,gold
A0015,1767243384000,532,silver
A0015,1773562174000,526,bronze
A0016,1767248518000,450,silver
A0016,1773097600000,462,bronze
A0017,1767304496000,428,gold
A0017,1773822736000,378,bronze
A0018,1767269707000,749,bronze
A0018,1769697485000,751,gold
A0019,1767236767000,746,bronze
A0019,1772100256000,680,gold
A0020,1767267523000,301,silver
A0020,1767973169000,300,bronze
A0021,1767256288000,494,bronze
A0021,1771530532000,517,bronze
A0022,1767256999000,628,silver
A0023,1767235629000,447,silver
A0023,1774592226000,384,gold
A0024,1767231600000,424,silver
A0025,1767257604000,428,gold
A0025,1769282868000,389,bronze
A0026,1767247146000,490,bronze
A0026,1771337334000,461,silver
A0027,1767235205000,424,bronze
A0027,1774573172000,437,bronze
A0028,1767302347000,737,silver
A0028,1773485672000,714,bronze
A0029,1767255880000,345,gold
A0030,1767237895000,833,bronze
A0030,1774071303000,813,bronze
A0031,1767241365000,682,gold
A0031,1768178717000,762,gold
A0032,1767255665000,782,silver
A0032,1773855793000,792,silver
A0033,1767294922000,460,bronze
A0034,1767248555000,584,gold
A0034,1773894332000,575,silver
A0035,1767252808000,768,gold
A0035,1769716954000,848,bronze
A0036,1767249225000,510,gold
A0036,1771015756000,547,gold
A0037,1767261599000,636,gold
A0037,1772532807000,660,silver
A0038,1767295572000,431,gold
A0038,1774080732000,421,silver
A0039,1767244622000,313,bronze
A0039,1773019259000,300,silver
A0040,1767249717000,798,silver
A0040,1772576368000,850,gold
A0041,1767294412000,531,gold
A0042,1767249399000,510,bronze
A0042,1770194486000,485,silver
A0043,1767301483000,650,bronze
A0043,1771016974000,610,gold
A0044,1767255914000,560,silver
A0045,1767277921000,469,bronze
A0046,1767275921000,644,gold
A0046,1774991749000,651,silver
A0047,1767275313000,499,bronze
A0047,1774851922000,548,gold
A0048,1767289693000,462,silver
A0048,1771739475000,412,silver
A0049,1767309602000,657,bronze
A0050,1767306519000,562,gold
A0050,1773734962000,602,bronze
A0051,1767248970000,430,silver
A0051,1768886495000,410,silver
A0052,1767308190000,674,silver
A0052,1774594628000,634,silver
A0053,1767308243000,587,silver
A0053,1769290189000,570,gold
A0054,1767305345000,700,silver
A0054,1772987861000,685,silver
A0055,1767232004000,831,silver
A0056,1767286157000,784,gold
A0057,1767253725000,654,gold
A0057,1774024717000,581,silver
A0058,1767284500000,378,bronze
A0059,1767229576000,419,bronze
A0060,1767236269000,788,bronze
A0060,1774857221000,761,gold
A0061,1767253482000,550,gold
A0061,1772946684000,481,silver
A0062,1767287268000,680,silver
A0063,1767288996000,494,bronze
A0063,1773035142000,552,silver
A0064,1767270489000,306,silver
A0064,1774608434000,338,bronze
A0065,1767272076000,632,bronze
A0066,1767234778000,714,bronze
A0066,1774278170000,787,bronze
A0067,1767283906000,677,gold
A0067,1768813674000,713,gold
A0068,1767279892000,341,bronze
A0069,1767278788000,374,silver
A0070,1767279241000,338,bronze
A0070,1767820833000,329,gold
A0071,1767309426000,740,gold
A0071,1773247434000,764,gold
A0072,1767226716000,536,silver
A0073,1767310264000,744,silver
A0074,1767294621000,586,silver
A0075,1767282689000,671,gold
A0076,1767259063000,456,bronze
A0077,1767279767000,651,gold
A0078,1767294122000,327,bronze
A0078,1773183334000,300,gold
A0079,1767249489000,521,silver
A0079,1774451049000,460,silver
A0080,1767247212000,412,gold
A0080,1774231898000,358,bronze
A0081,1767287047000,345,gold
A0082,1767259348000,810,gold
A0082,1769094796000,748,silver
A0083,1767294909000,826,gold
A0083,1772544031000,801,bronze
A0084,1767242210000,436,silver
A0084,1774310283000,415,silver
A0085,1767271456000,306,silver
A0085,1767974665000,300,gold
A0086,1767252492000,800,bronze
A0087,1767234149000,607,gold
A0088,1767255442000,562,silver
A0088,1773560657000,572,gold
A0089,1767284218000,333,silver
A0089,1772700992000,300,silver
A0090,1767278280000,829,bronze
A0090,1772745288000,799,silver
A0091,1767303859000,401,gold
A0091,1774131950000,377,bronze
A0092,1767306090000,433,gold
A0092,1772581961000,378,silver
A0093,1767230056000,500,bronze
A0093,1773639087000,564,bronze
A0094,1767262160000,639,bronze
A0094,1773214313000,645,silver
A0095,1767266930000,694,bronze
A0096,1767230852000,518,silver
A0097,1767249831000,745,silver
A0097,1769023618000,771,bronze
A0098,1767274792000,612,bronze
A0098,1773197674000,603,gold
A0099,1767296418000,477,silver
