row_id,a_val
R00000,5.2702
R00001,-4.4898
R00003,10.396
R00004,12.0551
R00005,10.2787
R00006,5.1828
R00007,9.1202
R00008,7.1085
R00009,19.3218
R00010,15.9476
R00011,13.4131
R00012,5.5812
R00016,9.2033
R00018,2.5018
R00019,5.655
R00021,11.0593
R00022,10.1666
R00023,8.9629
R00025,10.1003
R00027,15.1708
R00028,16.2709
R00029,8.4306
R00030,7.2303
R00033,15.3005
R00035,12.6442
R00036,11.2463
R00038,14.7049
R00039,7.1821
R00040,17.9063
R00041,10.674
R00042,11.7703
R00043,9.1203
R00044,19.094
R00045,-0.9349
R00046,17.9465
R00047,12.5772
R00048,6.8998
R00049,11.5833
R00050,17.086
R00051,8.109
R00052,7.877
R00053,10.6032
R00055,4.117
R00057,14.4274
R00058,9.6608
R00059,8.8815
R00061,9.2883
R00062,7.2071
R00064,8.2981
R00065,5.9316
R00066,5.2258
R00068,8.701
R00069,8.3065
R00070,9.4468
R00071,9.1303
R00073,8.7618
R00074,15.5261
R00077,10.896
R00078,14.6472
R00080,12.8032
R00081,10.4208
R00082,7.4127
R00083,9.3266
R00085,15.7754
R00086,10.5777
R00087,12.9771
R00088,12.7527
R00089,5.44
R00090,10.4716
R00091,8.1865
R00092,7.0415
R00093,1.9338
R00095,9.4241
R00096,18.3922
R00097,9.2764
R00099,9.2455
R00100,11.5318
R00101,4.52
R00102,2.868
R00103,6.3171
R00105,14.0972
R00106,16.2986
R00107,10.7832
R00108,13.679
R00109,11.857
R00110,14.5388
R00112,15.5273
R00113,12.207
R00114,8.7418
R00115,3.4433
R00116,9.0388
R00117,7.7654
R00118,3.5267
R00119,3.5684
R00120,15.5672
R00121,8.0141
R00122,11.52
R00124,12.2786
R00125,9.7634
R00127,10.9787
R00128,7.1824
R00129,15.1277
R00130,12.2998
R00134,4.4831
R00135,8.3797
R00137,4.5266
R00140,17.3617
R00143,14.0148
R00144,9.009
R00145,6.9906
R00146,12.6303
R00147,2.8677
R00148,13.5067
R00150,13.7916
R00151,15.7019
R00152,12.6134
R00153,16.5095
R00154,6.8791
R00155,8.5047
R00156,9.3282
R00157,12.1242
R00158,10.179
R00159,8.8514
R00161,6.9417
R00162,12.3064
R00163,15.5846
R00164,8.876
R00166,9.5942
R00167,5.894
R00168,15.0632
R00170,10.4103
R00171,6.4851
R00172,9.4468
R00173,8.2158
R00174,15.9825
R00175,12.2472
R00176,7.6547
R00178,14.5694
R00179,7.5302
R00180,10.3974
R00181,13.1499
R00182,6.0559
R00184,9.768
R00185,10.2523
R00186,8.6719
R00187,3.5934
R00189,9.6633
R00190,7.2622
R00191,7.1859
R00192,5.3723
R00193,10.3806
R00196,13.2045
R00197,2.6164
R00198,8.2886
R00199,8.28
R00200,15.5221
R00201,7.2334
R00202,7.4472
R00204,15.7787
R00205,9.7833
R00206,9.3872
R00208,10.3925
R00209,-0.2267
R00210,6.3035
R00213,12.2417
R00214,6.706
R00215,12.4801
R00217,8.8194
R00218,12.1614
R00220,7.0815
R00222,5.1117
R00223,9.7253
R00224,13.1412
R00225,7.7285
R00226,10.981
R00227,3.9845
R00228,19.9235
R00229,2.6964
R00230,12.4335
R00231,10.9457
R00232,7.5471
R00233,11.3677
R00234,2.1102
R00235,11.4108
R00238,14.8678
R00239,9.892
R00240,8.6182
R00241,13.497
R00243,7.0506
R00244,8.1194
R00246,5.7635
R00248,8.6923
R00249,13.703
R00251,13.867
R00252,16.2989
R00253,11.2883
R00254,6.3341
R00255,16.1688
R00256,6.2618
R00257,7.4132
R00258,11.6823
R00259,7.7826
R00260,11.848
R00261,3.1432
R00263,12.3685
R00264,15.6831
R00265,13.1022
R00266,11.7703
R00267,16.9202
R00269,6.0182
R00270,12.167
R00271,15.2943
R00272,14.619
R00274,9.5085
R00275,13.4037
R00276,9.6073
R00277,13.3781
R00278,12.4307
R00279,5.2859
R00281,11.3808
R00282,9.22
R00283,10.6887
R00284,10.616
R00285,9.9492
R00287,14.9592
R00288,10.6744
R00289,10.7716
R00290,11.2205
R00292,9.897
R00293,11.9892
R00294,10.0107
R00295,14.3023
R00296,13.2114
R00297,12.0005
R00298,15.3806
R00300,13.3197
R00301,10.5655
R00303,12.6378
R00304,12.3592
R00305,6.2915
R00306,5.4017
R00307,11.7195
R00310,4.0596
R00311,14.6635
R00312,11.5911
R00313,7.3491
R00315,4.1584
R00316,8.5417
R00318,10.6602
R00319,7.7057
