row_id,account_id,event_time,amount,category
R00111,A0040,1772497080000,41.66,travel
R00112,A0040,1772497800000,7.94,travel
R00113,A0029,1772498580000,25.61,travel
R00114,A0126,1772500080000,42.51,rent
R00115,A0063,1772500140000,27.44,salary
R00116,A0094,1772500680000,67.24,salary
R00117,A0097,1772502420000,42.04,travel
R00118,A0112,1772502420000,92.21,travel
R00119,A0120,1772504640000,20.45,salary
R00120,A0143,1772504880000,32.52,rent
R00121,A0144,1772505900000,21.68,salary
R00122,A0043,1772506140000,4.41,grocery
R00123,A0057,1772506440000,3.55,rent
R00124,A0040,1772508000000,157.69,travel
R00125,A0141,1772508660000,8.32,travel
R00126,A0010,1772509080000,22.31,rent
R00127,A0130,1772509260000,4.82,other
R00128,A0017,1772509620000,76.39,travel
R00129,A0080,1772510580000,52.67,other
R00130,A0002,1772511120000,13.35,rent
R00131,A0124,1772511540000,59.62,salary
R00132,A0094,1772512200000,110.01,other
R00133,A0047,1772512740000,16.52,grocery
R00134,A0008,1772513160000,46.26,travel
R00135,A0076,1772513820000,10.76,grocery
R00136,A0069,1772515440000,12.74,grocery
R00137,A0021,1772516220000,37.03,salary
R00138,A0066,1772517420000,26.66,salary
R00139,A0094,1772518620000,263.72,grocery
R00140,A0121,1772518620000,58.99,other
R00141,A0129,1772519220000,14.02,grocery
R00142,A0103,1772519640000,14.29,grocery
R00143,A0083,1772519700000,147.91,travel
R00144,A0061,1772519880000,87.78,grocery
R00145,A0147,1772520120000,4.7,travel
R00146,A0090,1772521080000,25.56,salary
R00147,A0013,1772521140000,21.16,salary
R00148,A0134,1772521620000,3.91,other
R00149,A0096,1772521740000,5.52,other
R00150,A0044,1772521920000,22.57,travel
R00151,A0135,1772522580000,57.14,rent
R00152,A0004,1772522760000,56.65,salary
R00153,A0116,1772524020000,12.28,salary
R00154,A0066,1772524920000,26.17,grocery
R00155,A0030,1772526300000,2.46,salary
R00156,A0087,1772526300000,2.43,salary
R00157,A0039,1772527380000,10.32,grocery
R00158,A0086,1772527380000,47.98,salary
R00159,A0077,1772527860000,17.52,rent
R00160,A0128,1772528340000,74.38,other
R00161,A0070,1772531760000,16.49,travel
R00162,A0062,1772531940000,2.28,rent
R00163,A0015,1772533200000,10.03,travel
R00164,A0057,1772535780000,12.06,salary
R00165,A0068,1772536560000,20.29,other
R00166,A0089,1772537580000,17.26,travel
R00167,A0097,1772538180000,24.35,travel
R00168,A0076,1772541240000,36.71,grocery
R00169,A0011,1772541660000,67.62,other
R00170,A0070,1772542740000,32.15,grocery
R00171,A0078,1772546040000,33.52,other
R00172,A0076,1772546460000,46.79,salary
R00173,A0108,1772547960000,36.16,grocery
R00174,A0100,1772548380000,40.15,other
R00175,A0111,1772548860000,105.6,travel
R00176,A0019,1772549100000,55.46,grocery
R00177,A0000,1772549460000,10.58,salary
R00178,A0114,1772550240000,16.43,salary
R00179,A0128,1772550660000,205.1,grocery
R00180,A0056,1772552460000,123.47,rent
R00181,A0079,1772552880000,8.96,rent
R00182,A0102,1772554620000,14.32,travel
R00183,A0138,1772555700000,23.27,rent
R00184,A0115,1772556420000,7.79,travel
R00185,A0047,1772557020000,6.27,travel
R00186,A0084,1772558460000,2.87,grocery
R00187,A0071,1772559360000,36.35,rent
R00188,A0114,1772560200000,18.22,grocery
R00189,A0093,1772561640000,15.28,grocery
R00190,A0075,1772562360000,21.99,salary
R00191,A0004,1772563260000,28.07,grocery
R00192,A0108,1772564160000,65.13,rent
R00193,A0051,1772564220000,23.75,travel
R00194,A0078,1772565000000,213.41,rent
R00195,A0032,1772565240000,14.82,other
R00196,A0073,1772565780000,17.96,travel
R00197,A0033,1772567100000,7.31,travel
R00198,A0140,1772568360000,35.89,grocery
R00199,A0095,1772568660000,71.03,grocery
R00200,A0143,1772570820000,58.95,salary
R00201,A0057,1772571360000,16.6,salary
R00202,A0058,1772573760000,9.75,travel
R00203,A0116,1772574000000,23.37,travel
R00204,A0106,1772574000000,4.31,travel
R00205,A0031,1772575980000,24.69,travel
R00206,A0023,1772576220000,23.28,rent
R00207,A0075,1772577540000,53.68,salary
R00208,A0016,1772578560000,12.3,salary
R00209,A0072,1772579040000,4.49,travel
R00210,A0003,1772580000000,42.48,rent
R00211,A0002,1772580600000,44.27,travel
R00212,A0057,1772581260000,9.57,rent
R00213,A0065,1772581440000,35.05,grocery
R00214,A0018,1772581500000,44.75,grocery
