row_id,account_id,event_time,amount_usd,is_weekend,amount_7d
R00008,A0046,1772376660000,11.112500,1,50.970000
R00014,A0012,1772413620000,3.873500,0,3.050000
R00017,A0052,1772433540000,11.946400,0,10.960000
R00025,A0036,1772469300000,0.321100,0,3.380000
R00040,A0054,1772543460000,20.750000,0,20.750000
R00054,A0028,1772624580000,8.920000,0,14.050000
R00059,A0053,1772647740000,28.490000,0,59.590000
R00067,A0051,1772667780000,80.594200,0,63.460000
R00068,A0007,1772675520000,24.550000,0,58.120000
R00100,A0032,1772816520000,4.711700,0,106.420000
R00145,A0021,1773015360000,30.596300,0,35.040000
R00147,A0038,1773049740000,108.019000,0,124.280000
R00149,A0010,1773051360000,2.635300,0,94.320000
R00153,A0054,1773060180000,32.928900,0,57.810000
R00162,A0020,1773103920000,19.190000,0,158.560000
R00165,A0032,1773133800000,52.095400,0,76.760000
R00181,A0039,1773229560000,47.600000,0,129.040000
R00231,A0034,1773559680000,3.880400,1,88.090000
R00235,A0018,1773586080000,58.320000,1,58.320000
R00236,A0042,1773590220000,11.248800,1,10.320000
R00244,A0043,1773621180000,71.722000,0,72.810000
R00255,A0054,1773670680000,5.940500,0,5.450000
R00296,A0058,1773853980000,27.216100,0,21.430000
R00298,A0034,1773864480000,15.040000,0,118.790000
R00299,A0028,1773865440000,3.455300,0,34.780000
R00304,A0009,1773896940000,19.540000,0,67.370000
R00309,A0057,1773918900000,15.358100,0,21.930000
R00317,A0015,1773957000000,20.982500,0,25.970000
R00330,A0018,1774035780000,0.741000,0,179.850000
R00345,A0016,1774120440000,14.507900,1,107.220000
R00349,A0056,1774138260000,13.730000,1,122.130000
R00363,A0014,1774222200000,6.398300,1,30.600000
R00366,A0019,1774233540000,42.570400,0,45.400000
R00394,A0038,1774406820000,8.432800,0,75.300000
R00400,A0053,1774446420000,26.809700,0,21.110000
R00411,A0028,1774484460000,16.880000,0,16.880000
R00424,A0016,1774552020000,12.676700,0,54.930000
R00440,A0014,1774604820000,2.830000,0,144.290000
R00447,A0049,1774645440000,31.064200,0,151.240000
R00455,A0038,1774707660000,0.264100,1,83.910000
R00469,A0036,1774765920000,22.970000,1,32.120000
R00498,A0054,1774926960000,105.631900,0,135.090000
R00520,A0035,1775022540000,11.913700,0,10.930000
R00523,A0059,1775033160000,8.620000,0,223.980000
R00527,A0029,1775040960000,17.970000,0,54.420000
R00534,A0030,1775085960000,13.960000,0,63.800000
R00544,A0009,1775127660000,0.666900,0,43.550000
R00552,A0016,1775187300000,2.388300,0,133.180000
R00553,A0018,1775193120000,42.520900,0,329.230000
R00560,A0035,1775245560000,33.220000,0,44.150000
R00573,A0003,1775328180000,1.304350,1,13.730000
R00574,A0009,1775344080000,69.900800,1,98.590000
R00583,A0014,1775400300000,94.348300,1,74.290000
R00602,A0050,1775541780000,0.353400,0,110.330000
R00608,A0017,1775573520000,18.200000,0,18.200000
R00628,A0048,1775689500000,21.636500,0,81.750000
R00665,A0054,1775988600000,2.994400,1,56.910000
R00035,A0002,1772515920000,19.761700,0,18.130000
R00046,A0015,1772575200000,10.020000,0,25.370000
R00063,A0058,1772661600000,0.817000,0,42.820000
R00078,A0000,1772724600000,0.705850,0,7.430000
R00079,A0054,1772726460000,6.850000,0,27.600000
R00087,A0042,1772771160000,7.577200,0,79.760000
R00102,A0034,1772840280000,1.599800,0,60.720000
R00125,A0010,1772946480000,33.890000,1,104.600000
R00129,A0025,1772961180000,20.109600,1,225.540000
R00131,A0043,1772970360000,44.361100,1,89.230000
R00138,A0055,1772996580000,32.448500,1,59.350000
R00154,A0024,1773063360000,17.437100,0,13.730000
R00161,A0023,1773103740000,14.516100,0,72.520000
R00197,A0050,1773320820000,2.028250,0,33.700000
R00199,A0021,1773325200000,13.897500,0,44.720000
R00202,A0014,1773361860000,0.723900,0,37.360000
R00213,A0057,1773460080000,0.098800,1,174.970000
R00215,A0052,1773476400000,34.442400,1,53.550000
R00228,A0009,1773536820000,10.401300,1,44.700000
R00233,A0032,1773564300000,4.978400,1,95.770000
R00234,A0051,1773570180000,20.730000,1,20.730000
R00251,A0052,1773657480000,0.584250,0,302.850000
R00252,A0031,1773658920000,48.145700,0,37.910000
R00286,A0007,1773812220000,110.617000,0,124.440000
R00293,A0048,1773834180000,44.809900,0,41.110000
R00303,A0003,1773892020000,1.159000,0,12.200000
R00312,A0003,1773937440000,42.960000,0,55.160000
R00352,A0059,1774158600000,133.950100,1,162.650000
R00360,A0024,1774216320000,5.090300,1,47.940000
R00382,A0038,1774328220000,38.544500,0,42.420000
R00384,A0029,1774343100000,52.050000,0,64.040000
R00399,A0017,1774444500000,42.087800,0,33.140000
R00434,A0046,1774587000000,20.535900,0,39.780000
R00435,A0006,1774589760000,3.667950,0,250.500000
R00438,A0053,1774601400000,63.411100,0,71.040000
R00454,A0029,1774701120000,15.717800,1,88.500000
R00456,A0004,1774715340000,91.309300,1,235.730000
R00477,A0048,1774825200000,51.460000,1,107.890000
R00486,A0046,1774863900000,50.165000,0,94.500000
R00503,A0050,1774949820000,10.110000,0,51.370000
R00504,A0010,1774956360000,0.840750,0,28.220000
R00514,A0052,1774996200000,13.300000,0,54.550000
R00528,A0053,1775041560000,23.583900,0,109.910000
R00530,A0047,1775064360000,15.129200,0,34.570000
R00532,A0000,1775082600000,62.960000,0,148.830000
R00540,A0018,1775107680000,13.030000,0,290.220000
R00542,A0050,1775109900000,2.204950,0,135.520000
R00572,A0042,1775321760000,17.767000,1,16.300000
R00604,A0022,1775549700000,24.384000,0,38.260000
R00613,A0017,1775584620000,50.952400,0,58.320000
R00637,A0001,1775767200000,40.513000,0,41.060000
R00641,A0045,1775804640000,15.560000,0,62.300000
R00655,A0007,1775903160000,9.070000,1,29.400000
R00656,A0025,1775921040000,1.017450,1,10.710000
R00661,A0036,1775941320000,43.100000,1,148.790000
R00669,A0037,1776041040000,18.084800,0,90.280000
R00670,A0027,1776043920000,22.148800,0,20.320000
R00672,A0052,1776056820000,3.230000,0,3.230000
R00680,A0058,1776097080000,25.353400,0,72.820000
R00683,A0040,1776108420000,21.974400,0,20.160000
R00684,A0054,1776111240000,107.190000,0,164.100000
R00687,A0010,1776132660000,63.040000,0,63.040000
R00692,A0010,1776159780000,72.921000,0,129.940000
R00699,A0039,1776203040000,17.120000,0,17.120000
R00004,A0046,1772360640000,4.010900,1,42.220000
R00005,A0018,1772360760000,1.155700,1,0.910000
R00009,A0044,1772388480000,18.900600,1,17.340000
R00019,A0012,1772450100000,0.606100,0,9.430000
R00020,A0001,1772456760000,2.778750,0,42.820000
R00037,A0009,1772528820000,12.750000,0,117.580000
R00038,A0058,1772533320000,43.459400,0,34.220000
R00076,A0009,1772715780000,2.110900,0,139.800000
R00085,A0034,1772756820000,1.074450,0,43.880000
R00088,A0033,1772777580000,37.370000,0,146.320000
R00091,A0041,1772790360000,4.650000,0,4.650000
R00096,A0028,1772813700000,1.363250,0,35.730000
R00104,A0039,1772860800000,1.506700,1,59.030000
R00106,A0030,1772871600000,3.411700,1,86.130000
R00110,A0053,1772879100000,16.446500,1,133.910000
R00111,A0016,1772886840000,115.452800,1,175.450000
R00117,A0018,1772903760000,20.060000,1,178.960000
R00124,A0006,1772942700000,15.310000,1,32.740000
R00126,A0047,1772950980000,64.110000,1,207.350000
R00133,A0007,1772973480000,85.699600,1,240.020000
R00140,A0000,1773001860000,10.965400,1,116.590000
R00152,A0050,1773060120000,15.684500,0,12.350000
R00167,A0055,1773142140000,31.090000,0,90.440000
