row_id,account_id,event_time,amount,category
R00546,A0055,1772842380000,23.78,rent
R00547,A0031,1772843100000,21.75,salary
R00548,A0093,1772843340000,49.14,rent
R00549,A0124,1772844060000,47.62,salary
R00550,A0145,1772844420000,91.93,rent
R00551,A0011,1772845440000,24.21,travel
R00552,A0043,1772845680000,5.46,other
R00553,A0069,1772846280000,3.04,salary
R00554,A0139,1772846940000,19.09,travel
R00555,A0048,1772847420000,15.29,other
R00556,A0031,1772847960000,17.56,salary
R00557,A0013,1772848140000,25.67,grocery
R00558,A0112,1772850660000,63.67,salary
R00559,A0071,1772852520000,2.96,salary
R00560,A0046,1772853120000,61.93,travel
R00561,A0136,1772853900000,8.56,grocery
R00562,A0065,1772854080000,13.93,other
R00563,A0108,1772854440000,12.79,rent
R00564,A0072,1772855160000,70.79,other
R00565,A0013,1772855580000,113.67,other
R00566,A0101,1772857080000,87.97,grocery
R00567,A0080,1772858460000,54.26,grocery
R00568,A0129,1772858760000,31.62,rent
R00569,A0072,1772859420000,38.32,salary
R00570,A0145,1772860980000,53.01,grocery
R00571,A0109,1772863260000,6.47,other
R00572,A0138,1772863620000,9.57,salary
R00573,A0006,1772864040000,9.86,other
R00574,A0025,1772864700000,13.28,grocery
R00575,A0123,1772865360000,4.76,rent
R00576,A0035,1772866260000,11.18,grocery
R00577,A0019,1772868900000,3.75,other
R00578,A0049,1772869680000,18.8,grocery
R00579,A0109,1772869860000,7.82,grocery
R00580,A0114,1772869980000,20.14,other
R00581,A0106,1772871060000,11.56,grocery
R00582,A0049,1772871060000,14.64,salary
R00583,A0015,1772872020000,25.55,salary
R00584,A0069,1772872860000,17.18,travel
R00585,A0106,1772872920000,24.28,grocery
R00586,A0147,1772873460000,11.78,salary
R00587,A0147,1772874060000,9.22,other
R00588,A0007,1772875920000,16.47,travel
R00589,A0115,1772877000000,13.57,rent
R00590,A0143,1772878200000,4.66,other
R00591,A0141,1772879700000,32.1,salary
R00592,A0063,1772880660000,4.02,travel
R00593,A0066,1772881020000,8.06,rent
R00594,A0003,1772881020000,13.28,salary
R00595,A0006,1772881560000,13.35,other
R00596,A0088,1772882580000,28.05,salary
R00597,A0128,1772884080000,12.01,salary
R00598,A0077,1772884740000,18.12,other
R00599,A0095,1772884920000,12.9,rent
R00600,A0044,1772885760000,6.73,grocery
R00601,A0093,1772886720000,11.24,rent
R00602,A0003,1772886720000,3.16,other
R00603,A0047,1772886780000,53.83,rent
R00604,A0112,1772887380000,9.65,grocery
R00605,A0058,1772888760000,31.41,grocery
R00606,A0008,1772889360000,49.07,other
R00607,A0068,1772889480000,3.94,rent
R00608,A0064,1772889900000,49.66,rent
R00609,A0004,1772890260000,36.01,rent
R00610,A0123,1772891340000,8.36,other
R00611,A0032,1772891520000,12.58,travel
R00612,A0006,1772891940000,20.57,other
R00613,A0106,1772892060000,40.74,other
R00614,A0037,1772892240000,7.49,travel
R00615,A0048,1772892600000,29.57,other
R00616,A0022,1772893080000,38.34,grocery
R00617,A0097,1772893140000,14.67,other
R00618,A0141,1772896080000,11.87,rent
R00619,A0103,1772896260000,29.57,salary
R00620,A0131,1772896260000,1.11,salary
R00621,A0130,1772898780000,11.04,rent
R00622,A0147,1772900160000,14.85,travel
R00623,A0007,1772900580000,85.03,rent
R00624,A0022,1772902380000,105.52,grocery
R00625,A0075,1772902860000,7.27,rent
R00626,A0027,1772903280000,20.11,rent
R00627,A0046,1772903280000,51.12,grocery
R00628,A0060,1772904300000,37.69,travel
R00629,A0007,1772905620000,3.21,travel
R00630,A0128,1772906160000,136.95,grocery
R00631,A0121,1772907060000,21.6,other
R00632,A0010,1772907600000,64.12,other
R00633,A0019,1772908860000,14.64,grocery
R00634,A0034,1772909400000,32.22,grocery
R00635,A0042,1772909940000,19.41,salary
R00636,A0087,1772910600000,18.89,rent
R00637,A0123,1772911440000,14.89,travel
R00638,A0091,1772911560000,16.45,rent
R00639,A0044,1772911860000,275.95,rent
R00640,A0133,1772912160000,53.69,salary
R00641,A0085,1772913540000,87.62,travel
R00642,A0047,1772914560000,52.7,other
R00643,A0112,1772914920000,16.93,travel
R00644,A0034,1772915040000,10.71,rent
R00645,A0110,1772915100000,30.9,grocery
R00646,A0071,1772916540000,14.9,rent
R00647,A0041,1772916540000,2.41,rent
R00648,A0007,1772917020000,2.06,salary
R00649,A0059,1772917020000,38.17,other
R00650,A0038,1772918820000,38.44,salary
R00651,A0099,1772919840000,12.52,rent
R00652,A0093,1772919960000,17.17,rent
R00653,A0114,1772920740000,3.05,other
R00654,A0134,1772922240000,12.32,salary
R00655,A0077,1772922360000,4.76,other
R00656,A0149,1772923500000,34.24,rent
R00657,A0028,1772923860000,16.92,salary
R00658,A0129,1772925780000,25.45,rent
R00659,A0021,1772927580000,36.12,grocery
