account_id,label_time,amount,balance,credit_score,tier,sessions_7d,health_score,churned
A0000,1773053742000,9.56,5814.99,754,bronze,20,11.11,1
A0001,1773105670000,9.68,5231.25,632,gold,16,12.26,1
A0002,1773180326000,61.28,4336.99,667,bronze,39,8.25,1
A0003,1773139823000,5.96,3490.75,467,gold,19,5.75,1
A0004,1773451099000,113.13,6324.53,840,gold,35,93.67,0
A0005,1772781299000,11.86,3984.91,378,bronze,24,90.21,0
A0006,1772755225000,33.73,4297.59,463,bronze,20,91.12,0
A0007,1772392153000,31.98,4664.04,441,gold,28,93.19,0
A0008,1773204440000,39.51,2357.8,594,gold,3,6.43,1
A0009,1772471479000,13.71,6387.47,850,bronze,22,88.38,0
A0010,1772564612000,25.31,2323.8,764,bronze,11,92.09,0
A0011,1772039648000,131.61,5235.86,846,gold,27,89.36,0
A0012,1772797381000,119.82,4315.41,300,bronze,12,11.01,1
A0013,1772930909000,20.12,6256.45,473,bronze,35,13.82,1
A0014,1773321071000,35.9,5023.9,782,gold,11,10.78,1
A0015,1772599399000,36.29,4448.37,581,bronze,8,87.33,0
A0016,1772371559000,10.29,1780.54,536,gold,16,88.05,0
A0017,1773089270000,11.24,2646.4,728,gold,11,87.42,0
A0018,1772763204000,62.39,5537.14,379,bronze,12,89.07,0
A0019,1772419458000,22.2,5399.73,442,gold,35,90.55,0
A0020,1772120903000,5.18,4038.68,395,silver,24,5.12,1
A0021,1772480514000,18.93,4701.18,755,gold,8,85.64,0
A0022,1773678041000,56.69,3626.48,585,bronze,1,94.52,0
A0023,1772416888000,289.01,4501.58,518,gold,28,14.79,1
A0024,1772792441000,36.58,4667.1,802,bronze,17,88.78,0
A0025,1772989210000,59.22,5749.0,338,silver,35,88.83,0
A0026,1773643942000,45.88,6528.44,627,gold,12,11.62,1
A0027,1772307652000,10.43,3082.04,850,bronze,32,8.06,1
A0028,1773693516000,70.28,1579.2,822,gold,3,13.0,1
A0029,1773697673000,20.54,3422.33,555,bronze,10,88.25,0
A0030,1772085458000,60.87,7719.41,423,silver,39,93.15,0
A0031,1773151215000,77.9,6014.12,639,bronze,20,11.28,1
A0032,1773042218000,36.93,7599.14,787,gold,32,9.6,1
A0033,1772270262000,9.02,6457.36,723,silver,31,7.81,1
A0034,1772703315000,36.34,-2252.41,606,bronze,22,14.79,1
A0035,1773507279000,15.93,6744.81,680,silver,22,5.49,1
A0036,1773680891000,14.09,2742.81,540,silver,38,93.65,0
A0037,1772650642000,27.22,7436.79,628,gold,4,90.34,0
A0038,1773471733000,16.42,4459.15,386,silver,10,91.37,0
A0039,1773292965000,8.72,5661.95,740,silver,21,14.07,1
A0040,1772599202000,29.05,6101.32,454,bronze,18,90.51,0
A0041,1773270765000,28.22,1434.88,526,bronze,14,12.3,1
A0042,1773223280000,13.26,8507.31,585,silver,17,85.77,0
A0043,1772744112000,2.7,4934.09,804,bronze,10,11.63,1
A0044,1772310647000,69.74,2810.52,447,silver,8,91.85,0
A0045,1772113923000,11.78,6819.62,406,gold,3,92.01,0
A0046,1772446099000,11.82,3808.51,425,gold,29,89.15,0
A0047,1772338812000,43.08,3227.18,592,silver,21,85.47,0
A0048,1772321200000,19.04,6853.09,439,bronze,33,8.88,1
A0049,1773540669000,24.46,4222.87,300,gold,6,10.98,1
A0050,1773118066000,72.47,6168.4,731,gold,19,93.09,0
A0051,1773160103000,22.52,4379.7,599,silver,1,87.59,0
A0052,1772888629000,207.39,11693.52,811,gold,13,88.27,0
A0053,1773495590000,8.39,3214.66,717,gold,24,90.19,0
A0054,1773221559000,51.13,4251.11,352,silver,5,87.53,0
A0055,1772348720000,58.15,5748.37,603,gold,15,92.69,0
A0056,1772398651000,14.74,6882.29,649,gold,39,85.9,0
A0057,1772359905000,55.91,7293.26,499,bronze,39,11.83,1
A0058,1772282455000,38.66,3586.15,640,bronze,10,92.22,0
A0059,1773129820000,120.42,6189.26,466,gold,22,11.42,1
A0060,1772586288000,78.03,2211.73,456,silver,20,7.81,1
A0061,1772889895000,33.97,5207.89,455,silver,38,93.84,0
A0062,1772883547000,29.85,2437.39,469,silver,17,92.28,0
A0063,1772896018000,143.89,9715.74,300,gold,2,92.24,0
A0064,1772305512000,13.3,3606.71,711,gold,20,7.41,1
A0065,1773053219000,29.88,7086.01,515,silver,17,85.15,0
A0066,1773264464000,26.23,4975.32,564,silver,36,86.64,0
A0067,1773623122000,404.43,4364.44,552,gold,28,8.83,1
A0068,1772184285000,20.47,7407.74,818,silver,28,92.8,0
A0069,1773536145000,34.46,5963.26,850,bronze,12,5.06,1
A0070,1773315437000,82.87,8267.83,657,bronze,3,6.49,1
A0071,1772624278000,13.41,6796.88,673,gold,12,7.92,1
A0072,1771990314000,31.88,5428.22,420,silver,27,89.33,0
A0073,1773598082000,47.14,1513.88,638,gold,31,91.88,0
A0074,1773476054000,77.6,3621.29,307,bronze,7,12.23,1
A0075,1772894727000,50.27,8207.9,690,gold,27,9.95,1
A0076,1773434863000,103.52,7087.87,656,silver,15,88.6,0
A0077,1772900075000,93.69,5416.82,397,silver,37,92.74,0
A0078,1773562775000,10.81,3641.08,373,gold,31,10.45,1
A0079,1773132571000,27.28,6114.11,789,silver,14,88.06,0
A0080,1772754776000,45.81,3606.5,850,silver,26,85.18,0
A0081,1772067756000,5.4,11035.43,758,silver,10,87.58,0
A0082,1772610134000,27.04,6148.08,364,silver,31,13.91,1
A0083,1772424092000,41.47,6360.72,809,bronze,36,9.26,1
A0084,1773120989000,4.65,2530.92,766,silver,13,89.67,0
A0085,1772844199000,18.07,7577.03,523,gold,37,93.4,0
A0086,1772453413000,119.17,3491.4,850,silver,15,85.29,0
A0087,1772063967000,115.67,6733.06,850,silver,33,86.76,0
A0088,1773665734000,29.51,2063.07,626,gold,25,93.94,0
A0089,1772164392000,295.81,2747.31,723,gold,6,89.65,0
A0090,1773567621000,26.13,6727.05,850,gold,1,88.19,0
A0091,1772063854000,14.09,5407.45,300,bronze,19,5.25,1
A0092,1772733012000,86.81,6435.08,775,bronze,32,5.23,1
A0093,1772030074000,24.38,2414.95,587,gold,24,88.99,0
A0094,1773584651000,126.99,1609.27,364,bronze,16,89.36,0
A0095,1773445544000,15.59,2370.21,300,silver,25,9.06,1
A0096,1773560336000,35.65,5904.54,743,bronze,7,14.86,1
A0097,1772471934000,26.37,2703.23,597,gold,38,91.83,0
A0098,1772598405000,13.89,1728.86,808,gold,8,13.22,1
A0099,1773091292000,207.68,4229.51,318,silver,34,13.68,1
