account_id,event_time,sessions_7d
A0000,1767397040000,2
A0000,1767932484000,8
A0000,1768528836000,8
A0000,1769178193000,2
A0000,1769793298000,21
A0000,1770374150000,37
A0000,1770989725000,6
A0000,1771629916000,25
A0000,1772220920000,12
A0000,1772820337000,17
A0000,1773389500000,20
A0000,1774028501000,16
A0000,1774616035000,20
A0001,1767334398000,8
A0001,1767936628000,34
A0001,1768488161000,27
A0001,1769099673000,34
A0001,1769745942000,10
A0001,1770343985000,31
A0001,1770925792000,22
A0001,1771531733000,30
A0001,1772180003000,8
A0001,1772763147000,31
A0001,1773330833000,20
A0001,1773992596000,13
A0001,1774551411000,16
A0002,1767257598000,0
A0002,1767896980000,6
A0002,1768547599000,27
A0002,1769119099000,28
A0002,1769710962000,18
A0002,1770333680000,28
A0002,1770903736000,34
A0002,1771513547000,3
A0002,1772094287000,25
A0002,1772740488000,14
A0002,1773336368000,33
A0002,1773946243000,29
A0002,1774543583000,39
A0003,1767336422000,0
A0003,1767975967000,14
A0003,1768557691000,37
A0003,1769176214000,35
A0003,1769746554000,3
A0003,1770390486000,20
A0003,1770998344000,15
A0003,1771579570000,39
A0003,1772204419000,37
A0003,1772782113000,5
A0003,1773400284000,2
A0003,1773995968000,3
A0003,1774605210000,19
A0004,1767340595000,13
A0004,1767905473000,35
A0004,1768536338000,18
A0004,1769121468000,2
A0004,1769771893000,34
A0004,1770350369000,36
A0004,1770981866000,6
A0004,1771558806000,38
A0004,1772166436000,23
A0004,1772770412000,15
A0004,1773416165000,37
A0004,1774004620000,27
A0004,1774544846000,35
A0005,1767310329000,34
A0005,1767950034000,30
A0005,1768534317000,20
A0005,1769134516000,32
A0005,1769749804000,23
A0005,1770336489000,27
A0005,1770939645000,5
A0005,1771558677000,32
A0005,1772144814000,1
A0005,1772783439000,9
A0005,1773350747000,33
A0005,1773966198000,26
A0005,1774615753000,24
A0006,1767344125000,9
A0006,1767963316000,34
A0006,1768575609000,19
A0006,1769113224000,32
A0006,1769765803000,22
