account_id,event_time,amount,balance
A0001,1772114375000,59.73,4931.24
A0001,1773047429000,58.93,5644.35
A0002,1772602786000,76.58,3725.42
A0007,1770424995000,73.26,5479.99
A0010,1771685504000,6.92,2918.12
A0011,1769243297000,15.39,5379.06
A0011,1770699573000,17.48,5426.56
A0012,1772387179000,39.71,4748.2
A0017,1769426803000,94.94,2689.09
A0017,1769880457000,34.16,3374.19
A0017,1772421362000,3.33,2790.49
A0019,1769914992000,13.96,4884.63
A0020,1772033902000,14.96,4442.21
A0022,1771100027000,110.12,3988.58
A0023,1767245784000,39.57,3027.55
A0026,1767688125000,87.84,6387.98
A0026,1769634448000,42.72,5684.23
A0030,1771371713000,88.89,8112.81
A0031,1767877522000,12.13,5763.99
A0032,1772791955000,9.03,6722.2
A0034,1768871723000,10.39,-614.23
A0034,1770178791000,139.67,-1245.72
A0038,1767731392000,149.74,5574.44
A0039,1773181037000,8.4,5834.41
A0041,1768326540000,186.54,1820.9
A0041,1770661935000,128.41,1616.74
A0042,1772787568000,174.95,8356.8
A0044,1767278193000,18.14,4349.85
A0045,1771926198000,10.71,6721.19
A0046,1767765748000,53.4,4016.28
A0046,1769846759000,110.6,3998.31
A0048,1771509138000,57.38,6584.03
A0049,1768067548000,76.02,4014.02
A0050,1770459969000,12.76,5436.21
A0051,1767257576000,10.41,2679.7
A0051,1771878939000,27.35,4130.56
A0052,1767249320000,175.13,10633.98
A0053,1769456322000,123.84,3590.42
A0053,1772743905000,47.28,3427.7
A0053,1772835462000,71.45,3425.55
A0054,1767282967000,58.39,3692.9
A0054,1772954481000,45.63,3810.12
A0058,1771331712000,7.72,4304.79
A0058,1771645606000,30.66,4464.4
A0059,1770713199000,16.74,5745.1
A0059,1770922846000,24.76,5303.3
A0060,1770409740000,40.66,2444.4
A0063,1767247781000,63.4,8628.57
A0064,1767256720000,202.39,3107.57
A0068,1771278517000,34.14,7217.21
A0069,1769084276000,10.94,4751.95
A0071,1771757477000,36.49,5356.61
A0071,1771832865000,131.47,5624.67
A0073,1770445050000,9.46,1538.56
A0076,1773251849000,10.17,7020.46
A0077,1767283461000,99.99,6158.25
A0077,1769211864000,142.18,5680.22
A0078,1768144710000,14.74,4203.35
A0080,1768506839000,4.92,2877.21
A0082,1767801727000,24.86,4986.33
A0082,1772532380000,166.07,5537.2
A0083,1768525131000,100.5,4938.33
A0086,1771920777000,18.93,4284.5
A0088,1770030668000,15.29,1593.83
A0091,1771754652000,20.62,4370.52
A0098,1767293796000,55.64,2635.8
A0098,1770351337000,263.78,2176.78
A0098,1770998036000,90.9,2342.9
A0099,1770778741000,19.58,4470.24
