entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-03-09T00:00:00Z,4.6649,6.1276,4.9912,2.1342,1.7245,7.8449
E0001,2026-03-09T00:00:00Z,-0.429,9.6807,4.5861,3.8986,3.2282,6.7905
E0002,2026-03-09T00:00:00Z,1.5137,6.8396,4.2539,1.092,3.7912,6.7991
E0003,2026-03-09T00:00:00Z,3.4938,8.6106,4.1158,-0.2288,2.1976,6.2101
E0004,2026-03-09T00:00:00Z,2.5667,3.4452,5.989,3.7556,2.8612,7.4977
E0005,2026-03-09T00:00:00Z,1.8203,6.8969,5.5087,0.0082,4.8501,6.0946
E0006,2026-03-09T00:00:00Z,3.3227,5.6007,4.2577,0.8748,2.7289,9.6949
E0007,2026-03-09T00:00:00Z,2.3549,5.8217,5.0348,0.9877,2.84,5.2372
E0008,2026-03-09T00:00:00Z,6.3146,5.2058,4.1803,-2.2665,3.4623,7.9677
E0009,2026-03-09T00:00:00Z,2.7054,3.6776,3.8496,4.7265,4.434,6.3905
E0010,2026-03-09T00:00:00Z,1.6859,2.7565,5.6093,-0.4687,2.0569,6.5161
E0011,2026-03-09T00:00:00Z,2.8191,6.4756,4.6881,1.2156,2.9363,7.1088
E0012,2026-03-09T00:00:00Z,4.7012,9.1686,4.7136,0.1993,2.0264,6.75
E0013,2026-03-09T00:00:00Z,3.9028,4.1388,4.6346,1.2094,4.5535,5.391
E0014,2026-03-09T00:00:00Z,3.7711,1.3509,4.4103,0.9703,3.8804,6.3546
E0015,2026-03-09T00:00:00Z,2.5561,6.4323,4.8533,3.2159,4.1494,6.1052
E0016,2026-03-09T00:00:00Z,-0.3771,4.4182,3.9902,2.2584,2.7272,7.2697
E0017,2026-03-09T00:00:00Z,6.3916,7.344,4.1959,3.0397,3.2914,7.8449
E0018,2026-03-09T00:00:00Z,2.4916,7.8202,4.0711,-3.516,2.6289,4.6898
E0019,2026-03-09T00:00:00Z,1.8444,5.9048,3.8486,1.409,2.9911,8.4123
E0020,2026-03-09T00:00:00Z,4.3601,0.0537,3.7547,0.5158,2.659,7.9529
E0021,2026-03-09T00:00:00Z,-0.245,5.137,4.5323,2.2546,3.1019,9.5281
E0022,2026-03-09T00:00:00Z,4.6734,8.5347,4.0316,0.2475,3.3991,7.9857
E0023,2026-03-09T00:00:00Z,2.4884,7.802,5.0426,2.2889,3.6384,8.1855
E0024,2026-03-09T00:00:00Z,2.3338,4.9993,4.5335,-0.684,2.9259,5.102
E0025,2026-03-09T00:00:00Z,3.3254,10.2613,5.4858,1.0857,4.1118,8.9637
E0026,2026-03-09T00:00:00Z,2.2042,4.9123,4.3749,1.6366,3.4337,7.8773
E0027,2026-03-09T00:00:00Z,4.4019,8.524,3.6017,5.5272,3.2307,8.1597
E0028,2026-03-09T00:00:00Z,3.3089,7.8292,4.9558,3.8378,3.2564,5.8503
E0029,2026-03-09T00:00:00Z,3.1857,4.2143,4.4407,1.5055,3.9084,8.2388
E0030,2026-03-09T00:00:00Z,4.3514,7.1534,4.1298,2.1518,3.1185,8.9239
E0031,2026-03-09T00:00:00Z,-3.8898,5.6859,5.2581,0.0438,3.6823,6.1731
E0032,2026-03-09T00:00:00Z,2.5276,4.8133,5.4026,-2.5105,4.9746,5.2589
E0033,2026-03-09T00:00:00Z,3.2724,4.0653,4.7538,1.9691,2.1959,8.6195
E0034,2026-03-09T00:00:00Z,2.7194,4.4404,4.4704,0.4476,3.235,8.989
E0035,2026-03-09T00:00:00Z,2.6291,8.6162,5.3717,0.6947,5.9751,6.9294
E0036,2026-03-09T00:00:00Z,2.8186,4.0084,5.541,0.7784,3.9987,6.016
E0037,2026-03-09T00:00:00Z,2.6292,9.0754,5.7338,-0.8751,3.3307,7.0848
E0038,2026-03-09T00:00:00Z,0.3379,7.0286,3.8467,0.0327,4.6349,5.8512
E0039,2026-03-09T00:00:00Z,5.3543,5.879,4.0178,2.8268,3.6365,5.718
E0040,2026-03-09T00:00:00Z,2.7108,8.6689,4.3871,0.8776,2.2358,6.8038
E0041,2026-03-09T00:00:00Z,1.5371,5.8794,5.174,-1.8114,3.4492,8.4389
E0042,2026-03-09T00:00:00Z,0.586,9.0517,4.5886,-0.2076,4.6799,7.1608
E0043,2026-03-09T00:00:00Z,1.0877,7.3273,5.1457,-1.0051,2.5961,8.357
E0044,2026-03-09T00:00:00Z,1.1532,6.7058,4.4523,-0.4712,2.3504,7.9815
E0045,2026-03-09T00:00:00Z,3.47,9.0834,4.1641,0.3387,4.0019,7.8399
E0046,2026-03-09T00:00:00Z,4.0673,5.3241,4.2227,0.0947,3.3534,6.3028
E0047,2026-03-09T00:00:00Z,3.5802,7.711,5.3525,-0.1324,2.2269,6.4177
E0048,2026-03-09T00:00:00Z,3.5849,5.147,5.1792,-0.3626,3.046,8.9397
E0049,2026-03-09T00:00:00Z,2.6256,6.8957,6.1329,-0.6595,4.5887,7.0775
E0050,2026-03-09T00:00:00Z,3.329,7.0578,6.1133,0.7035,3.3132,5.8244
E0051,2026-03-09T00:00:00Z,5.0075,6.803,4.911,1.355,2.1047,8.1769
E0052,2026-03-09T00:00:00Z,2.2563,5.1054,4.6266,2.1046,2.7315,6.9311
E0053,2026-03-09T00:00:00Z,3.3427,6.9739,5.1456,-0.7575,4.3994,8.1248
E0054,2026-03-09T00:00:00Z,2.123,6.6863,4.3305,4.2553,3.439,5.5509
E0055,2026-03-09T00:00:00Z,4.5963,8.3162,5.6373,-0.0917,3.621,8.9129
E0056,2026-03-09T00:00:00Z,1.1863,4.6348,6.2537,2.21,3.0513,5.0648
E0057,2026-03-09T00:00:00Z,3.8947,7.4889,4.9384,1.9784,2.6959,6.5896
E0058,2026-03-09T00:00:00Z,1.4523,4.0397,5.2153,2.8188,4.1472,7.1258
E0059,2026-03-09T00:00:00Z,4.3212,3.221,4.3896,3.2902,3.4505,5.5309
E0060,2026-03-09T00:00:00Z,1.607,5.6993,3.6229,0.5599,2.5457,9.934
E0061,2026-03-09T00:00:00Z,3.502,4.9336,5.7516,0.6618,3.7651,7.0252
E0062,2026-03-09T00:00:00Z,-0.9521,8.3566,3.8941,1.7606,2.7456,7.3154
E0063,2026-03-09T00:00:00Z,2.6105,10.0436,4.6136,0.9452,2.8145,5.2568
E0064,2026-03-09T00:00:00Z,-0.7585,4.6943,5.3619,1.6218,3.8918,9.2585
E0065,2026-03-09T00:00:00Z,1.4695,7.4129,4.789,1.9742,2.1813,8.3887
E0066,2026-03-09T00:00:00Z,7.3044,8.39,3.9059,1.5114,2.6066,8.4271
E0067,2026-03-09T00:00:00Z,4.5409,6.6836,5.3674,-0.3556,2.9514,6.6191
E0068,2026-03-09T00:00:00Z,-1.1616,6.0788,5.0409,2.6632,3.8263,7.1678
E0069,2026-03-09T00:00:00Z,1.3971,6.0907,5.3438,1.3184,1.8843,8.143
E0070,2026-03-09T00:00:00Z,1.6423,0.5819,4.5835,-1.2311,2.1533,9.6116
E0071,2026-03-09T00:00:00Z,1.7756,5.9377,5.1852,2.5463,3.1257,6.9602
E0072,2026-03-09T00:00:00Z,2.9686,6.564,5.0026,0.7212,3.5251,5.6747
E0073,2026-03-09T00:00:00Z,0.1206,7.8678,5.1958,-2.9446,3.1396,5.7679
E0074,2026-03-09T00:00:00Z,0.5219,7.2263,5.1709,1.0498,2.4544,8.3278
E0075,2026-03-09T00:00:00Z,3.0002,4.5716,3.731,1.4382,3.4169,6.5259
E0076,2026-03-09T00:00:00Z,8.3437,7.457,4.299,3.3812,2.5486,8.0795
E0077,2026-03-09T00:00:00Z,-0.2719,4.289,5.8287,0.4311,3.457,6.4614
E0078,2026-03-09T00:00:00Z,-0.1224,9.7172,4.1724,4.2562,4.0331,7.4052
E0079,2026-03-09T00:00:00Z,1.5507,3.0834,5.2557,2.785,0.8648,11.0165
E0080,2026-03-09T00:00:00Z,4.8633,6.5244,4.4253,2.2496,4.1443,8.1943
E0081,2026-03-09T00:00:00Z,3.2041,11.8147,4.5257,2.0468,3.309,8.1624
