entity_id,event_time,f1,f2,f3,f4,f5,f6
E0000,2026-03-21T00:00:00Z,2.6892,6.3945,7.2114,1.1075,2.6343,9.3898
E0001,2026-03-21T00:00:00Z,5.0136,7.0899,7.4345,-0.1005,2.6206,6.5294
E0002,2026-03-21T00:00:00Z,4.0662,5.8778,7.5318,1.0354,2.5115,5.9831
E0003,2026-03-21T00:00:00Z,2.3572,7.5838,7.8987,1.8172,3.5288,9.0273
E0004,2026-03-21T00:00:00Z,2.8681,8.1138,7.5754,1.4466,2.3303,6.9011
E0005,2026-03-21T00:00:00Z,0.8738,5.4799,8.4052,-2.4861,3.616,6.117
E0006,2026-03-21T00:00:00Z,6.6443,9.2454,7.9114,-0.0163,3.3028,10.089
E0007,2026-03-21T00:00:00Z,3.405,5.1953,6.7349,0.9247,2.7662,5.5804
E0008,2026-03-21T00:00:00Z,1.0863,5.6864,7.6928,0.5615,3.48,7.8362
E0009,2026-03-21T00:00:00Z,0.9624,4.7784,7.2807,-1.804,3.176,8.0518
E0010,2026-03-21T00:00:00Z,3.5375,5.0513,7.8702,-0.5225,3.6168,9.6728
E0011,2026-03-21T00:00:00Z,2.7792,4.4185,6.486,-0.8342,2.4875,7.8384
E0012,2026-03-21T00:00:00Z,5.1351,4.3495,7.8952,2.442,2.9631,5.2986
E0013,2026-03-21T00:00:00Z,-0.3639,6.2689,6.6142,1.2547,3.4417,7.7172
E0014,2026-03-21T00:00:00Z,2.0965,5.7507,6.1492,0.4233,2.549,7.032
E0015,2026-03-21T00:00:00Z,4.9544,4.1414,7.0821,1.6387,3.4667,5.8929
E0016,2026-03-21T00:00:00Z,4.8899,5.218,7.9049,0.8683,3.3107,6.7129
E0017,2026-03-21T00:00:00Z,-0.7945,6.2267,7.7145,0.2757,3.0199,8.4256
E0018,2026-03-21T00:00:00Z,5.1997,6.6856,7.425,-0.285,3.9316,6.7884
E0019,2026-03-21T00:00:00Z,3.4782,8.4645,6.8672,2.2325,2.8772,7.553
E0020,2026-03-21T00:00:00Z,3.4736,7.7023,7.09,1.6329,2.7329,7.5929
E0021,2026-03-21T00:00:00Z,0.9187,2.3339,7.0218,2.9061,3.4143,8.0601
E0022,2026-03-21T00:00:00Z,3.7738,7.4459,7.0487,2.6631,2.8884,8.4519
E0023,2026-03-21T00:00:00Z,4.005,6.4057,6.4105,-1.5259,2.6992,7.3767
E0024,2026-03-21T00:00:00Z,4.5239,5.393,7.8062,0.8852,2.9421,5.74
E0025,2026-03-21T00:00:00Z,2.0483,3.1183,7.8381,-2.7112,3.1415,6.9144
E0026,2026-03-21T00:00:00Z,1.6303,8.6824,7.6519,0.1063,3.0644,6.3813
E0027,2026-03-21T00:00:00Z,4.6831,7.5943,6.6803,4.8522,3.5489,6.5072
E0028,2026-03-21T00:00:00Z,2.2974,5.981,7.2393,3.7311,4.0873,8.7253
E0029,2026-03-21T00:00:00Z,2.1372,7.2838,7.6873,0.2285,2.641,6.633
E0030,2026-03-21T00:00:00Z,-0.7121,8.6743,8.2485,0.7364,4.9656,5.123
E0031,2026-03-21T00:00:00Z,6.8162,3.5919,8.1511,1.2959,3.1752,6.274
E0032,2026-03-21T00:00:00Z,5.2981,9.8162,8.1594,0.7671,3.0402,7.7515
E0033,2026-03-21T00:00:00Z,2.6558,6.0864,8.0889,-1.2405,2.5878,6.9883
E0034,2026-03-21T00:00:00Z,1.709,4.3896,7.9823,1.0753,5.189,10.1535
E0035,2026-03-21T00:00:00Z,2.939,7.3372,6.3849,1.2702,5.6248,6.2653
E0036,2026-03-21T00:00:00Z,3.123,3.9239,5.6035,0.3916,3.2694,3.4099
E0037,2026-03-21T00:00:00Z,1.9171,2.8841,7.6017,1.2788,3.607,7.929
E0038,2026-03-21T00:00:00Z,0.1598,7.2134,8.5436,5.2417,3.1693,7.7767
E0039,2026-03-21T00:00:00Z,2.6785,7.1941,6.9119,1.185,5.3069,6.1878
E0040,2026-03-21T00:00:00Z,2.8312,5.4362,7.5524,2.9853,2.2056,7.792
E0041,2026-03-21T00:00:00Z,2.3311,5.711,7.4323,1.214,2.4319,6.939
E0042,2026-03-21T00:00:00Z,1.4774,6.3743,8.0433,-3.3635,2.7139,5.5695
E0043,2026-03-21T00:00:00Z,4.1416,7.1044,6.7708,-1.0984,3.7996,6.8231
E0044,2026-03-21T00:00:00Z,4.5724,6.2717,6.9319,1.0111,3.4353,7.1466
E0045,2026-03-21T00:00:00Z,-1.0537,4.7442,8.2133,1.2671,5.1918,7.3297
E0046,2026-03-21T00:00:00Z,4.6535,5.5817,7.525,2.1653,1.7,9.6893
E0047,2026-03-21T00:00:00Z,2.1089,7.6005,7.089,3.6278,3.2224,8.6532
E0048,2026-03-21T00:00:00Z,0.479,5.4797,8.4956,4.1847,3.4192,9.8609
E0049,2026-03-21T00:00:00Z,3.5459,6.1607,6.8919,1.4374,2.7376,6.3135
E0050,2026-03-21T00:00:00Z,1.723,6.2883,8.1166,0.3769,3.0406,10.1
E0051,2026-03-21T00:00:00Z,2.6657,8.6392,7.1441,-0.3725,3.0913,9.8914
E0052,2026-03-21T00:00:00Z,1.5753,4.3661,6.8475,2.4484,3.1935,8.273
E0053,2026-03-21T00:00:00Z,1.1891,4.7918,7.4554,-0.7034,3.0279,6.7745
E0054,2026-03-21T00:00:00Z,1.8401,9.369,6.3776,4.6568,3.4009,8.2788
E0055,2026-03-21T00:00:00Z,2.8931,5.8433,6.8011,0.8565,3.6466,6.6458
E0056,2026-03-21T00:00:00Z,1.8196,8.5705,8.294,1.0206,4.4745,6.8391
E0057,2026-03-21T00:00:00Z,2.5096,4.4637,7.3841,0.4575,2.7658,8.9368
E0058,2026-03-21T00:00:00Z,1.4218,6.5342,7.111,-0.9049,4.2485,7.7784
E0059,2026-03-21T00:00:00Z,4.0613,6.2852,8.4139,0.0263,2.4987,8.5446
E0060,2026-03-21T00:00:00Z,1.5974,7.5715,8.3707,2.5033,2.6242,8.8045
E0061,2026-03-21T00:00:00Z,6.5857,4.4064,8.6802,-1.7191,2.4066,7.4735
E0062,2026-03-21T00:00:00Z,3.7485,5.553,8.2956,0.9888,2.8876,6.1485
E0063,2026-03-21T00:00:00Z,4.603,7.4316,7.3227,-1.5663,4.3111,7.8476
E0064,2026-03-21T00:00:00Z,0.5962,6.1485,6.8317,0.3308,4.3876,8.5189
E0065,2026-03-21T00:00:00Z,1.0233,10.2927,6.9698,0.5727,3.9347,6.4331
E0066,2026-03-21T00:00:00Z,5.3358,8.5191,7.4481,2.6891,3.245,9.8201
E0067,2026-03-21T00:00:00Z,5.3881,8.7669,6.7658,4.802,3.1659,8.5661
E0068,2026-03-21T00:00:00Z,0.5268,2.8102,7.2863,1.2639,4.0249,10.5428
E0069,2026-03-21T00:00:00Z,0.2947,7.9565,7.1638,2.6439,4.0324,9.2177
E0070,2026-03-21T00:00:00Z,0.9502,3.6594,5.987,2.923,3.9893,8.4545
E0071,2026-03-21T00:00:00Z,5.5748,3.9048,7.1006,-2.0244,2.0358,6.5693
E0072,2026-03-21T00:00:00Z,1.3113,7.6859,8.254,2.7146,4.064,4.2207
E0073,2026-03-21T00:00:00Z,3.3893,8.5495,7.0922,1.4039,4.439,7.4135
E0074,2026-03-21T00:00:00Z,3.2126,7.7868,7.4279,-1.7767,2.84,5.3445
E0075,2026-03-21T00:00:00Z,4.4245,4.2526,7.8538,1.6375,3.0485,5.9695
E0076,2026-03-21T00:00:00Z,4.1215,7.7612,7.6594,0.1015,4.1765,6.3833
E0077,2026-03-21T00:00:00Z,2.446,8.2063,7.4205,-3.0766,4.5761,8.7011
E0078,2026-03-21T00:00:00Z,0.8138,5.2946,6.9428,-2.2208,3.1969,4.4244
E0079,2026-03-21T00:00:00Z,2.1635,4.6517,6.9258,0.9496,2.2802,5.139
E0080,2026-03-21T00:00:00Z,4.8069,6.0878,7.1008,-1.3313,2.5247,7.506
E0081,2026-03-21T00:00:00Z,1.6127,6.3271,7.2736,-0.3782,4.2231,6.6991
E0082,2026-03-21T00:00:00Z,4.3879,6.5226,6.1579,2.5869,3.0112,6.834
E0083,2026-03-21T00:00:00Z,1.1771,6.4778,8.5039,1.6124,4.0511,8.8573
E0084,2026-03-21T00:00:00Z,-0.4244,4.3055,7.5884,0.961,3.0257,6.8692
E0085,2026-03-21T00:00:00Z,5.653,5.8386,6.8591,0.7473,3.2552,10.3445
E0086,2026-03-21T00:00:00Z,6.5153,6.8955,6.0682,0.8474,4.552,4.629
E0087,2026-03-21T00:00:00Z,4.5833,7.5127,7.4043,-1.6294,4.1429,8.7247
E0088,2026-03-21T00:00:00Z,3.4965,6.8559,7.7118,0.8502,3.872,6.7785
E0089,2026-03-21T00:00:00Z,4.2788,5.3685,7.4112,1.3466,3.3437,7.3834
E0090,2026-03-21T00:00:00Z,5.555,8.7046,6.7577,-1.7308,3.334,6.3982
E0091,2026-03-21T00:00:00Z,3.5547,6.1087,7.2117,0.4419,2.3471,8.0662
E0092,2026-03-21T00:00:00Z,2.6997,7.782,8.6241,-1.6336,3.8602,8.1803
E0093,2026-03-21T00:00:00Z,-1.173,5.5666,7.1963,-1.1994,4.0655,7.3424
E0094,2026-03-21T00:00:00Z,0.1899,7.7691,6.83,1.8231,2.7868,8.0808
E0095,2026-03-21T00:00:00Z,1.0736,5.7886,6.1634,0.925,2.8883,6.9829
E0096,2026-03-21T00:00:00Z,-0.5805,6.342,7.0655,-0.1712,2.5531,6.3297
E0097,2026-03-21T00:00:00Z,2.5459,8.3043,6.9216,0.1462,2.7375,6.2087
E0098,2026-03-21T00:00:00Z,0.0208,4.8117,7.7903,0.7689,2.6095,8.4131
E0099,2026-03-21T00:00:00Z,0.451,6.0602,7.2925,-2.1218,3.4585,5.6983
E0100,2026-03-21T00:00:00Z,3.8045,5.8665,6.3875,-2.4919,6.1256,6.0196
E0101,2026-03-21T00:00:00Z,0.5942,5.4547,7.3775,-1.877,3.3534,8.477
