account_id,f1,f2,f3,f4
A0000,4.2773,-4.1311,3.5584,-2.5304
A0001,5.9537,-4.2668,2.2944,-2.8572
A0002,7.3221,-2.4894,2.3163,-2.9215
A0003,5.1287,-1.6715,1.1757,-4.1413
A0004,-0.7017,-3.1691,2.0191,-2.5083
A0005,4.9606,-4.2687,2.4685,-2.9574
A0006,1.4286,-5.2156,1.3197,-3.8379
A0007,6.4141,-2.1862,0.1578,-2.1856
A0008,3.016,-3.0123,1.5321,-3.2297
A0009,4.9738,-4.6891,2.7827,-3.577
A0010,-0.5298,-1.0171,2.249,-2.3996
A0011,-1.1265,-3.1372,0.3933,-3.11
A0012,2.2834,-4.712,1.3663,-3.3449
A0013,5.8732,-1.938,3.107,-3.0895
A0014,-0.0391,-3.8586,3.533,-3.2486
A0015,6.3771,-3.1926,1.9347,-2.4306
A0016,1.1606,-5.2755,0.7688,-3.6853
A0017,5.3629,-4.8581,1.6073,-3.0192
A0018,3.6358,-2.3012,2.9717,-3.1597
A0019,0.6314,-2.7326,2.8206,-2.5511
A0020,2.8461,-2.8332,1.6307,-3.6158
A0021,4.7339,-3.2074,1.1062,-3.7034
A0022,0.0364,-4.369,2.7551,-3.2424
A0023,-0.3764,-3.5454,3.2345,-3.3162
A0024,2.0005,-3.7032,2.6607,-3.123
A0025,6.7691,-3.4496,1.0351,-3.4614
A0026,0.8719,-3.0948,1.4436,-2.9891
A0027,-2.2497,-1.1083,0.6937,-3.4745
A0028,5.8554,-1.056,0.3879,-3.4908
A0029,8.579,-2.4612,2.9847,-4.0481
A0030,2.8576,-4.6565,3.7382,-2.8054
A0031,6.0715,-5.0286,3.5071,-3.3439
A0032,1.9626,-3.1024,2.8765,-2.5748
A0033,2.3416,-2.894,1.5301,-3.3878
A0034,3.0859,-4.0292,3.6775,-2.4417
A0035,-3.3668,-2.9488,2.0113,-2.7253
A0036,7.3423,-4.0279,1.5781,-3.2739
A0037,4.7085,-4.1865,0.5704,-2.2685
A0038,0.0293,-3.9324,2.2474,-2.4103
A0039,2.4025,-3.305,1.9036,-2.693
A0040,6.3982,-5.2334,2.8621,-2.6386
A0041,3.9105,-2.7952,1.1675,-4.0058
A0042,3.2612,-4.8109,2.2588,-1.3416
A0043,3.9044,-4.2102,2.4255,-2.8838
A0044,4.7383,-3.2264,2.284,-2.5186
A0045,4.0779,-4.1911,2.3912,-2.6356
A0046,3.3058,-4.6948,3.8284,-4.3082
A0047,2.0984,-3.2417,2.2156,-2.7348
A0048,3.2014,-3.5807,1.5989,-2.7
A0049,1.6193,-2.8986,2.8991,-2.946
A0050,2.8293,-3.526,1.9528,-2.8945
A0051,3.5458,-4.1121,3.4531,-4.1205
A0052,7.7124,-2.715,-0.9229,-3.4498
A0053,5.126,-2.6674,2.8457,-3.8179
A0054,6.2456,-4.0085,2.2119,-4.0818
A0055,3.1601,-2.665,2.1114,-2.7682
A0056,4.1357,-2.8694,1.0642,-3.5576
A0057,1.9038,-0.5742,1.623,-3.3115
A0058,3.9899,-2.2675,3.8042,-2.8715
A0059,4.0925,-2.8416,2.4715,-3.1498
A0060,5.5309,-3.2751,1.9335,-3.275
A0061,2.4675,-4.6203,3.0605,-2.4323
A0062,3.071,-3.8446,3.3973,-3.7168
A0063,4.5643,-2.4168,2.3593,-3.3064
A0064,1.7202,-3.0147,0.9998,-3.8308
A0065,0.6179,-3.2783,0.2392,-3.7669
A0066,0.6245,-2.0096,2.7999,-3.4166
A0067,0.4438,-4.0254,0.586,-4.2613
A0068,5.3322,-3.4484,2.8638,-3.3204
A0069,3.4693,-4.5832,2.2027,-3.4079
A0070,0.9823,-3.303,3.4624,-3.1061
A0071,1.9666,-3.7581,2.4176,-3.8514
A0072,4.5093,-1.4494,2.72,-3.0824
A0073,2.8262,-5.2204,0.9091,-3.5767
A0074,4.4988,-2.2201,1.754,-3.0189
A0075,3.3407,-3.0894,0.6903,-2.6311
A0076,3.0869,-3.1269,1.3615,-2.7389
A0077,0.4224,-3.7758,0.2612,-3.0794
A0078,-1.8529,-2.78,-0.1237,-2.9194
A0079,3.7999,-3.2499,1.4723,-3.1285
A0080,1.5282,-4.086,2.7938,-3.3247
