entity_id,f1,f2,f3,f4,f5
E0000,10.580288,0.96481,5.033055,8.867474,4.500421
E0001,1.196711,1.927026,6.818687,5.909451,3.778587
E0002,35.391827,1.840664,8.3875,7.421933,13.634962
E0003,0.442334,2.746494,18.160976,9.243155,13.992329
E0004,10.700393,3.434342,2.918264,8.800961,27.442754
E0005,8.045994,1.29172,25.04581,4.954028,6.914422
E0006,18.633496,1.52246,6.643111,23.646362,3.634635
E0007,24.208796,1.842274,7.174803,15.7561,5.63869
E0008,3.617264,1.279057,4.164006,20.228564,6.107492
E0009,18.146251,1.463664,7.260437,12.135837,3.419659
E0010,1.7903,0.734469,7.555573,40.538874,12.615873
E0011,3.333055,1.934815,9.616881,7.002366,22.785533
E0012,7.757349,2.704706,19.988003,4.475831,3.257539
E0013,7.615054,3.660053,12.073136,17.662031,8.720246
E0014,11.348528,2.943289,8.691393,7.376759,1.371109
E0015,10.458435,2.314039,3.80916,8.046731,2.718284
E0016,10.333267,1.592694,11.957147,4.770884,4.224439
E0017,7.901042,2.432173,10.460499,12.191557,6.042603
E0018,1.947887,1.958758,5.264384,15.410594,4.401662
E0019,16.326043,0.95139,8.995499,19.270406,4.49963
E0020,5.401563,2.017451,5.216002,6.550759,27.342167
E0021,2.862597,2.233923,15.655805,3.690962,1.364515
E0022,3.249303,1.848466,3.375625,2.800345,4.521521
E0023,15.826859,2.739011,11.474646,11.980733,2.134772
E0024,6.516503,2.344284,2.091359,23.215891,6.832291
E0025,6.234112,3.640794,2.70451,13.552978,2.328355
E0026,5.997886,1.305391,6.623402,7.749375,11.355103
E0027,15.370428,2.31771,2.38599,25.791653,4.147792
E0028,13.891096,2.828759,7.779615,9.262635,8.462396
E0029,2.759189,1.091607,6.272679,4.55791,43.753033
E0030,8.961479,2.740057,6.179747,2.928899,25.873333
E0031,21.061941,1.485888,6.751987,21.319486,20.500329
E0032,23.296372,1.19994,20.384359,3.02066,14.701448
E0033,7.430876,2.193721,9.605505,26.988697,11.609963
E0034,3.626219,2.499903,4.132404,10.586615,2.596215
E0035,7.869945,1.901451,7.400402,2.397218,5.524171
E0036,3.30008,1.688338,21.072839,15.695439,7.55696
E0037,24.625791,2.618156,7.457549,5.661233,1.944646
E0038,3.477572,2.429134,8.345912,2.392012,2.428604
E0039,4.236804,1.755175,5.018267,11.539708,19.849678
E0040,3.94888,2.383754,14.200148,1.906971,14.101473
E0041,6.466445,2.946451,30.790548,2.153342,12.566238
E0042,22.287752,2.29572,18.718162,5.896322,7.587048
E0043,30.427106,1.67494,3.268024,27.939445,4.138409
E0044,5.979798,3.203444,11.888444,22.335869,5.351471
E0045,6.390812,1.247151,13.701783,1.867415,3.075031
E0046,14.516299,3.325988,11.693613,6.588604,40.404058
E0047,4.783648,1.023928,5.737438,18.781953,12.576868
