day,f5_m,f5_s,f3_m,f3_s,f1_m,f1_s,f2_m,f2_s,f6_m,f6_s,f4_m,f4_s
2026-03-09,3.262,0.82,4.757,0.653,2.689,1.987,6.282,1.9,7.387,1.328,0.979,1.658
2026-03-10,3.103,0.827,4.777,0.712,2.962,1.802,6.784,1.81,7.262,1.189,0.731,1.691
2026-03-11,3.318,0.7,7.433,0.62,2.868,1.835,6.579,1.984,7.347,1.302,0.633,1.817
2026-03-12,3.398,0.843,7.48,0.657,2.79,2.01,6.531,1.889,7.45,1.264,0.678,1.711
2026-03-13,3.307,0.811,7.407,0.673,2.923,1.736,6.522,2.126,7.29,1.355,0.698,1.732
2026-03-14,3.197,0.85,7.401,0.609,2.875,1.811,6.516,1.837,7.324,1.398,0.767,1.773
2026-03-15,3.278,0.828,7.463,0.696,2.848,1.745,6.727,1.708,7.192,1.267,0.594,1.682
2026-03-16,3.292,0.787,7.517,0.663,2.932,1.783,6.56,1.925,7.553,1.251,0.637,1.712
2026-03-17,3.297,0.784,7.509,0.702,2.888,1.783,6.59,1.702,7.453,1.321,0.464,1.661
2026-03-18,3.305,0.745,7.421,0.748,2.755,1.954,6.753,2.057,7.377,1.313,0.615,1.586
2026-03-19,3.268,0.842,7.585,0.651,2.832,1.834,6.638,1.952,7.382,1.403,0.746,1.782
2026-03-20,3.244,0.845,7.46,0.704,3.01,2.137,6.624,1.745,7.293,1.374,0.78,1.688
2026-03-21,3.349,0.802,7.379,0.652,2.622,1.763,6.405,1.744,7.41,1.314,0.67,1.814
2026-03-22,3.214,0.81,7.444,0.696,3.0,1.949,6.645,1.975,7.292,1.25,0.839,1.733
2026-03-23,3.319,0.898,7.46,0.652,2.738,1.807,6.906,1.793,7.364,1.317,0.63,1.38
2026-03-24,3.282,0.862,7.4,0.646,2.74,1.812,6.702,1.919,7.249,1.306,0.749,1.684
2026-03-25,3.271,0.797,7.443,0.63,2.724,1.766,6.802,2.047,7.364,1.346,0.683,1.684
2026-03-26,3.229,0.788,7.481,0.638,2.995,1.785,6.31,1.784,7.517,1.438,0.733,1.833
2026-03-27,3.366,0.832,7.443,0.689,2.826,2.001,6.772,1.842,7.264,1.299,0.687,1.517
2026-03-28,3.215,0.814,7.54,0.669,2.71,2.068,6.474,2.079,7.416,1.334,0.833,1.658
2026-03-29,3.157,0.762,7.484,0.655,2.741,1.735,6.645,1.952,7.332,1.29,0.632,1.719
2026-03-30,3.275,0.769,7.468,0.7,2.673,2.025,6.608,1.953,7.364,1.186,0.695,1.668
2026-03-31,3.175,0.826,7.494,0.72,2.681,1.784,7.085,1.798,7.46,1.321,0.316,1.596
