row_id,status,balance,updated_at
R00316,active,4218.71,1770324360000
R00346,active,6530.64,1770274980000
R00299,closed,3430.35,1769931120000
R00321,active,7360.79,1770051720000
R00163,dormant,5382.41,1770185400000
R00115,dormant,3915.18,1770053580000
R00294,active,5072.27,1770030720000
R00058,active,7627.69,1770035160000
R00116,closed,4513.66,1770470820000
R00006,active,6686.11,1769914800000
R00212,closed,2337.03,1770442440000
R00120,active,6276.1,1770064080000
R00335,closed,5203.69,1769936700000
R00125,dormant,6294.79,1770098820000
R00227,dormant,1628.88,1770416100000
R00334,dormant,3199.04,1769905380000
R00374,active,4115.6,1770027480000
R00154,active,4641.2,1770207480000
R00072,active,7159.12,1769996100000
R00087,dormant,4934.4,1769929740000
R00336,closed,3986.24,1770014400000
R00315,active,4129.96,1770166620000
R00206,closed,7873.27,1770466020000
R00356,active,5041.3,1770318540000
R00391,active,7449.41,1770183300000
R00222,active,5759.07,1770153000000
R00053,closed,3913.14,1769952240000
R00110,active,2411.89,1769991420000
R00151,active,6721.58,1770068580000
R00383,closed,664.12,1770230820000
R00396,active,6358.1,1769913540000
R00241,closed,7264.53,1770440340000
R00049,active,4347.35,1770338280000
R00261,closed,5168.28,1770350820000
R00180,dormant,1564.85,1770029100000
R00113,active,3916.68,1770440160000
R00090,active,5703.0,1770084960000
R00392,active,7123.52,1770109560000
R00302,active,6385.26,1769937060000
R00088,active,4462.64,1770274740000
R00385,dormant,6444.68,1770221220000
R00377,closed,3120.07,1770009420000
R00262,closed,646.75,1770017880000
R00310,dormant,3428.04,1770446760000
R00177,dormant,5320.72,1769998740000
R00086,dormant,5119.89,1769969820000
R00067,closed,3168.65,1770118980000
R00240,closed,3173.72,1770151920000
R00149,closed,4948.75,1770310020000
R00082,closed,4171.48,1770461940000
R00244,active,3801.14,1770419220000
R00393,closed,1284.76,1770461220000
R00319,dormant,3325.11,1770401340000
R00266,closed,4173.49,1770325620000
R00345,closed,1727.25,1770418020000
R00044,closed,4452.38,1770035220000
R00325,closed,6444.12,1770291840000
R00224,dormant,5430.73,1770051180000
R00145,closed,7200.49,1770386820000
R00381,dormant,4966.98,1770279780000
R00236,active,4742.61,1770067560000
R00191,active,5678.02,1770114540000
R00136,closed,3194.61,1770314640000
R00369,dormant,5232.8,1770256560000
R00070,active,7746.82,1770273900000
R00189,active,3899.27,1770425220000
R00238,closed,7140.54,1770346200000
R00197,dormant,3375.69,1770247140000
R00007,closed,6477.43,1769904420000
R00292,dormant,7380.31,1770165120000
R00126,dormant,5872.07,1770302040000
R00060,closed,5514.44,1770166620000
R00247,active,763.76,1770083880000
R00311,dormant,5939.66,1770239940000
R00219,active,5890.46,1770077880000
R00179,active,2612.23,1770492660000
R00255,dormant,7260.45,1769930640000
R00234,dormant,4868.66,1769987880000
R00211,active,4492.39,1770475980000
R00010,active,4615.98,1770008460000
R00020,closed,4134.29,1770150840000
R00351,dormant,2282.04,1770169140000
R00105,active,1323.13,1770325740000
R00318,dormant,4799.76,1770111660000
R00298,active,5515.64,1770255060000
R00094,dormant,6198.37,1770319380000
R00278,dormant,6970.98,1770048360000
R00123,active,4653.86,1770472860000
R00246,active,2867.71,1769931840000
R00147,closed,7630.18,1770409860000
R00337,active,2985.85,1770223560000
R00339,closed,6714.0,1769963940000
R00371,dormant,9023.37,1770102540000
R00330,closed,2876.92,1770451800000
R00073,closed,5747.16,1770119880000
R00195,dormant,1673.03,1769939040000
R00078,dormant,544.61,1770134400000
R00225,dormant,3316.97,1770271800000
R00221,closed,2025.42,1770344460000
R00372,closed,4893.37,1770347760000
R00331,closed,4614.76,1770010140000
R00287,closed,6480.27,1769906700000
R00153,active,1020.15,1770336480000
R00333,dormant,5014.77,1769920500000
R00207,active,7135.25,1770315000000
R00363,dormant,3383.32,1769946180000
R00268,closed,8567.09,1770045300000
R00027,closed,6654.62,1770396660000
R00024,closed,4183.32,1770318360000
R00064,closed,5178.15,1769994060000
R00232,dormant,2399.36,1769920860000
R00274,closed,7897.39,1770396180000
R00004,closed,1439.41,1769918460000
R00279,closed,3428.4,1770434100000
R00017,dormant,5917.29,1770182220000
R00398,closed,1872.68,1770091860000
R00322,active,3109.53,1770283380000
R00032,active,2021.79,1770274200000
R00026,active,6024.0,1770065820000
R00139,closed,4957.44,1770380280000
R00011,dormant,1298.9,1770038760000
R00203,active,4012.34,1769944020000
R00048,closed,5273.86,1770354600000
R00269,dormant,6586.65,1770395460000
R00061,active,6532.54,1769954100000
R00196,closed,4704.58,1770454080000
R00275,dormant,6301.75,1770114780000
R00034,active,1652.47,1770358440000
R00176,active,5033.79,1770125280000
R00101,dormant,8542.05,1770445140000
R00267,active,6110.02,1770030780000
R00122,closed,902.43,1770480540000
R00057,closed,6211.44,1770490380000
R00104,active,6905.19,1769932740000
R00290,active,3472.93,1770049440000
R00108,closed,7037.02,1770255900000
R00242,dormant,7441.57,1769922300000
R00265,dormant,1702.61,1770431880000
R00301,dormant,6121.25,1770302100000
R00358,dormant,2642.76,1770406320000
R00036,dormant,4944.68,1770105180000
R00259,dormant,4429.64,1770298260000
R00054,active,3270.05,1770362460000
R00198,dormant,3391.79,1770003600000
R00183,closed,6284.58,1770145620000
R00002,active,5304.03,1770309240000
R00272,active,8490.76,1770014580000
R00215,dormant,6881.77,1769990520000
R00226,closed,4009.91,1770427440000
R00080,dormant,10644.97,1770367620000
R00288,active,3223.94,1770186840000
R00185,active,5621.96,1770198900000
R00035,closed,5774.95,1770461340000
R00297,closed,2247.13,1770437820000
R00218,closed,2642.5,1770224640000
R00045,dormant,3983.17,1770086520000
R00340,active,6443.4,1769981160000
R00015,closed,6264.91,1770263400000
R00019,closed,3141.89,1769907600000
R00284,closed,4834.26,1770183060000
R00366,active,12.73,1770447420000
R00314,closed,3827.69,1770503160000
R00160,dormant,8772.46,1770498960000
R00033,active,3883.51,1770234660000
R00306,active,4460.02,1770414060000
R00308,closed,6112.35,1770042540000
R00276,closed,4046.96,1769976900000
R00124,active,6087.7,1770133020000
R00327,closed,2336.16,1770234060000
R00165,dormant,5707.01,1770000060000
R00156,closed,4853.67,1770321240000
R00155,closed,4660.21,1770477480000
