row_id,account_id,event_time,amount,category
R00511,A0083,1772842140000,13.12,travel
R00512,A0132,1772842380000,12.28,rent
R00513,A0031,1772845800000,45.58,travel
R00514,A0091,1772847240000,22.94,rent
R00515,A0047,1772848440000,7.07,grocery
R00516,A0135,1772848500000,9.14,other
R00517,A0085,1772848680000,8.73,salary
R00518,A0016,1772848860000,25.89,salary
R00519,A0105,1772849340000,7.96,other
R00520,A0039,1772850900000,8.39,rent
R00521,A0064,1772851740000,9.43,grocery
R00522,A0023,1772853600000,26.34,grocery
R00523,A0086,1772853660000,68.98,grocery
R00524,A0111,1772853900000,36.89,rent
R00525,A0000,1772854260000,3.97,salary
R00526,A0032,1772854500000,36.33,grocery
R00527,A0053,1772855520000,5.41,rent
R00528,A0042,1772855640000,11.09,grocery
R00529,A0029,1772856900000,183.25,other
R00530,A0147,1772857740000,10.25,grocery
R00531,A0132,1772859600000,7.53,grocery
R00532,A0149,1772859900000,2.76,salary
R00533,A0061,1772860020000,36.96,travel
R00534,A0066,1772860320000,92.34,rent
R00535,A0060,1772860860000,15.86,rent
R00536,A0094,1772862360000,41.88,rent
R00537,A0033,1772863260000,83.97,travel
R00538,A0016,1772863560000,5.9,other
R00539,A0014,1772864460000,17.3,travel
R00540,A0029,1772865240000,15.82,rent
R00541,A0120,1772867160000,45.58,rent
R00542,A0066,1772868420000,5.03,salary
R00543,A0007,1772869320000,29.64,travel
R00544,A0134,1772869800000,11.11,rent
R00545,A0118,1772869800000,13.97,travel
R00546,A0011,1772869980000,28.49,rent
R00547,A0032,1772870460000,12.53,grocery
R00548,A0137,1772871900000,28.89,salary
R00549,A0043,1772872260000,383.99,salary
R00550,A0110,1772873040000,21.34,grocery
R00551,A0079,1772873220000,182.43,rent
R00552,A0007,1772873340000,89.41,grocery
R00553,A0024,1772873340000,4.01,travel
R00554,A0073,1772875800000,38.87,travel
R00555,A0051,1772876880000,30.16,grocery
R00556,A0082,1772876940000,16.75,salary
R00557,A0058,1772877900000,12.34,other
R00558,A0119,1772878020000,43.9,travel
R00559,A0134,1772878740000,24.03,grocery
R00560,A0044,1772879160000,22.82,other
R00561,A0016,1772879160000,32.04,rent
R00562,A0147,1772879400000,12.41,salary
R00563,A0069,1772879940000,113.68,other
R00564,A0005,1772880660000,12.98,rent
R00565,A0084,1772881140000,14.12,rent
R00566,A0139,1772881260000,10.69,rent
R00567,A0017,1772882460000,11.38,travel
R00568,A0101,1772882520000,9.11,salary
R00569,A0003,1772882880000,26.89,other
R00570,A0017,1772883660000,58.11,grocery
R00571,A0129,1772883660000,1090.84,grocery
R00572,A0021,1772883660000,47.84,salary
R00573,A0014,1772883780000,21.94,travel
R00574,A0097,1772884020000,19.52,rent
R00575,A0019,1772884560000,33.32,salary
R00576,A0079,1772884680000,57.97,other
R00577,A0016,1772888880000,5.28,rent
R00578,A0032,1772890020000,6.33,rent
R00579,A0061,1772890860000,95.17,salary
R00580,A0134,1772891280000,20.56,travel
R00581,A0121,1772891820000,122.1,rent
R00582,A0069,1772892000000,55.67,other
R00583,A0069,1772892720000,12.4,salary
R00584,A0059,1772893560000,23.88,travel
R00585,A0113,1772894400000,21.73,travel
R00586,A0117,1772896320000,238.99,salary
R00587,A0142,1772898660000,13.14,travel
R00588,A0087,1772899200000,10.91,rent
R00589,A0109,1772899620000,58.49,rent
R00590,A0101,1772899620000,28.86,grocery
R00591,A0000,1772899980000,15.69,grocery
R00592,A0039,1772900220000,5.17,rent
R00593,A0049,1772901480000,23.94,travel
R00594,A0024,1772902680000,10.14,other
R00595,A0068,1772902860000,10.22,salary
R00596,A0065,1772904120000,22.54,grocery
R00597,A0009,1772904240000,35.41,rent
R00598,A0084,1772905020000,26.26,travel
R00599,A0075,1772905080000,66.83,travel
R00600,A0119,1772905140000,57.78,salary
R00601,A0092,1772905800000,6.89,travel
R00602,A0149,1772905920000,11.42,travel
R00603,A0133,1772906040000,11.84,grocery
R00604,A0115,1772906280000,63.29,travel
R00605,A0089,1772908380000,26.14,salary
R00606,A0093,1772908620000,33.47,grocery
R00607,A0062,1772909880000,118.97,travel
R00608,A0089,1772911020000,17.82,other
R00609,A0017,1772912880000,30.99,salary
R00610,A0072,1772913240000,26.89,other
R00611,A0112,1772913780000,4.11,travel
R00612,A0104,1772914440000,4.35,salary
R00613,A0120,1772914680000,3.06,grocery
R00614,A0023,1772916660000,27.11,other
R00615,A0132,1772917020000,4.38,other
R00616,A0043,1772917200000,32.52,salary
R00617,A0066,1772917500000,35.5,other
R00618,A0129,1772917560000,5.26,other
R00619,A0019,1772917860000,98.04,grocery
R00620,A0122,1772918100000,35.74,salary
R00621,A0123,1772918160000,14.25,other
R00622,A0111,1772918280000,165.82,other
R00623,A0041,1772918400000,28.03,travel
R00624,A0012,1772919180000,85.74,travel
R00625,A0013,1772919720000,7.8,salary
R00626,A0043,1772920020000,5.01,salary
R00627,A0072,1772920440000,24.82,salary
R00628,A0023,1772921460000,12.03,other
R00629,A0128,1772921520000,10.46,rent
R00630,A0136,1772921580000,29.01,travel
R00631,A0064,1772922000000,62.06,other
R00632,A0079,1772922000000,35.32,other
R00633,A0020,1772922120000,21.5,other
R00634,A0090,1772922420000,34.51,travel
R00635,A0011,1772922780000,38.71,salary
R00636,A0008,1772925420000,13.88,other
R00637,A0076,1772925900000,22.55,grocery
R00638,A0026,1772925900000,64.06,grocery
R00639,A0078,1772926200000,5.58,rent
R00640,A0119,1772926620000,5.54,other
