row_id,b_val
R00001,2.2627
R00002,-2.4214
R00003,1.3851
R00004,-4.2046
R00005,2.8226
R00006,0.1064
R00007,10.0853
R00008,-6.0579
R00010,-6.6229
R00011,4.7024
R00012,-7.7003
R00013,-5.9981
R00014,-1.2616
R00015,-4.21
R00016,-7.5632
R00017,-4.6494
R00018,-1.0514
R00019,-13.5625
R00020,-2.0464
R00021,-9.2256
R00022,-14.5978
R00025,7.0526
R00026,-8.4024
R00027,2.2481
R00028,-5.0082
R00029,-0.383
R00031,-2.3625
R00032,-6.4168
R00035,-3.9166
R00036,-13.4145
R00037,-1.2641
R00038,-2.7873
R00039,-15.1908
R00041,-2.7012
R00042,-3.9031
R00043,-12.0736
R00044,1.318
R00045,-2.2054
R00047,4.3733
R00048,-5.0276
R00049,4.2929
R00054,0.2681
R00055,-5.0387
R00056,-5.6619
R00057,-2.8934
R00058,-8.9335
R00059,-7.3218
R00060,-7.4347
R00061,6.4713
R00065,2.5584
R00066,-0.6717
R00067,-0.0411
R00068,0.8854
R00069,-3.6115
R00072,-5.4379
R00073,-0.6095
R00075,5.1048
R00076,-3.8484
R00077,-0.0614
R00078,-4.978
R00079,1.0643
R00081,-3.9656
R00083,1.616
R00084,-2.7965
R00087,-6.6386
R00088,6.5139
R00089,1.3127
R00092,-13.0519
R00093,-0.6329
R00094,-4.6844
R00096,-0.138
R00098,5.0988
R00099,-3.3193
R00100,-1.5811
R00101,-9.7497
R00102,0.4633
R00103,-5.7517
R00105,-3.3016
R00107,1.756
R00108,-3.7128
R00110,-5.2786
R00111,-4.0886
R00112,0.2815
R00116,-3.3591
R00117,-9.557
R00118,-6.2353
R00119,-1.8741
R00120,-12.1935
R00121,9.3151
R00122,-6.2584
R00123,-5.9451
R00124,-7.8879
R00126,-3.9248
R00127,1.9242
R00128,-1.5115
R00129,-1.7639
R00130,-25.6573
R00131,-5.5033
R00137,-6.8197
R00138,1.4376
R00139,-1.6991
R00140,-6.9648
R00141,-3.9189
R00142,-1.7822
R00143,4.3424
R00144,-0.7967
R00145,-9.3264
R00148,-6.9006
R00149,2.3979
R00151,0.1854
R00152,1.6251
R00153,-10.6799
R00154,-2.0793
R00155,-0.7123
R00156,9.2461
R00159,5.741
R00160,-6.1106
R00161,-6.45
R00163,-1.6708
R00164,-4.8423
R00165,-5.972
R00166,-4.2876
R00167,-6.2863
R00168,-1.705
R00169,-7.592
R00170,1.0932
R00171,-3.8282
R00173,-3.6196
R00174,8.6216
R00175,-0.5308
R00176,-9.3632
R00177,-13.5268
R00178,0.5417
R00179,5.301
R00181,7.0974
R00182,4.7049
R00183,-0.3374
R00184,-3.1977
R00186,-0.1527
R00187,2.072
R00190,-2.9535
R00192,0.2418
R00193,-5.6258
R00194,-1.4267
R00196,-10.2536
R00197,-7.6889
R00200,0.9272
R00201,-4.9749
R00203,-4.6352
R00204,-5.3945
R00205,1.473
R00207,-2.2095
R00209,-1.6106
R00210,-4.9464
R00211,-0.6765
R00212,2.7052
R00214,-8.4305
R00216,-4.6196
R00217,7.5219
R00218,-8.2412
R00219,0.0971
R00220,6.366
R00221,-9.9421
R00222,-5.2736
R00223,2.7206
R00225,-12.4033
R00228,-5.3835
R00229,2.7884
R00230,3.4667
R00231,-0.609
R00232,-12.1624
R00233,-6.4714
R00235,1.1181
R00236,-0.2743
R00237,0.4448
R00238,-8.038
R00239,3.0248
R00240,-2.25
R00241,-7.0771
R00244,-5.8041
R00246,-2.8813
R00247,-3.4465
R00248,0.5528
R00249,-0.2248
R00250,2.1996
R00251,0.7865
R00252,-3.6902
R00253,-4.3522
R00254,0.344
R00255,2.4455
R00256,0.4724
R00258,-7.6017
R00260,0.5364
R00261,3.1568
R00262,-0.0107
R00263,-3.357
R00264,-2.2952
R00266,-0.8763
R00268,-5.7105
R00269,-5.4886
R00270,-0.4064
R00271,-4.0104
R00272,0.0926
R00273,-1.5821
R00274,-1.3107
R00275,9.6902
R00276,-4.8923
R00277,0.0056
R00278,-4.2155
R00279,-6.1779
R00280,-3.9521
R00281,-0.2509
R00283,-0.4256
R00284,-1.2765
R00285,-9.1722
R00286,-1.3749
R00288,-8.2792
R00290,-6.5968
R00291,-4.0192
R00292,9.7354
R00293,1.7395
R00294,-0.5338
R00295,-10.3105
R00296,-2.7132
R00299,-1.4767
R00300,-6.9319
R00301,-6.693
R00305,2.6553
R00306,-2.9357
R00307,-6.8972
R00308,2.6612
R00310,-11.6601
R00312,-5.3494
R00313,-3.9939
R00314,-8.1486
R00315,-8.9377
R00316,-2.8685
R00317,-5.5928
R00318,4.4841
R00319,-2.3467
