row_id,f1,f2,f3,f4
R00400,6.699866,4.296526,4.377021,6.420087
R00401,6.45107,5.139825,4.386394,5.489912
R00402,6.780585,4.619464,3.678508,4.014924
R00403,7.760918,2.991439,2.000066,3.228436
R00404,6.447879,3.601957,4.87739,5.104544
R00405,6.008753,5.14675,4.681344,3.569149
R00406,5.474241,4.25777,4.5763,5.75793
R00407,5.244325,3.649166,1.860181,6.138078
R00408,6.557515,2.262463,4.056517,5.468858
R00409,6.011954,3.475756,5.640159,-0.459182
R00410,7.821498,3.944912,0.84777,8.510654
R00411,5.701027,5.066341,4.639616,2.051484
R00412,6.553149,3.947612,3.439279,7.658365
R00413,7.230244,4.636467,3.179012,4.925728
R00414,6.645348,2.664689,4.576789,4.406437
R00415,4.386753,4.318886,4.50536,9.065006
R00416,5.579799,3.579916,3.406803,7.005997
R00417,6.752286,3.654288,3.041454,5.115535
R00418,5.67262,4.784525,3.646754,7.211314
R00419,6.568969,2.78703,3.178036,7.783823
R00420,5.152854,4.156569,2.981621,2.706142
R00421,7.750159,5.45192,3.987389,9.117906
R00422,6.682263,6.146841,3.458057,4.837554
R00423,7.543431,2.683892,3.502722,6.009456
R00424,7.041768,5.004236,3.439591,2.040063
R00425,7.053958,3.934067,3.981153,6.07145
R00426,6.237509,5.000122,3.827265,1.110241
R00427,5.245343,3.105978,3.164029,4.015391
R00428,7.252286,3.171756,1.890313,2.943544
R00429,5.854159,4.496565,3.287064,8.658091
R00430,6.102761,4.929422,3.059342,7.412289
R00431,5.591592,5.654871,3.097827,8.365176
R00432,6.973829,4.959997,4.365992,8.966801
R00433,6.873973,5.639561,2.500346,6.636908
R00434,6.815903,5.492466,3.904651,5.283684
R00435,6.330409,2.172291,3.196992,5.737418
R00436,5.290848,5.204044,5.036617,3.518555
R00437,5.478492,4.783837,5.341163,5.583442
R00438,8.288905,3.210311,2.531733,8.631816
R00439,4.903477,3.194822,4.35617,7.06595
R00440,6.880032,3.241584,2.999821,6.307435
R00441,6.307192,4.718242,4.573783,7.659978
R00442,5.303905,4.922551,2.114948,3.546137
R00443,7.228301,4.263434,4.879495,8.422266
R00444,7.477707,3.838849,5.714697,4.817595
R00445,6.474728,3.793858,4.422331,8.510321
R00446,5.576173,5.906177,2.774388,4.625315
R00447,5.291836,4.887037,5.909633,4.029651
R00448,5.95988,4.28152,3.887585,5.090402
R00449,6.75551,5.535868,4.814806,9.163314
R00450,6.786509,4.780816,3.67537,0.548978
R00451,6.833163,3.599468,3.787709,5.690374
R00452,4.353614,5.459472,3.546929,2.896895
R00453,5.627977,4.993682,2.69164,4.921686
R00454,6.228572,3.944126,1.678773,5.416184
R00455,6.959319,4.829961,3.903008,6.039164
R00456,6.074063,4.738292,4.103813,9.491015
R00457,6.982503,4.486575,3.210631,5.806982
R00458,5.22776,4.007114,2.046436,3.049945
R00459,5.483928,4.356606,3.623656,4.486294
R00460,6.488828,4.493409,3.384283,6.012614
R00461,5.603798,3.752263,3.415611,5.300943
R00462,6.766676,5.280469,2.551991,4.984108
R00463,6.970585,4.379596,5.826002,3.271433
R00464,5.531808,5.162244,4.169717,4.489628
R00465,7.078647,3.781536,2.128796,8.390751
R00466,5.822286,4.678675,5.630892,6.476422
R00467,6.760517,2.747449,2.668057,3.546398
R00468,6.565663,6.008269,3.574764,5.188472
R00469,7.520489,3.849003,5.889776,4.352394
R00470,6.19514,3.007813,3.861045,3.567561
R00471,6.756135,3.838145,3.498364,3.774712
R00472,5.559242,3.656689,2.973781,4.08034
R00473,7.184073,3.355094,2.919229,5.28052
R00474,8.314795,3.738734,1.102689,7.398742
R00475,6.189454,6.346597,2.681898,9.086488
R00476,5.804629,4.570509,3.991029,1.260645
R00477,5.128988,3.28672,2.9335,6.661105
R00478,5.492312,4.408092,3.531562,2.330797
R00479,5.711748,6.015335,5.129408,7.041541
R00480,5.818274,4.301713,3.015445,4.671878
R00481,6.357257,4.123908,3.25988,2.321493
R00482,5.830622,2.947754,2.310189,5.111792
R00483,5.996495,4.32913,4.524134,3.811699
R00484,4.638796,3.312662,3.379639,6.29944
R00485,6.559703,4.198207,3.691008,2.600337
R00486,4.811488,3.441154,3.710244,2.424749
R00487,5.316862,4.601793,4.421994,6.94787
R00488,5.654429,3.105215,3.341762,4.667786
R00489,6.310253,5.407269,4.463805,3.507343
R00490,6.156451,4.70649,4.886084,4.041331
R00491,6.671823,4.876472,3.731584,4.339035
R00492,6.445292,3.888661,2.013448,5.937196
R00493,5.615083,5.302142,2.400616,3.430787
R00494,6.788868,5.204246,4.418228,9.940084
R00495,6.761961,5.444932,4.32761,5.12472
R00496,4.704676,4.564999,3.04857,7.255074
R00497,7.853239,6.053033,3.69432,8.080609
R00498,6.609793,3.965696,3.887046,3.23065
R00499,5.847886,5.279953,2.440573,5.601831
R00500,6.960931,3.67448,4.420414,8.39757
R00501,6.061517,5.150295,4.805841,3.76121
R00502,8.05803,4.199925,5.990342,3.545066
R00503,5.873781,4.604108,4.835639,3.928344
R00504,5.141766,4.302577,4.438775,6.171683
R00505,6.630704,4.810489,3.945994,6.044617
R00506,6.562275,2.895315,2.210632,7.365183
R00507,7.816543,1.803653,3.257006,-0.454879
R00508,6.952001,3.282938,4.120525,3.440802
R00509,7.367715,3.235313,2.891343,6.465906
R00510,5.728382,4.32882,4.984551,1.993879
R00511,7.156437,5.644179,1.805831,7.236039
R00512,6.480878,5.155884,2.694195,2.212918
R00513,6.46226,4.613581,4.367864,5.974475
R00514,7.006631,5.413272,1.607653,6.800223
R00515,8.543786,3.740198,5.032614,6.135258
R00516,6.733693,4.971162,2.976984,7.688587
R00517,6.84776,4.110041,1.955394,5.643882
R00518,7.507937,3.389509,4.693883,3.074852
R00519,6.248644,3.854916,5.724588,4.91313
R00520,6.435606,3.055952,2.79142,9.716899
R00521,6.826926,3.985063,3.979551,4.412688
R00522,5.850772,5.039751,0.580938,9.842545
R00523,4.674192,4.748988,1.874879,5.5306
R00524,7.294358,4.165715,2.161233,2.019167
R00525,6.421463,5.317925,4.91562,1.750706
R00526,6.450026,4.555006,2.260159,5.501613
R00527,7.141578,5.120803,2.288995,2.554597
R00528,5.822039,5.608226,3.615008,4.542095
R00529,5.80507,4.725134,4.595192,6.806002
R00530,6.699496,5.535859,2.642936,3.205317
R00531,6.513679,2.984848,3.056033,6.257866
R00532,4.553752,4.471691,3.176368,9.61076
R00533,5.156505,4.154373,2.823707,6.428826
R00534,6.287359,4.116466,3.165326,8.171036
R00535,5.514212,4.680587,1.493059,9.490256
R00536,5.506739,4.618354,6.032344,6.116918
R00537,6.317045,3.286722,3.175098,6.637341
R00538,6.940967,5.410462,4.19958,8.016075
R00539,5.997863,4.685943,3.024416,5.711982
R00540,5.719743,3.897702,3.744518,8.898032
R00541,6.508441,6.233382,5.266995,4.697618
R00542,6.652298,4.564561,4.745465,3.865389
R00543,6.282626,3.730799,3.761799,8.335288
R00544,6.810232,3.121108,3.412986,5.852967
R00545,5.654252,6.628328,4.429571,5.910239
R00546,6.902589,4.982675,5.841896,6.036421
R00547,6.028757,5.791525,3.656114,6.105244
R00548,7.451153,3.932036,3.0711,7.606796
R00549,6.832735,4.643023,4.417287,6.343704
R00550,6.93632,3.252635,3.40259,6.627676
R00551,6.749259,4.117406,3.361485,5.036207
R00552,7.111952,3.814454,4.890115,6.417621
R00553,6.149706,5.02492,2.635135,6.055546
R00554,5.758387,4.338059,1.782863,2.102645
R00555,7.378646,4.492441,2.219797,6.946142
R00556,6.396132,4.820513,2.234486,6.372209
R00557,4.378833,3.21496,2.499327,3.015617
R00558,6.934663,4.911156,4.460818,3.865583
R00559,5.969665,4.45977,3.083849,6.490532
R00560,5.952137,4.722331,1.628156,5.150769
R00561,5.664768,2.92323,3.690759,5.269437
R00562,4.773253,5.941935,2.962915,3.742852
R00563,5.356152,3.238672,3.120701,5.480769
R00564,7.435705,5.058427,4.678562,5.465039
R00565,7.130561,6.394375,4.01373,4.478551
R00566,6.045439,2.260602,4.110468,4.796209
R00567,6.28269,4.077078,4.620761,3.213755
R00568,6.52574,4.510695,2.729456,3.023972
R00569,8.106389,4.329903,3.524693,4.238975
R00570,6.812556,4.603912,2.605091,8.693989
R00571,6.983985,4.058359,4.063337,4.851687
R00572,7.533804,3.914798,4.265728,1.410127
R00573,5.161891,4.60064,3.098067,7.599635
R00574,6.121764,4.219728,5.218743,7.168084
R00575,6.580035,4.307477,4.733932,6.373035
R00576,6.915333,4.768941,3.456449,3.258487
R00577,5.808567,4.190596,3.734136,6.131721
R00578,5.200029,6.402495,3.080318,6.307565
R00579,7.366775,3.92824,4.629065,2.438707
R00580,7.459855,4.904852,4.017594,3.005924
R00581,6.595091,3.046969,4.322653,3.683162
R00582,6.213846,3.312559,3.981055,7.894194
R00583,4.975091,2.955051,2.147872,5.812226
R00584,7.387634,3.773646,5.70391,5.446853
R00585,5.726545,4.76471,2.004588,5.753944
R00586,7.533133,4.30114,4.657617,5.131927
R00587,6.635771,1.35737,3.0012,8.127738
R00588,6.119566,4.69869,4.144117,6.446399
R00589,4.633993,3.774341,2.832775,7.47746
R00590,7.164269,2.971574,4.09688,5.42527
R00591,5.872746,4.394972,4.766399,5.38383
R00592,6.347083,3.457142,2.724231,2.446147
R00593,6.400696,4.494549,3.142313,4.978282
R00594,3.767942,3.184396,3.420069,3.315568
R00595,6.313926,3.301964,3.626367,1.908319
R00596,7.059934,4.492279,2.537011,9.707419
R00597,6.86428,4.681525,5.505101,6.107624
R00598,4.507644,4.271324,3.049168,7.355667
R00599,6.528522,3.345316,4.571283,5.71524
R00600,6.387261,2.543703,2.680384,7.634363
R00601,6.036963,4.010611,1.868349,6.830047
R00602,7.061444,3.943333,2.54685,2.575478
R00603,7.123078,4.882598,1.785611,4.978475
R00604,7.353798,1.582854,3.568729,7.318405
R00605,6.083419,3.721518,2.498276,6.912381
R00606,5.984742,3.765852,3.220562,3.164365
R00607,5.690727,3.796044,3.79193,3.193984
R00608,5.24881,4.003622,3.073027,6.995639
R00609,6.30089,4.783838,4.926294,5.925195
R00610,6.878478,1.517537,1.069136,5.114767
R00611,6.979662,2.854508,3.782281,7.753873
R00612,5.509689,4.105209,2.147322,4.480091
R00613,6.960145,2.506945,3.568716,3.291881
R00614,8.419305,4.549556,4.276352,3.152298
R00615,9.169641,3.421689,3.789728,5.218684
R00616,6.498634,4.806149,3.907215,5.77213
R00617,5.794885,2.668845,3.960645,5.968889
R00618,6.037569,4.586904,3.14746,2.073802
R00619,7.472178,3.573644,2.37495,1.756266
R00620,5.501199,3.23113,5.696654,4.87229
R00621,5.951296,4.557462,2.726592,4.793833
R00622,6.996577,4.080853,4.227041,7.553693
R00623,6.500516,5.111334,2.293121,5.172807
R00624,6.52781,5.626684,4.552775,6.551014
R00625,7.18548,4.059066,3.821108,6.713079
R00626,7.998427,2.618868,3.624666,2.195321
R00627,7.5733,5.552839,3.960564,5.881771
R00628,6.253446,4.47825,1.305541,6.450074
R00629,9.156232,5.939781,3.588039,6.775164
R00630,5.884896,4.474246,1.697537,-1.696363
R00631,8.004336,6.019367,4.224609,3.489888
R00632,5.745589,5.024867,4.151932,3.954002
R00633,4.942418,4.711047,5.221632,3.608026
R00634,6.628169,5.529317,3.194669,6.677345
R00635,7.651186,2.490471,4.554981,5.569239
R00636,7.151848,4.944389,2.177895,1.396389
R00637,5.452136,4.892212,4.654407,3.762154
R00638,5.283126,5.50332,4.322607,4.52112
R00639,7.133347,3.976037,2.998055,2.053919
R00640,6.271332,4.584957,4.246479,8.602019
R00641,7.139107,4.541112,3.347981,7.229429
R00642,5.665479,4.254723,2.002374,4.13916
R00643,6.27849,1.970853,3.347192,5.816721
R00644,7.020041,4.38559,1.93371,3.031196
R00645,4.704969,3.876465,4.428223,4.015649
R00646,7.225794,4.205754,2.497775,9.131768
R00647,6.656825,3.237787,3.313928,2.560545
R00648,7.294861,5.330937,1.856854,6.256374
R00649,6.583677,5.883623,2.298687,4.434879
