row_id,account_id,event_time,amount,category
R00329,A0089,1772669340000,17.92,rent
R00330,A0135,1772669400000,62.5,rent
R00331,A0118,1772669460000,147.48,grocery
R00332,A0045,1772669580000,13.44,travel
R00333,A0019,1772670120000,38.58,other
R00334,A0067,1772671200000,12.08,grocery
R00335,A0040,1772671560000,74.5,travel
R00336,A0046,1772671560000,9.39,rent
R00337,A0139,1772673120000,39.18,salary
R00338,A0091,1772673480000,13.42,grocery
R00339,A0122,1772673840000,56.4,other
R00340,A0134,1772677080000,26.66,salary
R00341,A0062,1772677380000,27.56,travel
R00342,A0076,1772678100000,30.14,travel
R00343,A0133,1772678280000,46.76,grocery
R00344,A0059,1772678340000,34.87,other
R00345,A0023,1772678880000,16.88,grocery
R00346,A0096,1772679180000,6.21,other
R00347,A0077,1772679480000,94.04,grocery
R00348,A0070,1772680140000,18.82,other
R00349,A0021,1772680740000,28.18,travel
R00350,A0003,1772682540000,142.68,salary
R00351,A0005,1772684460000,16.49,rent
R00352,A0048,1772685540000,12.84,rent
R00353,A0113,1772688840000,1.06,salary
R00354,A0081,1772689080000,4.9,rent
R00355,A0066,1772689140000,10.2,travel
R00356,A0041,1772693400000,27.53,rent
R00357,A0119,1772695020000,165.28,travel
R00358,A0007,1772695860000,67.7,other
R00359,A0064,1772696520000,5.99,salary
R00360,A0051,1772697060000,23.15,grocery
R00361,A0131,1772698380000,34.27,travel
R00362,A0137,1772700960000,13.82,salary
R00363,A0069,1772701380000,33.28,other
R00364,A0085,1772701440000,3.6,salary
R00365,A0039,1772704800000,2.81,rent
R00366,A0045,1772704860000,2.89,rent
R00367,A0011,1772708220000,21.68,grocery
R00368,A0099,1772709000000,18.51,rent
R00369,A0063,1772709420000,11.32,rent
R00370,A0028,1772710200000,12.27,travel
R00371,A0107,1772710260000,19.51,salary
R00372,A0058,1772710440000,36.0,salary
R00373,A0021,1772710740000,15.35,salary
R00374,A0136,1772710980000,6.16,travel
R00375,A0020,1772711280000,7.79,other
R00376,A0137,1772711580000,22.22,travel
R00377,A0137,1772712120000,3.91,rent
R00378,A0089,1772712720000,19.45,other
R00379,A0045,1772712780000,30.26,grocery
R00380,A0009,1772712900000,33.73,grocery
R00381,A0091,1772713260000,98.4,salary
R00382,A0046,1772714160000,13.32,grocery
R00383,A0021,1772715000000,7.11,rent
R00384,A0095,1772715300000,55.4,salary
R00385,A0077,1772716500000,7.32,other
R00386,A0065,1772718240000,41.99,other
R00387,A0008,1772718600000,16.35,rent
R00388,A0088,1772721180000,13.22,rent
R00389,A0136,1772723280000,14.66,travel
R00390,A0086,1772724960000,2.89,grocery
R00391,A0073,1772725020000,13.79,grocery
R00392,A0116,1772725500000,6.39,grocery
R00393,A0026,1772725980000,42.6,rent
R00394,A0087,1772726040000,28.28,rent
R00395,A0087,1772727600000,43.53,travel
R00396,A0014,1772728200000,7.99,grocery
R00397,A0047,1772728440000,7.15,rent
R00398,A0019,1772730000000,9.47,grocery
R00399,A0092,1772732820000,20.15,other
R00400,A0038,1772733000000,17.55,grocery
R00401,A0045,1772734260000,18.36,other
R00402,A0119,1772734920000,106.09,grocery
R00403,A0019,1772734980000,21.57,grocery
R00404,A0077,1772736600000,55.24,salary
R00405,A0096,1772736960000,18.62,rent
R00406,A0129,1772737920000,4.79,other
R00407,A0079,1772739540000,22.97,grocery
R00408,A0014,1772740140000,9.07,salary
R00409,A0071,1772740200000,5.57,travel
R00410,A0139,1772741640000,7.61,travel
R00411,A0137,1772742480000,18.2,grocery
R00412,A0035,1772744100000,164.01,grocery
R00413,A0083,1772744640000,5.88,grocery
R00414,A0099,1772745720000,67.45,rent
R00415,A0073,1772746320000,23.08,other
R00416,A0006,1772746500000,28.95,travel
R00417,A0069,1772747520000,5.62,grocery
R00418,A0103,1772749080000,8.34,other
R00419,A0000,1772749920000,43.01,rent
R00420,A0069,1772750520000,5.52,rent
R00421,A0042,1772751120000,41.51,travel
R00422,A0125,1772751300000,14.9,other
R00423,A0042,1772751360000,13.22,rent
R00424,A0016,1772751420000,16.13,salary
R00425,A0052,1772753460000,15.15,travel
R00426,A0128,1772754300000,25.01,grocery
