row_id,account_id,event_time,amount,category
R00000,A0075,1767238860000,72.79,grocery
R00001,A0008,1767248400000,2.37,rent
R00002,A0048,1767254820000,3.79,other
R00003,A0081,1767258480000,10.12,rent
R00004,A0106,1767264120000,9.38,grocery
R00005,A0093,1767269040000,15.18,salary
R00006,A0042,1767270180000,86.61,rent
R00007,A0004,1767271320000,29.47,travel
R00008,A0021,1767275280000,20.14,salary
R00009,A0115,1767281940000,12.69,other
R00010,A0051,1767282120000,15.14,travel
R00011,A0050,1767283440000,6.09,rent
R00012,A0032,1767287400000,6.52,rent
R00013,A0115,1767288180000,26.76,other
R00014,A0049,1767292740000,29.38,salary
R00015,A0016,1767295320000,27.57,rent
R00016,A0020,1767295440000,50.81,rent
R00017,A0015,1767304440000,31.97,grocery
R00018,A0094,1767315060000,70.26,travel
R00019,A0119,1767328980000,42.57,travel
R00020,A0079,1767330180000,43.3,rent
R00021,A0046,1767333060000,10.28,travel
R00022,A0018,1767333120000,7.01,other
R00023,A0071,1767339960000,8.12,grocery
R00024,A0039,1767342180000,10.14,rent
R00025,A0010,1767362160000,13.66,travel
R00026,A0097,1767402480000,18.91,grocery
R00027,A0086,1767407820000,17.39,rent
R00028,A0003,1767408840000,16.15,rent
R00029,A0079,1767409500000,35.98,other
R00030,A0034,1767418860000,41.54,rent
R00031,A0060,1767419880000,134.82,rent
R00032,A0014,1767437820000,2.06,salary
R00033,A0036,1767443100000,3.27,rent
R00034,A0003,1767443460000,118.34,grocery
R00035,A0079,1767460140000,10.81,salary
R00036,A0064,1767468240000,25.78,rent
R00037,A0101,1767470520000,39.84,other
R00038,A0061,1767495540000,14.98,other
R00039,A0010,1767501000000,2.22,travel
R00040,A0100,1767530640000,4.72,salary
R00041,A0104,1767543180000,29.51,salary
R00042,A0103,1767552960000,27.94,other
R00043,A0096,1767559800000,30.97,rent
R00044,A0066,1767573600000,22.89,travel
R00045,A0115,1767581640000,21.41,travel
R00046,A0049,1767593520000,21.33,travel
R00047,A0038,1767601500000,19.25,rent
R00048,A0038,1767602700000,14.24,salary
R00049,A0041,1767612480000,14.42,rent
R00050,A0116,1767646020000,6.5,travel
R00051,A0102,1767657060000,5.91,salary
R00052,A0096,1767657300000,77.18,salary
R00053,A0079,1767659760000,17.81,grocery
R00054,A0095,1767669000000,238.14,rent
R00055,A0073,1767689760000,8.66,travel
R00056,A0052,1767690720000,16.47,salary
R00057,A0005,1767702180000,51.08,rent
R00058,A0103,1767724200000,112.8,grocery
R00059,A0087,1767732000000,66.11,other
R00060,A0105,1767747180000,30.92,grocery
R00061,A0059,1767753480000,38.1,grocery
R00062,A0011,1767757080000,12.97,rent
R00063,A0015,1767757800000,19.34,rent
R00064,A0098,1767759660000,5.62,rent
R00065,A0065,1767764640000,430.41,grocery
R00066,A0081,1767813480000,24.19,salary
R00067,A0032,1767827880000,74.2,other
R00068,A0097,1767829680000,35.01,salary
R00069,A0084,1767836580000,49.86,travel
R00070,A0038,1767841020000,112.47,other
R00071,A0077,1767844260000,37.55,travel
R00072,A0071,1767847680000,99.76,grocery
R00073,A0084,1767856080000,16.85,grocery
R00074,A0062,1767864480000,32.72,rent
R00075,A0058,1767870000000,50.75,grocery
R00076,A0013,1767870240000,30.72,salary
R00077,A0094,1767884280000,44.4,travel
R00078,A0014,1767902520000,25.48,rent
R00079,A0037,1767922800000,15.85,other
R00080,A0013,1767923160000,1.83,travel
R00081,A0094,1767924540000,66.22,travel
R00082,A0027,1767925980000,10.94,travel
R00083,A0028,1767939000000,10.67,salary
R00084,A0067,1767945300000,10.1,grocery
R00085,A0116,1767957300000,3.01,other
R00086,A0058,1767960240000,6.56,grocery
R00087,A0094,1767961800000,14.1,other
R00088,A0022,1767992340000,10.27,travel
R00089,A0036,1768009320000,11.44,grocery
R00090,A0003,1768010640000,18.24,other
R00091,A0014,1768026840000,41.1,other
R00092,A0003,1768029240000,4.93,grocery
R00093,A0092,1768034640000,13.88,other
R00094,A0027,1768051500000,15.83,other
R00095,A0078,1768051680000,23.56,rent
R00096,A0061,1768052520000,63.86,rent
R00097,A0002,1768052940000,49.16,travel
R00098,A0026,1768075140000,8.61,rent
R00099,A0064,1768089780000,21.55,travel
R00100,A0071,1768125120000,18.81,travel
R00101,A0065,1768131840000,31.29,other
R00102,A0109,1768135920000,11.35,travel
R00103,A0014,1768142520000,33.58,salary
R00104,A0021,1768146840000,17.95,grocery
R00105,A0102,1768151340000,27.28,other
R00106,A0079,1768152780000,20.13,travel
R00107,A0068,1768156980000,22.95,rent
R00108,A0051,1768158600000,10.19,salary
R00109,A0028,1768161420000,14.07,other
R00110,A0094,1768161420000,16.65,other
R00111,A0053,1768174260000,9.83,grocery
R00112,A0117,1768175280000,38.32,rent
R00113,A0077,1768190100000,13.84,grocery
R00114,A0033,1768190340000,85.77,travel
R00115,A0089,1768201140000,52.6,other
R00116,A0105,1768201800000,144.96,travel
R00117,A0062,1768208640000,4.43,grocery
R00118,A0003,1768212720000,19.2,travel
R00119,A0087,1768213620000,3.65,travel
R00120,A0014,1768214820000,30.36,other
R00121,A0100,1768225320000,16.72,travel
R00122,A0016,1768227120000,27.36,salary
R00123,A0108,1768242360000,33.67,travel
R00124,A0031,1768251360000,56.07,travel
R00125,A0023,1768255920000,4.01,salary
R00126,A0054,1768258260000,85.55,travel
R00127,A0091,1768276860000,15.42,other
R00128,A0055,1768278360000,56.96,grocery
R00129,A0055,1768281660000,18.54,grocery
R00130,A0055,1768284180000,26.5,travel
R00131,A0080,1768298160000,14.15,travel
R00132,A0037,1768301760000,28.88,grocery
R00133,A0010,1768316760000,85.49,salary
R00134,A0097,1768317540000,9.87,other
R00135,A0095,1768322280000,28.21,other
R00136,A0064,1768337280000,32.24,other
R00137,A0011,1768338180000,14.93,salary
R00138,A0049,1768339380000,16.62,salary
R00139,A0011,1768360740000,6.07,grocery
R00140,A0039,1768365480000,22.72,grocery
R00141,A0019,1768371480000,2.86,travel
R00142,A0093,1768375440000,28.97,salary
R00143,A0048,1768376460000,24.66,travel
R00144,A0007,1768380960000,27.8,grocery
R00145,A0063,1768382160000,12.7,grocery
R00146,A0017,1768388100000,4.67,other
