row_id,f1,f2,f3,f4
R00400,-0.828055,3.679846,6.604909,3.067632
R00401,-0.51374,2.391787,7.377004,2.688375
R00402,-0.545439,3.886596,6.57369,1.762328
R00403,-0.501216,4.460213,3.098423,3.276342
R00404,-1.795975,3.531654,4.941782,1.310546
R00405,1.139758,2.7857,3.124268,2.62959
R00406,0.417651,2.982102,2.577325,2.027397
R00407,-0.270018,2.749647,1.349993,2.368961
R00408,-0.245964,3.96905,4.881165,4.670324
R00409,0.012034,3.952035,6.137326,3.068333
R00410,-1.472766,4.059616,6.156814,1.207466
R00411,1.063399,3.788242,1.143193,1.926988
R00412,0.313828,3.872186,-0.30674,2.392641
R00413,-0.400235,3.030952,6.944759,2.747602
R00414,1.170575,2.834365,2.965452,1.918858
R00415,0.027999,4.238067,3.956763,2.332666
R00416,0.433721,4.749605,1.554421,3.142686
R00417,0.330681,2.601659,-0.364293,3.333755
R00418,2.90872,3.256996,7.946227,2.204405
R00419,-0.468383,3.697614,0.893079,2.194356
R00420,0.580808,3.525637,-0.416535,2.32852
R00421,1.372652,2.63918,3.653174,3.638778
R00422,0.766524,3.998298,7.711068,4.512051
R00423,-1.920219,3.472916,7.059862,2.955707
R00424,-1.989585,4.715915,4.282347,4.376622
R00425,-0.837931,3.556436,5.895728,3.161688
R00426,-0.03225,3.487389,2.227057,4.075436
R00427,-0.11012,3.372566,4.114949,2.287712
R00428,1.922362,3.165518,4.792293,2.133138
R00429,-2.537066,2.991989,1.981214,2.326978
R00430,1.081639,2.81321,6.371077,0.786234
R00431,1.809636,3.766357,5.894804,-0.118751
R00432,0.519001,3.991691,5.795379,2.262275
R00433,-0.024865,3.263672,2.785852,0.295162
R00434,1.702359,4.028663,4.360358,3.027625
R00435,2.012266,3.362719,4.288496,3.887678
R00436,1.496914,3.732891,2.248666,4.390654
R00437,2.057058,3.378765,6.117654,1.55025
R00438,0.670874,4.258328,4.571406,1.383053
R00439,-1.323979,4.179983,15.098357,2.601235
R00440,-0.487376,3.572852,10.126662,2.822193
R00441,-0.381126,4.411728,3.166652,0.81192
R00442,-1.68537,3.623215,-0.403511,3.080487
R00443,0.647385,3.686928,2.105614,3.236295
R00444,-0.31536,4.258645,4.733258,3.448253
R00445,-0.191096,3.804555,10.015288,3.597102
R00446,-1.612689,3.596543,3.794698,1.582205
R00447,1.368346,4.012366,1.749949,1.364387
R00448,0.655629,3.201478,6.554094,1.784587
R00449,-0.959123,3.682868,2.449816,2.741355
R00450,-0.578872,3.755428,2.983435,3.423553
R00451,1.734471,3.530572,5.906488,2.882889
R00452,-1.380731,4.341496,5.572623,2.467578
R00453,-0.288653,3.306584,4.957595,3.490906
R00454,0.88706,3.573676,5.622542,2.242424
R00455,-1.049186,3.388133,6.365386,1.490136
R00456,-1.400822,3.461022,7.252301,0.731187
R00457,-0.814985,3.414492,-1.158036,2.003366
R00458,-1.054648,3.421765,1.213764,2.607611
R00459,0.305847,2.856618,2.741363,2.503823
R00460,-2.178502,3.389296,4.389061,2.737357
R00461,-0.981842,2.982587,0.257003,1.890205
R00462,2.529168,3.494088,7.334645,2.075623
R00463,0.967447,4.076195,4.847318,3.337619
R00464,1.532192,4.296057,4.231621,2.253419
R00465,0.670466,3.871794,3.158039,3.362697
R00466,0.984977,3.642639,4.14659,4.325921
R00467,-0.242598,2.87992,6.582807,3.628213
R00468,1.535308,3.301044,-0.204191,2.324448
R00469,-0.268428,4.093003,1.269643,2.607183
R00470,-1.567638,3.011416,3.775654,1.913247
R00471,-1.546675,4.371225,0.050197,3.37442
R00472,0.490495,2.875895,4.663016,3.003213
R00473,0.813211,3.998186,5.136939,3.163203
