row_id,status,balance,updated_at
R00280,dormant,3754.9,1770719580000
R00367,active,5913.73,1770342720000
R00276,closed,6643.11,1770299160000
R00080,active,4224.68,1770470220000
R00309,dormant,7107.27,1769985480000
R00039,active,7882.23,1770196800000
R00123,active,75.21,1770491700000
R00240,dormant,6821.08,1770343620000
R00324,active,4623.45,1770473820000
R00224,dormant,2638.06,1770611820000
R00014,active,700.16,1770308400000
R00097,closed,7730.43,1770543660000
R00340,closed,5073.66,1770271380000
R00041,active,9014.95,1770609000000
R00017,dormant,4260.98,1770607500000
R00002,closed,4971.39,1770323640000
R00349,dormant,7533.79,1770279840000
R00146,dormant,3683.91,1770633300000
R00133,closed,6959.6,1770686400000
R00393,closed,3424.4,1770440340000
R00335,dormant,5154.37,1770639480000
R00318,dormant,2863.68,1770530460000
R00313,closed,6066.71,1770072240000
R00277,closed,2271.68,1770432780000
R00312,closed,1788.26,1770316620000
R00250,closed,7166.14,1770656400000
R00067,active,4547.83,1770590520000
R00159,dormant,7523.53,1770253140000
R00310,active,8431.09,1770025560000
R00120,active,6194.15,1770477360000
R00386,dormant,5242.11,1770034980000
R00266,closed,2934.48,1770252180000
R00165,closed,3564.9,1770271380000
R00392,closed,2587.65,1770380520000
R00311,closed,2345.11,1770528300000
R00212,active,1876.11,1770369420000
R00297,closed,8421.56,1770464760000
R00180,dormant,5819.58,1770319380000
R00247,closed,2295.63,1770611640000
R00102,dormant,6384.67,1770136200000
R00174,active,3080.74,1770541200000
R00011,active,5806.77,1770279840000
R00300,closed,10170.59,1770430920000
R00376,dormant,2920.59,1770645420000
R00316,closed,4582.49,1770518040000
R00246,closed,5976.03,1770314340000
R00296,dormant,-1994.86,1770656820000
R00397,dormant,4190.55,1770363600000
R00352,closed,3967.47,1770176340000
R00001,active,3092.53,1770552900000
R00127,dormant,5080.26,1770649020000
R00232,closed,5739.62,1770671340000
R00157,closed,6794.24,1770158040000
R00395,closed,3467.06,1770164940000
R00181,active,6194.03,1770427080000
R00115,closed,4893.47,1770174780000
R00179,dormant,3556.39,1769987160000
R00066,closed,4778.68,1770659220000
R00331,dormant,6537.87,1770189060000
R00257,closed,5618.51,1770669660000
R00282,active,4904.32,1770477120000
R00301,dormant,2290.37,1770494580000
R00362,active,4748.78,1770343080000
R00223,active,6933.49,1770219420000
R00189,dormant,4777.31,1770388560000
R00091,closed,4328.46,1770457140000
R00328,active,8033.41,1770377040000
R00284,dormant,4845.52,1770548640000
R00147,dormant,2626.42,1770378660000
R00265,closed,3415.88,1770641700000
R00013,active,7588.58,1770342540000
R00079,dormant,2650.15,1770368280000
R00060,dormant,2436.35,1770158340000
R00052,closed,5400.83,1770575820000
R00320,closed,2746.05,1770370500000
R00075,dormant,3485.27,1770406140000
R00382,dormant,3702.21,1770274980000
R00122,closed,5836.93,1769995980000
R00215,dormant,4105.75,1770485760000
R00308,dormant,3379.9,1769959680000
R00030,active,3918.47,1770287760000
R00390,closed,6710.03,1770101040000
R00049,dormant,4112.01,1770528360000
R00306,closed,257.56,1770250140000
R00281,closed,1260.79,1770306540000
R00234,active,2678.7,1770249300000
R00222,dormant,5669.05,1770403620000
R00290,closed,4074.08,1770136500000
R00279,active,7661.14,1770423660000
R00338,dormant,8030.28,1770437040000
