row_id,account_id,event_time,amount,category
R00100,A0111,1772497500000,61.61,other
R00101,A0118,1772498460000,64.48,travel
R00102,A0068,1772500260000,6.37,grocery
R00103,A0118,1772500440000,1.46,salary
R00104,A0136,1772500500000,23.89,travel
R00105,A0064,1772500560000,165.15,other
R00106,A0123,1772500740000,6.21,salary
R00107,A0007,1772500800000,28.11,travel
R00108,A0142,1772501640000,23.02,rent
R00109,A0133,1772502240000,33.01,grocery
R00110,A0053,1772502900000,5.18,grocery
R00111,A0098,1772502960000,38.72,salary
R00112,A0070,1772503380000,6.75,rent
R00113,A0123,1772503980000,22.7,other
R00114,A0087,1772505060000,19.21,salary
R00115,A0100,1772505360000,12.74,salary
R00116,A0018,1772506380000,200.43,travel
R00117,A0000,1772506800000,18.58,salary
R00118,A0002,1772507880000,7.28,salary
R00119,A0123,1772508060000,17.49,travel
R00120,A0036,1772508840000,6.78,salary
R00121,A0126,1772508840000,18.71,other
R00122,A0103,1772509140000,4.23,travel
R00123,A0010,1772509500000,8.01,rent
R00124,A0112,1772509500000,39.97,other
R00125,A0014,1772510760000,9.18,other
R00126,A0014,1772511420000,8.27,grocery
R00127,A0026,1772511420000,2.57,salary
R00128,A0116,1772512620000,4.86,rent
R00129,A0109,1772512860000,18.15,other
R00130,A0097,1772512920000,22.08,rent
R00131,A0094,1772513160000,42.95,travel
R00132,A0047,1772513280000,99.57,other
R00133,A0091,1772513820000,6.85,other
R00134,A0071,1772514600000,15.88,grocery
R00135,A0070,1772514660000,7.29,rent
R00136,A0135,1772515200000,7.22,other
R00137,A0060,1772516880000,9.35,salary
R00138,A0126,1772517120000,1.54,grocery
R00139,A0135,1772517360000,10.38,grocery
R00140,A0066,1772518620000,9.97,other
R00141,A0006,1772518740000,52.39,rent
R00142,A0112,1772519700000,9.77,rent
R00143,A0108,1772520300000,11.81,salary
R00144,A0007,1772520600000,16.77,travel
R00145,A0059,1772520960000,14.13,other
R00146,A0144,1772522640000,10.71,travel
R00147,A0026,1772524320000,13.65,other
R00148,A0043,1772524740000,30.41,travel
R00149,A0048,1772526000000,10.17,rent
R00150,A0075,1772526240000,41.69,salary
R00151,A0061,1772527260000,102.86,other
R00152,A0121,1772529240000,6.63,grocery
R00153,A0008,1772530020000,43.58,salary
R00154,A0049,1772530320000,9.79,grocery
R00155,A0096,1772530560000,47.46,other
R00156,A0045,1772531100000,42.32,travel
R00157,A0006,1772532960000,8.58,grocery
R00158,A0075,1772534220000,32.12,salary
R00159,A0144,1772535720000,24.95,rent
R00160,A0055,1772536260000,46.18,other
R00161,A0108,1772538600000,17.44,salary
R00162,A0037,1772538600000,4.88,salary
R00163,A0047,1772539200000,8.33,salary
R00164,A0026,1772539440000,12.29,salary
R00165,A0066,1772541420000,74.24,salary
R00166,A0022,1772541660000,19.45,other
R00167,A0129,1772542260000,16.18,grocery
R00168,A0030,1772544180000,40.62,grocery
R00169,A0017,1772544540000,20.68,grocery
R00170,A0105,1772546220000,36.41,rent
R00171,A0003,1772546700000,19.68,salary
R00172,A0037,1772546940000,41.17,travel
R00173,A0094,1772547420000,8.64,travel
R00174,A0079,1772547540000,12.4,travel
R00175,A0086,1772547720000,20.12,grocery
R00176,A0023,1772548020000,42.89,grocery
R00177,A0092,1772549280000,27.53,rent
R00178,A0054,1772551980000,19.65,rent
R00179,A0143,1772552700000,8.08,grocery
R00180,A0076,1772553000000,15.6,grocery
R00181,A0021,1772553960000,67.72,other
R00182,A0055,1772554260000,46.11,travel
R00183,A0055,1772554440000,2.18,grocery
R00184,A0027,1772554740000,63.44,grocery
R00185,A0077,1772555160000,24.11,rent
R00186,A0036,1772555340000,199.76,travel
R00187,A0111,1772555820000,44.72,grocery
R00188,A0027,1772556540000,133.63,salary
R00189,A0088,1772557500000,25.01,salary
R00190,A0113,1772560800000,97.08,grocery
R00191,A0066,1772560860000,19.12,grocery
R00192,A0074,1772561700000,76.31,travel
R00193,A0109,1772561940000,41.08,grocery
R00194,A0120,1772562060000,20.23,grocery
R00195,A0110,1772562240000,26.83,travel
R00196,A0007,1772562720000,34.23,other
R00197,A0050,1772563080000,7.63,rent
R00198,A0137,1772563680000,19.39,rent
R00199,A0065,1772564880000,16.96,other
R00200,A0010,1772565000000,13.27,travel
R00201,A0144,1772565480000,17.42,rent
R00202,A0098,1772566080000,185.5,rent
R00203,A0143,1772566560000,8.86,grocery
R00204,A0033,1772566800000,53.33,salary
R00205,A0023,1772566920000,34.84,other
R00206,A0030,1772567220000,15.85,other
R00207,A0084,1772567400000,2.57,salary
R00208,A0020,1772568240000,11.68,rent
R00209,A0015,1772568360000,9.4,travel
R00210,A0131,1772569080000,26.49,other
R00211,A0020,1772569320000,34.59,travel
R00212,A0081,1772569920000,4.76,salary
R00213,A0051,1772571240000,85.39,salary
R00214,A0023,1772571960000,39.21,other
R00215,A0139,1772572020000,12.43,travel
R00216,A0102,1772573160000,20.86,other
R00217,A0087,1772574240000,155.11,grocery
R00218,A0027,1772574660000,25.25,rent
R00219,A0023,1772575140000,18.77,salary
R00220,A0056,1772575440000,15.01,grocery
R00221,A0094,1772575740000,21.47,rent
R00222,A0114,1772576160000,77.89,grocery
R00223,A0101,1772576460000,2.84,rent
R00224,A0015,1772577180000,32.87,other
R00225,A0017,1772577180000,40.09,travel
R00226,A0122,1772578500000,54.42,other
R00227,A0136,1772579640000,17.88,salary
R00228,A0006,1772580120000,18.37,travel
R00229,A0088,1772581440000,27.59,salary
