row_id,f1,f2,f3,f4
R00000,-0.849093,-3.940224,-4.849079,-3.061216
R00001,3.616221,-0.011758,-1.69449,-4.459233
R00002,3.067128,-1.285694,-5.721132,-4.045015
R00003,0.470624,-2.540795,-4.752133,-5.912702
R00004,0.023259,7.49285,-5.199457,-4.804701
R00005,3.850566,-3.364411,-2.954748,-5.512863
R00006,0.320764,-2.418858,-6.030635,-5.964524
R00007,0.251167,0.406079,-2.294809,-5.884725
R00008,-0.330544,2.369602,-6.325626,-4.358773
R00009,1.886647,-0.960313,-3.106459,-3.195032
R00010,2.776463,1.89335,-2.890976,-4.113912
R00011,2.718247,-2.977901,-3.321863,-5.104842
R00012,1.477402,4.408676,-0.864322,-4.950182
R00013,0.464781,1.108543,-4.207214,-5.399441
R00014,3.664656,-0.466868,-4.53682,-4.756261
R00015,0.052112,-6.700491,-4.518492,-3.609874
R00016,1.237379,-2.46741,-3.892434,-4.264364
R00017,0.183925,1.188365,-2.799908,-5.374264
R00018,1.964542,-0.177596,-4.291329,-5.290697
R00019,2.158022,1.060799,-3.140849,-5.86143
R00020,1.667875,-1.923089,-5.888844,-4.986904
R00021,2.479564,-0.351484,-6.499317,-5.443466
R00022,1.816328,-0.534246,-4.738295,-4.278612
R00023,2.868306,2.475201,-4.546345,-3.169985
R00024,2.197897,0.097372,-5.651147,-5.965913
R00025,-1.004642,1.645009,-5.809976,-4.778906
R00026,-0.060499,1.448365,-5.395466,-5.067297
R00027,0.307125,-1.602243,-4.297745,-3.78382
R00028,1.919782,-1.521817,-2.530645,-4.983982
R00029,-0.19091,0.068465,-3.940331,-4.898049
R00030,0.030532,4.510568,-2.621726,-3.974843
R00031,-1.650233,0.119091,-4.843018,-5.471632
R00032,3.470135,1.587001,-4.450666,-4.710904
R00033,0.974748,3.79268,-3.966306,-4.419326
R00034,0.070104,1.381677,-2.325144,-6.503488
R00035,3.099396,-0.621406,-4.534431,-4.403123
R00036,1.155085,-3.166116,-5.023539,-4.393585
R00037,2.764593,-6.777609,-5.241887,-3.383262
R00038,0.387866,-0.677549,-0.899531,-3.988285
R00039,2.838715,1.421294,-2.525339,-5.322163
R00040,-3.317786,0.431003,-0.128539,-3.493913
R00041,-0.127543,2.778088,-2.63125,-4.497319
R00042,1.455218,-1.485277,-3.661268,-4.913625
R00043,2.669939,1.773913,-3.801867,-5.328609
R00044,1.49386,3.321813,-6.40432,-5.915323
R00045,3.249958,2.360773,-3.350841,-4.709133
R00046,0.087312,-0.388627,-4.076371,-5.271228
R00047,0.412439,-1.161962,-3.090085,-5.47819
R00048,1.952567,2.072429,-4.618751,-4.242327
R00049,0.879936,5.013443,-6.010821,-4.980991
R00050,0.988214,1.299647,-0.603422,-4.970155
R00051,-0.464171,1.07871,-6.250808,-3.280472
R00052,-1.179739,4.561115,-5.948422,-4.46874
R00053,0.651799,2.616748,-3.432485,-4.688524
R00054,1.129552,1.662494,-4.768158,-4.996059
R00055,1.50151,-4.0998,-3.60071,-6.283927
R00056,1.044275,-2.555826,-2.968553,-6.849512
R00057,-2.333077,-4.879152,-3.763246,-4.493951
R00058,2.728505,1.852668,-2.743734,-5.381948
R00059,-1.168772,-5.061816,-5.61943,-4.717962
R00060,2.837709,-0.466235,-2.25355,-5.387507
R00061,1.21176,-0.426917,-4.931077,-4.562447
R00062,1.478986,-2.963423,-3.009528,-4.802751
R00063,0.774478,-2.754409,-1.972414,-5.472585
R00064,2.512204,0.687228,-6.819535,-5.10539
R00065,1.766965,-4.372219,-2.842007,-5.273569
R00066,1.522011,3.1423,-4.466364,-5.253211
R00067,0.630714,2.781902,-2.610333,-4.623685
R00068,-1.797384,0.693137,-3.656933,-4.685715
R00069,0.233875,0.320261,-2.976099,-4.197269
R00070,1.569195,-0.073152,-4.044802,-4.632269
R00071,2.554327,2.02973,-5.167143,-5.393503
R00072,0.753352,-3.674587,-3.252418,-3.441237
R00073,2.549113,3.978936,-3.996697,-3.825046
R00074,1.738675,5.766175,-3.112722,-4.636577
R00075,1.066938,-1.344957,-2.892296,-5.744914
R00076,0.345795,-3.029414,-2.79155,-5.062961
R00077,0.955642,-1.513262,-2.786661,-5.017052
R00078,3.176096,0.703383,-5.011204,-6.002699
R00079,0.944117,1.989831,-3.894417,-5.303881
R00080,3.131818,-0.380149,-5.647809,-4.432688
R00081,-0.830299,-0.192024,-3.622375,-3.936212
R00082,1.405485,-4.519129,-3.960941,-4.144458
R00083,4.131251,-1.502963,-2.193055,-4.996855
R00084,0.211011,2.80271,-2.738628,-5.037843
R00085,-2.683526,-2.049406,-7.823878,-6.544814
R00086,2.128541,0.123023,-5.282368,-4.413027
R00087,0.362572,1.53697,-5.694684,-5.338849
R00088,0.648457,0.842209,-4.841908,-5.383741
R00089,0.067124,-0.27635,-4.476226,-4.882047
R00090,-0.547417,6.404866,-1.897845,-5.397686
R00091,-0.963455,1.830831,-5.61338,-4.814563
R00092,-0.691992,1.775802,-5.094988,-4.705087
R00093,0.93002,1.81378,-5.095137,-3.903739
R00094,1.140067,2.395408,-2.516498,-5.761177
R00095,0.84058,5.322323,-4.179177,-4.649608
R00096,1.906228,-1.361042,0.327364,-5.810768
R00097,0.135538,-1.296661,-2.772217,-5.07494
R00098,-0.331998,0.143713,-2.558983,-4.643749
R00099,3.419271,0.090436,-4.547505,-4.576968
R00100,1.41401,1.798563,-3.755418,-5.546465
R00101,-0.902155,0.300001,-4.01548,-5.280256
R00102,1.73528,1.943843,-1.518179,-4.342969
R00103,1.826121,-2.27472,-3.81518,-3.530718
R00104,1.67705,5.0964,-2.922127,-4.380195
R00105,1.296826,2.570525,-4.907511,-5.412312
R00106,2.183066,5.327575,-5.686366,-4.351903
R00107,2.149242,-3.640871,-2.343323,-4.163419
R00108,0.261176,0.703567,-2.780177,-4.933448
R00109,1.186488,2.242114,-3.085306,-3.649898
R00110,-0.355394,3.042497,-3.45111,-3.880581
R00111,2.084536,1.816223,-4.44861,-4.578098
R00112,1.720241,2.38261,-3.120226,-3.993333
R00113,1.35221,-3.043781,-2.700739,-4.668503
R00114,1.276983,2.928809,-5.266014,-4.957052
R00115,0.781641,1.42432,-3.885938,-4.576018
R00116,1.868481,-2.954434,-3.73612,-4.544157
R00117,1.68564,-1.392725,0.405667,-4.447788
R00118,-0.71744,2.337557,-3.504566,-5.323153
R00119,1.658506,-2.199646,-4.775571,-5.501179
R00120,1.871559,-0.883264,-4.747817,-3.702502
R00121,3.848319,-0.653249,-3.502277,-4.095277
R00122,1.031783,1.844547,-7.202422,-5.42189
R00123,3.251825,-3.71002,-5.480034,-3.472909
R00124,-2.193876,-1.607611,-6.1795,-4.455332
R00125,0.747508,5.389485,-2.282158,-5.564092
R00126,-0.593602,-0.037208,-2.706784,-5.60881
R00127,2.37103,2.105057,-3.702408,-3.87528
R00128,2.452339,-1.483308,-3.9958,-3.990619
R00129,-0.308365,3.471707,-2.081309,-4.80842
R00130,0.79155,5.465852,-5.441503,-5.734431
R00131,2.122563,-5.464893,-2.654583,-3.449587
R00132,-0.180464,-1.634444,-4.263718,-6.461699
R00133,-0.418876,0.636453,-3.917548,-5.33244
R00134,-0.673111,1.164578,-5.074034,-4.775065
R00135,1.33116,0.320684,-3.195549,-4.329089
R00136,1.663546,3.941535,-5.359682,-4.53235
R00137,2.310248,0.049708,-4.634576,-4.601724
R00138,3.085972,-0.234756,-5.003583,-5.592538
R00139,2.350422,2.810748,-5.657979,-5.514938
