row_id,f1,f2,f3,f4,f5,label
T00000,-0.909859,0.052575,0.162754,-0.108547,-0.194577,0
T00001,-2.054208,0.258019,0.318863,-1.459668,-0.588955,0
T00002,-0.608722,-1.333913,-0.555423,0.190885,-1.640809,1
T00003,0.907768,-1.389259,0.26879,-1.696478,0.815719,0
T00004,-0.470913,-0.634699,-1.771836,-0.439124,0.417769,1
T00005,-0.427029,-1.640032,-1.193156,0.896183,-0.972825,1
T00006,-0.733533,0.657223,-0.214072,-0.568662,0.513543,0
T00007,-0.921184,-0.560101,-0.22771,1.132705,1.329568,0
T00008,0.053752,-0.281336,0.894776,-0.283821,0.410448,0
T00009,-0.499921,0.358551,-2.420606,0.411534,-0.698483,1
T00010,-0.463338,0.719809,0.805899,-0.214261,-0.305312,0
T00011,-0.163266,-0.837008,0.791059,0.022657,-0.452405,1
T00012,-1.461915,-1.007893,1.64145,0.433114,-0.299929,0
T00013,-0.036925,0.66444,0.388603,1.297937,0.669431,0
T00014,1.336371,-0.330464,-0.472649,1.658806,-1.468386,1
T00015,0.002124,1.079291,-0.456851,-0.783752,0.279583,1
T00016,-1.208256,0.405659,-0.265102,0.577494,-0.85924,1
T00017,-0.916576,-1.067573,0.211707,0.388815,-0.586683,0
T00018,-0.268247,-0.002833,0.824097,-0.100046,-0.912591,0
T00019,-0.659926,1.025031,0.881417,0.075381,-0.765229,0
T00020,0.642929,0.298023,-0.01769,0.098725,-0.01972,1
T00021,0.816319,0.528483,0.61354,-1.314662,2.098351,0
T00022,0.127077,0.582225,2.584568,0.223103,0.369255,0
T00023,-1.035492,-0.419581,0.000472,0.688703,-2.071394,1
T00024,0.728022,0.621395,2.325783,0.057503,0.805079,0
T00025,-0.441108,0.756661,0.727833,-1.373986,0.465625,0
T00026,-0.462986,0.805257,-1.08142,-0.163549,0.122846,1
T00027,-1.200294,-1.138405,-0.634963,0.431516,0.426096,1
T00028,0.974101,1.650127,-0.744007,1.119243,1.426619,0
T00029,-0.287702,2.047285,-0.131635,-1.186706,-0.709354,1
T00030,0.594899,-0.453158,1.221101,1.351004,-0.432482,0
T00031,0.188518,-0.998073,0.710872,1.767459,0.397223,0
T00032,0.336893,0.646336,1.032422,0.985052,-0.409739,0
T00033,-1.441959,0.385225,1.304373,-0.602775,0.608145,0
T00034,-1.924027,-1.019605,1.30201,-1.909172,-1.208631,0
T00035,0.828384,-1.156657,0.534883,-0.215492,0.872519,0
T00036,-0.605063,0.699392,1.15763,0.308523,-1.14281,0
T00037,0.625144,0.126561,1.201075,1.101461,0.314517,0
T00038,0.975165,1.55252,-0.177634,-0.974812,-1.849481,1
T00039,0.667746,-0.825275,-0.267426,0.624007,0.714607,1
T00040,0.94812,0.744064,-1.465208,-0.293806,-0.723467,1
T00041,-0.653049,2.029987,-0.791327,-0.348578,-0.308518,1
T00042,-0.929577,-0.867921,-0.809244,-1.27998,0.268332,0
T00043,0.781619,0.671155,-0.220984,0.509945,1.173559,1
T00044,-0.272116,-0.39576,0.170997,-1.170438,-0.594456,0
T00045,-0.747444,-1.638303,0.548379,1.162077,-0.816965,0
T00046,1.019028,1.632418,-0.82161,0.073071,-0.803731,1
T00047,0.378741,1.999333,0.719276,-0.076533,0.65882,0
T00048,-0.601993,0.805383,1.248264,-1.173131,-0.046199,0
T00049,-2.509479,1.786444,-1.446116,-0.22186,0.982808,0
T00050,0.216311,-0.211962,0.313397,-1.526949,-1.448028,1
T00051,-1.396861,0.122395,-0.100201,-0.032012,-0.950227,0
T00052,-0.220866,-0.055434,-0.283497,1.013414,2.031514,0
T00053,-2.001244,0.000311,-0.373051,0.29098,-0.173642,1
T00054,-0.991866,1.468813,1.189408,-0.149446,-1.242632,0
T00055,-1.446154,0.266641,0.313603,0.469254,-0.491591,0
T00056,0.434347,-0.08393,-0.865393,1.044212,-1.685131,0
T00057,0.325962,0.279891,-0.493759,-0.172655,-0.391541,0
T00058,0.924174,0.676725,-0.864712,0.466836,0.401381,1
T00059,-0.693338,0.57909,-0.218939,-1.797829,0.309558,1
T00060,-0.145493,0.687915,1.222465,1.821494,0.102208,0
T00061,-1.513566,-0.690386,1.969764,-0.236308,-0.225912,0
T00062,0.470691,-0.088937,0.196624,-2.238849,0.857679,0
T00063,0.55007,-0.359517,-0.794731,-1.80433,1.007751,1
T00064,0.337276,-1.30298,-1.663466,0.952768,1.154014,1
T00065,-0.244867,-2.438689,0.850871,-2.515812,0.72974,1
T00066,0.218681,0.588622,-1.023992,2.091499,0.405068,1
T00067,-0.495665,0.147181,0.241397,1.527792,-1.078663,1
T00068,3.830233,0.839188,-1.811216,-0.12141,-0.18513,1
T00069,0.035787,0.345431,0.089651,0.202827,0.026654,1
T00070,2.846563,0.100157,-0.249826,0.128423,-2.885741,1
T00071,-1.294857,1.40394,0.193067,0.556913,0.534143,0
T00072,-0.881772,0.774178,0.918999,-0.621759,0.054158,0
T00073,0.199104,0.011147,-1.515042,-1.228773,-0.988702,1
T00074,-1.341667,-0.942252,-0.9328,-0.243543,-0.547232,1
T00075,-1.77375,-2.289419,-0.090875,-0.443571,-0.693619,0
T00076,-0.323183,1.889592,1.042285,2.234588,0.942976,0
T00077,1.46855,0.048213,-0.535868,1.484372,0.681246,0
T00078,0.911544,1.118112,0.668927,-1.746727,-0.965748,1
T00079,0.427811,0.155528,0.59675,-0.015497,0.453567,0
T00080,-2.716755,1.417084,0.948802,0.448436,-2.583305,0
T00081,0.691126,0.095805,-0.196731,-0.367426,1.261946,0
T00082,-1.263736,0.070985,1.165176,1.497487,-0.767214,0
T00083,0.458447,0.860693,0.139148,0.555986,-0.430738,0
T00084,-0.543035,-1.458732,-0.699378,-0.16182,1.183587,0
T00085,0.738096,-0.508234,-0.648025,-1.453773,-0.508952,1
T00086,-0.217682,1.351799,0.79284,1.432821,-1.031607,0
T00087,-0.597163,-0.120434,-0.027563,0.608491,0.952544,0
T00088,1.067282,0.170186,-1.002448,-0.00566,0.880234,1
T00089,-0.946527,1.563041,-0.674204,-0.272283,0.45216,1
T00090,-0.698323,-0.853599,0.057038,2.650969,-0.121958,0
T00091,-1.725912,-0.585704,-1.91434,0.511634,-1.186128,1
T00092,1.486649,-0.841421,1.298228,0.159427,-0.732614,1
T00093,0.202045,-0.864868,-1.875781,-1.288257,-1.831581,1
T00094,-0.376576,-0.385724,0.850986,0.02549,0.497264,0
T00095,1.549266,-1.810315,-1.638286,0.686263,0.056085,1
T00096,-0.431715,0.885846,1.301194,0.582064,0.026383,0
T00097,0.945136,-0.590877,-0.240534,1.658399,0.785337,1
T00098,0.06318,0.890142,0.02501,-0.588151,-2.359692,1
T00099,-1.820712,-0.286898,-0.279223,-0.688436,0.667004,0
T00100,-1.48499,-0.695867,-1.795297,0.71784,0.548073,1
T00101,1.277787,0.950666,0.558897,-1.525543,0.823094,1
T00102,-0.038855,0.062756,-0.817175,-0.074361,-0.753038,1
T00103,1.116253,1.276691,0.119827,1.21072,1.433014,1
T00104,0.258797,-0.479977,0.08385,0.864234,1.468644,0
T00105,-1.527517,0.867678,-0.299997,0.609496,0.104651,0
T00106,-1.298158,0.384407,-0.498658,0.819413,-1.412206,0
T00107,-0.463209,0.580572,-0.533513,-0.267953,1.342873,1
T00108,0.166651,-1.167238,2.20495,0.767495,-0.345788,0
T00109,0.200139,0.886321,1.418577,1.292986,0.988401,0
T00110,-0.612484,0.009877,-0.01053,1.19333,-0.949151,1
T00111,0.246584,-0.655318,-0.101062,1.199756,0.318043,0
T00112,-1.941558,-1.238441,-0.501739,-0.862852,0.066276,1
T00113,1.272308,1.467148,1.967552,-0.689194,0.183243,0
T00114,-0.152204,1.867792,0.408301,0.007397,1.317337,0
T00115,-0.210233,-0.633083,-1.372325,-0.760353,0.172699,1
T00116,-1.05915,-0.809581,-1.972103,0.49479,-0.251255,1
T00117,0.305098,-0.304769,0.319564,-1.270378,-0.881606,1
T00118,-0.353846,-0.806097,0.213521,-1.434521,-0.279845,1
T00119,0.887086,1.810476,1.177335,-1.096499,0.588775,0
T00120,-0.765707,0.262383,-2.180471,-0.549754,-1.06446,1
T00121,0.95574,0.355313,1.318956,2.1877,-1.079621,0
T00122,1.146622,0.98747,0.75929,-0.278795,0.551756,0
T00123,1.23431,-0.887142,1.243058,-1.018868,-0.424934,0
T00124,-2.723019,-1.728669,-0.940807,-0.176721,-1.172207,1
T00125,0.506641,-0.252586,-0.677781,0.410123,0.226893,1
T00126,-1.050806,-0.738818,-0.084829,2.077208,-0.721125,0
T00127,0.980466,0.872158,-0.618193,0.907134,-0.915538,1
T00128,0.345605,-1.188198,-0.06564,0.498298,-1.307468,1
T00129,-0.575273,-0.273679,-0.128499,-0.569335,-0.597064,0
T00130,-0.294385,1.228565,-1.502931,0.058471,-0.468291,1
T00131,-1.209078,0.727585,-0.291056,-0.040694,0.260415,0
T00132,-0.444271,0.046878,-0.418408,1.38609,-0.142858,0
T00133,2.443499,1.043522,1.642955,-0.894357,0.624331,0
T00134,-1.031939,1.434014,0.796402,0.110564,-0.041414,0
T00135,0.387509,0.737632,-0.238311,0.906825,0.415483,0
T00136,-0.124497,2.151369,-0.146065,2.023984,0.887495,0
T00137,0.212617,2.153309,0.19071,0.111643,-0.15273,1
T00138,2.591662,-0.877461,-0.380421,0.95045,-0.564578,1
T00139,0.67979,0.212756,0.312551,0.613781,1.092931,0
T00140,-1.939049,0.670532,0.399239,1.253192,-1.752085,0
T00141,-0.57122,-0.332058,0.039111,1.090732,0.576692,0
T00142,-0.333202,-1.515855,-0.743664,-1.871049,1.112472,1
T00143,0.325632,-1.749594,-0.864844,0.198074,-0.735966,1
T00144,0.744577,-0.141989,0.847615,-0.033079,1.082537,0
T00145,-1.541885,-0.386548,-2.468298,0.112702,-0.371871,1
T00146,-1.035005,-1.370681,0.099471,1.21923,-0.517733,0
T00147,0.944808,-1.156652,-0.812361,-0.679951,0.350733,1
T00148,-0.331621,1.035121,0.812163,-2.20286,0.629236,0
T00149,-0.195672,0.886671,0.410775,0.482519,-0.155211,1
T00150,0.463746,0.079165,-1.027202,1.330806,-1.197701,1
